科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"7,698,974.31","28,320,569.25","32,770,717.48","465,558,207.25","444,395,459.75","497,607,497.63","479,202,613.04","414,553,796.07","392,757,213.09","364,651,505.56","314,082,702.26","332,861,749.80","182,114,046.08","232,985,838.00","258,074,756.27","198,525,485.33","213,768,405.60","166,222,358.45","138,423,354.29","164,664,889.88","168,864,677.63","232,141,494.95","116,539,500.61","86,266,742.58","89,628,500.08","68,859,937.99","146,523,881.58","118,625,167.48","93,541,121.20","77,668,961.14","73,167,904.64","29,975,035.33","164,283,670.69","360,915,773.55","266,086,026.12","169,756,877.57","206,632,867.15","170,057,904.38","373,085,298.57","197,149,181.59","392,509,415.91"
短期借款,"35,000,000.00","75,000,000.00","65,000,000.00",,,,,,,,,,,"702,450.00",,,,,,,,"65,000,000.00","65,000,000.00","70,000,000.00","109,304,438.14","84,090,239.00","105,811,600.96","90,000,000.00","150,512,612.48","200,430,059.75","210,000,000.00","270,000,000.00","330,000,000.00","90,000,000.00","117,228,008.00","102,593,324.50","87,000,000.00","107,000,000.00","157,285,775.39","248,512,000.00","406,400,650.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,"-25,668.00","243,018.75",,,"129,800.00",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,"1,421,200.00","568,264.00",,,,,,,,,,,,,,"19,188,501.45"
应收票据,,"2,495,900.00","2,029,700.00","2,049,800.00","120,000.00",,"54,650.00","100,000.00",,"820,000.00","979,548.00","4,098,665.00","1,437,377.16","39,370,433.51","21,202,922.69","32,719,049.78","35,886,732.55","12,456,593.15","24,331,826.24","39,119,341.70","44,499,728.45","2,057,317.00","27,988,865.97","57,666,606.73","39,128,385.63","10,634,485.24","41,384,849.79","58,692,992.32","67,558,209.16","20,355,266.16","25,019,439.16","39,181,693.24","52,667,337.22","54,221,052.53","39,842,108.43","26,649,297.28","77,850,043.48","54,252,788.27","57,441,210.41","89,587,994.54","56,929,340.77"
应付票据,,,"6,811,000.00","2,749,000.00","9,726,000.00","45,956,850.00","40,803,022.00","27,490,068.00","24,485,524.00","16,809,390.00","17,743,605.00","16,412,276.50","22,990,641.50","30,843,749.00","33,468,699.00","16,454,450.00","15,170,500.00","18,748,500.00","29,404,560.00","31,948,006.00","45,400,406.00","66,481,959.50","50,527,679.50","61,186,170.00","54,691,063.20","53,111,644.20","62,376,244.90","50,333,871.80","63,043,826.67","82,147,310.06","68,091,840.93","43,272,909.75","98,886,493.62","95,543,269.21","32,470,538.50","35,538,820.12","115,069,960.79","203,564,537.17","205,444,922.02","187,865,460.98","183,936,322.38"
应收账款,"50,319,950.03","78,636,922.90","76,062,518.07","85,913,926.44","101,147,147.84","112,888,041.82","97,697,491.51","73,208,145.56","54,937,570.63","122,442,614.48","113,560,791.00","125,754,303.61","81,449,139.82","179,283,133.81","149,753,285.31","146,613,944.32","166,478,501.09","215,405,381.25","272,091,343.11","212,154,240.44","218,438,434.11","243,527,548.00","248,565,620.39","280,703,976.32","245,764,944.00","280,409,907.35","219,424,462.87","217,816,034.95","201,523,016.76","237,099,169.74","306,382,251.41","276,508,642.23","293,277,011.58","404,514,414.71","377,887,536.93","393,972,923.02","391,993,896.95","430,001,464.81","491,209,588.92","519,718,203.64","650,226,202.15"
应付账款,"9,045,789.79","21,268,056.47","13,710,151.93","16,085,356.28","19,819,566.99","23,746,306.39","9,761,429.89","13,497,586.53","12,966,261.90","26,638,493.14","18,524,636.23","18,485,121.23","24,077,087.03","37,211,747.04","35,013,116.57","40,078,622.20","43,962,111.33","50,601,407.85","56,280,856.63","56,795,381.21","105,247,401.09","102,797,118.86","120,779,327.09","91,749,151.91","158,113,879.76","104,277,219.97","126,100,162.91","103,709,710.61","128,222,605.28","119,908,414.81","164,359,426.17","176,068,858.68","173,563,207.67","159,719,611.11","192,366,730.98","189,531,107.65","247,982,101.56","205,559,724.55","265,225,527.85","268,078,375.48","437,292,984.55"
预付款项,"19,739,338.13","41,271,189.00","44,116,758.80","35,292,422.01","21,394,142.53","17,981,115.96","21,981,919.71","16,839,219.79","6,755,059.08","25,599,619.69","22,386,746.93","24,563,977.77","5,444,322.08","45,047,948.81","20,717,259.87","23,835,320.62","14,554,256.84","23,959,680.54","23,465,519.87","38,148,953.33","28,659,356.57","53,438,186.90","46,207,838.32","48,719,637.60","15,405,107.88","27,972,340.94","11,813,988.72","21,046,839.87","17,633,347.99","37,874,736.44","17,885,246.44","20,697,988.86","22,628,624.05","24,940,216.53","23,234,865.93","24,170,478.42","22,545,962.05","32,620,128.96","18,338,143.64","47,936,861.01","40,313,684.30"
预收款项,"12,564,244.80","4,355,677.49","3,322,660.91","787,233.91","348,452.40","538,498.84","959,061.10","299,111.36","1,189,806.37","8,235,634.44","1,373,836.63","6,225,543.85","3,421,663.41","37,923,487.13","57,256,262.01","50,564,259.48","28,594,343.56","23,136,492.08","28,063,844.63","36,929,852.05","23,565,243.77","37,610,590.77","36,011,798.75","43,806,899.20","28,166,312.11","33,153,221.39","35,918,458.23","47,176,140.90","31,732,109.93","44,187,830.62","26,775,348.79","33,467,008.06","43,070,736.60","36,054,341.21","41,227,515.23","43,779,360.88","74,991,716.28","70,494,630.65","63,918,293.91","113,013,556.79","82,451,986.72"
