科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"71,477,110.30","102,050,866.74","137,344,503.55","102,530,810.17","228,114,281.37","24,564,692.55","70,409,455.00","133,216,620.79","291,141,108.68","64,732,387.71","119,541,077.89","188,304,123.02","342,364,212.43","60,829,105.08","125,516,953.48","202,652,262.20","484,942,307.52","92,382,673.49","201,387,526.56","356,217,574.23","748,040,506.24","129,388,166.55","201,622,560.24","323,543,884.25","918,874,036.76","234,152,241.19","350,303,849.46","601,133,520.12","1,264,162,295.28","167,990,720.80","407,908,354.79","679,867,921.21","1,403,740,916.86","148,109,382.27"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"24,468,238.66","25,257,138.66",,,,"4,854,800.00",,"4,854,800.00","11,373,361.65","20,857,515.15","-11,258,135.42","-1,773,335.42","-1,773,335.42","-1,773,335.42",,,,,
收到的税费返还,"1,356,942.36","4,015,144.47","6,141,680.99","1,090,247.68","4,363,656.53","2,134,640.50","9,063,119.68","8,986,141.60","8,986,141.60","5,987,287.13","5,987,287.13","14,344,167.53","17,631,566.50","4,142,358.83","12,207,263.61","13,620,017.20","13,933,963.63","3,052,734.28","13,981,117.64","16,228,891.00","17,312,847.46","8,340,324.76","22,030,966.64","24,168,156.51","32,190,556.96","19,252,846.86","24,136,958.36","26,426,187.05","47,890,078.89","6,234,252.54","22,119,165.90","28,928,851.33","48,567,466.40","5,889,185.73"
支付其他与投资活动有关的现金,,,,,,,,,"10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,"97,876.62",,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"7,256,621.33","6,916,184.03","16,233,505.87","8,742,743.24","26,052,346.15","1,250,198.76","12,764,775.64","14,914,520.10","16,083,803.71","12,976,217.60","15,380,269.25","17,716,294.09","15,706,915.54","2,208,240.23","5,143,968.38","8,316,134.90","14,381,924.01","1,614,070.92","6,885,392.54","14,593,157.29","21,307,279.72","881,395.53","5,637,362.55","5,710,093.66","28,463,183.46","5,564,977.00","54,122,759.01","65,180,797.85","46,771,693.01","11,014,340.57","46,060,157.57","74,421,918.04","30,605,491.77","22,460,618.45"
投资活动现金流出小计,"10,753,588.30","5,370,904.73","8,307,472.01","12,676,988.69","15,457,943.33","2,209,615.58","4,645,293.20","15,255,730.49","314,256,092.22","48,276,516.86","279,334,099.20","580,452,294.28","673,769,760.53","25,250,580.72","195,075,340.18","219,489,367.84","345,332,306.11","59,491,839.47","97,111,646.79","158,311,826.87","311,717,720.39","23,219,547.69","172,742,717.92","148,183,549.95","346,223,930.13","42,084,115.38","97,617,280.16","209,968,944.65","822,416,975.43","138,067,710.72","252,016,341.07","504,957,994.57","1,039,372,003.61","150,706,699.44"
经营活动现金流入小计,"80,090,673.99","112,982,195.24","159,719,690.41","112,363,801.09","258,530,284.05","27,949,531.81","92,237,350.32","157,117,282.49","316,211,053.99","83,695,892.44","140,908,634.27","220,364,584.64","375,702,694.47","67,179,704.14","142,868,185.47","224,588,414.30","513,258,195.16","97,049,478.69","222,254,036.74","387,039,622.52","786,660,633.42","138,609,886.84","229,290,889.43","353,422,134.42","979,527,777.18","258,970,065.05","428,563,566.83","692,740,505.02","1,358,824,067.18","185,239,313.91","476,087,678.26","783,218,690.58","1,482,913,875.03","176,459,186.45"
投资活动产生的现金流量净额,"-10,565,492.70","-5,370,904.73","-8,210,251.50","-12,579,511.69","-15,360,466.33","-2,209,615.58","-4,645,293.20","-15,255,730.49","-314,256,092.22","-48,276,516.86","43,085,688.30","-148,795,536.55","-131,284,911.80","-3,188,140.52","38,110,304.29","69,367,006.40","-15,648,517.16","25,103,211.79","50,385,721.59","13,222,730.28","-133,639,458.37","41,726,553.46","98,378,317.13","77,871,517.50","-121,840,506.95","77,145,511.36","60,071,896.89","-4,961,925.47","-501,078,259.41","103,447,287.80","131,353,613.27","148,457,211.27","-165,902,749.74","196,630,259.08"
购买商品、接受劳务支付的现金,"38,027,946.80","46,043,760.62","56,068,695.23","66,767,283.37","101,986,031.02","38,949,289.87","78,436,881.88","115,542,849.68","164,117,754.02","50,345,929.01","68,258,276.40","103,749,294.61","154,457,653.36","61,040,334.13","102,536,163.59","144,607,544.53","209,397,082.60","93,832,102.52","141,407,100.87","216,433,455.22","325,719,909.71","134,756,338.80","178,795,578.79","259,503,192.37","404,660,691.59","185,108,541.73","239,418,048.34","351,015,703.55","428,375,135.64","118,597,150.53","249,111,406.53","415,656,920.56","616,167,821.72","196,831,612.87"
吸收投资收到的现金,,,,,,"507,400,000.00","507,400,000.00","507,400,000.00","507,400,000.00",,,"33,518,628.00","33,518,628.00",,,,,,"1,206,968.00","1,206,968.00","1,206,968.00",,,"1,250,000.00","1,910,000.00",,"6,720,000.00","9,580,000.00","121,789,559.00","2,865,000.00","2,865,000.00","2,865,000.00","22,102,942.00",
