科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"274,910,379.19","311,128,628.58","355,078,073.34","125,830,667.01","193,650,582.87","285,665,325.94","480,368,458.13","146,701,932.12","235,447,037.90","281,380,152.76","494,627,734.11","73,948,237.44","124,779,088.15","203,345,304.59","347,774,290.48","68,890,588.14","156,208,424.77","272,394,690.73","438,253,518.93","89,092,414.32","145,578,982.34","251,245,277.58","428,146,350.55","102,498,006.58","226,665,851.93","538,732,797.76","873,245,177.22","400,117,703.93","515,188,461.54","674,454,328.29","1,056,136,192.98","185,764,296.06","334,358,680.94","555,369,376.97","1,280,394,906.40","222,584,225.79","420,820,649.70","778,694,075.77","1,442,553,441.70","188,189,859.60"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,"34,013,917.02","34,013,917.02","34,008,917.02",,,,,,,,,,"54,010,037.62",,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"817,195.65","180,649.56","241,076.91","241,076.91","470,475.76","268,008.25"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"78,883.77",,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"39,271,988.86","7,759,464.05","16,461,139.39","13,762,785.97","38,125,105.48","84,552,088.62","12,417,399.82","11,210,090.30","33,112,313.57","74,360,969.97","154,305,370.74","12,205,159.86","54,942,250.20","116,668,381.58","126,997,316.06","30,854,673.56","103,035,585.90","194,627,586.82","259,945,956.37","25,154,646.91","50,450,979.69","70,191,177.01","93,575,940.13","22,911,808.09","46,408,414.15","75,005,530.04","97,436,509.16","16,952,105.47","38,557,886.96","67,336,241.81","142,071,081.25","19,906,452.26","48,429,020.43","71,822,785.43","119,542,880.09","24,528,072.76","46,565,983.63","88,299,348.35","145,403,746.65","16,697,186.28"
投资活动现金流出小计,"9,833,119.50","3,598,603.72","1,875,208.20","142,300.00","979,977.00","1,912,945.00","2,282,964.56","254,898.00","7,698,981.27","14,070,283.90","20,053,023.08","464,317.50","1,348,711.70","2,985,737.92","4,993,581.80","24,770.00","745,820.00","1,847,089.00","31,002,636.88","8,471,663.00","8,793,627.00","20,642,711.50","33,653,832.52","36,637,617.32","41,606,698.94","44,090,148.98","20,178,760.04","18,502,141.54","19,724,479.08","27,345,157.72","29,564,941.48","12,708,238.20","15,266,563.12","15,730,747.75","21,010,793.83","59,633,509.37","8,598,063.47","20,328,888.19","27,259,531.20","4,928,356.75"
经营活动现金流入小计,"314,182,368.05","318,888,092.63","371,539,212.73","139,593,452.98","231,775,688.35","370,217,414.56","492,785,857.95","157,912,022.42","268,559,351.47","355,741,122.73","648,933,104.85","86,153,397.30","179,721,338.35","320,013,686.17","474,771,606.54","99,745,261.70","259,244,010.67","467,022,277.55","698,199,475.30","114,247,061.23","196,029,962.03","321,436,454.59","521,722,290.68","125,409,814.67","273,074,266.08","613,738,327.80","970,681,686.38","417,069,809.40","553,746,348.50","741,790,570.10","1,198,207,274.23","205,670,748.32","382,787,701.37","627,192,162.40","1,400,754,982.14","247,292,948.11","467,627,710.24","867,234,501.03","1,588,427,664.11","205,155,054.13"
投资活动产生的现金流量净额,"-9,674,378.54","18,283.05","-1,407,590.29","-142,300.00","-166,477.00","-1,099,390.00","-1,400,209.56","-250,498.00","-6,898,981.27","-13,265,433.90","-19,253,023.08","-464,317.50","-536,218.70","-2,150,737.92","-3,158,581.80","4,448,391.91","3,728,341.91","2,647,072.91","-26,529,474.97","-8,471,663.00","-8,779,901.51","-20,539,280.13","-33,534,714.88","-36,603,617.32","-41,497,831.64","-43,969,512.45","-20,001,919.63","-18,502,141.54","-19,724,479.08","-27,333,489.76","-29,528,541.48","-12,708,238.20","-15,178,763.12","-15,581,171.05","-17,357,831.92","-59,633,509.37","-8,598,063.47","-20,328,888.19","-27,189,060.51","-4,928,356.75"
购买商品、接受劳务支付的现金,"199,059,038.59","225,385,011.49","279,390,774.30","88,362,089.78","149,983,207.82","204,494,075.19","361,038,913.72","116,756,068.67","176,872,752.02","207,175,201.49","342,769,067.45","58,934,481.53","112,393,196.80","176,467,083.49","229,644,724.30","67,830,909.41","163,189,596.16","294,831,271.99","409,448,590.39","108,883,592.07","172,516,739.66","243,810,882.61","347,554,241.82","105,280,238.90","185,182,407.16","326,947,242.55","521,099,744.73","155,585,174.62","243,720,352.60","384,093,597.96","578,163,376.74","157,720,988.18","248,916,809.93","421,548,328.04","807,142,606.60","217,775,671.40","432,526,554.35","693,495,503.73","1,000,530,497.34","276,133,027.11"
吸收投资收到的现金,"9,500,000.00",,,,"338,320,000.00","338,320,000.00","338,320,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"25,537,565.95","25,460,459.30","29,966,380.70","5,485,225.54","11,278,639.35","17,788,088.09","38,723,610.36","6,997,396.89","16,132,810.56","23,911,999.86","49,420,182.18","9,532,751.40","17,647,664.41","28,100,365.86","54,944,014.46","13,264,828.26","23,048,630.69","35,560,382.54","69,670,756.41","14,512,979.75","26,991,124.37","40,621,157.05","79,490,406.49","23,322,153.87","42,647,346.99","61,699,260.43","125,756,532.96","23,195,895.78","40,612,797.24","60,743,829.79","130,517,782.49","22,640,602.63","40,890,208.84","61,642,031.11","217,253,613.01","52,559,521.86","87,178,346.24","125,247,363.90","243,724,655.56","65,036,703.91"
