科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"2,184,883,605.96","2,413,619,637.83","1,046,360,933.05","2,544,683,237.15","696,319,813.18","1,154,423,739.37","1,964,481,286.12","2,760,380,594.48","743,729,071.16","1,316,821,303.47","2,101,924,789.85","3,047,480,300.68","1,050,892,700.52","1,626,201,426.35","2,626,143,515.20","3,643,115,127.75","1,123,072,579.66","1,890,493,612.07","3,218,100,651.48","4,595,756,211.16","1,371,347,543.40","2,511,064,372.63","4,209,869,639.08","5,744,678,575.94","1,521,213,602.29","2,955,998,794.22","4,858,348,004.09","6,581,342,430.19","1,759,279,345.34","3,356,618,791.43","5,681,451,691.96","7,593,532,197.23","1,935,152,882.92","3,786,782,578.70","6,436,849,716.77","8,709,511,777.24"
二、营业利润,"230,978,615.97","261,672,249.32","114,350,030.48","298,951,690.34","108,476,160.07","135,464,247.25","238,355,688.85","346,508,358.11","115,036,170.30","169,585,535.36","291,742,831.02","417,987,345.68","169,775,017.17","253,052,202.19","415,035,062.78","527,360,299.77","189,391,399.97","283,673,729.38","480,634,156.73","604,440,086.28","202,274,347.73","313,780,746.32","566,035,015.16","692,945,919.31","215,187,951.53","467,473,019.83","688,967,693.44","777,705,353.71","254,785,123.79","468,754,140.56","706,619,541.22","687,976,503.00","218,342,982.15","430,033,394.48","651,537,186.12","1,179,494,469.78"
减:营业成本,"1,485,843,352.11","1,636,953,290.04","697,478,010.35","1,705,902,353.01","464,726,736.08","765,890,924.53","1,323,136,671.05","1,842,391,539.74","488,256,370.40","868,104,145.15","1,381,091,915.40","2,025,456,141.35","711,947,101.03","1,067,449,523.50","1,751,324,539.71","2,473,233,108.99","774,041,397.63","1,310,219,815.21","2,316,388,973.35","3,354,367,723.52","992,498,711.11","1,915,755,565.61","3,230,390,972.47","4,388,127,166.95","1,125,488,469.20","2,286,377,974.04","3,759,936,355.66","5,148,061,171.77","1,305,147,949.90","2,614,325,838.65","4,480,603,640.96","6,075,439,155.44","1,465,360,744.75","3,002,613,529.66","5,150,208,031.37","7,113,789,222.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"8,723,191.19","12,686,988.38","5,967,616.08","13,838,644.03","4,104,057.15","7,027,727.70","10,021,706.42","14,377,619.11","6,106,976.23","11,057,613.66","16,301,131.30","21,817,221.09","6,144,986.50","9,946,646.14","16,890,562.67","21,428,603.54","4,486,625.22","9,521,045.62","14,825,669.62","21,643,887.12","3,026,960.92","5,966,741.80","9,289,800.59","12,311,510.14","3,730,250.81","7,973,614.92","11,845,049.39","22,657,409.23","4,024,112.42","7,347,034.11","11,316,795.76","27,533,112.19","5,512,083.14","11,606,736.99","19,678,992.97","30,958,709.48"
营业外收入,"4,075,607.62","2,450,481.34","1,852,079.27","2,289,558.69","191,006.67","648,251.64","1,132,087.46","6,713,267.86","1,896,822.76","6,714,695.24","10,878,361.76","13,044,167.67","1,211,192.63","3,938,550.68","4,926,297.11","10,410,164.59","1,436,542.33","11,873,291.89","14,138,112.92","31,324,706.59","6,308,695.57","24,461,716.22","24,911,541.63","45,594,871.52","15,358,516.63","19,690,164.81","28,623,167.20","47,910,454.73","954,956.68","28,419,718.62","35,302,712.22","460,488,896.06","411,217,331.34","411,042,457.72","412,208,297.65","9,280,372.92"
销售费用,"276,042,861.18","298,039,826.14","124,792,817.86","308,585,786.60","48,679,834.39","144,184,943.72","215,866,050.99","339,385,246.44","51,447,412.48","160,090,057.01","222,898,247.26","382,887,597.01","74,465,250.68","184,334,989.65","257,221,717.17","448,163,795.09","70,765,857.32","162,024,035.22","251,234,787.72","446,528,259.67","87,323,220.60","184,117,787.36","277,923,593.75","510,818,440.59","84,630,710.49","201,434,151.88","307,327,183.86","557,848,067.80","104,946,025.08","215,258,875.48","323,474,046.94","585,980,354.81","122,656,163.20","233,279,278.67","356,742,122.50","632,216,033.15"
减:营业外支出,"23,321,209.48","11,826,519.79","4,068,554.10","25,181,213.77","704,729.67","6,080,007.01","7,115,364.15","30,992,282.54","759,831.16","18,095,412.95","18,489,420.59","29,589,897.13","525,506.17","21,595,523.79","22,066,331.47","30,939,295.60","3,095,677.11","4,308,528.62","6,706,596.27","19,570,780.11","990,720.76","2,346,663.78","6,524,918.70","35,061,500.15","546,446.41","7,669,327.74","9,966,484.35","42,303,286.23","1,200,642.77","3,114,484.02","7,098,589.17","57,037,107.22","1,293,544.42","3,353,340.94","5,206,205.41","35,497,805.63"
管理费用,"234,895,833.28","213,435,996.07","97,054,759.77","215,087,971.35","47,229,620.91","106,217,062.07","146,720,500.40","227,720,721.33","53,976,780.42","116,090,270.06","181,420,411.59","263,542,477.81","60,811,912.53","121,284,176.42","190,788,983.70","282,440,849.60","66,566,634.57","129,306,211.81","202,890,332.00","301,922,309.17","71,944,735.06","141,515,628.06","216,653,473.56","327,306,804.73","73,258,339.08","147,810,048.32","229,989,541.15","349,068,232.31","87,981,252.84","173,050,157.88","270,759,170.87","398,138,595.99","99,670,924.54","202,779,710.58","320,315,035.78","448,390,857.44"
其中:非流动资产处置净损失,"1,218,558.82","1,241,715.75","4,041.00","152,532.95","2,219.00","22,334.94","54,004.04","473,954.83",,"20,547.75","66,531.02","4,227,140.06",,"2,774.22","302,703.66","1,116,876.34","9,569.66","36,676.69","37,745.82",,"107,918.86","149,444.66","179,561.83","430,408.12","3,426.56","105,476.09","167,383.15","845,740.60","11,325.03","55,356.06","91,233.53","5,158,409.09","430,587.67","465,416.87","503,745.00",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-17,044,676.22","-11,849,623.29","-6,971,031.85","-13,348,210.33","-5,026,850.18","-10,970,144.24","-19,114,916.44","-25,853,814.15","-5,822,223.52","-27,165,751.28","-32,277,218.27","-52,876,085.87","-5,208,512.89","-29,533,534.31","-35,716,491.81","-39,309,189.86","-3,712,445.03","-28,745,171.25","-37,354,732.27","-43,028,922.12","-14,103,797.68","-30,485,791.31","-36,419,854.68","-64,837,778.53","-19,938,577.35","-24,179,732.20","-27,435,766.41","-69,564,903.97","-20,406,394.66","-39,468,927.19","-66,798,624.22","-83,475,654.49","-17,951,859.28","-55,454,270.80","-81,956,481.23","-147,065,050.51"
三、利润总额,"211,733,014.11","252,296,210.87","112,133,555.65","276,060,035.26","107,962,437.07","130,032,491.88","232,372,412.16","322,229,343.43","116,173,161.90","158,204,817.65","284,131,772.19","401,441,616.22","170,460,703.63","235,395,229.08","397,895,028.42","506,831,168.76","187,732,265.19","291,238,492.65","488,065,673.38","616,194,012.76","207,592,322.54","335,895,798.76","584,421,638.09","703,479,290.68","230,000,021.75","479,493,856.90","707,624,376.29","783,312,522.21","254,539,437.70","494,059,375.16","734,823,664.27","1,091,428,291.84","628,266,769.07","837,722,511.26","1,058,539,278.36","1,153,277,037.07"
资产减值损失,"8,629,389.53","11,608,164.14","15,580,746.11","21,000,390.22","27,923,061.23","6,736,352.95","51,085,857.62","17,257,764.78","34,383,392.48","18,357,134.75","38,745,312.51","470,210.50","42,238,523.67","34,810,831.36","51,345,894.20","7,597,550.65","38,065,357.57","50,759,700.02","52,851,507.03","11,562,280.24","32,070,720.92","10,141,689.71","55,515,788.66","10,418,795.47","43,986,268.86","19,028,749.52","67,629,430.65","10,964,134.87","42,552,747.65","11,132,612.87","61,652,667.86","14,851,964.58","49,817,655.59","30,550,224.34","96,394,975.71","49,460,824.60"
减:所得税,"33,772.67","18,124.33","-166,573.59","-105,608.37",840.73,"99,825.06","257,964.45","565,256.55","46,393.93","700,253.38","2,245,568.70","2,349,393.09","1,055,650.84","2,076,786.15","3,353,662.68","4,303,057.11","3,050,118.68","2,566,339.97","5,139,440.93","5,518,632.03","1,818,805.13","1,280,570.16","5,592,248.45","3,823,015.78","3,938,961.56","5,158,017.95","9,325,776.34","5,524,607.55","4,679,583.04","8,057,558.99","13,073,348.63","15,948,585.22","3,103,103.53","5,731,605.50","12,364,166.49","19,055,192.90"
加:公允价值变动净收益,"4,052,812.60","-1,313,953.34","714,114.63","-5,019,433.63","-531,414.61","-1,830,665.94","-576,137.61","-920,246.12","-354,844.23","-761,017.24","-2,181,694.20","-2,003,698.87","250,707.70","826,340.54","591,068.28","1,068,496.51","481,686.29","67,116.84","690,285.67","33,965.09","361,516.63","2,609,313.46","6,566,712.74","265,774.19","-24,860.60","-19,969.31","-70,860.44","-33,306.94","-9,372.53","-107,509.64","-115,772.86","-109,356.76","20,624.78","20,653.23","-3,988.80","18,994.99"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"39,132,148.48","10,241,206.31","1,177,901.12","10,354,821.70","324,221.08","1,958,040.55","2,166,410.38","2,327,087.00","10,651.86","58,718.48","179,535.16","13,808,305.76","9,030,870.47","14,317,068.06","20,155,684.94","76,731,393.52","16,050,561.30","26,198,637.10","62,679,757.03","101,645,447.63","3,325,838.63","27,118,681.46","102,952,437.69","132,146,508.53","5,154,670.93","149,939,001.40","179,982,344.09","215,430,342.47","19,760,844.21","93,888,450.57","106,291,320.29","113,021,191.05","8,235,186.39","59,329,146.60","66,677,142.29","130,196,520.74"
四、净利润,"211,699,241.44","252,278,086.54","112,300,129.24","276,165,643.63","107,961,596.34","129,932,666.82","232,114,447.71","321,664,086.88","116,126,767.97","157,504,564.27","281,886,203.49","399,092,223.13","169,405,052.79","233,318,442.93","394,541,365.74","502,528,111.65","184,682,146.51","288,672,152.68","482,926,232.45","610,675,380.73","205,773,517.41","334,615,228.60","578,829,389.64","699,656,274.90","226,061,060.19","474,335,838.95","698,298,599.95","777,787,914.66","249,859,854.66","486,001,816.17","721,750,315.64","1,075,479,706.62","625,163,665.54","831,990,905.76","1,046,175,111.87","1,134,221,844.17"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,952,758.92"
归属于母公司所有者的净利润,"211,698,657.84","252,278,086.54","112,668,755.12","276,470,319.40","107,960,797.64","129,837,114.43","231,867,572.41","321,057,629.29","115,970,361.03","156,581,022.53","280,179,602.84","396,600,594.56","168,047,844.25","230,716,177.57","390,260,192.94","498,832,090.24","180,599,828.50","285,421,611.90","476,781,813.60","605,705,242.42","203,651,147.62","332,705,886.89","571,938,827.82","694,234,276.59","222,003,470.31","469,286,376.12","687,857,740.32","772,766,161.32","245,140,803.36","480,058,632.57","713,414,786.14","1,058,671,100.50","625,056,016.63","829,780,680.45","1,036,806,653.58","1,116,677,087.29"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,583.60,,"-368,625.88","-304,675.77",798.70,"95,552.39","246,875.30","606,457.59","156,406.94","923,541.74","1,706,600.65","2,491,628.57","1,357,208.54","2,602,265.36","4,281,172.80","3,696,021.41","4,082,318.01","3,250,540.78","6,144,418.85","4,970,138.31","2,122,369.79","1,909,341.71","6,890,561.82","5,421,998.31","4,057,589.88","5,049,462.83","10,440,859.63","5,021,753.34","4,719,051.30","5,943,183.60","8,335,529.50","16,808,606.12","107,648.91","2,210,225.31","9,368,458.29","17,544,756.88"
