科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"9,502,499,530.41","12,856,062,092.92","14,250,447,313.90","4,322,969,347.36","8,048,862,602.29","12,315,593,943.32","17,140,014,600.48","3,462,862,619.26","6,429,490,913.58","10,303,159,064.86","15,473,415,533.25","4,529,180,913.94","8,855,468,887.41","13,568,481,445.47","21,459,285,563.10","6,809,446,861.43"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"48,259,285.25","48,259,285.25","237,326,119.04",,"1,100,000,000.00","1,100,000,000.00","1,100,000,000.00",
收到的税费返还,"759,081,346.85","607,549,420.75","696,902,406.83","422,532,391.25","540,735,359.40","1,042,324,822.27","1,354,394,742.47","257,380,450.55","475,882,248.33","956,101,276.13","1,268,372,450.83","482,807,319.99","1,044,441,774.90","1,571,704,179.13","2,171,533,086.29","559,144,505.12"
支付其他与投资活动有关的现金,"19,207,054.67",,"421,615.49",,,,"10,349,633.69","1,788,000.00","15,848,000.00","115,120,452.52","19,448,000.00",,,,"92,472,663.50","31,458,403.92"
收到其他与经营活动有关的现金,"43,518,685.00","70,755,032.65","245,598,008.43","75,047,462.60","170,438,470.20","193,687,952.17","368,258,187.80","317,121,431.71","442,217,242.27","562,531,489.78","605,528,820.31","123,296,213.88","186,760,774.48","329,017,349.30","521,229,515.45","154,174,219.86"
投资活动现金流出小计,"2,294,758,536.45","2,375,483,150.92","5,293,052,835.66","1,125,497,945.63","1,779,975,814.53","2,275,768,159.54","3,367,815,033.80","607,143,017.11","1,537,519,795.35","2,278,438,569.17","3,482,364,572.15","2,666,731,420.21","4,037,715,241.59","5,482,512,479.33","7,254,033,355.65","1,874,473,704.25"
经营活动现金流入小计,"10,305,099,562.26","13,534,366,546.32","15,192,947,729.16","4,820,549,201.21","8,760,036,431.89","13,551,606,717.76","18,862,667,530.75","4,037,364,501.52","7,347,590,404.18","11,821,791,830.77","17,347,316,804.39","5,135,284,447.81","10,086,671,436.79","15,469,202,973.90","24,152,048,164.84","7,522,765,586.41"
投资活动产生的现金流量净额,"-2,288,027,390.13","-2,341,726,364.93","-5,292,762,778.66","-1,125,497,945.63","-1,779,967,294.53","-2,235,437,568.46","-3,346,142,957.98","-599,814,792.62","-1,501,751,249.10","-2,224,485,217.94","-3,277,643,451.76","-2,665,862,873.21","-4,034,682,394.59","-5,443,355,078.88","-7,223,137,068.46","-1,862,403,923.13"
购买商品、接受劳务支付的现金,"5,519,270,145.64","6,013,645,053.08","6,921,048,891.13","2,968,381,507.96","4,969,619,107.44","7,421,843,777.76","8,814,879,033.50","2,242,513,097.29","4,057,711,893.05","6,189,218,195.54","6,997,281,855.94","2,379,563,886.99","5,052,406,071.65","8,254,796,309.76","11,417,825,523.65","3,997,015,842.37"
吸收投资收到的现金,"29,800,000.00",,,"1,513,762,756.00","1,513,762,756.00","1,513,762,756.00","1,513,762,756.00",,"3,112,559,968.72","3,112,559,968.72","3,112,559,968.72","1,379,860.00","1,379,860.00","1,389,217.13","184,445,095.00",
支付给职工以及为职工支付的现金,"2,393,914,734.27","2,890,728,583.68","4,270,970,567.51","1,069,710,392.15","2,339,916,534.81","3,626,083,775.23","4,913,660,520.53","989,108,262.07","2,160,326,679.63","3,446,587,590.28","5,064,709,667.83","1,208,918,492.69","2,729,387,199.36","4,338,995,254.53","6,410,948,233.83","1,580,515,917.75"
取得借款收到的现金,"12,781,294,769.66","10,720,670,827.70","15,020,924,139.89","3,288,670,416.72","5,645,342,090.47","7,696,658,772.70","11,078,123,147.93","1,859,756,157.57","3,678,825,373.51","5,168,204,734.72","6,841,802,473.88","4,051,070,412.48","5,862,680,220.32","8,070,288,980.79","9,914,407,068.79","1,349,124,572.61"
支付的各项税费,"389,244,299.93","563,283,794.66","525,538,463.19","173,134,614.26","305,868,192.06","350,138,549.19","530,185,506.71","203,703,448.04","381,867,656.03","407,986,039.56","649,370,929.26","142,289,740.44","182,352,000.10","225,368,019.93","308,791,716.64","354,858,382.01"
收到其他与筹资活动有关的现金,"196,325,965.41","306,670,000.00","124,036,747.00","12,543,357.03","18,018,657.03","18,018,657.03","19,927,264.99","10,732,500.00","4,475,000.00","4,475,000.00","23,200,784.60","8,050,000.00","1,050,000.00","1,050,000.00","5,150,000.00","3,238,961.76"
