科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"69,531,166.74","160,231,263.86","209,473,957.43","87,608,937.64","163,635,782.38","252,428,645.06","339,120,844.12","102,868,778.18","211,372,760.49","342,044,672.74","449,053,363.68","103,993,390.17","250,006,351.37","398,948,753.03","544,923,196.27","128,757,525.60","315,857,103.18","488,402,554.42","645,500,737.10","181,083,385.26","344,271,467.86","564,570,753.10","795,841,252.69","233,954,156.20","493,077,269.06","762,640,451.98"
二、营业利润,"23,620,814.77","58,517,129.38","99,322,870.33","37,851,364.79","70,447,045.56","101,782,407.18","139,638,994.21","44,980,275.31","80,032,512.48","129,362,437.26","169,297,692.21","32,683,124.65","91,618,050.51","148,311,712.64","198,031,510.24","38,422,940.43","87,581,073.91","126,091,890.43","138,026,949.22","26,460,508.35","35,754,832.73","86,022,160.49","73,152,123.68","54,401,167.11","112,075,164.92","247,310,510.06"
减:营业成本,"22,793,122.23","57,588,997.65","62,672,397.46","28,253,329.09","51,083,666.58","76,719,633.06","100,644,045.51","31,790,302.03","70,614,069.18","116,102,605.80","147,313,718.49","36,413,675.32","86,277,032.02","128,851,309.66","169,454,032.31","42,012,231.91","110,280,673.27","168,475,873.30","220,989,338.15","75,253,121.78","135,491,513.79","207,979,692.93","285,895,396.42","76,432,937.40","168,762,377.41","256,914,386.40"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"942,007.89","1,810,114.47","2,281,102.48","821,334.71","1,598,949.79","2,512,429.86","3,977,256.52","1,126,603.78","2,123,158.19","3,224,756.77","5,015,292.42","1,120,198.06","2,662,680.55","4,242,139.29","7,344,812.23","1,893,067.49","3,771,744.17","5,481,261.39","8,500,108.61","2,569,738.51","4,361,977.69","7,419,482.51","13,469,197.03","3,230,969.00","6,601,110.91","10,438,007.35"
营业外收入,"5,155,438.97","4,700,696.30","3,622,034.20","820,249.40","1,087,454.89","8,925,104.31","10,523,239.16","1,678,904.47","2,452,270.92","12,657,874.30","21,684,883.12","2,756,174.80","4,041,707.69","21,477,201.75","32,279,351.79","876,705.54","2,257,731.99","18,557,997.26","25,114,239.92","22,017,728.65","26,253,671.08","46,790,355.00","63,991,135.26","690,303.21","4,949,129.88","5,914,392.03"
销售费用,"13,660,802.70","31,413,557.82","34,541,868.62","17,321,856.95","34,343,562.09","56,999,892.98","89,333,964.96","21,639,520.57","51,845,420.20","79,387,465.77","110,251,513.48","25,586,056.52","57,642,964.19","94,247,477.73","131,378,398.57","36,691,236.73","86,119,615.09","144,179,287.57","219,704,665.34","43,846,066.47","98,835,626.67","160,932,477.10","246,908,957.29","58,765,688.92","125,451,947.37","195,057,502.32"
减:营业外支出,"16,214.09","30,000.00","29,567.06",,"826,840.20","971,477.20","493,500.58","3,191.24","9,864.24","54,567.91","188,395.91","30,000.00","35,000.00","35,000.00","113,522.00","213,420.40","213,420.40","280,616.40","1,458,134.53","4,887.50","382,604.71","755,051.57","822,797.44","105,387.46","195,108.67","360,190.95"
管理费用,"8,699,003.18","12,003,523.48","14,155,849.37","5,419,031.56","9,645,813.16","19,182,522.29","28,018,699.45","8,030,715.74","15,217,195.46","26,876,754.90","39,677,912.12","13,196,662.71","24,945,543.48","39,939,892.67","60,729,078.31","14,913,842.00","38,103,200.33","61,665,662.69","82,585,741.07","22,891,656.05","53,487,452.07","71,424,569.39","94,633,858.93","22,819,563.12","56,780,300.38","86,327,899.17"
其中:非流动资产处置净损失,,,,,,,"312,586.67",,,,,,,,,,,,,,,,"379,032.25",,,
