科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"159,393,290.75","194,847,739.06","303,928,851.48","277,082,381.34","468,210,579.10","674,603,994.31","208,255,117.88","500,680,260.00","789,887,920.75","1,054,026,834.36","213,819,647.39","528,313,222.70","860,950,935.91","1,193,186,614.10","286,905,779.71","701,498,562.38","1,162,662,020.98","1,725,868,253.80","440,863,454.03","1,039,649,517.77","1,593,502,411.42","2,242,550,146.06","454,845,718.65","1,111,789,948.76","1,871,274,514.41","2,770,529,879.66","567,698,658.10","1,464,766,513.04","2,453,239,756.26","3,660,045,212.97","781,883,580.96","1,937,009,821.32","3,129,624,425.70","4,777,295,690.69","975,254,510.43"
二、营业利润,"47,376,688.22","50,328,213.39","93,969,843.03","93,282,892.62","158,008,266.00","219,219,411.18","76,137,600.80","191,701,947.45","291,944,068.88","352,220,911.40","48,455,230.34","134,208,840.49","234,430,706.61","311,065,754.35","81,437,638.16","215,367,062.29","358,197,802.95","513,971,050.27","100,160,989.39","273,901,720.67","423,850,271.29","616,774,639.22","110,460,130.18","296,478,789.40","520,639,623.75","724,819,911.63","108,012,134.13","339,754,675.71","603,847,410.14","832,089,034.51","105,257,889.80","470,786,481.32","776,624,976.71","1,184,633,769.62","217,067,244.83"
减:营业成本,"80,833,024.21","99,061,131.28","144,744,678.98","134,043,860.58","226,460,257.89","316,693,726.50","92,961,242.87","223,806,951.41","351,104,354.88","469,104,938.72","104,592,579.09","257,196,099.68","417,994,103.71","570,395,184.31","133,253,414.86","322,113,984.94","535,800,039.21","813,887,497.50","216,217,255.40","516,042,919.06","788,776,165.36","1,116,024,634.19","231,884,880.62","561,520,186.76","934,350,358.87","1,427,690,944.49","292,177,649.81","745,482,268.51","1,256,938,678.87","1,899,005,726.80","417,769,859.34","1,050,210,865.86","1,712,751,545.66","2,621,932,122.34","531,117,978.06"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"519,545.19","718,180.68","1,167,147.88","946,881.40","1,737,075.15","3,010,386.09","1,939,131.35","4,709,275.69","8,870,453.31","11,443,067.01","1,892,629.58","5,498,084.13","8,535,762.00","11,411,518.92","1,997,689.68","6,045,784.94","9,973,844.54","15,462,051.62","3,737,207.83","8,685,303.00","13,578,379.37","20,084,051.26","4,309,416.47","10,626,625.32","18,369,483.66","27,106,809.89","5,250,291.17","12,858,295.04","21,353,287.69","37,279,047.95","8,560,200.41","19,574,070.15","32,242,466.48","45,918,724.93","9,196,873.02"
营业外收入,"8,999,385.46","9,292,290.71","20,463,197.15","8,599,174.68","15,647,408.14","31,014,233.28","9,816,213.11","18,945,368.72","20,824,467.77","61,812,006.36","18,702,399.44","36,851,633.51","52,722,160.81","58,066,189.29","8,315,127.62","46,346,995.72","118,413,065.47","154,735,998.46","40,527,731.12","74,072,599.81","113,747,008.21","158,953,993.93","37,699,707.52","73,211,357.46","121,373,620.09","181,511,490.83","55,161,366.39","92,740,753.35","157,826,719.02","212,882,898.93","93,702,915.32","25,573,502.13","46,772,098.81","19,732,241.12","3,430,419.63"
销售费用,"14,488,532.65","18,512,875.47","21,995,413.46","17,924,670.09","35,801,301.85","69,997,890.27","19,456,375.99","43,087,615.47","65,236,387.89","105,319,431.72","24,729,868.75","57,125,463.87","89,194,669.20","144,804,233.92","34,496,158.53","76,545,217.10","122,467,426.09","187,016,104.95","50,794,452.31","94,740,494.46","147,240,552.67","206,945,933.44","43,529,001.17","92,863,586.78","152,826,286.60","226,214,263.44","59,929,083.45","129,831,539.71","204,700,532.41","306,240,767.77","84,020,180.96","182,443,305.46","271,591,096.70","441,161,066.14","89,813,623.61"
减:营业外支出,"49,309.43","535,832.30","56,814.45","32,858.15","44,248.32","52,574.39","24,706.22","31,967.30","937,422.85","1,066,659.40","411,431.04","634,908.28","669,657.90","1,774,708.30","32,256.59","828,543.03","1,242,919.00","1,258,542.06","225,956.21","243,898.56","334,313.24","333,231.95","249,378.84","279,307.38","892,088.43","920,209.46","97,431.69","391,168.26","1,106,566.41","1,325,869.78","97,226.45","317,740.11","1,160,409.80","2,114,431.06","1,821,569.86"
管理费用,"17,145,932.64","26,949,457.09","41,797,350.86","29,403,638.92","45,792,322.39","78,412,651.19","29,316,048.05","56,334,531.49","102,952,855.07","158,920,198.75","48,192,038.84","97,137,867.78","148,232,281.74","208,581,543.91","51,433,390.22","108,771,145.80","179,711,753.57","250,380,734.33","83,415,858.35","166,808,570.97","255,014,797.42","343,427,542.70","83,406,021.98","180,935,148.83","290,074,395.51","408,076,925.30","115,394,611.75","251,160,553.86","401,761,994.51","584,317,497.61","184,294,384.31","395,659,977.69","587,125,360.82","847,175,191.88","220,379,209.71"
其中:非流动资产处置净损失,"15,920.06","35,186.89","42,264.74","9,452.92","9,271.38","18,199.32","6,218.55","13,479.63","93,935.18","119,626.57","1,109.61","115,041.77","64,211.39","284,412.55","28,014.52","73,436.96","116,422.13","132,002.22","17,840.30","34,924.20","115,338.88","113,063.88","13,804.51","43,570.89","89,008.49","105,892.50","42,180.08","332,332.44","353,246.39","363,212.19","22,551.79","242,054.91","452,596.74",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-329,608.48","-898,053.67","-1,382,230.70","-390,537.61","-902,260.03","-13,536,404.88","-11,555,281.18","-22,997,011.24","-34,023,219.48","-47,221,002.96","-14,042,699.21","-28,131,613.23","-42,715,067.33","-58,680,499.49","-15,712,511.74","-32,705,857.90","-48,850,070.59","-66,766,344.87","-13,462,309.25","-30,779,444.72","-44,984,057.89","-69,157,945.49","-11,631,555.23","-22,487,163.27","-31,132,727.27","-44,966,855.23","-4,661,322.24","-9,858,273.80","-12,390,231.88","-8,445,544.77","-10,028,428.76","-12,411,836.28","-13,299,454.50","-26,045,143.41","-18,122,012.92"
三、利润总额,"56,326,764.25","59,084,671.80","114,376,225.73","101,849,209.15","173,611,425.82","250,181,070.07","85,929,107.69","210,615,348.87","311,831,113.80","412,966,258.36","66,746,198.74","170,425,565.72","286,483,209.52","367,357,235.34","89,720,509.19","260,885,514.98","475,367,949.42","667,448,506.67","140,462,764.30","347,730,421.92","537,262,966.26","775,395,401.20","147,910,458.86","369,410,839.48","641,121,155.41","905,411,193.00","163,076,068.83","432,104,260.80","760,567,562.75","1,043,646,063.66","198,863,578.67","496,042,243.34","822,236,665.72","1,202,251,579.68","218,676,094.60"
资产减值损失,"559,591.58","605,893.90","1,636,647.97","1,870,975.34","1,313,615.85","1,193,100.92",,"4,036,949.73","4,036,949.73","4,239,289.72",,"5,278,479.98","5,278,479.98","5,608,878.18",,"5,361,225.21","5,361,225.21","11,917,160.00",,"10,957,921.65","10,945,475.65","11,265,419.51",,"6,451,909.05","6,451,909.05","28,070,544.62",,"11,915,036.70","7,415,036.70","39,620,931.80","-1,549.50","6,590,372.37","3,568,058.37","57,456,741.25","-32,267.70"
