科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"210,491,490.69","167,532,714.55","149,131,009.90","18,335,594.49","41,202,672.43","56,984,086.45","124,493,675.79","7,517,319.99","42,352,622.14","83,399,911.72","135,754,624.79","19,188,542.72","39,095,129.77","68,492,881.12","118,695,727.41"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,481,221.50","6,543,640.76","17,239,358.81","7,439,603.80","7,689,416.87","12,423,034.22","18,318,439.90","4,854,823.09","5,502,223.19","15,597,822.15","15,995,168.88","2,189,088.07","8,493,602.43","8,846,599.54","10,116,442.78"
投资活动现金流出小计,"109,457,565.50","65,519,167.07","64,183,059.94","6,813,152.06","18,717,616.26","38,024,939.39","49,491,601.50","8,273,900.86","16,331,802.32","26,336,127.22","32,527,131.23","7,203,076.22","16,595,974.38","23,291,142.86","24,465,800.05"
经营活动现金流入小计,"211,972,712.19","174,076,355.31","166,370,368.71","25,775,198.29","48,892,089.30","69,407,120.67","142,812,115.69","12,372,143.08","47,854,845.33","98,997,733.87","151,749,793.67","21,377,630.79","47,588,732.20","77,339,480.66","128,812,170.19"
投资活动产生的现金流量净额,"-109,457,565.50","-65,474,517.07","-64,163,059.94","-6,813,152.06","-18,717,616.26","-38,024,939.39","-49,219,156.84","-8,273,900.86","-16,331,802.32","-26,336,127.22","-32,527,131.23","-7,203,076.22","-16,507,770.49","-23,202,938.97","-24,244,211.28"
购买商品、接受劳务支付的现金,"115,252,402.72","66,390,695.21","76,079,321.51","22,669,475.94","36,750,010.44","56,392,217.79","86,106,004.71","27,028,988.01","47,614,208.62","73,739,204.41","116,080,442.46","21,042,123.72","50,367,985.04","67,808,975.69","106,934,309.77"
吸收投资收到的现金,,,,,"162,033,700.00","162,033,700.00","171,306,000.00",,,,,,,,
