科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"124,976,218.98","133,413,684.88","210,955,589.12","130,369,082.58","703,109,046.68","303,982,969.99","498,381,453.90","379,857,001.12","225,921,825.42","150,697,174.86"
短期借款,"45,000,000.00","80,000,000.00","109,700,000.00","109,700,000.00","50,000,000.00","10,000,000.00",,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"19,682,708.99","5,229,904.26","4,842,800.00","4,880,000.00","4,500,000.00","2,251,000.00","8,997,000.00","6,500,000.00","8,395,300.00","4,684,575.31"
应付票据,"7,100,000.00","14,100,000.00","33,334,000.00","23,973,500.00","19,620,000.00","10,120,000.00","60,113,900.00","37,190,000.00","28,722,211.00","26,694,150.00"
应收账款,"41,496,058.18","50,663,894.02","54,660,222.25","94,576,029.15","148,175,608.17","150,209,277.37","104,277,685.02","129,902,761.64","150,340,517.12","152,275,227.22"
应付账款,"30,614,397.63","14,329,517.55","51,639,766.33","71,637,076.50","96,214,185.80","72,463,575.28","60,127,876.71","75,754,850.79","68,703,357.49","68,153,494.32"
预付款项,"17,050,384.80","5,835,866.28","9,392,458.66","6,909,934.81","7,210,098.40","35,135,295.27","59,801,439.74","47,106,860.97","41,093,268.19","7,445,738.63"
预收款项,"20,671,164.42","3,550,661.44","516,054.05","802,400.00","67,400.00","585,900.00","32,399,611.12","382,497.50","76,000.00","221,650.00"
其他应收款,"517,181.55","624,335.16","3,491,985.94","1,085,365.65","4,464,684.49","5,077,649.85","1,040,702.87","10,699,262.22","1,937,617.50","2,378,850.73"
应付职工薪酬,"13,420,976.90","4,123,234.62","6,042,174.66","5,802,540.09","8,934,783.78","13,244,356.14","9,846,178.82","3,588,887.16","9,005,903.63","12,766,170.61"
应收关联公司款,,,,,,,,,,
应交税费,"-6,275,347.81","5,131,200.78","19,920,276.97","3,380,953.74","9,712,048.93","-6,033,651.11","37,865,743.27","2,478,287.94","1,806,091.27","598,828.65"
应收利息,,,,,,,"2,456,986.30","3,931,986.30","6,241,301.37","2,458,356.16"
应付利息,,,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"78,808,965.20","138,132,431.37","191,658,359.02","227,849,515.65","218,004,267.59","246,941,594.71","251,582,713.54","281,946,716.42","280,376,066.93","353,476,298.72"
其他应付款,"487,000.00","1,202,000.00","177,732.00","350,500.00","55,204.27","53,213.33","1,063,845.00","1,162,000.00","603,667.30","2,562,525.31"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,"3,100,000.00","3,100,000.00","3,100,000.00",,,,,
其他流动资产,"2,149,210.89","217,410.28","307,874.84","288,252.37","95,556.36","250,444,732.85","250,567,683.08","251,058,103.81","352,314,355.13","368,746,368.11"
其他流动负债,,"360,000.00","160,000.00","120,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00","160,000.00"
流动资产合计,"284,680,728.59","334,117,526.25","475,309,289.83","465,958,180.21","1,085,559,261.69","994,042,520.04","1,177,105,664.45","1,111,002,692.48","1,066,620,251.66","1,042,162,589.74"
流动负债合计,"111,018,191.14","122,796,614.39","224,590,004.01","218,866,970.33","187,863,622.78","100,593,393.64","201,577,154.92","120,716,523.39","109,077,230.69","111,156,818.89"
可供出售金融资产,,,,,,,,,,
长期借款,,,"6,200,000.00","5,466,960.46","4,732,578.58",,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,,,,,,,,,,
固定资产,"10,414,268.13","62,693,131.55","86,952,576.45","85,560,456.14","83,881,231.61","83,764,209.65","87,228,602.76","85,385,274.61","84,336,428.75","134,469,521.22"
递延所得税负债,,,,,,,,,,
在建工程,"26,427,040.14","11,149,014.12","34,723,677.01","59,957,617.94","70,950,256.26","71,071,397.60","88,161,249.52","91,214,942.52","91,914,942.52","41,128,052.33"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"800,000.00","480,000.00","6,520,000.00","5,786,960.46","4,972,578.58","200,000.00","7,350,000.00","6,250,000.00","2,410,000.00","40,000.00"
固定资产清理,,,,,,,,,,
负债合计,"111,818,191.14","123,276,614.39","231,110,004.01","224,653,930.79","192,836,201.36","100,793,393.64","208,927,154.92","126,966,523.39","111,487,230.69","111,196,818.89"
生产性生物资产,,,,,,,,,,
