科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"113,370,288.64","60,186,026.93","82,093,556.21","50,715,727.32","34,398,318.38","45,316,771.06","114,354,656.94","124,518,012.11","30,016,757.97","65,086,021.01","57,460,406.50","47,831,030.79","27,993,667.84","66,838,011.56","54,258,638.39","86,489,305.78","59,698,615.42","87,930,106.94","89,066,996.38","119,262,032.01","78,892,710.24","67,562,694.44","57,956,835.08"
短期借款,"75,437,790.37","50,000,000.00","128,000,000.00","138,000,000.00","145,000,000.00","145,000,000.00",,"29,153,684.70","20,000,000.00","29,801,551.26","13,000,000.00","45,000,000.00","91,978,466.23","112,178,466.23","108,575,637.12","105,000,000.00","96,000,000.00","107,731,593.00","72,731,593.00","50,000,000.00","10,069,492.36","47,644,925.90","30,002,585.90"
交易性金融资产,,"474,601.59",,,,,"20,000,000.00",,"20,000,000.00",,,,,,,,,,,,"369,000.00","596,000.00",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"26,116.17","2,023,437.46","5,506,711.23","3,750,194.20","3,003,124.72","2,360,074.56",,"3,529,634.90","2,174,258.80","3,071,684.40","2,446,329.30","564,913.20","1,150,560.00","1,688,432.61","2,134,437.80","2,085,023.13",,"887,057.00",,"1,220,508.04","1,355,386.36",,"992,553.03"
应付票据,,"3,000,000.00","3,000,000.00",,,,"20,000,000.00","31,204,900.00","11,171,023.54","36,177,843.90","54,401,302.14","86,390,015.97","92,711,796.19","91,435,609.11","82,994,393.26","116,773,703.05","102,269,997.08","91,044,758.53","111,631,307.50","182,206,752.93","210,784,919.26","152,566,074.79","144,427,611.12"
应收账款,"66,606,981.92","61,049,587.52","61,415,001.84","94,487,603.11","94,154,278.00","83,387,050.68","94,948,664.79","105,763,711.54","94,643,190.86","106,974,665.73","124,375,764.57","155,757,565.11","167,620,479.19","137,372,672.59","186,308,569.59","173,039,241.72","156,920,264.80","117,582,211.07","152,135,272.59","154,307,225.22","127,616,024.25","128,818,725.11","156,645,815.66"
应付账款,"91,415,959.15","82,218,548.59","75,062,825.76","90,804,743.20","71,727,428.44","93,670,776.51","76,777,214.70","63,218,726.21","71,400,601.87","100,217,936.88","127,983,413.06","139,155,992.02","70,229,454.89","96,269,886.78","132,020,302.15","137,473,814.21","99,706,043.45","144,778,419.83","226,440,972.51","207,264,307.75","110,534,608.74","140,363,245.74","176,000,490.40"
预付款项,"16,592,616.35","25,467,595.85","6,379,475.18","2,745,658.54","4,170,431.94","814,856.21","1,174,670.80","2,762,441.00","1,765,961.48","2,702,905.09","1,525,195.67","58,256,706.38","75,312,398.55","1,178,342.90","7,916,758.74","8,102,023.36","2,519,968.88","1,092,545.39","1,220,336.10","818,911.37","1,356,632.80","1,237,727.41","1,257,832.15"
预收款项,"3,936,845.72","3,740,725.94","5,055,894.40","4,551,713.98","2,452,842.84","2,303,637.92","4,463,940.65","3,800,802.23","3,051,577.92","5,293,198.95","9,940,992.69","29,592,523.36","38,758,568.86","3,509,938.05","9,562,559.57","11,230,856.12","10,945,951.52","38,509,740.53","20,528,597.96","16,202,478.68","12,146,211.29","24,409,574.63","45,965,052.35"
其他应收款,"8,345,208.04","6,298,791.41","11,455,509.40","12,245,206.55","10,974,635.05","10,477,940.20","3,852,785.08","10,867,392.37","7,652,895.58","6,606,138.00","8,905,513.10","7,674,561.44","1,829,918.41","39,378,591.76","27,441,459.45","18,912,542.14","6,453,565.62","7,106,439.03","7,870,432.39","10,022,660.29","8,039,877.36","6,394,679.21","8,076,922.08"
应付职工薪酬,"4,151,370.96","3,124,539.17","3,619,367.46","3,509,401.70","2,702,172.38","3,908,360.02","3,687,682.85","3,029,166.72","2,849,657.13","4,206,742.33","5,435,810.80","3,959,080.76","3,251,103.69","5,349,280.92","7,627,476.69","8,804,939.60","8,350,125.10","14,158,483.42","11,961,979.34","8,868,391.71","8,362,891.20","12,076,830.99","8,622,244.96"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-3,179,717.80","-5,805,991.92","-8,997,193.52","-7,979,722.90","-5,985,886.65","-5,104,039.48","-5,037,208.67","-572,840.17","-4,230,341.16","414,334.68","1,650,647.99","5,518,986.25","1,248,329.25","803,590.60","572,345.86","1,162,758.81","1,257,023.57","327,760.61","1,275,493.73","2,210,563.66","2,997,676.99","446,790.44","1,382,370.04"
应收利息,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,"36,250.00",,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,61.72,61.72,,,,,,
存货,"61,212,393.70","63,596,672.32","80,610,479.40","87,983,328.27","84,264,877.77","98,050,880.73","112,663,871.75","81,735,597.78","77,173,078.90","100,222,343.76","127,679,565.60","136,503,593.23","123,068,903.48","146,616,481.67","149,358,986.39","167,593,838.73","151,795,763.47","230,050,322.64","244,487,212.49","240,341,539.17","200,207,374.34","232,971,986.47","229,142,292.48"
其他应付款,"125,412.50","573,145.14","667,200.00","492,200.00","550,312.74","320,015.00","4,937,015.00","372,759.00","340,595.00","299,595.00","422,195.00","352,652.96","287,075.00","8,651,462.96","2,569,077.37","919,379.17","217,070.50","3,614,539.31","4,277,409.24","4,220,717.24","2,297,588.24","4,440,254.88","2,619,765.13"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,"4,835,533.15","3,424,945.09","7,904,584.42","4,814,917.99","5,897,004.78","9,435,239.03","7,080,224.63","4,911,955.96","5,105,755.92","4,607,586.85","2,948,295.70","4,737,364.96","5,764,497.74","7,705,624.99"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"266,153,604.82","219,096,713.08","247,460,733.26","251,927,717.99","230,965,665.86","240,407,573.44","346,994,649.36","329,176,789.70","233,426,143.59","289,499,291.14","325,817,719.83","414,492,954.57","401,790,845.46","398,969,537.87","436,854,089.39","463,302,199.49","382,300,134.15","449,754,437.99","499,387,836.80","528,921,171.80","422,574,370.31","443,346,310.38","461,777,875.47"
流动负债合计,"171,887,660.90","136,850,966.92","206,408,094.10","229,378,335.98","216,446,869.75","240,098,749.97","104,828,644.53","130,207,198.69","104,583,114.30","176,411,203.00","212,834,361.68","309,969,251.32","298,464,794.11","318,234,484.65","343,921,792.02","381,365,512.68","318,746,272.94","400,165,295.23","448,847,353.28","470,973,211.97","357,193,388.08","381,947,697.37","409,020,119.90"
可供出售金融资产,,,,,,,,,,,,,,,,"2,688,524.47","2,688,524.47",,,,,,
长期借款,,,,,,,,,,,,,,,"12,332,183.64","11,319,015.96","10,291,949.13",,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,"60,000,000.00","59,347,681.67","60,246,571.01","61,012,673.15","62,672,505.79","64,478,804.13","65,753,213.02","67,173,632.78","67,983,300.47","68,746,657.36","69,189,711.63","69,920,141.81","74,835,616.23","75,256,007.69","75,858,966.28"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"45,884,439.64","49,329,307.56","92,795,965.16","190,794,423.81","192,348,091.14","269,980,507.23","269,438,385.66","261,586,843.55","259,581,188.28","324,789,130.38","328,409,482.52","329,872,958.77","332,192,655.45","357,572,417.96","355,444,029.86","355,614,242.81","357,695,801.73","456,056,217.82","453,351,379.41","455,664,991.86","452,368,361.79","447,763,811.51","442,371,412.26"
递延所得税负债,,"71,190.24",,,,,,,,,,,,,,,,,,,,,
在建工程,"479,026.69","51,033,450.58","123,486,988.39","65,619,331.85","83,885,389.83","26,908,954.34","59,409,645.41","92,330,733.06","112,846,606.75","71,713,460.23","78,175,698.43","82,015,256.71","91,126,406.51","85,369,051.23","105,781,736.61","97,554,660.72","106,047,304.42","14,150,928.75","17,496,834.21","17,318,995.70","17,130,206.36","16,824,654.70","17,642,595.86"
其他非流动负债,,,"11,400,000.00","11,213,825.00","10,990,250.00","10,723,375.00","10,467,325.00","10,211,275.00","9,945,575.00",,"9,375,575.00",,,,,,"7,665,575.00",,,,,,
工程物资,"253,382.29","417,156.75","396,162.89","143,612.02","8,698.96","1,060,536.96","894,017.56","1,232,770.71","1,493,983.50","1,836,124.45","1,611,746.84","2,224,240.19","1,886,340.78","1,647,199.98","1,675,014.52","1,088,734.82","1,053,248.85","1,288,049.03","1,425,948.28","1,566,393.98","1,205,810.59","1,974,696.33","1,706,931.51"
非流动负债合计,,"71,190.24","11,400,000.00","11,213,825.00","10,990,250.00","10,723,375.00","10,467,325.00","10,211,275.00","9,945,575.00","9,660,575.00","9,375,575.00","9,090,575.00","8,805,575.00","8,520,575.00","20,567,758.64","19,269,590.96","17,957,524.13","7,380,575.00","7,095,575.00","6,810,575.00","6,525,575.00","6,240,575.00","5,955,575.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"171,887,660.90","136,922,157.16","217,808,094.10","240,592,160.98","227,437,119.75","250,822,124.97","115,295,969.53","140,418,473.69","114,528,689.30","186,071,778.00","222,209,936.68","319,059,826.32","307,270,369.11","326,755,059.65","364,489,550.66","400,635,103.64","336,703,797.07","407,545,870.23","455,942,928.28","477,783,786.97","363,718,963.08","388,188,272.37","414,975,694.90"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","93,350,000.00","93,350,000.00","93,350,000.00","93,350,000.00","93,350,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00","186,700,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"27,370,949.60","27,370,949.60","27,370,949.60","27,370,949.60","27,370,949.60","27,370,949.60","270,384,119.52","270,384,119.52","270,384,119.52","270,384,119.52","270,384,119.52","223,709,119.52","223,709,119.52","223,709,119.52","223,709,119.52","223,709,119.52","223,709,119.52","223,709,119.52","223,709,119.52","223,709,119.52","228,351,354.79","228,351,354.79","228,351,354.79"
无形资产,"51,190,721.76","64,683,950.73","63,303,191.28","62,792,528.82","62,425,808.70","62,395,270.93","62,020,003.81","58,603,081.27","58,892,290.18","58,605,350.22","58,225,172.37","58,087,673.77","57,839,787.66","57,584,978.45","57,191,707.70","56,798,436.95","56,964,855.62","56,625,043.04","56,215,714.79","55,806,386.54","55,397,058.29","54,987,730.04","54,578,401.79"
盈余公积,"9,501,165.61","15,055,084.16","21,254,959.53","23,375,771.06","23,375,771.06","25,302,889.61","25,302,889.61","25,302,889.61","25,302,889.61","29,390,386.23","29,390,386.23","29,390,386.23","29,390,386.23","33,724,339.32","33,724,339.32","33,724,339.32","33,724,339.32","34,652,316.90","34,652,316.90","34,652,316.90","34,652,316.90","35,617,647.79","35,617,647.79"
开发支出,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"85,510,490.55","135,495,757.54","191,294,635.86","210,381,939.65","221,889,914.25","227,644,369.04","234,868,273.72","213,968,474.00","223,117,364.78","227,091,838.64","237,785,002.33","188,397,610.61","197,563,056.49","200,107,741.18","206,636,002.86","199,600,362.05","196,165,289.47","196,430,154.08","199,722,082.16","208,297,188.33","211,324,777.00","203,132,481.13","191,116,658.57"
长期待摊费用,,,,,,,,,,,,,"204,619.73","2,548,617.31","2,621,847.61",,,,,,,,
少数股东权益,,,,,,,,,,,,"1,325,200.69","3,972,311.21","11,055,957.61","11,024,126.36","2,183,104.62",,,,,,,
递延所得税资产,"309,091.46","283,369.76","285,598.11","443,206.80","440,100.17","387,490.32","444,550.58","493,738.53","442,850.91","497,084.30","633,053.76","876,386.21","892,081.18","797,030.35","961,500.01","2,331,597.11","2,261,692.87","546,225.32","678,101.12","723,402.43","600,210.40","599,623.30","724,060.43"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,"13,084,580.00",,,"7,682.80","1,882,450.30","2,989,681.96","1,217,738.86","619,217.20","1,321,686.94","2,187,147.86"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"98,116,661.84","165,747,235.38","280,267,905.83","319,793,103.30","339,108,088.80","360,732,759.78","392,206,603.02","414,247,167.12","493,256,919.62","516,788,831.25","527,301,724.93","534,089,188.80","546,814,397.10","583,082,679.41","589,429,049.33","583,249,829.66","594,702,411.23","599,295,571.62","601,347,371.40","602,218,051.18","602,156,480.86","598,728,210.51","595,069,515.99"
所有者权益(或股东权益)合计,"192,382,605.76","247,921,791.30","309,920,544.99","331,128,660.31","342,636,634.91","350,318,208.25","623,905,282.85","603,005,483.13","612,154,373.91","620,216,344.39","630,909,508.08","629,522,317.05","641,334,873.45","655,297,157.63","661,793,588.06","645,916,925.51","640,298,748.31","641,504,139.38","644,792,279.92","653,355,436.01","661,011,888.09","653,886,248.52","641,871,696.56"
资产总计,"364,270,266.66","384,843,948.46","527,728,639.09","571,720,821.29","570,073,754.66","601,140,333.22","739,201,252.38","743,423,956.82","726,683,063.21","806,288,122.39","853,119,444.76","948,582,143.37","948,605,242.56","982,052,217.28","1,026,283,138.72","1,046,552,029.15","977,002,545.38","1,049,050,009.61","1,100,735,208.20","1,131,139,222.98","1,024,730,851.17","1,042,074,520.89","1,056,847,391.46"
