科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"263,123,858.75","281,036,475.10","352,458,624.47",,"1,037,410,892.99","1,097,459,327.56","993,833,778.65","1,054,679,791.39","925,005,212.24","997,748,001.02","916,978,521.82","1,038,664,744.82","437,046,886.95","253,992,305.19","301,606,518.60","290,062,325.89","244,734,315.54"
短期借款,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,"38,538,708.61","154,874,989.04","240,678,692.13","200,593,790.46"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"150,605,672.30","157,029,883.73","194,749,145.40",,"180,465,826.02","197,786,379.51","262,085,127.89","208,513,542.17","174,960,537.53","160,470,594.19","182,166,130.55","169,884,192.30","74,439,546.31","58,065,029.83","67,130,331.77","73,737,686.54","45,193,293.37"
应付票据,,,"6,637,630.00",,"6,371,000.00","6,855,408.13","5,205,408.13","3,140,000.00","5,300,000.00","10,791,845.81","13,138,221.81","8,351,886.00","1,845,510.00","5,100,000.00","6,300,000.00","25,410,000.00","32,020,320.42"
应收账款,"123,212,414.49","121,872,421.02","141,998,594.42",,"232,090,417.93","204,876,256.20","145,561,514.51","176,990,028.11","226,946,145.36","171,212,872.48","202,003,278.46","223,970,526.01","522,271,823.85","545,494,873.82","646,039,813.18","633,383,109.61","713,205,960.32"
应付账款,"172,248,390.23","177,913,466.92","210,608,870.08",,"255,936,367.40","265,432,711.28","260,536,444.10","295,941,581.72","312,088,219.68","305,851,833.55","321,465,138.83","337,950,409.54","626,390,468.39","689,184,209.58","734,959,228.06","669,376,679.27","692,186,964.23"
预付款项,"18,679,725.10","26,093,150.22","2,420,626.06",,"7,459,411.20","5,594,955.82","5,272,680.29","10,476,386.76","8,431,193.07","14,396,403.61","20,874,591.90","33,584,291.69","37,654,372.14","54,398,127.15","30,867,021.03","63,333,051.35","41,231,413.17"
预收款项,"1,140,496.55","1,619,095.54","2,860,969.40",,"5,546,425.02","5,362,126.47","4,434,835.73","5,360,520.55","6,242,143.13","6,355,243.88","7,287,061.32","6,767,279.98","12,475,050.04","12,864,412.15","12,382,374.85","9,917,457.66","19,223,591.02"
其他应收款,"5,062,342.46","4,764,669.59","4,280,299.67",,"3,092,799.76","2,625,206.60","2,834,684.28","3,847,467.93","26,843,171.53","6,700,751.41","6,670,247.82","6,117,008.40","39,405,896.86","37,582,789.02","16,744,015.38","45,141,106.23","34,004,923.44"
应付职工薪酬,"7,228,762.73","6,359,325.03","6,361,411.36",,"4,500,053.37","3,689,486.27","6,964,758.09","2,778,875.11","1,993,448.52","1,044,443.87","5,314,503.90","5,140,538.01","56,558,546.80","60,188,221.10","53,038,569.66","70,168,712.33","74,522,632.74"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"-7,064,154.88","-7,106,894.58","4,232,135.86",,"14,276,483.48","10,369,109.83","5,443,184.37","11,705,777.34","3,063,224.42","1,198,354.98","1,471,538.25","3,282,838.82","29,962,186.51","24,498,443.51","31,896,802.61","20,453,587.40","32,527,259.52"
应收利息,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,"7,727,041.09","25,295,210.94","42,931,920.47","57,107,112.10","5,612,210.21"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,"10,330,500.00",,,,,,,,,,,"1,281,800.00","1,281,800.00","1,281,800.00","1,281,800.00","2,757,800.00"
存货,"93,829,654.15","107,875,920.89","122,540,821.28",,"125,254,951.62","115,355,220.67","114,875,835.37","124,857,442.63","131,850,764.75","139,742,467.65","147,793,803.25","193,660,622.25","513,412,332.27","663,688,351.27","681,835,113.07","811,313,918.46","752,572,966.25"
其他应付款,"442,939.48","263,298.57","2,559,765.71",,"10,309,139.25","8,584,749.02","4,531,372.41","4,697,866.55","3,794,362.60","7,174,055.57","13,022,470.42","193,576,099.39","432,662,012.19","368,909,010.71","380,008,675.64","367,562,703.75","1,277,204,601.73"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,"12,114,252.45","12,214,102.64","12,174,068.27","9,996,478.13","11,635,550.97"
其他流动资产,,,"3,954,283.62",,,"54,667.00","996,559.55","54,667.00","54,667.00","54,667.00","6,882,710.54","2,660,926.34","17,577,685.67","16,255,358.18","63,140,367.15","45,427,211.01","81,670,585.07"
其他流动负债,,,,,,,,,,,,,,,,,
流动资产合计,"654,513,667.25","698,672,520.55","822,402,394.92",,"1,585,774,299.52","1,623,752,013.36","1,525,460,180.54","1,579,419,325.99","1,494,091,691.48","1,490,325,757.36","1,483,369,284.34","1,668,542,311.81","1,641,808,544.05","1,629,476,834.46","1,807,363,180.18","1,962,398,409.09","1,912,613,457.16"
流动负债合计,"203,996,434.11","219,378,791.48","263,260,782.41",,"296,939,468.52","300,293,591.00","287,116,002.83","323,624,621.27","332,481,398.35","332,415,777.66","361,698,934.53","555,069,051.74","1,181,016,867.47","1,238,074,119.24","1,429,848,428.60","1,471,953,222.77","2,348,284,721.30"
可供出售金融资产,,,,,,,,,,,,,,,,,
