科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"751,976,905.51","905,731,878.38","1,079,100,342.20","770,143,478.08","1,074,608,753.61","268,725,874.28","642,910,841.78","915,876,086.63","1,364,528,119.65","294,446,584.58","569,268,612.47","821,194,755.53","1,022,614,629.59","188,429,689.12","395,476,485.92","639,660,700.14","1,102,117,036.08","310,600,199.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"139,525,512.00","198,280,000.00",,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,"26,614.21",
支付其他与投资活动有关的现金,,,,,"209,500,000.00",,,,"10,000,000.00",,"370,000.00","370,000.00","370,000.00",,"47,617.49","435,117.49",,
收到其他与经营活动有关的现金,"8,323,467.51","15,683,968.91","8,978,661.43","8,335,302.42","13,492,018.54","10,911,400.92","10,373,351.66","99,492,498.30","12,164,403.52","8,984,462.74","36,363,774.20","109,439,577.76","29,524,901.34","16,828,593.40","8,970,425.04","20,610,215.33","11,060,536.67","46,332,325.01"
投资活动现金流出小计,"441,644,305.00","389,238,871.87","222,187,022.16","278,223,142.03","287,514,512.03","10,042,063.77","85,276,591.77","85,499,834.03","88,860,965.14","1,176,714.00","141,287,816.00","200,599,988.00","200,696,778.20","298,148.00","1,787,565.49","3,459,279.07","263,944,016.68","178,689,656.94"
经营活动现金流入小计,"760,300,373.02","921,415,847.29","1,088,079,003.63","778,478,780.50","1,088,100,772.15","279,637,275.20","653,284,193.44","1,015,368,584.93","1,376,692,523.17","303,431,047.32","605,632,386.67","930,634,333.29","1,052,139,530.93","205,258,282.52","404,446,910.96","660,270,915.47","1,113,204,186.96","356,932,524.05"
投资活动产生的现金流量净额,"-4,993,219.96","-502,843.90","-1,768,890.54","-73,446,322.07","-77,730,897.07","-28,885.67","-74,878,413.67","-75,101,655.93","-78,462,787.04","-1,026,714.00","-141,135,816.00","-200,443,888.00","-200,540,678.20","-297,368.00","-1,786,785.49","-3,038,499.07","-262,743,268.25","-176,326,817.44"
购买商品、接受劳务支付的现金,"615,547,731.08","773,812,314.45","919,745,619.67","736,645,921.17","932,236,712.98","376,041,177.08","762,324,907.13","999,702,228.93","1,413,900,109.71","265,756,973.59","501,653,874.28","677,509,838.46","824,059,635.58","138,619,588.81","311,965,050.84","562,285,536.77","1,027,646,178.41","218,699,251.77"
吸收投资收到的现金,,,"2,450,000.00",,,"410,082,000.00","410,082,000.00","410,082,000.00","410,095,156.80",,,,,"490,000.00","490,000.00","490,000.00","490,000.00",
支付给职工以及为职工支付的现金,"8,753,494.24","19,553,238.62","19,499,567.87","15,564,148.84","20,099,430.03","4,372,794.16","9,518,846.52","14,883,061.88","20,825,030.67","5,389,824.92","10,895,007.58","18,785,196.80","26,871,093.94","15,711,770.96","18,167,837.78","28,848,544.50","36,435,521.56","10,717,002.60"
取得借款收到的现金,"7,000,000.00","104,000,000.00","46,700,000.00","49,800,000.00","49,800,000.00","30,900,000.00","30,900,000.00","30,900,000.00","30,900,000.00",,,,,,,,"129,991,906.00","24,432,724.80"
支付的各项税费,"39,743,113.84","59,103,587.63","42,221,075.55","32,162,943.73","44,370,946.83","8,464,779.90","25,827,331.85","28,656,566.84","37,513,071.41","6,703,330.66","11,902,412.04","16,565,884.16","21,742,077.85","4,709,315.09","9,055,224.25","12,720,320.65","24,511,784.68","8,546,480.26"
收到其他与筹资活动有关的现金,,,,,,"13,156.80","13,156.80","119,146.59",,,,,,,,,,"86,000,000.00"
支付其他与经营活动有关的现金,"58,935,729.59","71,317,597.37","69,607,737.37","34,927,364.82","59,581,902.68","4,520,917.97","39,637,830.24","162,383,561.64","47,287,593.46","10,288,341.40","23,683,335.70","95,267,616.72","41,808,540.01","28,868,249.60","32,075,434.76","48,012,300.41","35,255,987.45","33,523,144.76"
筹资活动现金流入小计,"7,000,000.00","104,000,000.00","49,150,000.00","49,800,000.00","49,800,000.00","440,995,156.80","440,995,156.80","441,101,146.59","440,995,156.80",,,,,"490,000.00","490,000.00","490,000.00","130,481,906.00","110,432,724.80"
经营活动现金流出小计,"722,980,068.75","923,786,738.07","1,051,074,000.46","819,300,378.56","1,056,288,992.52","393,399,669.11","837,308,915.74","1,205,625,419.29","1,519,525,805.25","288,138,470.57","548,134,629.60","808,128,536.14","914,481,347.38","187,908,924.46","371,263,547.63","651,866,702.33","1,123,849,472.10","271,485,879.39"
