科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"575,840,394.31","610,664,631.42","665,990,621.29","413,210,782.99","757,952,977.85","218,262,216.56","436,170,159.28","620,078,468.66","834,544,051.70","254,501,473.18","538,040,792.35","788,815,407.31","1,160,424,639.06","344,315,334.79","661,101,274.69","999,009,691.62","1,423,420,520.05"
二、营业利润,"61,970,408.60","67,621,469.07","53,493,494.44","33,778,853.19","50,916,333.81","16,131,817.98","31,940,824.48","37,314,505.23","71,708,270.45","23,141,795.07","55,876,081.80","70,727,068.18","137,922,286.70","55,351,883.43","94,712,737.37","135,445,779.77","163,444,320.40"
减:营业成本,"430,831,420.76","441,562,415.68","495,774,188.24","315,785,623.02","588,024,047.85","167,559,307.79","329,182,770.40","468,296,748.44","626,353,290.90","184,925,273.44","392,375,193.13","575,245,385.48","819,027,651.53","249,403,749.35","472,765,302.54","718,942,377.82","1,024,632,625.71"
加:补贴收入,,,,,,,,,,,,,,,,,
营业税金及附加,"280,025.24","529,128.33","821,970.82","531,265.10","859,554.64","1,804.25","5,348.55","7,540.94","30,066.93","359,571.96","728,774.31","1,114,640.62","4,275,329.10","2,715,770.53","4,239,560.87","5,417,522.16","7,446,473.62"
营业外收入,"14,548,682.20","4,600,471.90","8,594,256.27","1,652,473.00","6,295,861.38","188,338.08","3,674,023.17","5,180,477.24","6,469,362.34","10,899,288.08","11,978,097.36","12,823,120.77","5,076,858.29","2,371,475.48","100,769.59","489,909.11","616,073.98"
销售费用,"34,488,388.44","41,409,816.28","41,944,871.71","23,105,941.72","44,383,827.57","9,411,370.54","24,217,025.10","37,222,538.68","48,493,388.31","16,166,185.67","37,229,190.35","54,853,922.57","84,534,607.29","15,325,558.90","38,271,211.25","59,331,509.89","84,737,676.53"
减:营业外支出,"1,251,243.91","719,492.70","1,533,420.77","463,388.11","798,615.53","15,000.00","982,070.04","1,507,116.51","1,525,153.98","156,767.00","201,480.53","4,595,537.61","14,371,801.65","1,377,385.73","1,566,901.27","2,406,588.49","3,612,855.25"
管理费用,"50,352,541.71","57,877,536.60","61,308,839.99","33,383,863.50","63,628,987.25","22,667,620.89","46,283,093.09","73,723,790.54","97,461,762.54","22,930,940.72","52,043,373.62","89,245,176.88","132,285,729.40","22,094,100.03","68,775,562.02","119,425,560.10","168,380,012.02"
其中:非流动资产处置净损失,"545,502.13","66,448.85","105,021.26",,,,,,,"37,920.00",,"3,103,647.16","13,293,533.60",,"78,000.00","78,000.00",
堪探费用,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,
财务费用,"11,985,963.57","10,680,955.04","19,259,860.28","6,239,970.54","14,309,058.78","2,074,413.36","4,951,473.24","4,815,798.93","5,489,944.76","3,758,919.82","3,680,708.39","7,156,238.37","6,173,246.82","2,806,618.37","13,627,860.51","24,731,398.13","33,955,353.89"
三、利润总额,"75,267,846.89","71,502,448.27","60,554,329.94","34,967,938.08","56,413,579.66","16,305,156.06","34,632,777.61","40,987,865.96","76,652,478.81","33,884,316.15","67,652,698.63","78,954,651.34","128,627,343.34","56,345,973.18","93,246,605.69","133,529,100.39","160,447,539.13"
资产减值损失,"-475,325.63","1,304,933.83","-569,018.94","3,678,281.50","2,311,529.38","1,563,279.69","3,683,793.88","4,673,758.14","2,117,670.42","6,653,476.22","6,135,740.71","9,026,474.42","5,313,333.16","8,567,323.13","-300,295.90","-464,750.77","-1,013,352.74"
减:所得税,"10,315,546.45","8,134,267.74","7,958,723.45","5,187,189.60","7,766,896.51","2,174,503.92","4,413,063.21","4,950,263.21","9,109,149.78","4,743,548.90","8,435,014.25","9,094,987.06","15,410,964.00","5,333,226.58","13,162,865.26","21,103,045.07","18,684,748.10"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,"86,500.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,
投资收益,"13,593,028.38","10,321,623.41","6,043,585.25","3,293,015.58","6,480,361.43","1,147,397.94","4,094,169.46","5,976,212.24","17,110,342.61","3,434,689.72","10,028,269.96","18,553,499.21","29,107,544.94","11,949,668.95","22,757,208.29","52,670,287.86","44,493,827.45"
四、净利润,"64,952,300.44","63,368,180.53","52,595,606.49","29,780,748.48","48,646,683.15","14,130,652.14","30,219,714.40","36,037,602.75","67,543,329.03","29,140,767.25","59,217,684.38","69,859,664.28","113,216,379.34","51,012,746.60","80,083,740.43","112,426,055.32","141,762,791.03"
其中:对联营企业和合营企业的投资权益,"11,773,222.22","7,761,623.41","3,543,585.25","3,293,015.58","6,480,361.43",,,"5,976,212.24","17,110,342.61","3,434,689.72","10,028,269.96","18,553,499.21","29,107,544.94","11,949,668.95","16,059,469.43","19,111,614.03",
归属于母公司所有者的净利润,"64,697,314.95","63,078,848.71","52,440,451.91","29,410,491.77","48,366,766.85","14,119,085.15","30,189,795.43","35,973,416.08","67,439,600.00","29,106,195.31","58,943,726.50","69,472,230.85","112,992,341.65","50,717,207.31","78,971,870.29","111,362,682.27","137,323,646.53"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,
少数股东损益,"254,985.49","289,331.82","155,154.58","370,256.71","279,916.30","11,566.99","29,918.97","64,186.67","103,729.03","34,571.94","273,957.88","387,433.43","224,037.69","295,539.29","1,111,870.14","1,063,373.05","4,439,144.50"
