科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,937,825,549.32","1,939,632,349.58","399,361,402.41","2,878,903,240.22","578,882,488.71","1,248,836,624.60","1,891,115,082.00","2,895,616,858.64","732,054,533.43","1,547,323,649.89","2,529,431,846.17","4,043,795,096.84","1,360,104,212.51","2,768,765,837.63","4,500,943,404.09","6,700,489,828.15","1,593,597,342.69","2,832,921,908.00","4,575,315,511.44","6,962,371,973.19","1,933,607,695.19","3,784,039,164.59","5,786,231,332.04","7,568,402,148.87","1,532,479,437.62","2,726,959,675.21","4,616,097,648.37","6,193,339,885.53","1,510,903,763.22","3,249,257,431.30","5,425,472,250.42","7,016,873,771.41","1,310,753,607.91","4,061,241,772.29","6,779,536,924.59","9,789,027,115.61","2,009,018,648.93"
取得子公司及其他营业单位支付的现金净额,"211,003.65",,,,,,,,,,,,,,,,,,,"52,162,634.75",,,,,,,,"952,158,056.27",,,,,,,,,
收到的税费返还,"62,802,029.70","104,137,717.06","22,539,046.69","68,632,762.13","48,113,621.87","83,621,330.04","126,077,381.84","128,234,424.00","41,847,934.03","61,277,102.16","91,188,977.59","104,689,140.33","43,923,005.72","111,939,742.42","146,351,423.66","188,034,601.33","13,242,791.57","27,475,203.11","45,193,775.84","137,381,920.57","55,734,694.74","110,632,096.30","178,923,806.35","285,699,147.47","50,953,481.11","116,154,123.01","155,168,536.35","272,170,308.78","50,046,063.58","99,734,033.18","127,945,931.07","239,261,485.57","44,804,966.62","73,055,928.06","223,607,247.27","308,282,103.76","105,995,690.83"
支付其他与投资活动有关的现金,,"26,290,472.84",,"192,921,726.23","251,741.94",,,"1,429,105,340.41","357,929,581.28","2,097,705,357.25","2,298,991,914.32","2,032,351,476.90","155,979,573.06","294,837,417.89","1,346,893,955.27","1,849,167,427.43","891,899,834.65","1,382,703,782.59","1,877,947,801.79","2,430,869,315.89","455,313,383.29","1,915,506,926.85","2,397,347,491.93","2,581,108,888.73","828,166,295.94","1,248,430,420.25","862,907,373.41","2,527,400,833.44","-46,920,254.64","51,085,218.63","463,447,524.59","4,061,532,843.85","1,460,463,487.49","3,722,355,948.22","5,467,109,469.19","3,277,862,980.87","3,304,000,000.00"
收到其他与经营活动有关的现金,"1,325,957.11","963,672.27","2,174,054.02","1,075,363.44","1,809,654.16","1,597,240.72","4,643,309.70","4,038,223.50","41,948,421.72","28,936,366.91","31,160,822.19","16,245,700.63","4,128,918.03","4,998,646.08","17,688,070.84","13,345,708.71","15,303,215.71","6,736,157.61","20,055,304.04","14,727,686.65","16,920,040.18","39,063,166.13","53,029,092.66","35,666,043.22","22,429,280.02","50,302,999.34","43,826,611.77","52,026,089.91","13,675,864.22","48,011,873.56","81,665,072.43","50,806,161.02","9,757,257.91","63,768,870.92","143,527,456.59","105,452,054.74","37,523,441.17"
投资活动现金流出小计,"17,762,453.77","83,237,391.16","-321,631.37","215,920,690.77","2,054,071.25","5,591,254.05","8,856,806.82","1,443,771,191.48","361,394,113.23","2,127,772,527.95","2,491,484,990.73","2,241,786,508.52","166,760,456.09","324,265,032.11","1,409,379,757.64","1,944,165,340.11","911,855,093.34","1,478,688,333.57","2,065,749,919.59","2,755,031,093.53","542,140,855.54","2,120,692,122.96","2,698,732,162.04","3,007,117,154.34","894,073,244.01","1,286,348,663.82","1,145,681,669.81","3,632,654,623.72","-256,369.35","194,093,038.17","672,768,234.38","4,299,652,774.49","1,470,034,678.13","3,834,014,797.76","5,705,819,850.25","3,671,110,687.18","3,803,948,241.68"
经营活动现金流入小计,"2,001,953,536.13","2,044,733,738.91","424,074,503.12","2,948,611,365.79","628,805,764.74","1,334,055,195.36","2,021,835,773.54","3,027,889,506.14","815,850,889.18","1,637,537,118.96","2,651,781,645.95","4,164,729,937.80","1,408,156,136.26","2,885,704,226.13","4,664,982,898.59","6,901,870,138.19","1,622,143,349.97","2,867,133,268.72","4,640,564,591.32","7,114,481,580.41","2,006,262,430.11","3,933,734,427.02","6,018,184,231.05","7,889,767,339.56","1,605,862,198.75","2,893,416,797.56","4,815,092,796.49","6,517,536,284.22","1,574,625,691.02","3,397,003,338.04","5,635,083,253.92","7,306,941,418.00","1,365,315,832.44","4,198,066,571.27","7,146,671,628.45","10,202,761,274.11","2,152,537,780.93"
投资活动产生的现金流量净额,"-16,815,015.03","-81,120,350.72","321,631.37","-185,506,798.23","163,857,281.49","179,611,665.61","177,563,654.90","-1,253,959,623.81","-260,026,918.50","-762,981,784.56","-1,010,721,768.85","-726,667,551.76","90,842,819.44","304,055,171.77","303,404,571.69","189,471,839.46","-339,029,507.12","-485,645,095.02","-453,119,251.74","-793,156,451.40","185,106,580.39","-217,920,746.37","-280,893,777.30","-418,550,966.93","-756,635,718.49","-707,202,395.57","-541,894,153.63","-1,255,173,747.91","-181,132,289.08","84,893,209.47","165,605,184.39","-2,195,003,538.10","143,930,635.76","1,097,635,823.93","1,139,235,690.13","1,107,203,362.18","-1,244,284,886.98"
购买商品、接受劳务支付的现金,"1,886,383,125.40","1,785,086,558.26","371,841,176.41","2,619,710,915.13","766,110,414.70","1,337,740,900.32","2,155,255,061.90","2,986,009,009.79","778,473,701.12","1,543,767,994.44","2,633,059,160.48","3,985,605,375.45","1,198,491,218.42","2,474,385,963.20","4,034,070,565.69","6,032,884,561.11","1,584,819,378.32","2,921,160,037.83","4,297,854,255.71","6,328,694,955.73","1,703,012,731.32","3,064,202,821.28","4,587,721,568.60","5,956,639,152.83","1,396,965,345.94","3,117,695,864.48","5,417,056,204.57","5,559,323,121.71","1,133,303,118.67","2,857,406,478.26","4,493,594,757.16","5,441,611,193.90","1,729,701,192.69","4,231,182,084.87","6,349,724,289.43","9,956,459,196.75","1,910,225,217.28"
吸收投资收到的现金,"125,372,717.16",,,,,"1,680,000,000.00","1,680,000,000.00","1,680,000,000.00",,,,,,,,"18,734,582.37",,"1,000,000.00","1,000,000.00","3,903,780.00",,,,,,"9,375,000.00","9,375,000.00","9,375,000.00",,"49,129,868.91","35,978,983.09","2,562,019,305.49",,,,,
支付给职工以及为职工支付的现金,"44,608,033.66","69,541,725.71","13,681,330.07","68,861,259.73","14,730,119.23","39,289,897.39","56,161,359.16","89,066,395.69","24,834,014.36","54,950,047.12","93,457,498.41","148,727,589.93","41,838,755.49","95,231,022.35","151,666,786.73","208,652,950.09","53,958,185.56","103,227,982.05","165,705,785.17","262,169,453.45","67,274,854.07","139,339,409.94","203,913,463.44","299,249,887.64","53,780,763.62","121,647,760.02","114,481,446.31","334,795,867.14","89,172,300.25","219,324,267.92","342,277,341.99","480,373,881.60","86,847,315.55","242,132,711.76","459,351,963.72","555,806,924.41","126,775,830.91"
取得借款收到的现金,"296,381,771.85","305,805,471.37","65,567,057.63","258,728,624.30","29,272,458.46","29,272,664.32","29,272,664.32","29,272,664.32","314,326,829.19","676,052,353.04","1,344,844,225.35","1,512,368,724.16","462,153,845.51","881,330,727.12","1,140,956,432.44","1,449,540,065.15","1,031,159,675.36","1,274,495,182.79","1,915,571,506.89","2,445,918,154.54","1,100,468,978.68","1,918,735,862.59","2,520,995,579.71","3,042,217,125.13","1,189,914,140.93","3,144,861,872.62","4,872,278,937.06","6,227,298,886.20","537,791,378.81","2,600,441,973.81","2,925,385,684.03","2,590,218,138.21","645,898,515.31","2,201,366,748.22","4,194,090,855.46","4,523,195,054.91","1,893,875,246.47"
支付的各项税费,"19,207,754.92","26,795,284.56","3,072,666.17","26,880,500.01","15,048,856.55","24,936,760.08","44,153,171.28","64,061,215.41","16,155,023.43","33,051,682.15","50,051,414.83","68,204,406.67","303,709.95","20,240,301.89","41,689,297.43","94,706,760.96","28,884,488.97","69,369,497.01","103,519,355.34","182,755,017.45","38,878,282.07","122,317,375.47","225,994,360.84","322,381,907.49","90,121,217.25","168,185,611.97","201,849,954.18","271,104,514.26","115,794,752.73","165,979,235.33","342,893,784.02","336,595,163.95","98,641,611.80","153,612,971.88","373,174,200.00","329,284,015.40","155,575,604.91"
收到其他与筹资活动有关的现金,"117,326,425.82",,,"1,100,000.00","2,176,510.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,513,700,000.00",
支付其他与经营活动有关的现金,"48,076,188.00","58,051,472.37","13,140,429.49","40,841,078.80","14,000,328.74","35,676,772.68","63,123,238.14","53,062,124.57","19,642,224.29","53,478,067.33","95,879,962.22","93,909,035.30","42,743,248.57","98,251,945.32","159,793,934.61","205,806,145.92","50,527,650.05","107,614,478.85","154,102,328.87","253,973,229.31","89,542,589.11","184,161,943.10","225,272,978.24","285,277,014.04","65,694,714.68","117,285,621.18","116,380,283.33","324,114,080.20","112,628,909.02","159,006,981.89","204,847,118.69","411,599,242.35","88,827,832.86","274,519,282.16","322,383,886.85","506,285,301.49","144,844,922.10"
筹资活动现金流入小计,"539,080,914.83","305,805,471.37","65,567,057.63","259,828,624.30","31,448,969.18","1,709,272,664.32","1,709,272,664.32","1,709,272,664.32","314,326,829.19","676,052,353.04","1,344,844,225.35","1,512,368,724.16","462,153,845.51","881,330,727.12","1,140,956,432.44","1,468,274,647.52","1,031,159,675.36","1,275,495,182.79","1,916,571,506.89","2,449,821,934.54","1,100,468,978.68","1,918,735,862.59","2,520,995,579.71","3,042,217,125.13","1,189,914,140.93","3,354,236,872.62","5,081,653,937.06","6,436,673,886.20","742,976,378.80","2,649,571,842.72","2,961,364,667.12","5,152,237,443.70","645,898,515.31","2,201,366,748.22","4,194,090,855.46","6,036,895,054.91","1,893,875,246.47"
经营活动现金流出小计,"1,998,275,101.98","1,939,475,040.90","401,735,602.14","2,756,293,753.67","809,889,719.22","1,437,644,330.47","2,318,692,830.48","3,192,198,745.46","839,104,963.20","1,685,247,791.04","2,872,448,035.94","4,296,446,407.35","1,283,376,932.43","2,688,109,232.76","4,387,220,584.46","6,542,050,418.08","1,718,189,702.90","3,201,371,995.74","4,721,181,725.09","7,027,592,655.94","1,898,708,456.57","3,510,021,549.79","5,242,902,371.12","6,863,547,962.00","1,606,562,041.49","3,524,814,857.65","5,849,767,888.39","6,489,337,583.31","1,450,899,080.67","3,401,716,963.40","5,383,613,001.86","6,670,179,481.80","2,004,017,952.90","4,901,447,050.67","7,504,634,340.00","11,347,835,438.05","2,337,421,575.20"
