科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"3,351,575,993.18","3,125,625,821.58","1,147,090,307.64","2,481,305,358.72","993,680,394.60","1,780,465,524.90","2,360,777,365.36","511,236,615.99","1,492,063,903.14","2,451,470,284.90","3,145,319,538.39","485,840,587.52","1,327,043,041.54","2,256,607,259.47","3,004,494,597.20","579,125,045.79","1,299,428,722.76","2,222,093,420.64","2,779,267,363.15","479,469,242.45","1,565,241,102.59","2,884,329,487.00","3,596,134,729.51","738,224,473.97","2,066,595,876.09","3,363,586,380.34","4,040,903,004.23","692,012,035.89","1,902,254,474.81","3,304,698,441.75","4,010,128,913.20","723,272,164.59","2,073,453,306.87","3,542,763,187.90","4,290,007,132.94","780,380,254.44"
取得子公司及其他营业单位支付的现金净额,"84,607,130.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,731.83","132,731.83","132,731.83","870,551.33","332,872.67","332,872.67","332,872.67","332,872.67","122,115.97"
支付其他与投资活动有关的现金,"1,296.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"336,911,182.04","74,779,878.10","52,451,376.89","97,525,004.81","53,442,784.55","82,993,306.88","122,169,907.20","46,611,975.33","74,866,158.54","140,735,160.84","166,033,919.34","41,534,785.68","125,469,748.18","180,861,547.19","256,634,811.87","15,632,477.77","60,312,253.38","96,662,944.54","1,245,046,801.02","21,071,551.59","64,546,654.50","493,932,645.55","581,702,232.01","49,496,916.53","117,755,791.83","169,883,872.11","455,184,327.03","58,044,732.95","85,988,121.58","148,478,643.79","743,244,384.61","28,512,005.93","89,477,564.56","180,603,630.09","160,221,632.88","23,883,679.14"
投资活动现金流出小计,"514,422,316.74","503,231,874.91","97,353,444.94","144,794,900.22","98,515,826.41","261,556,603.48","346,316,313.62","36,592,471.49","115,961,874.97","143,151,491.89","408,670,626.71","158,436,081.49","359,127,627.92","393,293,862.54","438,236,428.57","25,906,563.68","123,475,405.01","679,317,872.95","285,433,900.41","115,522,007.87","238,243,795.20","470,735,280.76","662,101,458.84","182,252,475.07","303,204,647.46","393,008,167.86","2,586,521,002.73","275,867,757.36","570,849,367.72","1,294,926,709.98","2,556,878,720.05","3,628,108,234.35","8,342,387,977.16","12,950,934,699.38","16,397,946,481.22","3,178,558,981.39"
经营活动现金流入小计,"3,688,487,175.22","3,200,405,699.68","1,199,541,684.53","2,578,830,363.53","1,047,123,179.15","1,863,458,831.78","2,482,947,272.56","557,848,591.32","1,566,930,061.68","2,592,205,445.74","3,311,353,457.73","527,375,373.20","1,452,512,789.72","2,437,468,806.66","3,261,129,409.07","594,757,523.56","1,359,740,976.14","2,318,756,365.18","4,024,314,164.17","500,540,794.04","1,629,787,757.09","3,378,262,132.55","4,177,836,961.52","787,721,390.50","2,184,351,667.92","3,533,470,252.45","4,496,087,331.26","750,189,500.67","1,988,375,328.22","3,453,309,817.37","4,754,243,849.14","752,117,043.19","2,163,263,744.10","3,723,699,690.66","4,450,561,638.49","804,386,049.55"
投资活动产生的现金流量净额,"-493,140,374.28","-449,411,115.15","-97,337,662.14","-144,779,117.42","-97,562,560.27","-260,494,906.48","-345,117,541.73","-36,329,609.50","-115,749,300.82","-142,864,627.48","-237,947,498.23","-108,384,866.42","-288,891,012.85","-323,050,197.47","-337,943,272.51","-25,903,417.68","-123,472,259.01","-237,728,140.53","-285,046,478.62","-115,213,819.30","-237,872,112.64","-469,679,619.20","-660,016,760.52","-182,114,890.35","-302,946,462.74","-392,492,196.84","-1,024,980,535.61","388,160,142.64","111,531,966.56","-278,307,230.90","-904,492,316.48","-2,513,450,754.35","-4,482,022,766.63","-3,398,144,409.11","-4,737,508,208.34","-118,435,021.88"
购买商品、接受劳务支付的现金,"1,881,005,832.43","1,854,670,993.27","486,036,876.06","1,093,114,987.97","434,955,276.48","774,028,372.66","1,019,274,245.26","305,292,750.34","829,774,325.32","1,346,844,616.83","1,549,032,489.38","252,675,137.66","676,769,024.15","1,113,046,462.40","1,257,827,038.99","245,571,601.93","540,375,802.17","952,306,756.21","1,265,734,445.28","245,392,714.77","572,264,766.31","1,149,776,566.45","1,523,117,129.70","471,976,918.66","1,141,128,295.22","1,696,696,336.74","2,294,567,010.96","539,877,921.41","1,085,252,246.87","1,699,281,235.02","2,158,623,132.46","590,829,828.57","1,104,025,382.81","1,661,170,924.18","2,216,787,882.99","553,641,718.61"
吸收投资收到的现金,"405,783,368.00",,,,"1,002,450,000.00","388,150,000.00","388,150,000.00",,,,,,,"14,700,000.00","14,700,000.00",,,,,,,,,,,,,,,,,"4,296,939,991.92","4,296,939,991.92","4,296,939,991.92","4,296,939,991.92",
