科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"49,095,766.57","47,395,740.66","70,888,797.33","47,313,445.43","589,241,265.32","474,434,227.49","397,163,974.46","401,976,539.47","372,881,417.70","335,310,526.53","333,285,796.74","289,282,858.61","244,976,844.20","205,546,008.08","191,488,281.75","215,306,531.38","259,677,049.53","225,189,230.30","202,229,316.87","132,804,658.59","169,872,844.61","198,013,253.33","195,767,262.64","120,679,136.40","237,834,645.76","207,789,837.62","200,190,227.07","218,165,912.94","465,329,650.89","466,835,155.36","301,605,773.79","602,710,677.96","285,375,769.57","357,220,882.81","471,926,264.79","364,059,457.37","519,913,441.20","550,646,338.49"
短期借款,"81,800,000.00","93,000,000.00","94,000,000.00","94,000,000.00","85,000,000.00","40,000,000.00","45,000,000.00","76,000,000.00","80,000,000.00","98,500,000.00","126,742,000.00","68,242,000.00","88,242,000.00","128,242,000.00","165,000,000.00","251,000,000.00","261,000,000.00","215,000,000.00","196,000,000.00","168,000,000.00","187,000,000.00","250,500,000.00","343,000,000.00","295,000,000.00","300,000,000.00","291,500,000.00","304,000,000.00","432,800,000.00","418,000,000.00","529,000,000.00","580,000,000.00","640,000,000.00","625,500,000.00","729,530,000.00","709,530,000.00","818,000,000.00","872,500,000.00","605,700,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"100,000.00",,,,,,,,,,,,,,,,,"227,272.00",,,,,,"500,000.00",,"247,256.00",,"221,601.50","70,000.00",,"2,014,000.00",,,,,,"120,000.00","287,637.00"
应付票据,,,,,,,,,,,"23,940,000.00","23,940,000.00",,,,,,,,,,,,,"10,080,000.00","10,080,000.00","10,440,000.00","10,440,000.00","115,968,313.85","142,357,498.60","101,071,072.79","73,000,517.54","43,190,000.00","122,460,000.00","126,360,000.00","101,588,192.00","120,229,247.06","70,549,136.50"
应收账款,"19,612,305.09","25,991,644.07","31,051,686.47","39,353,858.35","35,156,194.38","45,695,306.39","72,576,457.60","75,649,072.98","73,732,971.28","93,977,224.34","87,525,318.94","89,269,764.03","128,048,763.38","164,278,466.89","159,525,952.34","159,282,218.19","130,638,367.15","123,837,838.99","122,402,209.28","114,750,549.40","110,796,175.77","132,047,965.62","146,262,351.79","150,597,438.36","278,693,992.32","292,606,491.46","364,865,835.80","590,182,150.50","617,169,251.90","672,042,319.03","823,861,900.09","880,072,136.13","1,080,969,032.83","855,043,980.55","787,708,809.37","891,626,497.82","1,110,863,509.69","1,176,976,164.77"
应付账款,"12,193,652.15","15,019,781.59","11,907,149.83","11,090,152.68","10,546,312.09","10,679,654.84","23,516,014.54","24,453,061.06","26,481,636.05","29,558,583.36","26,293,424.73","32,384,337.94","41,541,489.92","42,371,258.46","58,381,459.41","56,427,116.70","58,413,191.48","60,375,129.58","94,714,691.57","68,809,530.45","75,560,601.48","68,716,347.10","65,710,989.24","71,417,675.99","95,820,629.31","98,895,535.12","101,721,253.32","481,509,486.48","322,899,443.97","304,018,846.44","353,135,773.79","343,704,575.57","318,429,637.93","335,998,280.98","281,384,938.40","370,026,082.55","370,353,322.32","417,842,112.26"
预付款项,"6,161,364.45","7,395,683.70","9,613,694.51","13,495,091.88","6,380,309.71","26,612,992.14","29,402,345.56","38,892,000.88","17,695,967.53","28,538,601.47","56,289,174.61","73,211,669.55","50,480,701.45","51,103,031.99","51,307,366.70","100,195,865.83","94,714,918.18","104,822,680.91","94,675,803.47","111,327,147.95","91,695,998.23","93,558,209.31","115,441,293.13","123,464,284.48","91,917,508.67","86,897,503.51","106,026,798.17","238,219,403.86","345,853,538.75","362,413,761.42","274,086,690.89","262,702,659.73","257,088,202.06","434,323,918.82","443,405,492.07","429,395,866.66","390,771,762.97","223,310,960.93"
预收款项,"6,983,348.94","4,701,454.33","5,765,083.94","3,079,655.97","8,185,432.30","5,079,163.63","6,653,189.46","8,124,037.08","8,624,997.46","7,498,719.34","12,827,185.76","20,275,376.09","18,828,986.12","13,600,284.65","9,759,692.86","17,368,602.96","20,795,487.67","19,509,857.89","19,467,012.85","22,123,895.30","19,373,821.52","20,157,317.36","23,093,341.42","26,163,448.84","32,711,869.43","29,801,325.44","33,090,814.73","45,172,261.50","75,550,031.59","78,309,497.18","43,996,322.44","66,167,172.13","57,729,081.08","68,990,445.04","178,436,302.03","185,394,818.60","108,626,261.50","93,129,444.63"
