科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"241,458,636.67","354,261,697.67","288,170,617.88","133,404,044.29","272,322,554.56","100,848,567.82","142,043,359.97","193,727,614.17","262,383,121.85","80,012,684.80","174,226,242.77","257,614,131.21","255,650,587.73","44,795,056.48","71,056,042.71","100,130,767.98","121,390,507.71","20,979,665.29","52,148,326.48","96,109,169.58","160,355,861.15","41,333,588.89","90,836,596.81","155,851,450.41","192,375,390.39","61,366,038.59","101,838,947.00","149,669,056.85","181,257,689.99","28,550,974.68","74,219,030.95","114,015,376.59","186,771,194.93","38,687,547.91"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,"182,111,333.70","243,282,800.03",,,,,,,,,
收到的税费返还,"2,466,214.80","5,908,981.99","4,657,155.22","2,685,565.29","5,525,964.16","1,074,243.16","1,624,649.31","1,956,421.69","4,594,217.72",,"200,773.04","740,834.18","3,778,673.08","22,000.00",,"220,067.38","3,487,952.76",,"317,181.84","1,328,456.55","4,020,055.05","645,820.60","1,073,022.35","1,391,835.38","4,106,535.58",,"1,356,117.99","1,505,547.22","2,106,195.11","16,900.62","1,136,817.41","1,136,817.41","1,708,227.67","60,513.35"
支付其他与投资活动有关的现金,,,,,,,"340,000,000.00","340,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,200,147.43","3,077,553.06","4,399,012.29","2,895,596.61","3,732,969.73","1,027,063.27","6,213,060.40","3,490,136.88","9,443,674.14","1,402,081.49","14,375,373.47","15,961,644.22","18,847,370.04","615,351.21","3,690,415.89","5,980,829.54","6,236,014.08","3,262,355.17","3,572,445.80","3,888,517.06","5,541,415.96","6,812,523.73","1,453,245.73","7,056,112.59","6,988,170.32","13,987,156.52","3,843,431.38","1,053,758.12","2,895,689.29","1,062,551.94","1,360,232.56","3,911,829.56","11,442,913.91","1,863,486.36"
投资活动现金流出小计,"35,150,405.76","59,065,184.23","20,937,683.81","22,732,702.74","34,667,597.32","4,127,145.19","390,824,657.06","412,994,800.50","102,910,695.40","16,086,062.98","54,450,497.82","114,765,716.25","179,528,846.58","32,003,780.11","42,991,057.42","47,259,015.89","530,725,845.42","72,215,378.40","75,020,502.40","77,241,946.58","112,167,501.02","11,232,635.00","12,880,787.35","202,969,524.73","250,902,143.75","1,526,320.00","20,554,368.89","26,812,092.97","61,399,779.37","7,672,236.40","23,519,215.68","41,507,761.77","140,808,876.17","15,089,227.27"
经营活动现金流入小计,"248,124,998.90","363,248,232.72","297,226,785.39","138,985,206.19","281,581,488.45","102,949,874.25","149,881,069.68","199,174,172.74","276,421,013.71","81,414,766.29","188,802,389.28","274,316,609.61","278,276,630.85","45,432,407.69","74,746,458.60","106,331,664.90","131,114,474.55","24,242,020.46","56,037,954.12","101,326,143.19","169,917,332.16","48,791,933.22","93,362,864.89","164,299,398.38","203,470,096.29","75,353,195.11","107,038,496.37","152,228,362.19","186,259,574.39","29,630,427.24","76,716,080.92","119,064,023.56","199,922,336.51","40,611,547.62"
投资活动产生的现金流量净额,"-35,140,405.76","-59,002,384.23","-16,741,583.81","-22,732,702.74","-34,667,597.32","-3,957,293.96","-390,824,657.06","-412,079,248.98","-102,516,095.40","-16,037,728.14","-54,450,497.82","-114,741,513.34","-176,888,596.58","-32,003,780.11","-42,991,057.42","-47,238,698.82","-129,059,420.70","-17,304,575.66","-18,609,699.66","-20,831,143.84","-50,736,698.28","-11,232,635.00","-6,155,187.35","-196,243,924.73","-245,180,543.75","-1,526,320.00","-8,693,068.89","-14,950,792.97","-44,573,889.10","1,607,809.60","-14,239,169.68","-29,227,715.77","-94,560,486.19","-14,493,194.52"
购买商品、接受劳务支付的现金,"157,869,969.85","257,403,670.81","137,139,314.04","48,632,400.03","143,094,463.91","93,976,823.33","101,732,163.89","140,702,627.20","187,144,272.61","47,294,580.84","97,194,282.07","167,326,363.64","127,944,643.12","31,783,236.02","56,503,140.75","87,688,875.09","81,568,349.58","19,395,813.64","38,495,625.77","67,003,458.09","99,777,098.41","16,599,297.89","44,057,325.34","65,618,414.14","87,144,453.36","13,693,309.46","23,461,059.43","35,401,034.11","21,717,961.50","9,487,279.63","21,282,052.20","36,435,271.66","56,525,770.81","14,146,839.52"
吸收投资收到的现金,"2,000,000.00",,,,,"465,500,000.00","459,168,000.00","459,168,000.00","459,168,000.00",,,,,,,,,,,,,,,,,,,,,,,"74,399,986.12","74,654,703.10",
