科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"452,204,577.25","606,410,675.09","978,900,148.92","183,250,411.25","514,127,806.34","794,201,377.08","1,058,841,638.36","218,292,493.38","546,012,578.56","779,349,828.89","1,042,337,581.55","255,267,714.25","555,656,101.07","901,216,585.20","1,255,713,514.53","313,954,804.21","656,093,640.78","1,142,501,774.45","1,857,987,383.02","496,318,528.75","1,221,386,942.34","2,081,138,986.87","2,774,404,537.34","838,294,726.34","1,777,939,028.12","2,713,179,330.43","3,064,632,392.39","811,800,062.25","1,633,635,312.45","2,391,756,722.96","2,612,573,380.46","1,301,263,986.86","2,892,530,327.41"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"180,319.01",,,,,,,,"309,325,371.79",,"125,890,578.80","295,890,578.80","296,310,794.96",,"2,903,026.19","2,903,026.19","18,035,726.64",,,,"116,567,376.89","1,079,513,432.15","1,142,610,902.81"
收到的税费返还,"4,499,171.68","1,667,069.22","4,192,332.16","1,362,381.08","3,602,093.44","9,327,268.93","9,307,046.15","2,664,757.90","6,211,361.35","12,828,597.96","12,881,670.51","2,003,206.42","5,514,214.16","5,545,442.38","4,324,062.20",,,"77,074.50","681,000.00",,,,"882,425.55","150,000.00","156,764.09","952,980.16","889,477.03","92,818.19","99,885.40","5,185,328.86","4,949,740.14","121,080.54","4,656,423.55"
支付其他与投资活动有关的现金,,,,"50,000.00","50,000.00","50,000.00",,,,20.50,,,,,,,,,,,,"100,000,000.00",,"265,247,485.00","355,393,545.10","436,371,775.10","32,000,000.00","100,000,000.00","180,000,000.00","310,004,000.00","132,500,000.00","121,165,830.00","745,586,640.00"
收到其他与经营活动有关的现金,"71,856,978.66","11,143,581.98","12,439,210.14","336,407.33","413,477.58","4,741,495.59","6,462,891.59","2,292,999.53","577,248.27","7,996,678.69","6,675,034.23","1,331,655.39","5,995,044.30","14,443,882.82","9,540,073.49","1,632,604.19","21,938,493.37","59,353,569.20","57,665,767.40","17,462,961.39","23,104,715.69","58,364,847.51","63,052,806.57","15,851,113.83","51,948,362.54","71,977,195.50","119,480,748.49","20,802,075.08","13,795,528.98","63,905,136.15","292,770,835.01","25,942,621.66","292,260,367.46"
投资活动现金流出小计,"68,946,441.27","131,770,255.91","157,956,456.98","48,977,759.67","126,662,680.27","181,496,610.74","249,564,414.60","63,699,454.50","109,207,593.73","127,498,203.77","213,842,253.11","71,239,036.12","122,128,747.88","138,038,156.26","343,477,046.80","21,875,765.61","80,444,994.53","542,212,813.97","613,571,336.04","37,869,390.70","200,871,878.22","512,047,616.87","485,216,725.53","481,467,453.31","626,785,875.55","772,451,429.96","585,016,341.41","165,568,944.08","363,333,491.00","636,491,648.07","883,094,021.48","1,607,001,622.74","2,639,980,074.61"
经营活动现金流入小计,"528,560,727.59","619,221,326.29","995,531,691.22","184,949,199.66","518,143,377.36","808,270,141.60","1,074,611,576.10","223,250,250.81","552,801,188.18","800,175,105.54","1,061,894,286.29","258,602,576.06","567,165,359.53","921,205,910.40","1,269,577,650.22","315,587,408.40","678,032,134.15","1,201,932,418.15","1,916,334,150.42","513,781,490.14","1,244,491,658.03","2,139,503,834.38","2,838,339,769.46","854,295,840.17","1,830,044,154.75","2,786,109,506.09","3,185,002,617.91","832,694,955.52","1,647,530,726.83","2,460,847,187.97","2,910,293,955.61","1,327,327,689.06","3,189,447,118.42"
投资活动产生的现金流量净额,"-67,944,243.19","-128,582,936.21","-157,228,510.25","-48,977,759.67","-126,512,680.27","-180,985,610.74","-246,617,805.56","-63,379,454.50","-106,187,593.73","-122,895,495.48","-210,882,852.86","-71,239,036.12","-122,128,747.88","-121,013,556.27","-309,967,357.28","-19,221,361.88","-74,650,261.09","-473,535,478.14","-526,455,672.97","-34,459,343.03","-178,043,561.68","-471,124,963.27","-455,805,960.71","-314,187,583.96","-349,454,157.93","-402,031,906.92","-532,766,657.87","-91,225,630.74","73,655,989.38","120,282,879.04","-153,467,930.38","-1,324,321,708.51","-2,214,532,499.96"
购买商品、接受劳务支付的现金,"334,619,504.70","384,985,299.21","727,294,541.29","107,622,422.76","399,402,674.06","654,580,339.55","806,933,537.41","158,890,536.73","432,209,153.46","639,667,001.99","764,050,759.46","160,606,057.85","340,774,417.10","633,140,169.87","900,771,071.72","259,546,982.18","480,911,979.72","828,728,306.95","1,220,580,445.95","321,745,679.99","849,268,825.76","1,380,383,840.79","1,607,281,120.16","529,305,126.49","1,126,148,538.17","1,739,445,098.78","1,480,604,224.33","538,384,068.33","1,007,753,415.09","1,594,228,909.51","1,567,843,681.29","847,666,909.84","2,034,820,561.42"
吸收投资收到的现金,,,,,,"998,700,000.00","991,765,000.00",,,,,,,,,,,"390,000,000.00","390,000,000.00",,,"100,000.00",,,,,,,,"2,000,000.00","2,000,000.00","4,096,393,500.00","4,082,778,774.00"
支付给职工以及为职工支付的现金,"27,618,208.02","37,643,177.34","58,997,562.71","26,902,051.28","42,655,972.10","58,016,089.00","76,724,809.71","30,843,299.40","52,306,498.21","71,586,037.25","97,303,116.67","32,843,042.12","57,976,087.42","83,852,668.02","118,941,334.88","45,088,410.01","84,511,831.75","133,066,444.55","194,451,496.97","77,753,776.12","148,908,682.13","220,214,002.66","289,730,013.63","89,480,240.61","168,436,589.05","247,444,561.05","347,088,777.40","102,189,110.22","187,353,377.96","270,339,392.36","381,114,209.03","155,092,284.06","248,224,324.79"
取得借款收到的现金,"185,215,223.59","194,000,000.00","279,328,045.81","151,959,350.00","285,434,045.70","303,929,832.63","304,033,179.13",,"65,000,000.00","107,400,000.00","152,400,000.00","9,742,124.45","54,402,705.62","105,902,705.62","108,781,830.80","20,000,000.00","32,500,000.00","74,500,000.00","99,500,000.00","70,000,000.00","93,000,000.00","368,000,000.00","468,000,000.00","50,000,000.00","73,000,000.00","128,000,000.00","236,000,000.00","57,000,000.00","122,000,000.00","122,000,000.00","215,000,000.00","30,000,000.00","229,500,000.00"
支付的各项税费,"13,898,295.79","21,330,082.13","34,881,048.53","20,721,018.99","32,638,504.31","46,355,401.66","56,823,730.22","12,488,112.83","20,456,708.40","54,117,185.93","47,862,729.61","13,643,342.00","31,190,286.57","46,320,885.29","58,185,800.40","14,883,402.47","41,224,249.83","67,934,888.59","95,313,065.50","47,702,072.26","84,199,182.82","132,044,116.24","201,914,626.16","55,367,968.18","134,179,521.27","193,370,440.76","253,855,330.35","64,549,990.99","123,352,199.71","172,759,481.72","237,429,536.10","70,085,471.62","210,164,681.66"
收到其他与筹资活动有关的现金,,,,,"11,908,413.48","20,224,902.35","6,800,000.00",,,,,,,,,,,,,,,,,,"250,000.00","250,000.00","28,000,000.00",,,,"135,779,723.86",,
支付其他与经营活动有关的现金,"138,321,290.46","49,632,054.39","78,185,429.11","8,621,172.74","32,754,076.27","45,011,109.67","82,985,536.79","19,564,519.08","33,172,518.77","73,619,691.43","69,670,032.61","19,752,923.04","37,752,896.78","79,854,049.88","120,977,608.99","14,169,492.84","39,015,147.26","73,838,528.80","160,538,784.39","73,177,324.27","84,023,241.78","175,283,905.41","262,554,489.24","67,318,625.50","173,547,390.31","231,467,468.88","389,685,058.31","138,603,659.56","284,633,375.19","337,904,941.61","525,023,432.83","474,943,894.24","355,032,074.49"
筹资活动现金流入小计,"185,215,223.59","194,000,000.00","279,328,045.81","151,959,350.00","297,342,459.18","1,322,854,734.98","1,302,598,179.13",,"65,000,000.00","107,400,000.00","152,400,000.00","9,742,124.45","54,402,705.62","105,902,705.62","108,781,830.80","20,000,000.00","32,500,000.00","464,500,000.00","489,500,000.00","70,000,000.00","93,000,000.00","368,100,000.00","468,000,000.00","50,000,000.00","73,250,000.00","128,250,000.00","264,000,000.00","57,000,000.00","122,000,000.00","124,000,000.00","352,779,723.86","4,126,393,500.00","4,312,278,774.00"
经营活动现金流出小计,"514,457,298.97","493,590,613.07","899,358,581.64","163,866,665.77","507,451,226.74","803,962,939.88","1,023,467,614.13","221,786,468.04","538,144,878.84","800,549,102.97","978,886,638.35","226,845,365.01","467,693,687.87","843,167,773.06","1,198,875,815.99","333,688,287.50","645,663,208.56","1,103,568,168.89","1,670,883,792.81","520,378,852.64","1,166,399,932.49","1,907,925,865.10","2,361,480,249.19","741,471,960.78","1,602,312,038.80","2,411,727,569.47","2,471,233,390.39","843,726,829.10","1,603,092,367.95","2,375,232,725.20","2,711,410,859.25","1,547,788,559.76","2,848,241,642.36"
偿还债务支付的现金,"130,715,223.59","146,000,000.00","130,600,000.00","128,105,345.81","177,105,345.81","604,928,988.08","616,590,414.94","5,670,090.00","15,670,090.00","28,070,090.00","63,070,810.00",,"54,536,255.50","191,054,955.01","195,781,830.80","7,500,000.00","7,500,000.00","12,500,000.00","15,500,000.00","35,000,000.00","35,000,000.00","72,000,000.00","167,000,000.00","80,000,000.00","108,000,000.00","193,000,000.00","338,000,000.00","40,000,000.00","138,466,972.50","195,847,162.50","286,000,000.00","50,000,000.00","107,000,000.00"
经营活动产生的现金流量净额,"14,103,428.62","125,630,713.22","96,173,109.58","21,082,533.89","10,692,150.62","4,307,201.72","51,143,961.97","1,463,782.77","14,656,309.34","-373,997.43","83,007,647.94","31,757,211.05","99,471,671.66","78,038,137.34","70,701,834.23","-18,100,879.10","32,368,925.59","98,364,249.26","245,450,357.61","-6,597,362.50","78,091,725.54","231,577,969.28","476,859,520.27","112,823,879.39","227,732,115.95","374,381,936.62","713,769,227.52","-11,031,873.58","44,438,358.88","85,614,462.77","198,883,096.36","-220,460,870.70","341,205,476.06"
分配股利、利润或偿还利息支付的现金,"24,287,347.81","7,705,181.76","61,320,033.73","4,621,773.54","10,794,997.02","13,894,858.08","14,871,037.83","8,105.71","52,839,360.10","53,887,736.44","60,181,748.75","1,572,236.01","28,196,204.93","28,865,459.71","30,169,317.05","286,374.80","705,866.47","1,417,383.13","2,576,636.18","1,780,813.89","56,140,895.81","60,044,130.54","67,940,586.44","5,100,860.41","11,163,918.75","117,783,031.76","123,837,594.58","4,170,859.19","9,806,957.24","12,158,907.63","104,531,959.99","11,701,662.72","14,502,280.09"
收回投资收到的现金,,,,,,,,,,,,,,,"9,650,000.00","2,640,000.00","5,440,000.00","67,477,000.00","84,630,000.00","3,405,000.00","22,650,000.00","25,500,000.00","28,120,000.00","2,657,000.00","10,070,000.00","12,323,000.00","17,071,096.62","4,115,000.00","6,490,000.00","16,397,000.00","85,847,000.00","160,949,000.00","251,898,293.67"
支付其他与筹资活动有关的现金,,,"6,800,000.00","351,900.00","21,529,242.04","24,682,192.04",,,"2,500.00","5,370.00",,180.00,"40,556.90","1,012,351.68","5,822,000.00","1,000.00","2,924,600.50","2,953,272.50","14,036,000.00","1,251,000.00","1,651,000.00","3,651,000.00",,,"13,684.10","2,315,166.07","6,466,000.00",,,,"61,534,000.00",,"31,610,000.00"
