科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"178,230,278.57","184,583,894.96","224,499,477.73","16,624,909.07","47,185,540.24","77,431,502.19","169,416,067.64","41,616,923.85","101,488,679.52","137,296,974.26","249,500,872.08","50,490,244.03","127,081,278.11","197,883,648.50","280,511,582.52","51,475,253.65","107,083,634.50","186,024,004.05","264,586,237.31","51,968,763.38","126,141,972.72","207,669,900.17","303,041,342.78","76,928,397.10","179,312,512.16","292,766,815.48","375,191,395.32","78,711,622.71","187,426,997.41","340,370,592.67","450,319,702.41","118,165,054.75","290,483,662.79","441,284,367.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"4,701,945.94","4,701,945.94","4,701,945.94",,,,"3,468,923.70",,,"5,000,000.00",,,,"234,002.00"
收到的税费返还,"5,358,934.88","4,354,131.34","3,430,221.00","1,445,773.79","1,661,161.28","3,464,064.83","7,570,972.03","2,089,644.45","2,310,431.94","2,310,431.94","10,063,675.53","1,153,624.12","3,453,499.80","5,516,627.08","6,754,333.80","1,805,298.62","3,556,354.11","7,993,281.00","10,839,060.78","1,428,576.89","5,233,689.89","9,077,124.09","12,673,845.97","1,585,757.59","5,325,705.77","9,935,210.16","16,260,567.59","3,937,230.32","7,337,839.01","15,102,688.18","18,749,750.41","6,684,009.76","10,361,613.07","19,064,407.14"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190,000,000.00","403,600,000.00","344,000,000.00","379,000,000.00","594,924,252.05","607,924,252.05"
收到其他与经营活动有关的现金,"1,063,478.54","8,927,163.42","11,040,248.21","81,880.64","362,028.18","1,362,428.87","9,161,812.59","7,303,482.73","9,296,523.52","10,577,168.90","18,985,920.32","5,131,845.11","10,083,106.92","10,076,674.91","21,424,449.33","2,719,667.87","7,705,109.71","12,782,037.84","25,038,105.16","7,483,903.40","11,075,849.65","14,681,155.11","27,639,934.10","2,217,929.46","6,983,518.62","9,888,712.21","27,955,082.62","3,944,493.80","9,617,892.37","13,769,376.78","25,297,143.28","3,510,196.08","16,823,960.51","16,940,328.20"
投资活动现金流出小计,"3,514,859.24","68,581,354.59","24,649,277.93","9,391,842.28","23,169,009.47","54,096,142.53","71,930,943.18","16,046,920.98","31,927,806.14","42,078,390.09","64,289,264.39","26,471,369.26","39,246,707.14","51,350,706.22","81,580,468.56","12,439,976.35","26,546,277.30","31,874,448.28","61,415,777.35","19,310,052.51","24,999,896.14","31,301,575.55","46,809,416.80","15,634,959.32","26,411,481.20","37,909,320.78","68,733,070.32","19,094,751.92","212,139,311.04","451,915,836.18","382,418,677.51","389,512,705.67","612,862,578.78","644,540,721.55"
经营活动现金流入小计,"184,652,691.99","197,865,189.72","238,969,946.94","18,152,563.50","49,208,729.70","82,257,995.89","186,148,852.26","51,010,051.03","113,095,634.98","150,184,575.10","278,550,467.93","56,775,713.26","140,617,884.83","213,476,950.49","308,690,365.65","56,000,220.14","118,345,098.32","206,799,322.89","300,463,403.25","60,881,243.67","142,451,512.26","231,428,179.37","343,355,122.85","80,732,084.15","191,621,736.55","312,590,737.85","419,407,045.53","86,593,346.83","204,382,728.79","369,242,657.63","494,366,596.10","128,359,260.59","317,669,236.37","477,289,103.29"
投资活动产生的现金流量净额,"-2,575,756.24","-68,581,354.59","-24,649,277.93","-9,391,842.28","-23,169,009.47","-54,096,142.53","-71,930,943.18","-16,046,920.98","-31,927,806.14","-42,078,390.09","-64,289,264.39","-26,471,369.26","-39,246,707.14","-51,350,706.22","-81,503,545.48","-12,439,976.35","-26,546,277.30","-31,874,448.28","-61,355,777.35","-19,310,052.51","-24,999,896.14","-31,301,575.55","-46,791,766.34","-15,634,959.32","-26,411,481.20","-37,909,320.78","-68,733,070.32","-19,094,751.92","-212,139,311.04","-451,915,836.18","-377,176,061.33","-23,961,390.61","-274,603,556.33","-264,180,732.89"
购买商品、接受劳务支付的现金,"93,609,088.19","102,561,483.48","122,391,302.97","34,015,256.06","60,706,273.06","82,241,096.73","143,978,680.73","22,066,876.94","50,909,468.35","87,086,362.52","154,458,514.11","22,614,923.11","53,513,504.93","90,574,198.55","131,129,701.04","30,150,677.03","56,227,191.08","102,295,285.28","115,025,035.51","27,883,241.78","61,941,563.86","104,105,888.40","161,086,821.35","34,134,268.25","95,506,090.15","170,531,053.93","200,033,168.19","40,844,392.06","102,441,014.76","179,539,327.91","226,251,754.51","43,062,832.61","141,542,979.84","196,282,788.10"
吸收投资收到的现金,"2,000,000.00",,,"636,480,000.00","636,480,000.00","636,480,000.00","636,480,000.00",,,,,,,,,,,,"1,400,000.00",,"900,000.00","900,000.00","900,000.00","1,000,000.00","1,000,000.00","1,000,000.00","3,205,000.00","915,419,934.68","936,142,790.49","936,142,790.49","936,142,790.49",,,
