科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"259,194,682.29","212,279,765.76","249,145,306.91","52,751,519.60","86,684,848.60","148,773,515.79","320,586,950.17","82,107,814.03","150,613,782.23","268,601,296.22","480,425,395.85","95,591,608.11","209,377,860.81","365,406,656.26","802,471,806.26","210,647,587.51","423,085,038.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"15,721,913.36",,
收到的税费返还,"1,523,453.10","3,524,963.67","996,474.79",,"4,081,916.98","4,201,714.91","5,307,864.94","1,332,719.33","2,381,616.04","3,214,995.79","5,908,246.52","1,864,430.97","2,440,461.44","5,913,020.45","9,277,909.10","1,286,571.44","2,525,153.16"
支付其他与投资活动有关的现金,,,,,"140,000,000.00","140,000,000.00","140,000,000.00",,,"3,000,000.00","3,000,000.00",,,,,,
收到其他与经营活动有关的现金,"29,178,073.63","21,094,459.60","31,004,172.93","7,173,672.88","19,616,443.74","33,865,203.51","41,526,043.43","5,154,501.27","25,462,808.62","31,797,720.01","39,649,372.48","5,625,648.21","16,039,423.07","33,078,053.47","58,934,368.48","25,999,265.15","46,905,778.21"
投资活动现金流出小计,"436,999.59","3,739,959.56","944,613.10","4,048,527.08","144,351,662.49","145,293,385.39","150,561,136.23","3,683,505.15","14,576,813.19","23,391,858.90","27,956,085.81","4,384,690.93","12,840,304.38","17,255,513.05","42,934,916.32","477,452,972.03","487,907,755.56"
经营活动现金流入小计,"289,896,209.02","236,899,189.03","281,145,954.63","59,925,192.48","110,383,209.32","186,840,434.21","367,420,858.54","88,595,034.63","178,458,206.89","303,614,012.02","525,983,014.85","103,081,687.29","227,857,745.32","404,397,730.18","870,684,083.84","237,933,424.10","472,515,969.38"
投资活动产生的现金流量净额,"-436,999.59","-3,513,001.87","-437,613.33","-4,048,527.08","-144,351,662.49","-145,146,385.39","326,038.51","-3,683,505.15","5,521,380.78","-2,999,364.93","-7,558,215.27","-4,384,690.93","-12,840,304.38","61,206,973.77","-39,227,916.32","-473,452,972.03","-483,907,755.56"
购买商品、接受劳务支付的现金,"107,968,898.80","88,650,384.52","124,884,171.38","36,589,302.53","80,075,421.26","100,936,930.59","156,451,249.13","51,688,070.49","90,198,952.79","130,345,844.67","186,472,963.06","38,317,341.25","71,699,494.08","146,183,350.28","319,297,051.87","152,431,711.47","304,096,571.26"
吸收投资收到的现金,,,,"206,398,200.00","206,398,200.00","206,398,200.00","206,398,200.00",,,,,,,,,,"2,750,000.00"
