科目,2005年1-6月
一、营业收入,
二、营业利润,"-3,683,479.67"
减:营业成本,
加:补贴收入,
营业税金及附加,
营业外收入,
销售费用,
减:营业外支出,
管理费用,"3,308,514.24"
其中:非流动资产处置净损失,
堪探费用,
加:影响利润总额的其他科目,
财务费用,"296,674.14"
三、利润总额,"-3,683,479.67"
资产减值损失,
减:所得税,
加:公允价值变动净收益,
加:影响净利润的其他科目,
投资收益,"-78,291.29"
四、净利润,"-3,683,479.67"
其中:对联营企业和合营企业的投资权益,
归属于母公司所有者的净利润,"-3,615,223.41"
影响营业利润的其他科目,
少数股东损益,"-68,256.26"
