科目,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"105,270,976.10","235,743,296.15","449,625,191.03","417,383,434.56","414,925,935.70","498,657,597.37","407,443,248.67","405,947,801.43","583,087,349.88","459,170,695.59","440,592,382.05","584,157,940.76","544,674,523.88","360,639,252.99","951,903,213.39","1,039,239,537.56","739,597,532.49","1,366,550,973.30","1,310,567,068.07","1,294,781,747.46","1,254,812,757.00","1,848,929,037.54","2,323,208,762.74","2,189,695,775.98","2,191,839,179.71","2,581,420,685.96","2,988,066,164.70","4,164,107,505.19","4,060,846,595.98","3,249,699,692.50","3,558,458,981.33","3,002,591,317.62","3,856,931,913.08","3,342,169,533.93","3,556,240,710.59","3,899,726,028.66","6,378,603,927.73","3,416,991,912.90","4,988,066,489.53","5,056,179,438.86","5,037,108,329.62"
短期借款,"134,356,920.00","90,905,760.00","116,534,120.00","152,352,440.00","135,001,040.00","65,000,000.00","163,955,804.97","325,766,419.87","440,992,995.05","690,315,002.78","651,036,757.10","949,953,897.58","1,302,942,322.74","1,309,604,514.92","1,095,965,580.00","1,144,030,568.07","1,077,671,086.75","2,511,837,773.37","1,825,114,055.89","1,219,680,803.89","1,731,164,578.75","2,815,171,284.90","3,206,247,547.35","3,418,419,177.86","3,425,606,019.01","3,054,583,651.08","2,660,795,357.23","4,531,780,240.66","4,442,442,313.25","3,529,016,671.14","4,693,316,085.67","4,289,747,638.10","4,961,999,282.37","5,142,106,537.29","5,939,149,929.30","6,089,601,674.70","4,232,258,792.54","3,366,133,684.90","4,831,632,457.65","5,918,329,332.64","4,970,983,151.91"
交易性金融资产,,,,,,,,,,,,,,,,,,,"5,813,396.60","838,928.41","122,064.24",,"4,253,417.31","18,113,198.88","27,297,335.18",,"15,078,938.60","30,668,908.48","74,043,737.85",,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,"884,400,000.00",,,,,,,,,,,,,,,,,,,,
应收票据,"21,220,829.27","39,600,994.81","42,408,599.52","16,484,380.01","32,222,277.60","45,902,890.89","14,190,696.80","46,469,730.00","46,334,058.56","43,886,165.40","111,513,603.23","14,342,891.60","22,588,237.96","32,867,684.92","36,107,692.28","35,602,825.81","37,827,550.21","38,300,003.94","31,419,445.68","32,056,844.88","40,847,724.65","41,843,185.98","48,494,472.01","61,275,615.43","84,985,425.22","211,894,958.97","155,778,014.32","53,949,195.19","128,522,846.29","139,599,883.56","48,762,045.08","121,824,621.45","102,905,815.45","106,939,055.40","90,297,013.61","14,144,299.50","15,429,776.72","64,629,766.57","14,976,361.43","65,828,210.00","82,180,976.67"
应付票据,"35,000,000.00","165,000,000.00","130,000,000.00","125,000,000.00","185,000,000.00","85,000,000.00","350,000,000.00","245,000,000.00","265,000,000.00","50,000,000.00",,,"120,000,000.00",,,"435,000,000.00","669,000,000.00",,"774,868,000.00","785,868,000.00",,,,,"245,060,761.31","1,359,687,541.98","1,599,558,847.33","328,741,119.30","487,288,340.06","707,759,122.87","1,265,566,076.07","1,234,755,463.60","1,216,478,038.27","309,185,892.62","649,336,770.50","660,325,458.37","733,029,406.55","1,256,937,002.50","1,064,335,277.62","811,873,536.05","184,971,074.90"
应收账款,"129,248,116.57","113,885,202.55","70,442,366.85","70,624,522.70","111,547,527.02","56,592,560.13","70,710,726.40","73,197,789.59","88,919,928.95","73,009,810.36","42,808,041.01","35,875,884.01","65,128,936.28","287,542,861.91","42,127,020.84","146,035,081.68","284,595,533.73","233,838,872.55","326,427,493.02","164,712,980.33","314,584,309.01","190,714,180.65","245,370,558.80","427,893,737.61","259,133,908.40","307,342,433.55","664,168,742.07","607,935,408.28","492,749,602.88","583,334,291.35","1,142,945,675.11","1,194,224,076.89","1,318,646,334.19","314,845,222.96","773,649,438.31","1,533,997,782.84","2,154,442,800.80","607,178,195.24","914,591,658.85","824,357,166.45","1,152,074,081.77"
应付账款,"155,630,746.16","229,363,138.45","175,383,588.40","138,554,069.79","206,437,585.47","448,127,876.45","101,724,704.10","4,976,167.05","30,563,511.32","52,536,238.05","18,630,393.23","73,225,579.80","203,421,943.98","20,118,160.37","134,608,964.36","650,895,125.97","1,136,732,452.24","342,010,884.94","136,068,756.60","228,869,897.32","536,741,541.76","10,003,657.59","91,394,353.09","687,816,592.83","134,784,643.84","103,824,845.98","177,969,449.33","246,858,885.18","595,836,524.00","667,807,082.21","476,213,367.08","638,495,077.63","414,523,910.67","106,409,176.95","345,200,086.93","556,274,761.31","741,462,341.68","73,528,989.27","178,069,817.39","357,360,310.48","672,354,512.42"
预付款项,"2,696,085.50","10,267,073.86","39,738,652.43","30,232,764.34","128,539,173.32","51,011,741.69","158,798,870.05","57,622,333.96","53,327,992.17","168,955,235.43","48,744,493.62","46,722,742.30","23,720,302.64","55,733,205.51","39,899,386.40","111,637,951.02","245,597,387.75","63,698,132.39","283,577,625.15","352,345,943.49","117,924,184.75","160,085,330.06","219,917,876.91","78,832,362.42","103,410,970.02","18,398,947.70","306,858,650.05","93,981,972.92","62,934,242.31","665,878,910.16","1,831,164,655.74","1,279,388,143.25","1,000,194,641.94","255,746,066.25","729,218,985.06","671,490,788.77","689,196,945.68","294,800,474.56","915,362,214.07","589,933,886.54","430,498,700.23"
预收款项,"3,317,486.47","3,605,563.80","4,486,061.00","5,509,867.00","48,139,409.51","24,287,727.82","25,593,800.69","14,640,234.08","69,821,677.78","17,239,748.20","7,499,151.48","1,348,113.93","24,710,632.31","32,018,993.74","1,661,397.91","7,457,678.11","20,262,436.14","15,902,379.16","8,647,533.62","15,916,872.12","9,331,429.79","41,651,039.62","31,036,909.79","14,675,250.78","21,659,833.11","14,364,825.51","186,723,595.29","22,014,333.41","42,807,941.14","32,798,687.44","197,234,787.52","143,800,070.48","289,421,597.85","52,399,799.90","82,133,804.74","197,160,226.79","230,391,263.20","91,777,184.26","315,977,734.47","437,880,078.78","700,519,758.47"
