科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"128,851,539.90","163,905,966.33","194,424,419.35","77,538,904.54","206,657,148.91","33,081,234.14","75,453,113.42","125,433,291.03","304,984,975.19","63,687,945.67","146,828,713.79","236,668,321.82","508,923,077.36","72,702,155.35","149,315,077.29","326,445,316.36","676,019,042.14","78,714,059.30","165,948,367.61","294,793,659.92","621,373,955.11","162,104,498.12"
二、营业利润,"36,458,660.70","45,396,491.83","52,902,094.04","18,084,899.23","54,768,103.04","-95,801.28","2,924,126.69","2,985,539.60","53,083,820.96","-8,129,457.35","-2,926,889.61","7,417,543.47","67,861,265.65","-14,585,895.96","-29,032,445.24","-4,531,491.55","70,438,194.73","-21,259,219.21","-31,842,682.53","-54,160,386.30","-201,888,247.88","-12,270,772.37"
减:营业成本,"57,219,551.67","72,734,560.17","88,871,323.05","35,830,740.72","99,642,119.97","21,145,725.89","43,523,264.51","71,775,363.68","169,687,986.49","44,496,541.43","91,018,310.20","134,613,288.70","273,539,013.67","44,870,520.99","93,065,739.95","178,692,310.46","358,729,153.86","44,706,449.45","92,737,902.45","180,203,891.15","396,660,554.59","105,149,653.50"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,734,315.66","2,396,686.69","3,284,065.11","1,069,618.16","2,708,210.21","163,165.35","524,547.62","572,203.28","1,274,450.23","188,137.11","442,150.37","1,260,103.65","3,338,887.61","310,992.12","535,743.48","2,145,374.04","7,305,896.39","1,305,746.33","2,175,361.42","4,291,339.37","7,603,202.21","1,654,292.31"
营业外收入,"3,086,834.17","7,537,279.08","10,503,664.48","3,424,985.74","7,944,376.33","1,500,505.78","3,220,968.75","3,479,751.37","7,880,307.53","45,526.70","1,991,989.23","4,586,690.03","15,544,307.69","1,346,331.83","4,535,381.42","7,400,155.05","16,152,420.46","2,251,290.18","1,104,283.12","10,094,623.17","7,655,901.32","3,816,840.93"
销售费用,"17,189,597.86","21,023,763.86","25,501,252.67","10,172,155.16","22,797,409.88","5,662,855.94","12,999,834.11","22,009,728.85","35,617,482.85","6,810,826.18","16,507,887.43","27,624,044.51","56,974,775.34","12,316,402.97","27,674,043.01","47,720,227.44","85,542,504.71","19,325,661.01","43,462,069.95","64,211,674.73","113,901,108.61","20,905,535.75"
减:营业外支出,"88,274.95","43,392.13","29,209.94","28,104.67","41,876.00","5,379.56","5,942.06","6,795.91","93,904.11","5,032.02","95,504.73","100,492.12","541,410.91",,"2,109.67","17,869.73","80,617.18","131,898.96","131,907.88","138,407.16","153,312.55","14,043.70"
管理费用,"17,046,605.65","23,026,366.66","24,465,704.26","10,600,731.31","24,616,747.96","5,794,836.73","14,186,740.80","25,299,754.56","40,033,600.07","19,315,297.52","38,109,836.49","58,496,139.24","89,185,067.24","28,771,145.72","59,396,084.51","94,698,576.23","124,882,381.42","30,166,746.74","61,922,663.38","97,980,428.35","126,777,523.51","40,636,518.82"
其中:非流动资产处置净损失,"85,251.99","6,106.40","29,209.94","28,104.67","41,805.12","5,379.56","5,942.06","6,454.56","93,562.76","4,947.71","5,417.47","9,994.34","12,072.25",,"2,109.67","2,109.67","17,254.11",146.00,154.92,"5,849.41",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-2,081,164.15","-823,156.17","-1,406,736.18","-686,567.70","-971,059.05","-213,768.84","-624,904.84","-1,112,657.92","-910,368.33","513,677.94","1,583,121.34","3,150,930.12","4,805,439.53","250,060.31","1,209,533.75","2,678,155.35","2,845,844.88","1,346,437.58","2,597,133.30","3,962,065.63","7,217,175.30","2,524,130.50"
三、利润总额,"39,457,219.92","52,890,378.78","63,376,548.58","21,481,780.30","62,670,603.37","1,399,324.94","6,139,153.38","6,458,495.06","60,870,224.38","-8,088,962.67","-1,030,405.11","11,903,741.38","82,864,162.43","-13,239,564.13","-24,499,173.49","2,850,793.77","86,509,998.01","-19,139,827.99","-30,870,307.29","-44,204,170.29","-194,385,659.11","-8,467,975.14"
资产减值损失,"1,283,972.51","151,253.29","806,716.40","2,467,327.66","3,095,616.90","624,220.35","2,438,004.53","4,367,391.73","6,488,215.17","457,109.44","1,933,228.63","3,744,737.51","13,095,057.18","619,869.98","-844,102.46","7,232,726.10","26,986,006.53","2,121,971.55","-177,782.43","3,135,562.43","282,910,718.16","3,138,782.31"
减:所得税,"5,889,423.47","7,459,665.01","8,465,214.27","2,880,132.29","7,675,777.80","251,849.57","656,600.08","695,542.08","7,140,542.43","254,882.97","875,647.52","853,232.61","5,928,984.05","1,102,571.90","1,422,384.86","-3,409,980.77","11,149,135.18","837,521.39","1,920,676.42","1,188,773.22","19,314,235.73","2,479,909.18"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,"110,987,140.00",
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,"518,500.00","464,032.75","290,212.25","-35,813.40","-161,068.94","-361,534.62","-123,571.14","-149,059.22","2,689,519.71","2,190,561.71","710,940.38","-1,000,265.85","-1,648,991.10","-3,992,002.24","-9,471,248.12","-711,012.68"
四、净利润,"33,567,796.45","45,430,713.77","54,911,334.31","18,601,648.01","54,994,825.57","1,147,475.37","5,482,553.30","5,762,952.98","53,729,681.95","-8,343,845.64","-1,906,052.63","11,050,508.77","76,935,178.38","-14,342,136.03","-25,921,558.35","6,260,774.54","75,360,862.83","-19,977,349.38","-32,790,983.71","-45,392,943.51","-213,699,894.84","-10,947,884.32"
其中:对联营企业和合营企业的投资权益,,,,,,,,,"-228,287.75","-35,813.40","-161,068.94","-361,534.62","-123,571.14","-149,059.22","351,858.89","-147,099.11","-2,313,282.38","-1,033,797.40","-1,703,695.40","-1,836,825.93","-7,421,699.71","-983,742.66"
归属于母公司所有者的净利润,"33,081,089.85","45,246,795.65","54,911,334.31","18,601,648.01","54,994,825.57","1,147,475.37","5,482,553.30","5,895,790.29","45,309,980.64","-7,743,419.08","-5,306,578.36","8,619,540.02","53,362,089.46","-9,422,672.06","-15,192,172.54","6,158,199.73","45,736,746.94","-12,486,763.12","-15,496,284.10","-14,055,829.09","-165,502,173.01","2,331,363.92"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"486,706.60","183,918.12",,,,,,"-132,837.31","8,419,701.31","-600,426.56","3,400,525.73","2,430,968.75","23,573,088.92","-4,919,463.97","-10,729,385.81","102,574.81","29,624,115.89","-7,490,586.26","-17,294,699.61","-31,337,114.42","-48,197,721.83","-13,279,248.24"
