科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"53,237,366.27","63,322,194.03","37,804,612.57","32,479,960.15","37,142,103.45","248,444,752.23","121,772,162.37","174,337,449.11","128,228,017.37","292,480,966.96","166,527,066.65","159,941,055.10"
短期借款,,,,,,,,,"34,977,889.46","39,661,758.50","90,000,000.00","99,712,264.30"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"24,580,717.71","25,285,571.19","36,927,191.73","22,784,867.59","25,718,606.02","18,694,617.32","25,040,924.14","18,087,656.12","28,979,686.06","22,450,294.25","34,103,638.74","49,644,260.45"
应付票据,"8,402,000.00","16,091,908.26","10,971,058.38","5,000,000.00","4,840,000.00","4,850,000.00","5,500,000.00","7,920,000.00","17,070,000.00","14,700,000.00","3,000,000.00","13,100,000.00"
应收账款,"134,228,300.97","121,682,569.26","120,248,765.30","135,898,853.78","143,042,738.17","145,129,017.24","135,293,889.25","136,712,453.71","219,485,714.93","252,593,655.14","327,627,715.03","317,795,425.31"
应付账款,"68,774,901.94","56,193,341.22","66,444,626.06","64,606,699.11","63,296,469.66","64,836,471.70","78,772,107.48","71,181,369.60","105,715,792.82","127,185,727.55","136,507,953.52","110,844,543.15"
预付款项,"13,064,416.73","7,793,628.23","2,519,990.59","4,641,138.30","3,992,869.00","1,494,707.45","2,161,656.88","3,295,872.78","7,363,159.10","13,097,408.02","5,610,159.55","4,218,019.26"
预收款项,"767,516.39","659,230.56","542,582.33","736,847.14","645,015.62","736,348.37","417,156.00","1,433,451.11","971,634.59","1,309,851.95","875,099.63","688,288.94"
其他应收款,"424,273.05","4,488,958.18","5,597,082.45","5,880,376.86","3,720,162.95","4,469,868.29","3,006,396.07","3,485,618.56","7,277,830.76","7,680,820.49","4,990,933.65","6,396,335.31"
应付职工薪酬,"7,013,113.42","5,301,970.74","5,255,400.68","4,572,312.11","3,979,070.42","4,598,447.17","5,499,031.66","4,275,865.65","5,731,349.45","9,776,254.28","17,802,212.90","8,376,324.60"
应收关联公司款,,,,,,,,,,,,
应交税费,"6,874,250.53","6,883,479.46","6,539,291.09","5,852,665.88","9,571,906.15","7,116,718.07","6,805,996.44","5,019,839.20","8,653,066.53","11,738,197.42","18,430,087.20","14,811,035.52"
应收利息,,,,,,,"820,438.36",,"476,712.33",,,
应付利息,,,,,,,,,,,"94,250.00",
应收股利,,,,,,,,,,,,
应付股利,"11,395,987.50","34,079,880.00","9,320,493.55","5,516,249.95",,,,,,,,
存货,"46,026,319.70","44,285,122.23","46,243,989.76","45,230,495.58","43,137,262.29","46,442,250.23","50,139,924.51","52,325,352.43","70,986,711.94","91,614,215.90","103,335,955.13","105,382,025.44"
其他应付款,"4,605,565.54","3,581,156.22","4,507,390.45","6,003,634.28","6,847,799.00","13,613,108.16","6,728,377.00","6,687,412.81","274,520,300.37","10,648,769.71","33,033,984.93","33,082,340.74"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,889.35,,,
一年内到期的非流动负债,,,,,,,,,,,,
其他流动资产,,,,,,,"120,000,000.00","70,000,000.00","120,499,288.00","478,739.65","1,668,539.87","1,309,427.89"
其他流动负债,,,,,,,,,,,,
流动资产合计,"271,561,394.43","266,858,043.12","249,341,632.40","246,915,692.26","256,753,741.88","464,675,212.76","458,235,391.58","458,244,402.71","583,298,009.84","680,396,100.41","643,864,008.62","644,686,548.76"
流动负债合计,"107,833,335.32","122,790,966.46","103,580,842.54","92,288,408.47","89,180,260.85","95,751,093.47","103,722,668.58","96,517,938.37","447,640,033.22","215,020,559.41","299,743,588.18","280,614,797.25"
可供出售金融资产,,,,,,,,,,,,
长期借款,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,"2,143,241.85","2,143,241.85"
固定资产,"30,414,808.04","28,396,704.26","67,953,462.41","66,998,147.69","65,732,778.87","65,232,161.61","64,411,761.94","64,146,513.53","72,954,123.99","72,716,383.10","181,233,054.70","177,866,366.21"
递延所得税负债,,,,,,,,,"3,084,892.04","2,950,175.83","26,136,255.92","25,710,053.99"
在建工程,,,"1,436,653.87","2,111,641.87","3,511,641.87","8,301,641.87","35,884,074.30","37,674,365.56","82,862,720.36","82,853,784.03","54,218,089.22","54,092,941.29"
其他非流动负债,,,,,,,,,,"610,204.84",,"93,124.95"
工程物资,,,,,,,,,,,,
非流动负债合计,,,,,,,,,"3,742,949.91","3,560,380.67","28,279,497.77","27,946,420.79"
固定资产清理,,,,,,,,,,,,
负债合计,"107,833,335.32","122,790,966.46","103,580,842.54","92,288,408.47","89,180,260.85","95,751,093.47","103,722,668.58","96,517,938.37","451,382,983.13","218,580,940.08","328,023,085.95","308,561,218.04"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","160,000,000.00","193,027,584.00","193,027,584.00","193,027,584.00"
油气资产,,,,,,,,,,,,
资本公积,"48,621,697.37","48,621,697.37","48,621,697.37","48,621,697.37","48,621,697.37","219,555,112.52","219,555,112.52","219,555,112.52","541,585,204.15","827,881,167.02","828,500,620.79","829,232,899.77"
无形资产,"3,728,601.26","26,413,660.57","25,823,587.33","25,676,069.02","25,528,550.71","25,381,032.40","25,233,514.09","25,085,995.78","54,284,542.20","53,208,752.85","140,657,131.29","139,010,067.81"
盈余公积,"10,033,521.41","14,119,687.35","18,686,142.07","18,686,142.07","18,686,142.07","18,686,142.07","23,578,037.87","23,578,037.87","23,578,037.87","23,578,037.87","26,802,718.86","26,802,718.86"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,
商誉,,,,,,,,,"543,381,363.57","543,381,363.57","533,802,368.85","533,802,368.85"
未分配利润,"65,035,622.97","63,614,295.27","100,633,638.02","108,897,551.35","121,681,057.29","131,048,224.51","138,154,731.46","146,598,175.48","147,036,377.29","170,402,423.11","181,264,195.91","199,545,322.89"
长期待摊费用,"424,833.33","2,138,153.91","1,503,198.03","1,353,319.76","1,221,164.09","1,089,008.42","962,408.47","846,919.48","795,332.20","745,663.72","1,013,595.87","618,092.12"
少数股东权益,,,,,,,,,,,"8,044,560.39","7,828,410.57"
递延所得税资产,"394,540.01","340,084.59","463,785.96","438,928.66","421,280.16","361,515.51","283,400.05","251,067.18","220,434.28","168,104.40","5,420,729.06","5,345,752.61"
外币报表折算价差,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,"5,453,788.29","9,576,016.48"
非正常经营项目收益调整,,,,,,,,,,,,
非流动资产合计,"34,962,782.64","57,288,603.33","97,180,687.60","96,578,107.00","96,415,415.70","100,365,359.81","126,775,158.85","128,004,861.53","754,498,516.60","753,074,051.67","921,798,757.28","920,311,605.37"
所有者权益(或股东权益)合计,"198,690,841.75","201,355,679.99","242,941,477.46","251,205,390.79","263,988,896.73","469,289,479.10","481,287,881.85","489,731,325.87","886,413,543.31","1,214,889,212.00","1,237,639,679.95","1,256,436,936.09"
资产总计,"306,524,177.07","324,146,646.45","346,522,320.00","343,493,799.26","353,169,157.58","565,040,572.57","585,010,550.43","586,249,264.24","1,337,796,526.44","1,433,470,152.08","1,565,662,765.90","1,564,998,154.13"
负债和所有者(或股东权益)合计,"306,524,177.07","324,146,646.45","346,522,320.00","343,493,799.26","353,169,157.58","565,040,572.57","585,010,550.43","586,249,264.24","1,337,796,526.44","1,433,470,152.08","1,565,662,765.90","1,564,998,154.13"
