科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"57,894,241.45","213,735,997.25","169,094,632.43","185,413,245.01","138,842,565.02","126,285,678.91","97,766,149.33","118,396,851.64","95,941,201.37","103,487,761.07","90,132,956.78","90,544,184.28","76,189,001.78","75,424,676.49","84,837,588.37","63,785,106.23","75,407,394.43","81,186,463.19","89,906,819.97","54,079,504.79","51,209,173.11","51,250,379.95","53,938,744.64","45,149,199.52","168,370,262.77","142,458,802.37","110,231,550.97","137,366,869.26","102,199,738.45","134,068,846.17","200,661,408.48","181,034,371.64","280,929,861.55","99,497,738.29","287,738,324.37","774,315,380.36","546,870,427.54","334,708,372.00","295,285,182.54","435,522,837.82","294,070,871.23","178,520,805.67","183,753,182.54","110,875,317.36"
短期借款,"94,500,000.00","99,000,000.00","69,000,000.00","129,000,000.00","93,000,000.00","94,500,000.00","92,920,000.00","120,000,000.00","90,000,000.00","110,000,000.00","92,000,000.00","104,000,000.00","103,500,000.00","99,810,000.00","81,500,000.00","81,500,000.00","81,500,000.00","81,500,000.00","101,500,000.00","121,500,000.00","121,500,000.00","121,500,000.00","120,000,000.00","120,000,000.00","90,000,000.00","90,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","90,000,000.00","150,000,000.00","201,000,000.00","201,000,000.00","201,000,000.00","171,000,000.00","190,000,000.00","460,100,000.00","460,000,000.00","450,000,000.00","520,000,000.00","440,000,000.00","440,000,000.00","390,000,000.00","320,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"942,891.00",,,"5,738,400.00","7,195,277.46","130,000.00","1,275,000.00","1,549,300.00","2,310,000.05","4,650,000.00","5,856,360.00","9,044,568.90","4,085,889.38","1,988,089.38","3,864,000.00","4,030,000.00","2,175,760.46","2,910,000.00","4,433,240.60","7,876,824.67","14,099,833.83","11,678,659.42","14,383,300.00","14,292,278.38","17,513,927.18","17,574,788.05","5,351,710.93","5,831,781.62","3,794,536.40","10,026,263.54","1,514,590.00","853,800.00","5,961,361.10","7,759,524.62","4,538,086.53","2,201,349.53","12,852,255.34","11,697,300.00","2,367,390.00","5,127,554.61","8,651,961.13","4,165,760.57"
应付票据,"2,969,658.25","4,421,500.70","3,549,768.80","892,228.00","300,000.00",,,,,,,,,,,,,,,,,,,,,,,,"14,000,000.00","14,210,000.00","7,430,000.00","15,291,455.15","20,080,889.15","62,925,904.10","274,461,562.10","279,874,166.10","191,345,722.20","187,180,978.80","119,278,627.30","112,843,648.50","116,443,663.80","120,023,959.10","65,933,899.50","60,209,554.80"
应收账款,"29,025,352.14","26,427,590.44","28,046,385.99","41,112,897.06","42,152,549.58","44,986,988.96","36,152,527.52","44,617,332.10","46,249,313.07","47,978,162.09","46,564,103.17","49,506,035.63","60,193,252.86","57,492,179.11","47,069,819.51","49,713,477.00","49,053,814.32","50,985,757.84","45,406,102.14","50,919,627.25","65,432,178.95","64,047,975.08","64,938,588.06","69,580,058.70","76,289,538.15","78,940,863.89","74,958,064.19","78,413,946.20","108,565,947.79","110,073,754.46","102,597,693.13","108,820,578.38","136,958,154.52","124,388,920.35","194,944,118.83","202,946,284.98","207,575,897.97","229,142,414.25","268,454,288.64","325,142,620.82","323,794,073.48","307,537,992.62","115,741,227.56","116,116,852.90"
应付账款,"12,810,890.75","11,609,225.14","7,103,131.42","7,659,852.73","17,497,276.48","11,331,794.56","15,550,100.82","12,328,209.45","12,171,664.88","11,191,837.93","13,895,245.27","12,623,441.59","18,082,016.07","15,707,718.27","13,275,597.51","15,893,193.43","15,688,950.89","13,085,282.57","12,560,253.63","13,286,578.98","17,982,649.60","16,578,130.65","16,938,522.51","16,939,590.56","19,739,235.82","20,853,827.10","22,627,802.53","20,981,863.13","54,552,472.31","50,129,405.95","48,532,104.12","38,677,328.65","60,462,530.02","42,566,756.80","54,081,684.82","77,276,920.43","74,827,588.34","95,134,201.06","55,576,606.29","47,198,616.22","56,763,307.04","59,575,204.76","61,277,440.96","55,705,470.44"
预付款项,"13,752,106.28","11,828,815.54","14,615,890.98","22,190,573.75","17,942,671.23","16,394,683.42","12,340,822.09","13,234,206.55","12,969,923.29","21,234,828.48","19,482,543.48","17,439,134.14","19,680,242.09","12,516,490.55","9,416,800.44","12,866,809.37","8,283,257.08","7,111,312.55","4,738,899.22","55,225,362.52","6,304,892.03","6,994,811.79","3,292,535.68","9,234,425.90","6,149,218.95","10,469,635.83","4,700,709.81","15,468,372.54","19,010,694.05","21,315,710.31","10,532,780.68","21,452,390.53","63,389,211.65","89,223,625.40","119,969,313.67","200,798,308.96","298,197,149.75","349,618,712.00","338,164,350.41","312,454,398.13","333,756,156.99","245,886,022.90","151,059,210.43","157,559,337.31"
预收款项,"965,589.70","2,091,606.15","1,634,664.88","2,274,438.60","1,676,814.00","6,548,932.31","1,395,114.94","1,589,264.29","1,698,444.39","2,199,670.26","2,012,927.94","4,140,994.75","3,416,172.87","4,809,360.64","3,709,612.72","4,063,852.98","2,821,944.01","2,620,458.76","3,737,810.43","3,002,461.66","6,617,526.45","6,962,400.91","2,833,599.12","4,130,872.08","3,520,511.82","3,291,922.52","8,678,412.87","5,683,255.35","6,426,208.21","11,188,423.06","4,759,055.57","10,274,841.24","6,627,865.35","5,965,245.97","8,150,368.77","10,219,741.85","36,328,376.96","22,858,890.88","9,844,774.94","14,215,094.64","12,875,274.05","10,173,223.32","16,823,591.35","22,208,676.10"
其他应收款,"348,999.16","1,184,772.73","277,893.70","14,214,441.41","4,103,000.58","1,291,224.16","1,597,834.73","1,226,035.92","4,783,637.59","3,926,014.41","2,132,980.34","1,915,747.66","1,523,064.21","6,040,787.09","10,741,831.27","11,075,772.97","7,774,719.22","7,093,430.03","6,528,809.55","6,834,874.15","6,727,509.36","3,625,877.36","2,826,492.72","4,516,733.18","4,808,834.44","1,354,253.21","388,024.72","693,791.90","4,961,604.23","5,159,976.73","2,170,235.78","5,321,974.31","7,182,255.48","11,221,380.51","7,700,542.69","7,489,456.19","8,838,104.08","14,215,477.89","17,513,657.92","18,678,201.55","42,753,992.67","548,871,948.14","319,363,016.08","319,654,211.64"
应付职工薪酬,"418,881.45","611,594.77","483,526.90","375,877.42","470,215.32","84,428.25","571,498.40","579,574.25","396,198.45","919,726.97","628,041.96","620,916.56",,"247,246.46","1,437,636.30","1,335,221.72","396,945.80","3,312,409.60","3,241,670.09","1,306,723.50","304,563.50","356,262.87","1,498,232.51","321,242.35","323,488.07","939,804.90","4,094,465.02","640,603.35","3,900,099.64","2,140,350.60","6,446,235.97","574,525.85","609,735.39","55,469.86","6,654,786.38","70,414.15","132,694.36","160,646.85","7,601,265.91","267,132.85","458,106.34","209,952.55","5,566,833.19","1,688,211.27"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,930,788.01","980,427.53","2,990,582.97","2,644,935.98","2,434,032.99","-288,753.21","-1,591,821.10","-1,272,553.72","2,330,658.53","100,512.48","-454,736.85","-1,360,856.95","1,396,145.88","-548,682.14","252,866.11","-625,542.52","-413,390.26","837,974.54","1,495,738.99","1,036,845.09","1,668,580.40","1,065,517.48","3,713,050.65","3,250,830.36","2,251,138.71","2,157,247.95","2,594,944.36","3,143,069.72","1,684,432.57","3,473,903.16","9,931,333.45","7,025,784.31","5,836,766.96","5,297,394.66","13,101,644.92","15,291,678.83","15,135,146.65","12,911,045.37","27,735,014.66","32,421,633.13","17,030,084.37","39,472,542.91","16,248,296.52","11,401,630.43"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,787,463.01","1,315,068.49","4,820,690.41","2,302,991.79","2,141,823.04","415,850.45","954,739.72","727,890.41",,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,"128,338.87",,,,,,,,,,,,,,,"352,440.03",,"576,111.12","884,111.12","795,369.05","919,015.89","3,171,223.51","1,308,480.45","1,408,574.32","1,541,271.78","1,246,525.11","1,125,834.27","1,037,767.32","1,768,669.23"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,779,828.80",,,,,,,,"28,991,469.70",,,,,,,
存货,"47,374,903.56","54,435,202.85","53,219,045.35","57,629,789.47","62,563,597.13","67,214,661.53","69,160,081.13","68,938,651.80","63,152,599.78","66,823,858.54","64,656,912.26","68,289,024.34","68,949,397.33","70,889,487.75","64,128,854.93","65,959,755.40","65,501,457.21","63,847,582.46","63,880,156.65","63,683,659.07","77,351,781.45","79,841,891.15","72,495,283.62","73,921,114.60","75,255,934.49","78,565,558.22","78,535,622.82","81,200,020.28","76,318,283.81","81,085,086.10","86,791,197.72","90,527,880.12","96,433,198.15","134,215,797.62","205,912,494.92","157,254,246.50","181,800,177.53","161,614,013.22","164,187,582.78","171,524,432.61","172,109,980.90","139,690,702.29","136,315,432.91","143,167,063.45"
其他应付款,"818,274.83","5,435,392.50","1,736,405.72","1,339,183.30","2,048,769.77","2,023,687.57","6,131,501.50","5,657,452.56","5,979,549.05","6,456,146.99","5,507,830.31","5,498,548.42","5,820,017.63","6,542,014.28","1,194,358.18","1,246,848.24","1,855,254.81","2,641,155.30","1,339,952.24","2,384,447.48","4,187,674.30","4,732,035.56","1,964,651.47","1,969,133.14","2,831,598.86","2,364,533.55","1,248,204.99","1,413,389.53","27,632,845.54","24,827,001.61","21,303,726.84","21,386,358.62","21,396,463.94","103,455,414.14","40,079,070.59","41,963,436.75","18,147,960.79","4,746,583.55","4,547,253.73","8,412,265.96","133,289,736.00","132,559,318.77","139,196,767.15","185,454,045.29"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,"20,000,000.00","20,000,000.00",,,,,,,"20,000,000.00",,,,,,,,,,,,,,,,,,,,"49,000,000.00",,,,,,,,"206,000,000.00","206,000,000.00"
