科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"120,191,135.26","209,949,527.53","290,262,858.44","173,988,259.72","322,379,404.26","451,401,403.73","60,412,326.77","164,542,510.60","287,899,644.28","482,277,366.35","105,186,543.50","282,860,288.87","498,968,095.47","735,444,686.43","164,899,377.58","379,663,772.46","719,029,050.42","1,472,253,957.02","445,368,572.60","1,237,215,292.01","2,128,998,345.13","3,143,474,491.15","718,584,763.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"29,200,630.82","34,987,200.00","34,987,200.00","188,447,336.39","201,255,723.78",,"95,274,430.95","106,197,730.95","106,197,730.97","335,079,315.00","341,662,401.87","341,662,401.87","359,662,401.87",
收到的税费返还,,,,,"4,913.66","5,479.72",,,,,,,,,,,,,,"857,839.99","1,261,633.72","1,247,224.22",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"656,000.00","656,000.00","656,000.00",
收到其他与经营活动有关的现金,"11,480,003.86","2,776,177.19","6,100,405.07","6,694,580.80","8,042,901.15","8,768,730.41","5,150,108.90","8,865,584.91","9,227,569.25","24,884,744.35","36,465,684.97","50,354,552.78","105,597,765.88","129,866,615.00","127,102,947.62","221,480,482.39","266,393,761.16","244,264,095.58","123,471,371.74","82,703,311.23","97,400,237.29","117,425,628.98","34,832,162.22"
投资活动现金流出小计,"40,547,869.58","24,261,363.05","50,173,432.87","15,071,086.00","23,850,875.94","29,971,503.14","11,273,869.50","50,741,792.08","56,387,829.09","105,677,088.73","44,156,841.22","403,066,955.64","642,181,083.16","749,125,257.33","64,625,817.44","172,977,562.09","268,580,368.92","358,789,209.00","489,372,415.45","578,509,019.83","650,589,995.81","708,719,601.87","68,772,994.33"
经营活动现金流入小计,"131,671,139.12","212,725,704.72","296,363,263.51","180,682,840.52","330,427,219.07","460,175,613.86","65,562,435.67","173,408,095.51","297,127,213.53","507,162,110.70","141,652,228.47","333,214,841.65","604,565,861.35","865,311,301.43","292,002,325.20","601,144,254.85","985,422,811.58","1,716,518,052.60","568,839,944.34","1,320,776,443.23","2,227,660,216.14","3,262,147,344.35","753,416,925.52"
投资活动产生的现金流量净额,"-40,547,869.58","-24,237,914.66","-49,193,289.77","-15,071,086.00","-23,850,875.94","-29,971,503.14","-11,273,869.50","-50,741,792.08","-56,387,829.09","-105,677,088.73","-44,156,841.22","-214,591,368.63","-346,272,879.72","-352,819,245.67","-64,625,817.44","-129,440,842.09","-225,043,648.92","-302,801,683.61","-489,325,254.70","-576,276,007.77","-648,356,983.75","-704,970,589.62","-68,772,994.33"
购买商品、接受劳务支付的现金,"81,541,145.72","113,126,690.26","188,945,037.39","119,129,764.39","200,773,791.35","257,825,863.52","85,406,715.31","178,470,324.40","289,598,041.58","351,442,546.17","89,290,751.69","179,392,293.51","277,615,701.73","421,403,573.90","149,767,113.39","263,135,223.19","707,665,657.33","1,245,115,903.91","372,271,188.49","1,074,822,809.40","1,565,855,553.61","2,042,221,508.16","427,620,293.54"
吸收投资收到的现金,"52,500,000.00",,,,,"262,125,000.00",,"9,000,000.00","9,000,000.00","9,000,000.00","505,177,000.00","505,177,000.00","505,177,000.00","505,177,000.00",,,,,,,,,
