科目,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"65,624,572.85","36,065,250.77","51,644,067.59","81,561,332.21","142,220,418.63","18,225,357.38","15,964,803.66","48,501,901.81","65,536,228.84","60,180,776.18","79,287,764.87","114,697,026.16","137,289,436.61"
短期借款,"20,000,000.00","20,000,000.00","31,000,000.00",,,,,,,,"13,168,779.00","28,405,312.00","21,978,222.50"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,,,,,"753,553.89","2,486,445.70","1,780,000.00","1,869,719.67","3,091,033.88","1,505,153.52","2,004,776.23","9,061,557.42","766,040.50"
应付票据,"33,860,000.00","31,248,000.00","45,060,000.00","33,480,000.00","24,970,000.00","55,544,000.00","98,451,684.40","125,214,784.40","132,619,458.82","79,086,758.82",,"111,083,866.43",
应收账款,"24,760,058.10","21,181,466.11","44,919,485.35","27,523,672.32","37,550,555.13","47,921,856.29","51,139,717.45","56,619,683.81","113,740,240.81","76,700,990.02","99,761,419.62","147,457,640.31","138,536,963.03"
应付账款,"26,879,297.54","50,210,753.65","45,629,790.24","34,816,553.46","40,576,830.78","35,156,714.37","52,418,155.64","71,049,828.73","103,803,400.79","90,450,309.48",,"199,186,168.45",
预付款项,"565,584.72","271,272.81","297,224.59","1,567,026.06","350,979.15","496,962.44","1,197,403.51","656,386.64","4,008,723.64","1,461,146.37","2,641,480.82","1,485,901.67","1,826,330.33"
预收款项,,,,,,,,,,,,,
其他应收款,"7,337,450.14","7,128,363.23","466,740.50","970,066.71","912,457.51","1,279,376.48","1,100,592.82","10,534,090.60","1,890,000.23","2,125,300.84","3,576,277.11","2,173,207.68","7,874,738.72"
应付职工薪酬,"1,656,447.09","2,106,497.67","3,501,256.25","5,147,650.57","3,181,147.48","3,285,626.25","4,434,861.01","6,185,091.81","6,124,276.77","7,704,273.54","8,696,606.77","15,126,108.07","8,333,625.08"
应收关联公司款,,,,,,,,,,,,,
应交税费,"9,135,839.78","5,229,972.57","14,236,162.21","5,186,131.01","5,755,603.85","9,209,078.66","12,435,191.14","5,959,070.68","13,826,494.97","14,566,599.04","8,259,057.59","10,453,030.45","12,606,029.75"
应收利息,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,"34,323.09","29,212.72"
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,
存货,"24,774,543.93","29,643,522.08","41,257,212.14","38,919,859.57","37,754,971.89","34,733,562.61","40,188,099.48","49,181,684.15","72,102,659.06","63,673,830.38","86,717,259.21","117,335,759.21","103,055,129.42"
其他应付款,"2,069,890.21","3,996,046.96","1,268,910.37","4,104,402.57","3,519,337.74","1,733,117.56","2,555,253.26","2,201,211.58","25,242,125.45","3,696,435.60","5,832,071.80","7,960,522.90","5,429,631.40"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"2,606,710.24","7,032,900.13","484,750.26","355,372.86","171,711,649.03","306,352,657.09","354,804,209.42","286,363,369.62","145,612,496.30","87,355,981.52","45,623,515.44","34,039,268.48","54,356,277.34"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"125,668,919.98","101,322,775.13","139,069,480.43","150,897,329.73","391,254,585.23","411,496,217.99","466,174,826.34","453,726,836.30","405,981,382.76","293,003,178.83","319,612,493.30","426,250,360.93","443,704,915.95"
流动负债合计,"93,601,474.62","112,791,270.85","140,696,119.07","82,734,737.61","78,002,919.85","104,928,536.84","170,295,145.45","210,609,987.20","281,615,756.80","195,504,376.48","236,747,943.26","372,215,008.30","380,496,810.48"
可供出售金融资产,,,,,,,,,,,,,
长期借款,"24,650,000.00",,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,"5,000,000.00","5,000,000.00","5,000,000.00","23,000,000.00","18,000,000.00","18,000,000.00","18,000,000.00",,,,,,
长期股权投资,,,,,,,,,,,,,
