科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"559,566,658.00","559,007,003.62","555,279,746.50","287,323,003.09","452,052,905.59","640,106,967.89","166,551,098.98","291,153,815.33","505,202,823.08","789,389,161.18","215,231,950.98","496,019,271.06","801,268,596.78","1,014,309,404.97","301,121,005.74","667,729,225.33","1,056,086,138.87","1,311,698,561.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"100,710,954.92",,,,,,,,
收到的税费返还,"6,760,784.72","3,438,660.17","3,467,663.82","5,403,118.62","7,153,485.43","7,153,485.43","774,185.05","902,305.36","2,506,791.77","5,633,030.32","1,053,076.11","1,295,670.21","3,238,752.65","4,714,039.72","1,987,296.01","3,693,137.26","5,561,349.71","6,970,188.57"
支付其他与投资活动有关的现金,,,"760,000.00","953,300.00","953,300.00","274,100.00",,,"40,033.73","4,341,041.29",,"23,927.14","23,927.14","100,011,021.16",,,,
收到其他与经营活动有关的现金,"12,160,246.02","12,983,741.66","13,516,748.30","6,151,512.87","43,619,797.33","15,468,496.28","6,092,916.40","40,273,022.73","51,815,491.88","18,789,096.51","16,376,146.00","16,700,917.75","22,911,965.46","23,629,103.25","14,704,701.96","26,094,229.78","32,059,806.42","30,139,770.96"
投资活动现金流出小计,"131,908,705.31","58,841,487.93","55,769,600.50","28,911,307.89","44,207,053.78","100,837,412.81","28,716,761.96","39,562,689.37","56,281,523.81","257,165,364.52","8,825,397.76","65,956,454.67","99,074,646.34","284,704,755.91","54,485,381.98","104,882,939.48","182,963,449.32","280,026,600.52"
经营活动现金流入小计,"578,487,688.74","575,429,405.45","572,264,158.62","298,877,634.58","502,826,188.35","662,728,949.60","173,418,200.43","332,329,143.42","559,525,106.73","813,811,288.01","232,661,173.09","514,015,859.02","827,419,314.89","1,042,652,547.94","317,813,003.71","697,516,592.37","1,093,707,295.00","1,348,808,521.16"
投资活动产生的现金流量净额,"-53,057,510.91","-35,723,671.43","-51,545,050.50","-26,720,797.27","-36,973,815.16","-94,415,112.19","-8,503,017.18","11,459,089.24","-5,976,233.13","-112,303,455.95","12,390,972.92","-44,555,974.40","-77,271,979.77","-262,915,077.05","-54,485,381.98","-102,760,706.47","-179,825,639.77","-269,695,090.42"
购买商品、接受劳务支付的现金,"412,065,812.28","416,936,775.06","430,890,443.44","227,505,850.20","341,914,233.80","498,270,026.56","131,297,049.61","224,724,944.02","359,957,912.25","530,207,725.13","143,391,556.67","322,566,425.80","538,918,061.39","679,416,414.36","259,404,599.03","539,272,664.89","821,573,763.76","934,450,447.42"
吸收投资收到的现金,,,,,"252,214,667.39","265,500,000.00",,,"3,233,101.20","107,113,390.94","450,000.00","450,000.00","450,000.00","450,000.00",,,,
