科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"96,510,198.11","125,591,019.14","91,909,371.10","150,665,227.79","221,851,089.28","56,093,430.40","122,244,151.13","197,752,111.01","316,434,622.72","51,743,969.83","99,743,474.53","141,227,353.47","193,015,079.95","29,333,267.61","64,276,952.19","96,735,277.05","147,149,353.92","42,980,437.22","84,797,685.06","139,621,265.13","235,276,594.78","53,533,417.53","116,574,635.00","225,021,403.85","432,176,728.68","240,813,150.79","865,142,456.97","1,414,633,466.79","2,193,038,849.01","402,781,742.59","748,922,104.96","1,208,317,398.74","1,712,194,551.15","320,592,296.33","672,578,637.53","1,085,163,664.88","1,446,529,886.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,"3,783,198.63","3,783,198.63","3,932,699.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,456,598.28","2,644,611.27","809,270.64","1,463,896.27","3,301,268.70","595,538.44","1,134,622.20","2,260,004.43","3,889,054.84","1,684,666.67","6,090,649.58","6,090,649.58","4,188,786.47",,"6,307,116.38","6,837,614.69","4,156,439.44","511,284.74","960,672.77","2,434,231.34","4,048,771.67","1,210,054.66","1,725,829.02","2,526,351.45","4,044,319.14","3,618,346.56","4,403,184.16","8,263,556.00","12,267,343.82","5,596,918.12","6,565,251.46","9,285,415.09","14,227,945.18","4,238,909.74","6,963,644.38","11,249,507.90","15,040,335.23"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"293,000,000.00",,,"96,500,000.00","158,551,000.00","180,060,000.00","61,330,000.00","163,230,000.00","251,230,000.00","31,511,387.74"
收到其他与经营活动有关的现金,"7,414,707.10","2,068,112.96","1,466,096.12","2,705,131.36","4,608,232.38","3,022,061.27","4,872,668.72","7,074,428.28","7,050,502.70","17,773,775.34","20,445,010.32","25,364,597.35","27,949,991.56","4,113,883.81","15,517,129.45","34,025,900.43","32,573,989.24","5,599,719.46","12,475,483.74","21,320,167.79","34,289,477.91","4,111,036.13","13,102,360.55","21,761,787.98","30,031,657.32","8,685,816.43","17,597,340.77","22,785,490.56","60,644,672.08","26,836,476.43","44,942,724.17","101,256,704.94","62,236,643.28","45,334,068.67","65,414,258.83","75,063,318.82","69,707,174.97"
投资活动现金流出小计,"13,431,313.03","25,695,868.00","2,830,064.00","4,959,822.24","6,459,499.00","1,206,468.20","6,688,325.65","7,456,142.97","31,959,980.30","33,468,216.00","38,402,731.00","135,541,944.00","142,336,473.10","3,936,744.28","13,177,292.92","16,910,679.86","35,989,292.67","16,642,596.83","26,328,761.03","43,138,754.15","58,874,745.85","18,057,111.77","29,424,708.49","34,928,387.85","57,413,924.77","13,725,206.41","50,571,592.01","366,496,713.59","106,497,179.22","42,266,782.92","216,645,621.07","285,688,946.04","289,054,063.21","84,102,777.85","192,468,851.02","281,673,324.85","59,401,986.69"
经营活动现金流入小计,"105,381,503.49","130,303,743.37","94,184,737.86","154,834,255.42","229,760,590.36","59,711,030.11","128,251,442.05","207,086,543.72","327,374,180.26","71,202,411.84","126,279,134.43","172,682,600.40","225,153,857.98","33,447,151.42","86,101,198.02","137,598,792.17","183,879,782.60","49,091,441.42","98,233,841.57","163,375,664.26","273,614,844.36","58,854,508.32","131,402,824.57","249,309,543.28","466,252,705.14","253,117,313.78","887,142,981.90","1,445,682,513.35","2,265,950,864.91","435,215,137.14","800,430,080.59","1,318,859,518.77","1,788,659,139.61","370,165,274.74","744,956,540.74","1,171,476,491.60","1,531,277,396.60"
投资活动产生的现金流量净额,"-4,995,461.96","-25,629,868.01","-2,830,064.00","-4,959,822.24","-6,459,499.00","-1,206,468.20","-6,688,325.65","-7,456,142.97","-21,726,780.30","-33,468,216.00","-36,452,731.00","-133,591,944.00","-138,003,873.10","-3,436,744.28","-12,677,292.92","-13,900,079.86","-15,981,162.67","-15,616,596.83","-24,726,761.03","-40,920,554.15","-49,488,793.85","-17,063,511.77","-27,620,619.49","-24,057,487.85","-35,156,343.10","16,323,037.30","32,442,050.70","-182,573,101.91","130,375,396.21","-15,611,594.92","-120,969,195.74","-100,644,511.96","-105,330,289.04","44,266,039.89","39,167,853.31","89,520,888.07","25,612,493.18"
购买商品、接受劳务支付的现金,"6,233,103.42","19,807,347.08","6,041,346.85","8,323,063.27","12,970,716.69","4,572,965.70","8,848,913.10","13,966,738.10","31,372,462.56","5,938,897.09","15,922,418.69","23,123,874.04","30,824,185.43","5,163,328.82","16,953,836.43","22,732,054.52","31,579,821.02","4,793,589.68","13,397,956.73","22,142,946.25","30,881,807.74","5,643,630.01","13,498,192.47","23,348,477.83","35,750,963.87","14,431,586.61","32,788,852.05","59,164,015.91","116,568,652.89","25,921,393.70","59,714,465.79","86,487,110.89","148,599,823.13","40,136,140.54","70,405,131.68","103,591,075.50","126,454,503.97"
吸收投资收到的现金,"5,000,000.00",,,,"856,928,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"19,036,207.07","28,207,549.38","23,227,835.65","40,460,172.37","48,979,674.27","23,475,934.84","37,049,340.47","52,099,467.39","72,425,484.71","32,236,853.76","50,083,314.04","70,553,299.84","90,812,125.12","27,615,008.30","49,119,156.19","78,189,318.16","100,659,464.33","29,830,712.42","57,479,026.49","80,482,473.43","111,532,689.17","41,226,501.04","76,185,061.05","112,998,533.65","154,097,976.67","75,541,812.47","142,521,692.04","236,096,380.04","321,430,303.69","121,731,830.91","221,706,144.68","326,878,343.15","424,388,514.01","139,471,217.40","251,686,120.73","372,707,664.06","490,947,550.99"
取得借款收到的现金,,"7,500,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
