科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"294,006,572.27","351,560,237.17","453,473,450.73","79,449,758.90","227,549,823.07","348,194,577.04","458,914,293.90","113,245,246.93","257,758,353.97","406,286,275.47","523,365,449.72","129,165,462.41","248,757,218.89","410,317,908.64","538,833,888.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,"1,230,755.36","1,917,859.54","1,247,324.67","2,246,543.37","2,502,201.28","3,107,006.64","2,193,108.87","1,123,471.19","1,895,175.70","2,611,217.38","1,841,834.50","1,352,953.72","2,334,090.55","2,544,079.97","3,730,402.24"
支付其他与投资活动有关的现金,"2,920,000.00","1,190,000.00","30,000,000.00",,,,"411,367,510.00",,"490,000,000.00","630,000,000.00","922,490,252.82","130,000,000.00","218,000,000.00","326,000,000.00","454,021,471.82"
收到其他与经营活动有关的现金,"2,735,771.03","2,468,959.96","1,789,408.69","2,095,929.87","2,310,108.62","5,088,641.31","3,696,240.82","3,904,922.02","1,635,145.00","5,389,641.07","4,763,565.52","3,056,505.36","13,581,386.86","17,256,081.71","12,150,894.49"
投资活动现金流出小计,"59,965,941.55","60,886,647.79","58,032,265.21","7,555,497.33","16,429,059.06","24,767,755.98","445,641,199.88","13,523,002.93","514,003,753.56","658,918,384.96","951,003,001.78","137,965,151.73","232,809,453.34","366,222,249.65","542,061,781.73"
经营活动现金流入小计,"297,973,098.66","355,947,056.67","456,510,184.09","83,792,232.14","232,362,132.97","356,390,224.99","464,803,643.59","118,273,640.14","261,288,674.67","414,287,133.92","529,970,849.74","133,574,921.49","264,672,696.30","430,118,070.32","554,715,184.99"
投资活动产生的现金流量净额,"-46,082,201.40","-50,057,927.44","-53,687,199.58","-6,586,065.75","-15,474,911.45","-23,813,608.37","-5,711,992.28","-12,769,002.93","-20,451,971.04","-25,035,268.11","-157,132,124.93","-6,966,790.97","-2,864,115.56","44,068,638.93","-8,294,694.52"
购买商品、接受劳务支付的现金,"170,059,135.98","219,034,190.17","236,420,231.59","41,987,185.94","147,961,428.65","208,266,172.83","262,421,174.30","59,649,125.39","136,303,128.58","208,467,493.70","282,463,599.97","82,689,594.68","152,235,044.29","261,521,170.73","330,191,373.58"
吸收投资收到的现金,,,,,"255,145,250.00","305,545,250.00","305,545,250.00",,,,,,,,
支付给职工以及为职工支付的现金,"51,141,742.48","63,120,062.78","72,197,885.64","17,299,508.10","39,896,415.10","59,315,940.92","75,157,693.97","19,885,359.64","39,961,160.25","60,240,610.31","83,233,474.31","24,171,562.14","47,111,948.84","71,539,503.08","100,130,905.00"
取得借款收到的现金,"167,142,480.00","249,425,000.00","281,500,000.00","143,580,000.00","189,000,000.00","207,500,000.00","207,500,000.00","81,650,000.00","110,610,000.00","161,791,240.00","215,695,010.00",,"16,171,658.50","41,148,387.89","88,500,000.00"
支付的各项税费,"23,887,425.03","21,469,175.94","35,016,751.21","3,338,008.47","13,714,340.77","23,341,488.16","24,939,790.34","7,016,597.62","18,610,494.27","30,600,334.33","34,164,767.22","7,114,124.63","20,433,975.46","29,358,778.84","34,811,189.80"
收到其他与筹资活动有关的现金,"9,500,000.00",,,,,,,,,,,,,,
