科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
取得借款收到的现金,"1,909,832,824.00","4,150,890,523.80","2,193,406,821.00","2,467,770,821.00","3,904,121,821.00","4,413,619,160.00","406,582,200.00","2,548,732,721.60","5,628,245,012.00","7,135,332,940.00","2,655,425,900.00","3,872,769,400.00","3,929,928,400.00","4,379,253,400.00","46,995,629.65","1,122,054,780.85","2,302,820,393.70","7,736,195,905.65","6,117,642,023.20","10,884,509,973.60","11,132,054,981.60","11,010,033,973.60","806,257,368.00","1,545,320,708.00","4,832,315,218.00","19,589,402,251.20","14,352,120,700.00","4,403,639,453.00","3,892,559,835.40","11,636,481,887.10","19,303,150,086.10","40,550,414,275.70","90,013,470,277.28","13,752,921,631.20","70,484,754,368.00","95,046,616,568.00","120,322,454,065.79","205,612,647,245.93","6,053,582,480.00","20,222,071,194.96","28,904,422,522.65"
支付的各项税费,"206,004,327.23","366,606,898.87","294,178,467.96","1,238,046,067.47","1,326,652,846.24","1,123,700,952.82","94,058,053.35","424,301,875.55","564,951,536.04","596,366,464.49","84,018,696.20","118,579,529.14","191,564,179.37","204,413,968.52","81,649,634.47","133,397,413.59","179,047,306.31","239,046,767.85","136,795,369.01","258,386,901.71","418,735,585.92","581,201,764.47","47,209,482.38","180,953,800.79","331,179,514.29","440,734,657.55","207,058,724.95","311,235,701.07","415,892,625.05","526,561,885.63","62,828,933.74","123,420,462.65","173,677,571.07","282,267,127.54","192,824,202.43","274,138,129.32","318,311,520.69","440,670,136.97","71,046,516.73","233,495,167.10","344,711,267.59"
收到其他与筹资活动有关的现金,,,,,"4,241,223.64",,"2,371,177.15",,"4,377,335.32",,,,"56,949.75",,,,,,,,,,,,,,,,,,,,,,,,,"99,326,357.01",,,"1,999,598.65"
支付其他与经营活动有关的现金,"1,035,698,099.58","634,486,080.56","218,984,277.42","485,116,538.02","4,701,457,114.93","760,498,381.32","644,756,628.80","225,872,133.36","2,319,516,207.95","374,392,876.72","611,472,082.89","208,606,284.70","308,606,374.70","432,109,540.63","349,556,647.78","197,935,031.86","378,942,122.08","307,556,032.46","251,610,230.01","221,851,434.13","356,542,278.83","747,756,983.37","253,606,095.93","192,786,372.62","373,985,469.18","688,071,641.95","244,279,741.53","350,374,882.77","382,441,130.77","638,161,631.13","239,941,727.15","659,703,872.67","758,429,452.28","788,887,071.84","484,141,566.94","1,357,334,762.65","394,586,903.09","1,344,635,064.28","102,719,617.14","304,958,727.87","419,040,616.35"
筹资活动现金流入小计,"1,909,832,824.00","19,372,754,161.50","2,193,406,821.00","2,467,770,821.00","3,908,363,044.64","4,413,619,160.00","408,953,377.15","2,548,732,721.60","5,632,622,347.32","7,149,085,136.20","2,655,425,900.00","3,872,769,400.00","3,929,985,349.75","4,379,253,400.00","55,095,629.65","1,146,354,780.85","2,359,970,393.70","7,826,195,905.65","6,117,642,023.20","10,929,509,973.60","11,177,054,981.60","11,057,886,568.60","818,407,368.00","1,567,820,708.00","4,877,743,232.44","19,634,830,265.64","14,352,882,921.27","4,411,536,514.94","3,927,963,056.67","11,679,010,912.02","19,303,150,086.10","40,550,414,275.70","90,013,470,277.28","13,763,918,245.20","70,484,754,368.00","95,046,616,568.00","120,322,454,065.79","205,711,973,602.94","6,263,582,480.00","20,432,071,194.96","29,116,422,121.30"
经营活动现金流出小计,"11,268,793,751.04","25,032,209,840.62","6,956,776,234.78","16,280,188,396.35","28,062,687,820.33","33,395,031,684.97","7,473,674,521.53","13,335,730,942.35","25,100,380,740.83","25,020,310,367.66","9,726,429,452.12","14,636,360,695.24","23,369,095,848.55","29,618,003,407.64","6,964,381,759.07","14,553,495,997.14","25,788,802,875.36","31,156,285,583.00","8,629,835,116.21","16,821,991,694.60","25,717,392,670.96","33,713,899,149.16","9,205,224,489.77","17,524,131,222.20","27,399,996,799.74","36,094,712,470.24","9,019,842,838.08","17,482,954,289.80","27,871,950,010.63","34,632,238,168.15","7,513,840,654.22","15,865,682,662.02","24,505,418,777.70","35,221,524,137.56","11,665,045,448.55","13,447,606,050.18","17,225,026,840.33","14,200,923,314.50","294,352,300.91","5,148,640,429.06","8,534,198,722.92"
偿还债务支付的现金,"1,670,201,822.67","5,111,214,089.78","356,469,318.43","586,021,043.99","1,085,840,757.73","1,542,186,365.40","996,717,166.86","3,614,524,587.04","5,677,284,545.34","4,753,148,463.76","1,910,161,103.52","2,235,257,493.66","2,628,464,172.54","3,367,921,000.00","286,923,029.25","1,083,769,166.97","1,139,034,638.81","2,908,598,995.62","432,031,642.01","814,424,329.53","2,840,973,787.09","9,930,171,626.39","93,655,986.14","941,376,445.55","2,240,054,595.25","14,947,658,731.07","16,586,223,837.96","3,076,686,867.00","4,108,495,334.70","8,151,047,637.73","19,734,198,106.03","39,939,588,233.43","86,456,340,199.45","8,980,102,215.26","41,349,215,703.44","67,061,050,506.94","83,578,284,682.51","156,396,455,732.14","7,240,434,740.47","20,788,377,109.12","30,826,608,440.11"
经营活动产生的现金流量净额,"1,603,360,318.20","5,324,113,032.25","2,028,135,786.74","2,302,331,648.43","477,780,165.33","3,329,420,162.13","-439,655,711.31","-1,569,851,579.47","-3,250,642,826.04","-3,459,897,452.99","-104,173,636.00","1,465,883,717.90","4,211,495,073.39","5,490,989,104.79","-210,157,383.11","-411,031,566.20","-1,267,737,980.67","-2,260,783,269.28","-1,607,161,333.02","-1,423,096,392.41","-444,188,312.40","223,220,752.21","-738,383,678.49","-390,133,772.93","-935,139,033.46","-1,018,021,881.76","65,478,290.48","671,832,535.78","3,124,192,479.49","2,874,264,868.94","1,042,309,025.71","993,801,757.71","1,668,673,044.69","918,076,797.58","696,225,792.30","5,161,808,974.89","6,260,363,846.75","7,756,275,797.77","945,782,228.94","3,387,127,076.81","4,404,596,779.95"
分配股利、利润或偿还利息支付的现金,"479,264,638.22","2,350,475,719.41","57,147,804.84","194,686,893.17","712,702,123.74","886,381,219.15","153,875,375.84","241,076,705.88","280,080,635.59","347,210,668.15","58,417,661.04","199,527,153.24","209,061,338.03","325,438,836.54","60,205,888.72","206,115,765.73","288,602,860.41","339,730,245.93","109,076,537.56","305,782,422.18","487,476,553.33","642,881,739.05","213,165,158.45","408,522,095.72","488,749,968.66","607,342,997.37","184,995,952.92","364,315,724.01","455,722,878.62","579,446,661.23","123,066,163.01","317,677,166.90","498,971,414.98","612,095,244.19","628,098,970.43","1,123,771,189.59","1,586,290,723.54","2,229,592,242.61","705,951,766.00","1,611,081,042.21","2,571,463,349.32"
收回投资收到的现金,,,,,,"31,739,340.40","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,"71,472,000.00",,,,"13,000,000.00",,,,,,,,"28,388,822.42",,,,,,,,,"4,762,702,076.61","4,425,874,812.17","5,158,874,812.17","7,819,234,708.59","3,035,071,282.97","8,409,771,488.40","13,344,954,526.58"
