科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"2,225,120,258.18","2,892,854,019.13","2,995,492,935.91",,"1,254,689,800.36","1,907,936,149.04","2,699,584,805.36","826,907,391.53","1,381,571,917.12","2,008,283,397.50","2,856,919,530.18","867,165,601.08","1,522,517,252.45","2,187,956,438.60","3,047,564,116.29","924,646,914.71","1,780,687,663.12","2,579,252,582.48","3,541,689,218.60","1,174,178,357.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"55,525,520.00",
收到的税费返还,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"98,725,395.29",,,,"383,174.66",,,"500,200.00","85,579.80",,,,"103,525.52",
收到其他与经营活动有关的现金,"90,191,887.41","131,955,573.88","46,802,285.05",,"33,874,372.05","73,522,609.25","38,445,636.09","7,496,452.15","30,497,940.07","72,817,158.48","68,577,959.99","9,086,295.19","35,013,752.50","76,322,875.27","83,726,806.92","10,040,104.05","41,698,251.39","69,726,956.07","54,564,469.11","13,189,222.30"
投资活动现金流出小计,"214,191,801.47","143,239,215.00","137,010,846.90",,"31,350,164.54","62,877,410.05","973,181,536.05","124,455,020.88","490,592,644.16","850,584,968.22","2,149,623,934.94","319,365,574.49","1,007,897,603.99","1,818,576,056.13","3,232,460,387.73","1,036,431,951.64","1,673,542,967.07","1,985,129,209.67","3,044,390,729.88","905,069,342.96"
经营活动现金流入小计,"2,315,312,145.59","3,024,809,593.01","3,042,295,220.96",,"1,288,564,172.41","1,981,458,758.29","2,738,030,441.45","834,403,843.68","1,412,069,857.19","2,081,100,555.98","2,925,497,490.17","876,251,896.27","1,557,531,004.95","2,264,279,313.87","3,131,290,923.21","934,687,018.76","1,822,385,914.51","2,648,979,538.55","3,601,618,530.14","1,188,169,632.59"
投资活动产生的现金流量净额,"-206,151,712.94","-142,439,215.00","-136,106,602.59","-16,865,100.00","-31,318,416.03","-62,780,461.54","-965,944,214.70","-124,453,620.88","-490,191,244.16","-850,182,868.22","-669,517,069.97","-9,371,064.62","157,019,050.92","-238,942,695.62","-1,007,721,910.33","-184,095,329.97","-264,113,415.35","-89,267,618.20","-529,941,791.98","-224,650,910.12"
购买商品、接受劳务支付的现金,"509,074,465.01","745,919,922.20","935,090,117.58",,"375,347,901.49","524,835,650.11","811,791,885.08","176,939,887.22","379,426,671.86","502,896,007.84","824,016,660.58","174,226,002.55","387,662,979.30","533,153,430.18","801,123,366.28","204,487,866.19","413,676,530.36","571,484,394.88","951,415,473.44","257,016,980.12"
吸收投资收到的现金,,"4,500,000.00","6,750,000.00",,"830,345,040.00","833,845,040.00","834,345,040.00",,,,"2,200,000.00",,,,,,,,,
