科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"66,172,822.90","161,412,963.49","337,445,311.49","73,227,729.70","183,422,052.21","283,581,135.76","469,351,139.89","94,399,870.02","225,658,445.55","415,114,850.96","588,783,336.01","137,771,375.25","365,735,633.95","596,338,168.63","964,117,458.80","211,415,905.40","515,011,979.54","800,308,804.40","1,131,764,007.05","202,895,590.43","496,104,123.53","770,213,535.48","1,126,938,198.91","248,734,053.00","570,054,111.88","881,266,626.24","1,236,254,097.03","295,805,904.33","611,386,028.98","958,654,310.75","1,396,633,855.52","360,099,657.63","683,090,464.47","1,294,203,583.26","1,985,707,934.16","435,019,882.79","973,055,322.46","1,539,603,561.81","2,349,640,129.43","609,648,134.45","1,374,856,143.92","2,165,548,378.68","3,177,937,127.20","743,191,079.85","1,606,241,071.08","2,593,367,205.93","3,744,811,575.58","846,686,924.14"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"23,150,313.34","22,873,252.41",,,,,,"888,056.00","888,056.00","1,600,000.00",,"8,643,328.84","8,735,717.64","9,532,973.43",,,,,"4,080,000.00","4,080,000.00","4,080,000.00",,,"50,000,000.00","775,000,000.00","554,496,269.90",,,,,"1,047,091,390.08","859,218,553.15","859,482,818.78","896,447,692.72","95,405,593.00","632,690,593.00","632,690,593.00",,
收到的税费返还,,,,,,"1,198,894.67",,,,,,"229,087.37",,,"4,415,567.27",,,,"6,139,930.71","827,488.46","4,587,994.14","7,001,597.57","15,921,116.12","2,298,057.58","6,183,136.58","16,759,806.34","25,539,034.93","3,584,703.38","8,193,919.12","16,277,081.73","28,858,012.69","2,962,663.24","9,865,787.12","29,674,573.77","48,647,149.10","12,352,069.64","27,361,608.17","52,365,812.10","67,694,778.61","17,494,223.38","56,512,912.90","92,520,451.13","90,533,094.57","15,332,633.36","61,043,675.57","96,121,408.71","109,433,595.07","46,588,518.84"
支付其他与投资活动有关的现金,,"3,148,026.86","3,377,478.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,593,892.06","31,429,197.63",,,"75,563.50","40,000,000.00",,,,
收到其他与经营活动有关的现金,"35,875,519.75","70,747,142.18","39,940,807.91","2,242,529.86","13,039,606.44","14,666,147.44","18,385,038.35","3,163,504.53","5,714,883.24","10,983,760.39","60,978,272.20","7,405,677.67","9,977,287.30","13,237,943.43","37,371,763.88","8,950,376.73","17,381,893.94","34,424,304.15","70,181,641.99","5,273,523.87","16,577,682.81","36,466,615.05","29,721,625.76","24,034,323.56","32,883,036.93","42,189,106.34","66,370,694.27","2,044,169.24","15,407,423.06","21,038,403.27","63,648,032.56","7,035,855.98","40,585,950.84","225,747,590.17","469,198,633.69","143,814,529.18","117,365,858.07","124,540,042.98","167,627,642.11","51,699,760.27","96,371,181.61","160,362,396.29","515,641,729.85","89,132,948.43","62,481,887.47","89,506,415.14","148,672,624.32","18,272,779.32"
投资活动现金流出小计,"30,857,283.90","45,649,110.75","60,199,461.17","3,794,532.52","19,849,556.01","45,615,270.97","72,966,567.73","40,979,468.75","51,366,766.77","83,412,304.22","97,305,367.89","15,014,062.64","46,947,965.32","64,181,659.32","94,623,016.12","18,138,442.21","30,652,263.77","82,463,885.25","98,511,940.35","47,524,328.69","100,324,703.44","124,254,934.58","172,590,571.16","18,119,276.40","27,807,446.91","52,661,837.80","89,165,432.27","29,693,281.39","56,130,945.76","82,062,023.65","156,930,007.66","32,953,674.47","203,211,273.67","933,810,500.06","773,836,832.70","363,073,481.22","437,355,126.69","575,712,897.79","1,044,573,141.73","2,834,128,184.33","4,412,496,959.58","6,468,454,902.30","6,086,073,197.09","1,518,972,981.18","3,244,571,878.88","4,951,922,018.50","5,265,423,087.86","2,415,175,943.11"
经营活动现金流入小计,"102,048,342.65","232,160,105.67","377,386,119.40","75,470,259.56","196,461,658.65","299,446,177.87","487,736,178.24","97,563,374.55","231,373,328.79","426,098,611.35","649,761,608.21","145,406,140.29","375,712,921.25","609,576,112.06","1,005,904,789.95","220,366,282.13","532,393,873.48","834,733,108.55","1,208,085,579.75","208,996,602.76","517,269,800.48","813,681,748.10","1,172,580,940.79","275,066,434.14","609,120,285.39","940,215,538.92","1,328,163,826.23","301,434,776.95","634,987,371.16","995,969,795.75","1,489,139,900.77","370,098,176.85","733,542,202.43","1,549,625,747.20","2,503,553,716.95","591,186,481.61","1,117,782,788.70","1,716,509,416.89","2,584,962,550.15","678,842,118.10","1,527,740,238.43","2,418,431,226.10","3,784,111,951.62","847,656,661.64","1,729,766,634.12","2,778,995,029.78","4,002,917,794.97","911,548,222.30"
投资活动产生的现金流量净额,"-8,425,803.41","-1,931,465.10","-811,994.72","-3,794,532.52","-19,849,556.01","-45,589,040.97","-72,529,037.73","-40,949,468.75","-51,336,766.77","-82,788,804.22","-96,304,597.75","-15,014,062.64","-46,147,965.32","-62,376,694.38","-92,032,462.94","-18,138,242.21","-30,052,063.77","-54,549,700.25","-65,421,560.35","-47,524,328.69","-100,324,703.44","-124,251,934.58","-141,221,943.85","-17,858,717.40","-27,546,887.91","-52,365,078.80","-87,855,720.97","-29,693,281.39","-55,932,945.76","-81,864,023.65","-156,710,716.64","-32,943,674.47","-203,185,094.06","-777,710,697.90","-587,609,692.18","-282,512,421.31","-109,694,641.30","-126,792,087.06","-989,620,940.59","538,566,814.51","-435,072,968.53","-1,120,212,802.54","-421,717,520.88","-529,551,557.56","-943,470,308.61","-1,411,287,543.88","-1,066,231,385.24","-651,519,767.06"
购买商品、接受劳务支付的现金,"41,426,379.95","115,190,317.13","232,503,844.38","44,529,093.20","119,633,232.06","197,125,026.29","320,517,830.80","60,241,351.97","155,740,722.80","246,465,599.66","337,498,401.30","116,266,677.63","251,765,560.53","404,080,629.69","708,967,176.95","170,049,642.58","329,537,720.26","550,670,758.49","786,733,659.11","158,599,063.00","323,896,880.38","440,731,176.04","621,682,371.88","164,203,965.76","314,920,756.43","548,293,623.15","658,671,973.77","159,395,105.56","322,095,764.59","552,162,876.13","592,325,644.15","147,198,569.03","269,930,231.50","515,677,567.85","722,699,825.06","213,297,632.25","448,688,954.71","720,554,265.63","977,618,260.09","379,844,891.56","777,979,963.81","1,272,153,931.40","1,850,708,159.58","446,789,733.04","834,318,494.16","1,330,578,274.16","1,790,439,998.71","605,474,667.43"
吸收投资收到的现金,,,,,"227,259,088.03","227,259,088.03","234,480,000.00",,,,,,"252,160,000.00","252,160,000.00","252,160,000.00",,,,,,,,"7,000,000.00",,,,,,,,,,,,,"2,250,000.00","2,529,306,423.41","2,529,267,543.41","2,530,467,543.41",,"23,040,000.00","24,400,000.00","143,384,162.50",,"2,000,000.00","2,000,000.00","2,000,000.00",
