科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"267,489,142.51","774,146,262.14","298,011,164.94","471,019,527.33","723,999,466.93","145,611,422.65","258,628,332.04","409,899,883.04","645,242,863.48","155,131,068.13","294,794,294.36","501,988,035.07","741,688,065.30","208,126,232.18","365,775,506.12","582,161,879.62","743,937,680.88","152,918,726.07","281,031,272.01","450,010,721.22","672,284,909.39","150,382,752.34","297,711,743.15","471,798,699.76","613,095,799.59","146,969,359.58","276,438,041.07","408,823,497.86","635,002,580.74","161,567,169.48","333,938,056.78","511,678,937.19","683,536,111.09","162,079,032.10","280,082,121.24","489,637,523.79","693,951,793.00","166,741,893.83","319,664,833.32","508,936,514.99","725,819,787.13","156,007,113.78"
取得子公司及其他营业单位支付的现金净额,"150,001.00","150,001.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"20,691,556.48","2,400,000.00","1,184,218.80","2,400,000.00","16,932,066.14",,,,"37,462,322.94",,,,,
收到的税费返还,"21,098,321.87","56,296,870.47","14,374,293.48","26,358,920.77","45,678,463.05","14,520,727.96","22,779,599.23","41,062,948.00","44,340,006.23","15,391,391.58","28,974,948.42","41,844,960.97","67,067,027.24","31,760,053.05","41,176,150.11","65,583,685.84","85,994,022.04","13,460,700.72","24,035,511.53","41,052,569.40","62,109,402.61","13,325,394.83","25,306,661.49","51,932,102.16","66,992,849.63","13,199,185.00","22,701,161.29","38,308,823.73","53,667,960.41","13,423,565.58","24,980,190.78","47,727,817.11","58,854,719.59","13,682,203.10","28,225,585.80","48,962,322.13","55,773,527.02","19,853,951.09","31,423,921.65","49,590,139.42","60,371,764.86","16,264,604.74"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"566,650.00","2,538,825.00","2,234,625.00","1,327,225.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,940,320.69","10,216,960.46","1,725,132.40","15,256,032.45","10,676,694.81","1,831,364.86","4,618,429.53","8,323,756.23","3,922,473.18","1,098,145.96","10,235,588.07","15,223,724.38","4,761,728.80","1,781,900.43","5,818,201.31","9,092,200.73","5,148,570.36","2,419,964.31","3,163,640.11","3,009,067.22","8,738,898.47","2,489,350.16","5,179,402.39","6,837,714.72","11,897,276.54","722,401.99","2,907,120.30","39,256,409.51","38,577,379.11","1,140,141.73","31,597,417.56","84,851,351.60","4,886,469.86","6,059,191.05","8,615,074.91","23,646,252.02","19,778,782.58","4,053,248.92","7,471,736.82","10,899,646.77","7,623,951.93","1,026,855.35"
投资活动现金流出小计,"24,695,794.42","66,383,483.21","42,756,176.38","85,048,353.38","45,057,474.24","4,763,026.85","6,545,678.24","13,342,890.90","16,759,473.64","5,376,009.54","12,556,439.44","15,560,371.55","26,655,676.51","9,891,856.86","28,544,333.84","45,437,642.90","78,178,205.52","3,372,339.38","38,579,618.71","42,780,073.82","45,147,745.67","2,477,464.21","6,102,782.95","7,935,643.00","10,575,903.22","3,800,913.01","97,528,604.72","110,186,275.05","151,953,574.15","27,690,569.46","43,991,611.33","79,828,436.04","128,307,983.93","46,884,263.44","86,297,932.49","119,651,713.95","213,834,080.93","85,645,079.14","103,342,560.88","122,342,518.23","144,755,903.51","6,821,855.89"
经营活动现金流入小计,"293,527,785.07","840,660,093.07","314,110,590.82","512,634,480.55","780,354,624.79","161,963,515.47","286,026,360.80","459,286,587.27","693,505,342.89","171,620,605.67","334,004,830.85","559,056,720.42","813,516,821.34","241,668,185.66","412,769,857.54","656,837,766.19","835,080,273.28","168,799,391.10","308,230,423.65","494,072,357.84","743,133,210.47","166,197,497.33","328,197,807.03","530,568,516.64","691,985,925.76","160,890,946.57","302,046,322.66","486,388,731.10","727,247,920.26","176,130,876.79","390,515,665.12","644,258,105.90","747,277,300.54","181,820,426.25","316,922,781.95","562,246,097.94","769,504,102.60","190,649,093.84","358,560,491.79","569,426,301.18","793,815,503.92","173,298,573.87"
投资活动产生的现金流量净额,"-24,695,794.42","-66,383,483.21","-42,756,176.38","-85,048,353.38","-45,057,474.24","-4,763,026.85","-6,545,678.24","-13,342,890.90","-16,759,473.64","-5,376,009.54","-12,556,439.44","-15,560,371.55","-23,146,481.46","-9,473,510.73","-28,494,387.71","-35,270,436.77","-57,153,940.97","27,118,507.16","-8,027,547.96","18,240,109.08","19,694,076.73","-1,463,314.21","1,987,777.05","214,917.00","-2,468,679.20","-3,800,913.01","-87,462,632.24","-75,079,069.77","-116,803,223.24","-27,690,569.46","-43,990,360.33","-79,827,185.04","-128,234,932.93","-46,884,263.44","-86,266,319.12","-118,889,878.96","-192,038,146.18","-85,641,992.69","-103,342,560.88","-122,338,518.23","-144,749,985.24","-6,821,855.89"
购买商品、接受劳务支付的现金,"237,374,664.65","610,274,111.43","329,436,066.31","508,794,273.74","669,556,893.67","156,716,077.51","294,394,947.91","378,680,676.81","516,826,052.78","155,480,853.82","265,375,151.44","463,148,559.86","598,643,461.59","208,413,500.19","354,129,263.97","539,977,374.60","666,520,840.57","147,116,794.90","270,533,081.25","459,675,309.12","632,379,472.89","127,414,280.37","233,173,567.47","384,864,572.95","503,547,302.77","112,994,820.07","215,105,321.68","325,619,790.66","515,495,114.50","112,945,622.42","237,805,386.35","380,515,023.55","527,050,293.74","95,380,982.61","198,361,768.18","333,710,157.09","483,956,437.88","101,627,819.26","246,293,725.96","406,085,986.54","574,082,448.90","82,507,229.46"
吸收投资收到的现金,,,,"180,800,099.95","190,300,000.00",,,,,,,,,,,,,,,,,,,,,"341,822.66","135,883.09",,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"28,097,847.46","66,635,698.24","29,490,831.86","51,278,591.79","69,717,588.97","13,549,079.13","27,837,590.57","48,922,797.61","66,508,977.13","15,778,010.72","32,981,394.10","45,033,679.23","78,768,501.47","18,109,435.53","41,985,626.70","56,242,663.54","85,679,457.06","16,021,558.78","41,323,214.96","58,658,468.44","86,594,553.28","17,836,309.72","42,517,519.51","68,687,556.58","99,676,104.43","23,408,199.02","52,307,353.32","86,482,837.81","118,912,764.12","37,367,632.26","68,095,888.50","103,721,105.48","146,997,964.63","32,691,798.72","70,510,370.19","107,741,907.21","153,796,588.68","39,390,218.26","79,150,360.58","119,776,094.13","156,205,371.11","33,596,169.85"
取得借款收到的现金,"15,548,365.00","171,969,658.68","117,506,718.89","194,370,920.57","266,105,522.35","56,000,000.00","78,971,067.80","203,382,311.40","251,626,032.95","60,000,000.00","100,000,000.00","153,665,364.34","140,000,000.00",,,,,,,,,,,,"23,653,283.31","40,000,000.00","100,000,000.00","100,000,000.00","117,500,000.00","64,499,200.00","146,278,056.32","149,392,879.63","205,424,598.70","50,000,000.00","236,090,980.93","306,282,438.50","383,250,674.08","220,726,166.30","372,223,090.92","532,177,271.48","615,507,195.44","25,399,134.37"
支付的各项税费,"7,902,950.06","22,106,364.17","7,156,371.70","9,427,503.10","11,139,623.45","4,327,555.07","5,323,449.60","7,224,334.21","12,806,706.19","1,394,695.63","5,398,528.75","4,792,126.64","7,228,515.99","1,460,460.25","6,462,476.61","7,770,405.41","11,458,999.96","3,223,986.02","5,797,463.08","6,782,621.91","9,983,091.32","2,296,473.60","7,674,963.06","9,033,415.96","12,155,772.07","1,482,781.30","5,050,070.45","5,592,070.69","9,666,386.28","7,797,537.30","14,974,940.61","16,034,094.00","23,345,066.61","2,898,917.92","5,621,463.96","6,449,396.23","9,810,307.42","4,412,559.15","11,043,542.73","11,288,795.25","17,207,309.27","2,527,806.64"
收到其他与筹资活动有关的现金,,,,,"520,880.23",,,,"1,140,243.08",,"1,021,630.77","1,244,940.81","29,348,566.62","322,313.00","23,464,215.96","34,835,082.96","611,483.57",,"1,412,967.18","3,834,763.56","6,591,882.37","1,386,522.17","4,905,425.39","4,905,425.39","30,890,984.66","8,509,071.21","13,615,115.50","15,441,859.73","25,324,867.53","10,285,932.14","14,083,228.12","18,548,983.68","359,919,696.42","10,110,879.40","56,140,267.05","65,521,760.28","143,328,729.20","8,290,130.05","69,700,261.67","70,965,409.44","11,074,907.81","8,930,102.09"
