科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"153,583,225.56","152,807,177.07","231,551,066.66",,"144,992,586.43","586,563,717.70","632,447,880.84","246,284,582.27","224,290,275.11","245,856,589.07","406,547,695.52","248,733,824.11","288,511,543.21","289,403,940.73","292,289,024.62","297,763,667.12","291,236,273.40","179,248,861.30","936,981,742.58","1,001,837,238.09","805,619,066.70","508,788,194.12","829,584,913.64","782,635,740.69"
短期借款,"116,100,000.00","221,000,000.00","252,000,000.00",,"250,000,000.00","243,000,000.00","145,000,000.00","151,953,000.00","140,000,000.00","310,000,000.00","310,000,000.00","274,000,000.00","224,000,000.00","230,000,000.00","190,000,000.00","295,227,223.38","423,000,000.00","378,000,000.00","307,000,000.00","321,200,000.00","376,200,000.00","372,200,000.00","370,200,000.00","396,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"127,663,642.26","102,441,853.80","152,781,276.95",,"141,930,898.95","179,811,561.72","153,088,686.68","125,135,364.57","152,298,477.83","269,116,514.94","300,042,185.38","253,781,563.53","238,838,179.86","243,577,706.59","330,593,088.82","294,397,833.77","332,387,567.44","461,249,474.67","395,280,240.37","448,923,738.61","300,910,875.49","381,062,518.90","490,287,097.63","411,508,014.44"
应付票据,"122,641,912.49","101,311,919.06","150,885,704.10",,"163,014,319.90","201,451,266.31","163,270,023.05","179,346,424.52","186,014,233.59","231,278,421.18","304,522,185.22","268,100,321.19","227,191,713.95","254,228,383.79","316,993,212.10","309,202,892.62","290,576,561.55","345,570,195.72","488,997,223.08","685,942,779.89","675,369,532.14",,"519,499,553.77",
应收账款,"261,913,041.81","381,531,479.68","443,876,949.42",,"495,683,622.06","516,377,781.51","386,034,300.23","483,533,445.91","649,108,461.62","709,018,084.27","617,775,839.91","715,583,843.64","820,358,041.21","847,158,019.47","933,553,714.69","1,019,940,957.26","1,194,878,113.49","1,331,592,458.80","1,810,385,533.83","2,077,584,150.35","2,337,782,546.19","2,417,522,002.45","1,532,008,161.75","1,683,926,339.56"
应付账款,"209,355,361.50","215,683,583.93","284,916,797.17",,"366,405,144.43","359,022,894.66","354,481,211.78","323,110,794.10","404,948,630.08","356,140,888.24","482,157,631.40","386,531,436.91","427,545,570.99","425,141,053.63","485,560,192.02","478,301,407.16","594,860,309.41","675,318,398.89","999,914,937.64","931,610,510.06","1,122,328,299.52",,"1,224,764,905.67",
预付款项,"29,380,476.53","23,902,655.60","35,962,909.45",,"37,105,882.93","41,059,975.95","30,394,046.58","35,659,130.24","36,609,415.17","34,344,717.12","20,417,043.93","18,905,086.25","28,112,219.34","29,670,089.68","23,690,676.89","32,900,268.61","34,568,810.96","38,325,331.99","45,347,034.28","78,238,385.63","40,510,373.67","32,357,410.17","20,078,211.60","24,837,711.31"
预收款项,"18,072,733.27","14,399,647.41","16,037,191.92",,"6,736,946.22","3,392,657.93","13,942,249.02","5,202,222.51","11,071,301.12","23,706,274.76","35,488,633.82","36,249,938.76","29,227,388.86","21,902,076.96","20,106,895.12","33,194,345.19","29,412,762.37","39,325,400.16","48,252,502.60","60,536,838.92","48,849,758.86","58,143,624.62","76,131,637.18","49,036,374.24"
其他应收款,"7,279,742.26","8,200,621.95","9,350,526.05",,"16,913,625.52","17,357,240.32","15,807,216.69","20,976,858.24","19,518,261.10","8,850,340.94","104,375,157.09","78,914,265.74","84,310,555.12","76,145,047.34","69,256,284.12","73,181,040.30","68,692,314.34","66,629,397.62","61,405,054.97","69,995,479.42","58,965,798.34","229,667,375.47","267,392,759.73","251,894,114.15"
应付职工薪酬,"43,885,888.95","44,273,925.77","55,273,762.80",,"37,174,292.37","45,388,434.23","82,130,382.44","49,883,173.14","68,419,045.03","73,991,602.42","106,761,910.35","72,371,270.53","89,097,174.34","103,209,126.48","126,073,755.05","76,968,144.20","95,542,917.37","109,829,226.73","148,297,776.91","90,776,773.79","114,954,277.03","138,999,599.70","161,877,992.18","97,520,520.22"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"17,785,446.30","13,481,709.69","24,877,320.58",,"27,580,444.72","18,173,348.25","-6,502,554.15","10,226,341.49","8,493,831.19","19,869,981.65","9,685,371.28","16,777,682.75","32,222,114.06","19,228,884.96","31,741,995.39","29,013,338.76","48,270,134.65","30,844,903.45","144,282,499.33","109,705,731.93","97,413,557.80","89,189,429.09","61,080,764.82","58,887,446.92"
应收利息,,,,,,,,,,,,,,,,,,,"1,396,862.47","1,396,862.47","1,108,621.11",,,
应付利息,"421,450.29","455,383.26","493,931.58",,"490,320.47","473,987.14","341,675.47","272,573.23","266,387.40","380,656.58","382,878.79","376,202.46","176,420.46","187,075.99","197,850.60","207,053.80","364,137.13","356,887.13","360,307.63","349,204.29","282,406.50","554,383.61","467,401.13","579,125.56"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"118,183,101.63",,"40,861,004.80",,,,,"146,250.00","146,250.00","146,250.00","869,400.00","1,893,450.00","2,747,000.00","1,629,300.00","1,014,300.00","6,223,986.00","890,520.00","890,520.00","695,520.00","695,520.00","12,594,000.00",,"1,971,000.00","750,000.00"
存货,"291,662,427.10","186,691,131.04","252,419,064.75",,"327,138,888.53","333,221,069.75","343,043,419.56","361,276,093.90","332,829,739.45","342,561,483.00","405,003,637.74","423,333,743.28","402,890,408.46","435,451,365.97","385,508,712.94","482,039,719.85","486,668,011.57","566,755,394.42","663,749,537.89","676,380,940.00","685,632,332.48","697,960,310.41","791,618,879.49","750,635,772.34"
