科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,843,623,651.35","4,486,157,947.93","2,257,873,674.50","4,032,140,594.18","5,206,276,091.10","1,286,017,628.94","2,794,638,235.98","5,267,346,553.53","7,712,193,426.04","1,995,926,023.44","4,655,347,221.49","8,887,520,652.27","12,071,688,576.50","2,886,345,971.45","6,756,652,644.81","11,575,225,491.49","15,404,509,559.65","3,398,870,523.04","7,915,089,433.14","13,167,940,778.94","17,837,562,138.29","4,196,900,668.26","9,819,130,405.49","15,865,956,942.89","21,156,941,577.31","4,505,604,839.67","10,390,125,531.97","17,108,883,339.31","25,907,811,134.49","4,896,354,927.27","12,343,741,204.55","19,658,835,423.93","28,084,310,664.81","6,400,805,065.85","15,289,400,705.04","25,922,553,071.88","33,544,235,792.90"
取得子公司及其他营业单位支付的现金净额,"62,031,744.07",,"5,370,331.05","5,370,331.05","5,370,331.05","1,710,000.00","15,834,833.18","31,910,000.00",,,,"31,255,000.00",,"15,079,373.59","15,079,373.59","22,194,967.52","67,455,561.21",,"48,190,778.42","58,935,518.57","49,218,216.84",,,,,"5,450,000.00","106,880,104.72","98,412,387.04","107,469,725.54","11,003,174.92","59,358,998.15","59,358,998.15","83,917,117.62",,,"56,837,265.21","113,461,906.70"
收到的税费返还,"27,720.16",,"214,540.60","7,998,871.00","590,639.04","2,345,043.92","2,971,921.74","3,272,934.18","2,604,395.85","327,608.41","918,356.97","1,015,672.57","1,183,713.34",,"39,814.64","81,533.53","468,401.90",,"9,265,632.00","16,111,477.45","15,605,190.85",,"2,157,856.37","3,048,442.69","3,813,925.56",,"1,149,478.67","1,713,930.98","2,855,602.85","782,521.05","1,682,762.33","14,395,820.87","13,686,115.76","382,210.62","2,172,413.85","3,369,151.41","4,055,969.22"
支付其他与投资活动有关的现金,,,,,,,,,"16,862,020.00",163.86,,,,,,"74,502.91",,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"69,377,720.74","150,610,553.31","87,342,168.22","116,088,815.00","144,120,061.38","63,876,860.93","183,384,887.41","272,361,010.10","148,948,298.86","124,482,504.77","99,506,192.32","105,651,485.31","160,676,041.97","95,798,718.45","155,530,299.68","382,533,283.63","164,000,684.06","116,409,866.43","249,768,994.43","426,943,458.24","214,952,962.49","158,033,999.85","200,730,001.17","322,308,168.33","259,538,153.72","179,466,134.11","221,134,737.16","332,025,551.40","71,660,801.43","73,151,502.52","105,277,252.61","380,304,719.37","77,945,398.02","89,421,194.52","127,154,932.93","123,961,610.99","122,605,560.15"
投资活动现金流出小计,"363,799,255.04","495,737,024.19","190,409,790.19","313,714,519.76","505,891,359.50","88,437,901.32","206,729,359.08","347,125,976.16","769,056,007.12","238,212,571.69","486,874,508.41","1,053,058,287.97","1,648,330,364.31","593,810,166.39","1,002,239,166.28","1,448,742,764.74","2,548,043,102.73","276,980,939.73","371,630,892.13","904,831,747.07","2,191,955,477.64","631,439,294.24","388,314,421.92","651,856,139.76","4,174,129,301.11","307,341,143.03","1,168,886,539.39","1,919,348,421.90","4,159,394,657.40","1,002,285,793.96","2,287,535,679.38","3,206,711,723.95","4,762,729,368.54","2,089,500,484.56","4,405,629,522.61","5,404,272,668.41","6,910,126,307.27"
经营活动现金流入小计,"2,913,029,092.25","4,636,768,501.24","2,345,430,383.32","4,156,228,280.18","5,350,986,791.52","1,352,239,533.79","2,980,995,045.13","5,542,980,497.81","7,863,746,120.75","2,120,736,136.62","4,755,771,770.78","8,994,187,810.15","12,233,548,331.81","2,982,144,689.90","6,912,222,759.13","11,957,840,308.65","15,568,978,645.61","3,515,280,389.47","8,174,124,059.57","13,610,995,714.63","18,068,120,291.63","4,354,934,668.11","10,022,018,263.03","16,191,313,553.91","21,420,293,656.59","4,685,070,973.78","10,612,409,747.80","17,442,622,821.69","25,982,327,538.77","4,970,288,950.84","12,450,701,219.49","20,053,535,964.17","28,175,942,178.59","6,490,608,470.99","15,420,427,179.28","26,064,490,614.85","33,674,711,087.06"
投资活动产生的现金流量净额,"-183,216,365.92","-142,413,421.71","-76,703,944.19","-91,054,018.59","-186,103,376.98","-40,091,389.96","-119,973,017.71","-204,310,209.57","-410,317,562.38","-188,650,016.44","-395,253,749.89","-577,030,997.52","-818,684,061.52","-546,094,639.27","-568,855,118.33","-1,005,609,211.19","-1,212,510,908.44","-246,600,376.62","-256,563,742.73","-622,093,905.54","-756,984,147.25","-514,420,054.56","-145,102,237.30","-287,867,388.97","-554,420,272.84","-163,281,861.21","-473,995,525.34","-415,417,357.85","-613,785,742.09","-535,457,938.45","-657,209,741.24","-850,444,717.55","-996,353,298.75","-792,003,287.42","-856,582,071.01","-1,175,179,192.25","-1,071,445,483.52"
购买商品、接受劳务支付的现金,"2,630,678,247.95","4,085,133,799.69","2,001,845,557.10","3,687,145,248.95","4,839,638,929.08","880,993,155.17","2,343,415,880.82","4,846,776,566.12","7,377,314,652.98","1,822,566,519.40","4,113,462,491.28","8,012,675,393.21","10,718,424,540.98","2,206,633,852.90","6,015,668,267.70","10,660,698,838.56","14,164,548,414.82","2,946,205,723.15","7,192,283,918.60","11,992,359,004.54","15,909,694,405.84","2,766,933,454.84","8,069,923,600.38","14,446,328,609.16","18,774,494,450.92","3,973,042,149.61","8,384,911,177.64","15,099,703,868.91","22,710,181,195.80","3,817,035,430.95","10,791,451,147.64","17,859,380,082.91","24,905,396,167.42","5,947,639,250.32","14,213,112,684.82","24,204,502,283.28","30,201,765,337.10"
吸收投资收到的现金,"52,912,000.00","12,800,000.00","1,200,000.00","1,200,000.00","1,531,868,000.00",,,,"300,000.00",,"4,840,000.00","16,540,000.00","17,140,000.00","19,995,884.32","19,460,955.45","87,540,492.43","74,194,225.46","2,650,000.00","3,507,000.00","4,220,903.24","827,666,777.06","44,657,750.00","61,071,875.00","61,071,875.00","261,576,875.00","81,187,800.00","217,657,446.90","218,094,276.90","218,007,446.90","500,000.00","39,047,412.76","40,834,880.76","63,273,914.76","310,282,833.00","315,382,833.00","319,182,386.50","327,389,343.50"
