科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"44,180,563.25","22,731,338.60","91,809,186.17","70,770,111.96","109,052,121.00","776,223,998.77","556,142,009.51","458,919,119.61","463,546,780.63","442,737,623.85","463,626,799.84","320,522,733.88","276,222,651.73","250,582,250.62","227,420,209.37","207,073,008.03","169,894,545.09","115,877,784.31","77,190,902.20","43,068,335.49","32,158,249.72","40,401,070.66","60,554,055.45","37,911,705.05","57,787,357.46","53,043,898.25","36,841,340.51","572,499,247.50","420,165,724.43","437,290,277.04","380,706,922.00","257,466,263.91","213,278,294.46"
短期借款,,"20,000,000.00","80,000,000.00","103,000,000.00","141,000,000.00","141,000,000.00",,,"28,000,000.00",,"100,000,000.00",,,,,,,,,,"19,300,000.00","38,800,000.00","97,800,000.00","78,000,000.00","98,700,000.00","99,000,000.00","119,800,000.00","139,800,000.00","134,800,000.00","135,000,000.00","135,000,000.00","105,000,000.00","110,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,798,453.00",,"4,610,000.00","20,938,000.00","4,622,688.14","10,792,000.00","6,110,000.00","12,599,764.00","4,880,000.00","18,310,496.00","14,461,200.00","20,105,600.00","35,852,750.00","20,633,845.00","14,941,832.12","14,585,207.77","14,899,744.20","20,223,973.58","8,153,842.69","2,900,000.00","16,608,175.40","21,458,582.06","6,990,294.06","10,776,912.72","8,180,000.00","10,112,255.50","1,477,200.00","17,234,755.35","25,538,343.35","36,081,088.00","47,630,000.00","69,342,224.48","68,968,402.50"
应付票据,,,"29,568,074.82","52,733,868.43","68,380,603.22","44,723,272.65","44,334,136.23","41,118,655.83","23,654,950.79","43,176,936.03","33,777,811.42","16,321,494.99","11,791,212.17","1,971,000.00","6,750,000.00","15,652,127.32","22,950,812.90","23,526,205.28","14,875,534.29","17,688,165.26","20,390,665.65","16,260,174.22","12,798,891.41","8,468,938.58","25,640,877.20","36,823,546.70","38,948,036.00","41,885,047.01","18,326,805.21","16,247,029.03","19,650,421.29","20,345,404.88","42,390,534.78"
应收账款,"53,242,170.42","60,467,602.21","66,779,266.76","82,611,012.80","85,630,523.05","87,650,828.41","87,790,871.64","86,076,566.37","80,566,989.41","79,442,693.09","81,997,477.35","79,775,866.76","85,449,064.11","85,237,618.42","85,026,426.45","93,376,910.34","98,115,957.78","97,310,664.61","97,430,251.91","100,199,899.12","92,161,261.50","103,459,533.11","108,651,118.14","106,712,530.93","105,844,937.64","105,767,694.50","134,280,461.15","122,226,547.43","175,485,110.94","132,897,954.44","160,533,109.44","179,149,001.87","203,644,816.44"
应付账款,"29,721,261.84","54,051,055.72","41,904,721.55","52,613,119.50","52,144,940.96","69,853,308.80","47,300,785.81","58,138,399.19","53,991,616.42","44,659,885.66","36,302,879.88","32,685,010.63","34,145,923.05","38,025,488.76","43,531,159.54","35,007,211.90","35,986,796.65","53,858,671.84","43,560,159.59","31,459,919.68","24,835,914.28","21,896,511.83","15,489,671.43","14,680,710.11","16,072,452.14","28,808,239.76","31,726,715.64","27,777,921.54","40,504,408.59","39,184,729.89","33,170,253.01","38,554,172.63","37,969,854.59"
预付款项,"30,652,144.14","26,132,620.20","45,716,371.64","37,664,790.65","38,242,177.89","32,048,133.73","39,119,835.11","60,828,376.47","54,900,442.43","62,868,459.72","82,206,591.84","71,895,181.03","99,979,479.16","31,091,207.81","31,494,989.21","29,947,305.79","27,918,479.60","17,365,737.43","19,602,735.34","24,073,125.50","31,967,620.95","26,237,186.86","33,540,335.13","38,481,774.01","68,092,325.64","33,087,706.35","35,793,824.98","42,076,372.67","51,075,617.58","40,468,804.49","41,892,601.82","50,368,259.53","52,257,788.48"
预收款项,"9,153,548.56","5,529,890.70","19,909,609.95","21,509,854.17","27,097,236.87","18,684,441.79","23,228,120.93","30,356,807.23","24,395,538.63","23,353,321.50","26,218,106.92","22,057,656.62","26,689,457.44","21,233,584.25","24,998,679.70","31,941,805.14","38,970,023.30","22,640,948.06","25,050,245.39","25,206,619.60","20,431,040.38","28,941,760.12","22,924,700.67","20,384,227.77","17,742,287.93","18,869,566.12","21,185,267.96","25,695,823.16","19,111,644.49","25,163,673.49","21,608,723.42","27,110,994.31","31,971,348.24"
