科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"373,072,810.53","729,524,076.30","1,099,296,158.56","1,288,464,697.75","375,588,791.19","829,824,887.23","1,211,187,659.87","1,042,271,947.46","255,578,044.70","491,576,990.43","728,599,141.05","1,027,998,887.90","355,347,856.85","803,226,845.42","1,236,053,376.10","1,530,499,991.74","391,092,280.80","937,082,811.45","1,419,675,768.78","1,991,495,754.50","818,765,959.39","1,661,346,022.88","2,282,999,663.37","2,781,805,749.59","587,123,821.14","1,320,959,610.99","1,960,583,943.36","2,743,903,104.11","723,921,929.89","1,640,391,374.83","2,453,415,479.35","3,451,430,179.32","723,713,699.65","1,499,556,363.97","2,109,402,589.48","2,888,458,398.82","714,336,900.30","1,430,811,420.84","2,828,126,461.02","2,997,929,170.21","771,438,648.25","1,598,891,008.22","2,515,676,870.65","3,612,562,013.34","731,157,937.27"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"156,485,840.94",,,,,,,,"28,609,735.11",,,,"92,195,501.95",,,,"101,437,726.46","19,499,588.63",,"357,636,676.26","567,448,618.04",,,,,
收到的税费返还,,"3,537,169.71","3,555,549.31","3,247,001.42","1,038,882.68","3,910,029.41","4,395,014.96","3,175,000.95","231,606.84","231,606.84","4,322,755.09","4,258,415.00","1,015,400.00",,"3,626,303.36","2,740,128.57","3,160,000.00",,"1,199,066.71","3,275,735.75",,,"1,542,918.43","4,655,005.32","1,036,500.00","3,423,415.23","5,840,264.83","5,311,256.07","2,364,910.92","2,307,085.97","4,441,707.95","5,865,423.37","889,584.35","2,457,954.63","4,496,871.64","8,096,104.54","7,670,221.94","9,497,338.18","12,766,657.06","16,847,885.66","2,191,049.87","4,568,737.78","9,076,004.22","13,682,060.99","6,837,931.97"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00",,,,,,,,"1,925,380,000.00","573,919,513.26","868,200,000.00","1,111,200,000.00","1,525,606,750.00","329,900,000.00","419,700,000.00","1,026,800,000.00","1,587,370,000.00","438,700,000.00","2,436,300,000.00","3,449,700,000.00","4,611,417,770.50","1,753,900,000.00"
收到其他与经营活动有关的现金,"27,195,713.29","38,623,229.25","101,785,923.98","25,789,482.40","68,870,118.01","113,555,022.09","114,917,428.92","14,883,078.87","34,126,805.01","50,584,857.18","171,199,490.38","23,840,205.23","48,875,845.80","44,958,666.12","108,284,946.79","28,488,743.90","86,742,570.94","37,053,726.73","102,747,158.30","66,546,963.01","7,408,790.14","53,666,002.35","38,480,764.98","39,350,229.34","26,134,370.99","38,366,870.40","55,206,949.10","57,619,960.57","25,066,701.17","47,775,977.01","59,693,920.10","70,380,116.11","32,785,384.12","82,073,218.82","117,333,592.05","148,744,924.13","91,869,054.04","139,258,699.39","779,669,351.33","151,094,329.31","72,685,597.66","184,851,081.54","305,970,828.01","208,025,618.27","61,150,013.06"
投资活动现金流出小计,"7,813,059.80","12,998,713.11","22,900,258.58","31,934,103.67","1,969,992.67","5,680,000.42","8,769,651.64","20,426,437.75","3,708,857.13","5,408,404.88","7,881,113.09","12,373,974.70","5,874,090.79","11,470,628.95","16,194,073.61","36,563,103.08","10,699,037.19","25,002,191.95","30,262,704.37","199,047,377.83","5,137,606.09","30,837,236.34","32,828,752.43","52,857,456.95","1,140,597.13","4,993,035.57","7,496,912.59","59,801,859.19","1,155,220.50","15,415,689.48","108,248,704.62","2,154,525,208.98","574,931,728.10","869,691,292.67","1,113,193,905.21","1,688,100,006.85","407,916,275.10","561,968,818.31","1,590,246,199.15","2,451,335,197.76","630,618,190.75","2,835,449,616.65","3,920,656,064.75","5,295,164,805.06","1,826,391,886.46"
经营活动现金流入小计,"400,268,523.82","771,684,475.26","1,204,637,631.85","1,317,501,181.57","445,497,791.88","947,289,938.73","1,330,500,103.75","1,060,330,027.28","289,936,456.55","542,393,454.45","904,121,386.52","1,056,097,508.13","405,239,102.65","848,185,511.54","1,347,964,626.25","1,561,728,864.21","480,994,851.74","974,136,538.18","1,523,621,993.79","2,061,318,453.26","826,174,749.53","1,715,012,025.23","2,323,023,346.78","2,825,810,984.25","614,294,692.13","1,362,749,896.62","2,021,631,157.29","2,806,834,320.75","751,353,541.98","1,690,474,437.81","2,517,551,107.40","3,527,675,718.80","757,388,668.12","1,584,087,537.42","2,231,233,053.17","3,045,299,427.49","813,876,176.28","1,579,567,458.41","3,620,562,469.41","3,165,871,385.18","846,315,295.78","1,788,310,827.54","2,830,723,702.88","3,834,269,692.60","799,145,882.30"
投资活动产生的现金流量净额,"-7,793,348.80","10,528,871.29","42,927,079.90","37,584,785.21","-1,878,109.12","-3,096,037.25","-1,448,815.00","-8,879,307.36","-3,708,857.13","-5,288,404.88","-7,761,113.09","2,295,312.94","-5,874,090.79","-11,350,628.95","-16,074,073.61","-24,131,782.68","2,277,684.67","-13,084,165.79","4,360,326.89","-92,506,742.30","29,681,874.16","7,321,889.41","35,049,054.51","3,601,300.25","-1,140,597.13","27,468,964.43","48,246,651.86","84,651,163.11","3,277,626.63","29,010,411.95","-49,816,423.76","-173,527,058.92","29,631,052.63","48,779,384.24","10,338,575.81","-150,625,629.24","-67,915,376.23","-121,034,705.00","-636,500,710.42","45,745,415.75","-140,936,035.46","378,363,397.52","308,804,893.95","165,553,370.94","288,580,518.27"
购买商品、接受劳务支付的现金,"391,067,896.03","654,230,806.75","973,481,761.75","1,214,645,503.02","346,624,986.92","783,414,771.17","1,180,748,960.27","970,093,971.15","148,019,542.17","305,023,405.99","574,970,870.83","862,387,490.63","356,072,014.32","748,728,849.35","1,221,680,908.15","1,492,610,021.76","471,017,706.45","964,622,855.20","1,463,928,911.22","2,110,960,660.34","670,001,324.16","1,354,883,551.11","2,005,225,927.36","2,375,807,387.98","623,862,589.74","1,269,065,399.34","1,854,067,686.28","2,581,907,392.92","664,463,602.29","1,369,231,497.30","2,181,309,083.91","2,945,230,066.14","649,019,846.19","1,311,097,412.22","1,838,501,800.79","2,247,195,173.98","623,469,345.76","1,188,119,519.72","1,812,855,000.54","2,450,203,102.06","743,047,578.21","1,625,582,508.45","2,677,136,346.65","3,477,016,482.22","1,012,787,045.31"
吸收投资收到的现金,,,,"14,812,380.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"425,251,498.40","422,469,935.28",,,,"421,092,675.53",,,,,,,,"640,958,435.85",
