科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"497,784,229.11","493,226,556.76","480,480,682.20",,"231,567,471.51","355,151,322.66","455,827,666.42","138,161,759.44","326,233,341.65","499,426,905.02","631,252,278.77","126,805,848.48","335,287,074.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"14,604,777.66","14,604,777.66","14,604,777.66",,
收到的税费返还,"30,240,864.13","35,441,283.43","39,098,209.11",,"12,366,967.58","29,588,339.99","36,733,820.81","14,990,283.50","29,151,668.11","42,708,667.35","55,399,847.48","11,693,135.72","31,090,825.29"
支付其他与投资活动有关的现金,"3,727,161.50","2,822,510.54","2,000,000.00",,,,,,,,,,
收到其他与经营活动有关的现金,"7,269,956.01","20,385,711.71","48,408,845.71",,"15,937,182.18","27,576,183.05","23,112,179.80","6,948,584.20","31,311,074.38","20,953,916.98","15,448,329.56","12,095,615.96","8,330,424.31"
投资活动现金流出小计,"21,140,800.24","21,187,951.74","6,993,022.28",,"907,001.94","2,024,109.35","5,076,228.76","4,061,617.23","25,728,733.90","30,734,137.18","38,165,725.71","37,939,038.10","85,837,847.76"
经营活动现金流入小计,"535,295,049.25","549,053,551.90","567,987,737.02",,"259,871,621.27","412,315,845.70","515,673,667.03","160,100,627.14","386,696,084.14","563,089,489.35","702,100,455.81","150,594,600.16","374,708,323.97"
投资活动产生的现金流量净额,"-19,816,778.66","-14,632,700.50","-4,903,244.60","-855,600.00","-907,001.94","-1,598,557.90","-4,216,789.70","-4,061,617.23","-25,557,723.90","-30,498,627.18","-35,112,690.07","-36,795,638.10","-85,102,927.07"
购买商品、接受劳务支付的现金,"349,094,800.74","327,794,564.76","329,317,280.12",,"165,415,213.33","253,926,810.27","301,806,563.64","127,280,502.73","243,666,900.60","378,601,709.15","422,026,541.59","144,874,033.30","317,170,010.87"
吸收投资收到的现金,,,,,"227,250,000.00","227,250,000.00","227,250,000.00",,,,,,
支付给职工以及为职工支付的现金,"71,892,420.66","75,272,807.49","84,039,310.07",,"43,994,754.73","67,908,647.64","87,477,907.43","26,747,997.14","50,485,170.10","80,125,747.99","114,858,456.61","41,115,354.06","72,009,626.01"
取得借款收到的现金,,"22,178,154.90","18,120,312.35",,,,,,"4,700,000.00",,,,
