科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"49,646,000,000.00","73,674,000,000.00","102,513,000,000.00","57,812,000,000.00","109,209,000,000.00","38,790,000,000.00","65,351,000,000.00","91,932,000,000.00","116,921,000,000.00","37,256,000,000.00","62,691,000,000.00","90,498,000,000.00","129,594,000,000.00","55,231,000,000.00","81,292,000,000.00","109,925,000,000.00","143,187,000,000.00","66,256,000,000.00","103,997,000,000.00","133,994,000,000.00","158,453,000,000.00","55,267,000,000.00","87,451,000,000.00","117,785,000,000.00","146,173,000,000.00","44,595,000,000.00","77,070,000,000.00","115,561,000,000.00","144,132,000,000.00","46,159,000,000.00","83,669,000,000.00","123,496,000,000.00","154,167,000,000.00","49,565,000,000.00"
提取保险责任准备金,"24,786,000,000.00","45,944,000,000.00","70,510,000,000.00","37,427,000,000.00","65,548,000,000.00","25,390,000,000.00","39,642,000,000.00","52,433,000,000.00","63,876,000,000.00","20,780,000,000.00","31,875,000,000.00","42,592,000,000.00","65,913,000,000.00","32,796,000,000.00","38,212,000,000.00","44,900,000,000.00","46,155,000,000.00","15,930,000,000.00","28,853,000,000.00","36,011,000,000.00","40,178,000,000.00","11,359,000,000.00","20,032,000,000.00","25,755,000,000.00","26,077,000,000.00","-201,000,000.00","8,709,000,000.00","22,721,000,000.00","30,876,000,000.00","3,704,000,000.00","12,193,000,000.00","21,483,000,000.00","26,752,000,000.00","12,542,000,000.00"
利息净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：摊回保险责任准备金,"90,000,000.00","-20,000,000.00","39,000,000.00","-219,000,000.00","-534,000,000.00","-332,000,000.00","-487,000,000.00","-726,000,000.00","-1,021,000,000.00","-73,000,000.00","-98,000,000.00","-126,000,000.00","-108,000,000.00","3,000,000.00","26,000,000.00","50,000,000.00","106,000,000.00","34,000,000.00","113,000,000.00","153,000,000.00","323,000,000.00","-595,000,000.00","-1,103,000,000.00","-810,000,000.00","-1,296,000,000.00","50,000,000.00","48,000,000.00","49,000,000.00","10,000,000.00","89,000,000.00","161,000,000.00","260,000,000.00","330,000,000.00","96,000,000.00"
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00","4,000,000.00","23,000,000.00","35,000,000.00","106,000,000.00","126,000,000.00","15,000,000.00"
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"130,000,000.00","116,000,000.00","128,000,000.00","92,000,000.00","140,000,000.00","31,000,000.00","71,000,000.00","95,000,000.00","134,000,000.00","26,000,000.00","60,000,000.00","85,000,000.00","113,000,000.00","36,000,000.00","67,000,000.00","132,000,000.00","235,000,000.00","405,000,000.00","959,000,000.00","1,044,000,000.00","985,000,000.00","60,000,000.00","63,000,000.00","72,000,000.00","168,000,000.00","17,000,000.00","75,000,000.00","99,000,000.00","169,000,000.00","25,000,000.00","79,000,000.00","104,000,000.00","166,000,000.00","31,000,000.00"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出2,"3,856,000,000.00","5,450,000,000.00","7,179,000,000.00","3,667,000,000.00","7,265,000,000.00","2,115,000,000.00","3,796,000,000.00","5,282,000,000.00","6,960,000,000.00","1,727,000,000.00","3,075,000,000.00","4,474,000,000.00","6,195,000,000.00","2,476,000,000.00","4,125,000,000.00","5,748,000,000.00","7,613,000,000.00","2,956,000,000.00","5,165,000,000.00","7,679,000,000.00","10,669,000,000.00","4,063,000,000.00","7,416,000,000.00",,"13,530,000,000.00","5,175,000,000.00","8,794,000,000.00","12,921,000,000.00","15,905,000,000.00","4,149,000,000.00","8,656,000,000.00","13,077,000,000.00","16,708,000,000.00","4,726,000,000.00"
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,"10,531,000,000.00",,,,,,,,,,
业务及管理费,"5,654,000,000.00","7,261,000,000.00","8,443,000,000.00","4,018,000,000.00","9,272,000,000.00","2,235,000,000.00","4,540,000,000.00","6,888,000,000.00","9,875,000,000.00","2,189,000,000.00","4,533,000,000.00","6,894,000,000.00","10,097,000,000.00","2,635,000,000.00","5,238,000,000.00","7,966,000,000.00","11,451,000,000.00","2,903,000,000.00","5,824,000,000.00","8,955,000,000.00","12,839,000,000.00","3,212,000,000.00","6,372,000,000.00","9,575,000,000.00","13,322,000,000.00","3,682,000,000.00","7,016,000,000.00","10,115,000,000.00","14,050,000,000.00","2,634,000,000.00","5,528,000,000.00","8,688,000,000.00","12,561,000,000.00","2,921,000,000.00"
其中：代理买卖证券业务净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：摊回分保费用,"38,000,000.00","55,000,000.00","33,000,000.00","20,000,000.00","43,000,000.00","13,000,000.00","23,000,000.00","39,000,000.00","90,000,000.00","19,000,000.00","41,000,000.00","96,000,000.00","120,000,000.00","31,000,000.00","57,000,000.00","85,000,000.00","116,000,000.00","40,000,000.00","74,000,000.00","110,000,000.00","184,000,000.00","29,000,000.00","53,000,000.00","147,000,000.00","241,000,000.00","48,000,000.00","67,000,000.00","120,000,000.00","273,000,000.00","59,000,000.00","228,000,000.00","412,000,000.00","593,000,000.00","158,000,000.00"
证券承销业务净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失,"775,000,000.00","66,000,000.00","-269,000,000.00","-241,000,000.00","483,000,000.00","520,000,000.00","2,016,000,000.00","4,769,000,000.00","5,013,000,000.00","186,000,000.00","927,000,000.00","1,209,000,000.00","1,310,000,000.00","257,000,000.00","754,000,000.00","946,000,000.00","1,024,000,000.00","3,000,000.00","24,000,000.00","584,000,000.00","613,000,000.00","43,000,000.00","442,000,000.00","783,000,000.00","1,342,000,000.00","424,000,000.00","719,000,000.00","880,000,000.00","1,101,000,000.00","201,000,000.00","489,000,000.00","755,000,000.00","1,797,000,000.00","209,000,000.00"
委托客户管理资产业务净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本,"1,505,000,000.00","1,432,000,000.00","1,168,000,000.00","707,000,000.00","1,556,000,000.00","595,000,000.00","1,210,000,000.00","1,862,000,000.00","2,566,000,000.00","465,000,000.00","1,613,000,000.00","2,423,000,000.00","3,188,000,000.00","717,000,000.00","1,488,000,000.00","2,480,000,000.00","3,572,000,000.00","1,351,000,000.00","2,143,000,000.00","2,832,000,000.00","3,533,000,000.00","580,000,000.00","1,269,000,000.00","1,986,000,000.00","2,693,000,000.00","795,000,000.00","1,643,000,000.00","2,424,000,000.00","3,194,000,000.00","666,000,000.00","1,403,000,000.00","2,098,000,000.00","2,945,000,000.00","602,000,000.00"
已赚保费,"46,446,000,000.00","64,998,000,000.00","91,583,000,000.00","50,707,000,000.00","95,310,000,000.00","34,899,000,000.00","55,763,000,000.00","77,621,000,000.00","97,589,000,000.00","31,324,000,000.00","50,941,000,000.00","71,863,000,000.00","103,182,000,000.00","48,071,000,000.00","66,409,000,000.00","85,725,000,000.00","109,271,000,000.00","51,624,000,000.00","72,177,000,000.00","94,011,000,000.00","111,220,000,000.00","46,076,000,000.00","70,302,000,000.00","92,474,000,000.00","111,547,000,000.00","36,705,000,000.00","60,149,000,000.00","88,426,000,000.00","107,928,000,000.00","38,619,000,000.00","66,285,000,000.00","97,601,000,000.00","119,947,000,000.00","42,002,000,000.00"
