科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"910,233,115.77","1,640,250,860.57","1,545,416,700.39","260,139,455.77","586,190,941.83","966,899,048.17","1,546,299,576.33","343,516,650.97","660,601,392.67","932,644,525.90","1,708,184,270.90","678,601,607.18","1,413,683,037.19","2,242,017,166.36","3,454,706,811.94","707,606,869.81","1,608,094,873.51","2,424,140,433.62","3,910,989,824.33","868,575,289.95","1,622,491,603.35","2,674,857,191.98","3,926,631,646.61","722,448,283.92","1,782,634,834.80","2,988,484,705.58","4,481,314,796.77","1,404,714,869.63","2,896,551,285.04","5,067,363,748.21","7,131,209,938.13","1,985,322,160.51","4,071,068,132.01","6,607,296,892.07","8,669,517,434.19"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"126,059,855.64","25,753,583.08","93,375,583.08","103,065,583.08","103,065,583.08",,,,,,,,,,,"312,268,981.07","312,076,480.86",,,,,,,,
收到的税费返还,"3,127,975.18","1,541,339.96","62,087.66","206,540.79","2,881,245.71","11,775,414.01","19,323,623.90","409,405.38","2,690,959.97","7,421,423.40","16,564,393.00","1,421,934.02","3,762,784.36","24,239,768.79","29,272,609.85","1,748,465.58","2,327,422.64","5,550,227.35","20,650,080.23","14,705,902.85","16,088,223.67","16,675,324.89","23,126,478.92","4,083,808.90","7,059,397.54","76,904,166.18","166,883,907.25","54,721,120.85","121,375,109.84","213,354,897.99","249,521,358.63","79,852,164.12","161,846,469.32","206,539,122.09","345,513,942.03"
支付其他与投资活动有关的现金,"142,206.54","2,004,000.00",,,,,,,,,"40,000,000.00",,,,,,,,,,,,,,,,,,,"9,060,090.00","29,000,090.00",,"200,000,000.00","200,000,000.00","40,200.00"
收到其他与经营活动有关的现金,"195,539,704.59","131,494,554.03","24,297,279.40","3,839,955.63","6,946,230.69","10,151,964.31","20,810,721.57","30,725,930.51","5,865,365.26","7,951,672.56","9,950,415.57","24,766,469.55","75,314,952.79","83,692,059.39","47,683,761.26","26,718,103.06","84,038,897.03","182,725,438.48","138,363,489.47","7,245,267.36","16,401,579.82","43,569,297.65","67,967,608.82","14,933,893.66","32,482,751.88","91,232,113.87","186,662,008.53","17,122,216.17","31,359,080.22","94,516,224.88","213,236,302.29","34,255,113.71","55,614,482.25","75,275,800.73","183,554,756.96"
投资活动现金流出小计,"12,865,479.26","65,485,971.46","145,373,308.24","35,353,989.21","62,597,423.46","111,335,952.39","130,363,184.32","116,974,520.15","145,226,728.90","175,105,337.79","421,026,453.93","149,774,075.47","273,836,708.48","340,905,493.77","501,242,899.13","77,768,233.30","170,300,937.41","248,623,051.78","379,539,242.20","81,911,951.74","119,306,418.75","198,147,519.87","321,395,628.51","79,276,415.65","155,717,554.54","531,725,463.62","888,161,580.11","85,137,869.50","144,420,055.74","294,230,520.04","483,230,945.17","512,130,274.57","947,076,222.08","1,650,251,379.00","1,506,830,049.05"
经营活动现金流入小计,"1,108,900,795.54","1,773,286,754.56","1,569,776,067.45","264,185,952.19","596,018,418.23","988,826,426.49","1,586,433,921.80","374,651,986.86","669,157,717.90","948,017,621.86","1,734,699,079.47","704,790,010.75","1,492,760,774.34","2,349,948,994.54","3,531,663,183.05","736,073,438.45","1,694,461,193.18","2,612,416,099.45","4,070,003,394.03","890,526,460.16","1,654,981,406.84","2,735,101,814.52","4,017,725,734.35","741,465,986.48","1,822,176,984.22","3,156,620,985.63","4,834,860,712.55","1,476,558,206.65","3,049,285,475.10","5,375,234,871.08","7,593,967,599.05","2,099,429,438.34","4,288,529,083.58","6,889,111,814.89","9,198,586,133.18"
投资活动产生的现金流量净额,"-3,963,820.65","-59,961,655.08","-140,208,947.27","-34,779,568.78","-59,189,969.28","-106,839,391.49","-121,365,994.23","-114,976,644.37","-127,603,787.56","-152,494,889.48","-385,652,216.21","-142,351,000.83","-251,362,692.72","-315,992,882.97","-440,090,332.09","-73,153,273.65","-140,056,827.92","-215,878,580.34","-317,049,047.14","-80,116,673.17","-116,624,734.05","-193,164,205.94","-292,374,949.43","-78,439,867.44","-154,854,785.64","-530,862,694.72","-873,169,807.82","-85,137,869.50","-144,165,780.74","-293,573,425.04","-466,030,898.29","-492,099,574.57","-927,020,321.08","-1,429,777,748.00","-1,495,883,671.16"
购买商品、接受劳务支付的现金,"879,098,605.92","1,347,188,332.52","1,144,552,541.42","369,145,895.46","674,953,613.39","1,004,364,019.87","1,406,633,589.28","431,246,001.85","706,047,803.77","1,049,768,859.58","1,635,816,836.84","576,780,300.73","1,312,336,147.32","1,979,615,575.86","2,730,150,679.37","748,940,011.06","1,462,385,037.75","2,396,859,461.52","3,403,268,036.19","730,757,462.70","1,515,282,961.02","2,648,978,612.26","3,205,350,723.20","792,445,985.74","1,702,736,263.37","2,928,524,052.23","3,539,836,381.17","1,434,816,874.98","2,675,787,094.13","4,615,762,706.59","5,890,004,075.40","1,897,318,445.77","3,605,385,783.05","5,811,413,838.94","6,686,088,979.81"
吸收投资收到的现金,"109,390,500.00","3,000,000.00",,,"1,984,620,000.00","1,984,620,000.00","1,985,029,553.88",,,,,,,,"13,380,000.00",,,"900,000.00","900,000.00","17,235,652.50","16,097,642.55","16,097,642.55","53,523,120.71",,,,,,"2,432,750,000.00","2,432,750,000.00","2,498,616,325.09",,,"20,501,372.56","47,564,802.61"
