科目,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"500,509,793.73","660,430,569.61","698,080,752.99","1,039,968,638.28","1,315,635,892.95","101,891,568.65","102,850,641.59","233,240,641.59","341,386,491.74","131,202,383.51","431,330,164.96","460,516,142.99","696,213,228.81","33,124,444.97","33,124,444.97","33,124,444.97","33,124,444.97",,"10,825,767.20","29,248,597.74","29,265,097.74","69,307,771.79","90,737,341.93","231,891,205.63","243,120,220.87","348,932,373.82","759,956,720.18","1,152,304,386.69","1,563,559,707.97","303,975,710.76","623,066,600.91","1,676,010,048.52","2,230,893,397.81","487,743,907.53","989,336,797.17","1,226,770,461.47","1,351,531,547.80","144,225,436.83","1,299,435,561.51","1,703,427,178.09","3,180,177,076.95","274,377,025.58","1,777,649,868.49"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"5,883,258.15","3,432.70","1,567,802.66","9,412,669.17","9,412,669.17","441,095.89","2,009,033.53","2,857,331.15","3,838,101.31","101,369.85","824,231.71","1,462,919.87","1,576,558.48",,,,,,,,,,"13,119,180.37","36,927,269.12","52,033,665.12","22,649,983.13","43,152,716.27","66,249,153.91","115,703,487.20","14,167,401.62","36,120,965.07","50,960,301.27","60,996,047.54","29,309,731.83","47,794,619.20","55,176,838.32","54,926,287.90","6,049,332.38","15,901,204.70","20,678,958.79","33,801,181.80","33,363,091.80","32,174,993.19"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"57,739,750.98","1,800.00","1,800.00","1,800.00",,,,"2,310.00",,,,"12,270.00",,,,,,,,,,,,,,"100,000,000.00","100,000,000.00","100,000,000.00","150,559,999.35","610,696,961.64","610,696,961.64","622,964,117.26","610,696,961.64",,"6,000,000.00","2,738,457.14","2,738,457.14",,,"1,142,188.97","57,572.61",,
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00",,,,"50,000,000.00",,
投资活动现金流入小计,"564,132,802.86","660,435,802.31","699,650,355.65","1,049,383,107.45","1,325,048,562.12","102,332,664.54","104,859,675.12","236,100,282.74","345,224,593.05","131,303,753.36","432,154,396.67","461,991,332.86","697,789,787.29","33,124,444.97","33,124,444.97","33,124,444.97","33,124,444.97",,"10,825,767.20","29,248,597.74","29,265,097.74","69,307,771.79","103,856,522.30","268,818,474.75","295,153,885.99","471,582,356.95","903,109,436.45","1,318,553,540.60","1,829,823,194.52","928,840,074.02","1,269,884,527.62","2,349,934,467.05","2,902,586,406.99","517,053,639.36","1,043,131,416.37","1,284,685,756.93","1,409,196,292.84","150,274,769.21","1,315,336,766.21","1,725,248,325.85","3,214,035,831.36","307,740,117.38","1,809,824,861.68"
收取利息、手续费及佣金的现金,"885,229,523.20","184,363,968.81","409,112,713.51","538,525,575.39","694,109,152.22","195,351,247.69","475,344,773.89","878,182,778.17","1,418,274,120.69","274,057,243.11","938,560,361.08","1,389,900,087.87","1,793,577,515.50","499,888,698.18","763,134,718.87","1,044,600,697.76","1,253,748,493.41","331,467,126.08","745,245,709.89","1,124,964,541.33","1,460,902,214.40","327,170,146.81","729,059,987.98","1,074,034,746.35","1,460,230,968.13","489,280,589.78","929,135,646.28","1,549,194,553.71","2,462,986,421.02","1,124,576,889.57","3,495,961,863.10","5,137,025,284.83","7,316,084,264.04","1,281,917,959.24","2,624,965,676.86","4,202,795,343.65","5,794,621,214.51","1,220,064,428.08","2,357,994,412.89","3,707,448,499.71","5,158,387,460.93","943,172,898.54","1,909,510,793.23"
投资支付的现金,"524,240,399.72","31,635,224.39","58,098,144.15","66,324,070.88","66,324,070.88","50,334,950.00","182,475,213.71","282,791,995.18","380,705,296.87","391,043,112.65","401,052,873.19","502,324,098.56","563,891,348.56",,,,"78,400,000.00","14,000,000.00","36,800,000.00","95,717,070.97","108,545,373.83","872,385,695.75","1,508,586,731.76","2,010,859,336.81","2,059,420,594.27","156,223,701.50","444,822,820.32","857,004,756.89","1,113,044,520.30","83,892,196.00","381,641,731.52","2,179,997,954.42","5,978,727,658.23","359,236,544.46","829,434,707.99","1,591,018,420.74","1,691,433,626.74","250,527,942.35","313,995,075.40","1,300,117,095.87","2,080,366,995.87","1,527,821,977.05","5,313,915,420.24"
