科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"28,516,698.27","113,902,691.39","94,910,039.53","177,260,388.81","2,024,521,224.12","1,902,246,500.30","1,910,803,367.24","1,826,084,951.98","1,789,690,006.96","1,743,726,367.69","1,722,393,763.10","1,688,238,830.36","1,682,100,192.69","1,678,344,334.45","1,742,959,950.43","1,774,208,078.55","1,691,675,829.34","1,656,850,330.44","1,636,163,847.00","1,461,169,958.22","1,531,173,435.47","1,369,332,451.22","1,394,491,466.64","1,415,494,810.47","1,212,633,610.49","1,153,104,772.49","922,871,781.06","945,079,464.10","979,449,233.09","863,714,521.89","809,792,736.67","891,861,057.47"
短期借款,"80,000,000.00","50,000,000.00","180,000,000.00","247,000,000.00",,,,,,,"12,913,934.00","44,857,362.00","44,634,480.00","44,263,494.00","44,664,246.00","44,669,328.00",,,"26,165,772.00","31,992,867.85","32,737,312.51","27,662,736.00","27,524,712.00","28,248,912.00","178,447,428.00","250,000,000.00","238,000,000.00","523,488,000.00","559,107,000.00","340,684,000.00","453,516,200.00","642,932,800.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,457,000.00","1,189,240.00","26,193,848.78","40,636,505.19","54,008,792.92","35,454,801.03","75,814,666.79","53,654,518.30","62,593,911.39","44,082,054.76","84,648,447.47","95,398,834.89","86,397,136.34","62,481,466.69","103,377,443.59","113,978,742.52","203,424,531.22","322,497,838.41","326,040,386.63","350,819,455.28","291,816,578.71","225,737,185.83","250,612,177.95","305,391,092.36","319,142,644.56","295,760,330.34","378,702,331.36","390,835,084.07","426,029,659.37","379,614,460.02","369,314,251.24","537,747,045.98"
应付票据,,"10,000,000.00",,,,,,,,"442,016.26","363,181.79","765,670.20","13,467,293.41","2,428,784.02","820,016.41","849,696.86","142,713,354.25","327,913,734.82","315,770,345.55","320,058,364.50","339,570,305.07","294,899,648.32","276,212,514.31","285,777,582.21","362,220,878.07","377,156,989.59","385,793,572.99","434,038,960.34","540,720,083.72","554,785,214.68","478,358,090.87","624,890,580.41"
应收账款,"107,906,202.93","147,773,484.79","122,929,444.21","176,273,939.10","204,054,134.98","206,387,486.57","261,157,755.35","280,051,520.17","280,128,806.74","229,986,424.61","315,437,301.20","282,519,361.03","315,635,998.42","320,012,638.85","373,167,999.31","372,634,208.51","341,544,775.23","463,708,903.58","621,934,133.66","719,280,529.23","714,016,317.04","637,427,031.05","612,270,603.61","622,409,826.80","719,094,389.55","653,056,585.01","673,376,425.86","696,067,337.58","664,438,994.11","596,228,390.90","647,512,314.12","620,256,735.48"
应付账款,"165,453,884.43","244,219,833.02","327,759,644.24","484,440,387.61","459,420,780.64","389,274,681.80","488,684,696.67","401,247,649.69","354,198,439.60","298,247,922.00","401,849,102.11","426,760,347.52","455,055,215.48","442,223,191.64","589,971,940.49","495,130,890.63","531,802,137.42","442,933,899.13","564,187,847.68","586,543,953.47","561,334,910.59","405,469,373.96","443,667,279.94","498,148,872.43","593,063,077.67","588,886,026.54","763,753,632.84","679,305,523.13","726,367,503.74","815,929,717.34","1,007,588,952.06","907,047,682.09"
预付款项,"16,557,859.85","19,752,935.19","36,192,863.70","80,801,562.74","66,263,499.63","57,093,754.09","111,590,332.21","66,162,670.11","47,340,495.34","9,032,781.77","38,539,479.66","31,599,142.97","113,119,183.91","23,174,814.57","33,455,245.26","43,743,901.39","85,500,152.00","18,278,970.04","43,548,865.30","18,561,224.86","18,664,574.02","27,392,559.93","35,746,828.28","235,411,659.41","83,386,036.26","34,191,600.85","24,367,971.27","26,204,705.94","55,606,508.09","32,371,064.45","53,725,328.09","46,212,509.36"
预收款项,"15,856,232.37","18,808,713.39","66,588,224.99","55,723,698.47","51,722,828.82","51,528,903.46","67,044,790.21","45,004,372.93","51,573,382.66","42,766,831.49","53,792,995.94","65,698,229.15","167,773,032.11","80,684,949.93","84,821,797.00","72,012,335.91","56,523,622.42","94,186,644.11","97,063,673.48","65,026,831.43","72,737,217.94","64,080,305.42","65,170,683.57","67,210,172.18","218,510,082.03","187,137,530.76","146,608,871.10","171,906,229.89","122,153,134.07","128,021,672.93","138,337,640.90","127,092,707.91"
其他应收款,"5,504,390.54","4,296,715.59","803,501.77","546,282.71","945,482.46","2,339,692.06","2,733,549.82","1,475,283.47","730,344.82","983,131.72","908,875.40","513,149.53","1,310,837.82","3,935,646.34","1,862,814.89","1,568,340.51","2,534,848.07","4,703,239.36","3,744,620.31","2,592,621.48","3,558,370.83","5,443,415.59","4,933,133.16","8,060,763.44","24,467,479.87","25,190,197.81","25,386,935.18","19,147,912.62","23,801,634.73","34,295,346.84","6,239,176.28","15,101,067.00"
应付职工薪酬,"1,660,196.97","1,845,342.40","2,581,107.73","4,394,445.28","4,970,611.28","996,416.88","204,841.64","440,024.01","239,234.03","831,532.84","2,057,906.55","2,074,925.85","3,143,926.23","4,388,751.21","2,827,452.54","2,916,561.37","3,035,817.91","3,408,657.08","2,576,779.80","2,848,702.19","2,622,257.92","2,916,655.42","2,688,981.53","2,714,309.86","28,054,843.64","21,209,493.61","32,491,428.46","26,253,127.54","29,252,746.39","24,658,662.40","24,740,107.19","22,279,414.81"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"13,582,621.14","30,957,073.15","19,476,236.00","12,846,620.27","19,312,003.08","8,560,994.72","26,903,301.65","27,309,160.31","17,063,260.76","14,260,860.85","22,114,880.22","28,338,956.77","21,678,908.87","40,521,864.14","41,226,714.61","38,576,053.06","34,002,297.39","42,623,519.31","39,829,687.67","56,973,970.17","13,243,134.34","19,979,524.59","7,573,312.36","14,985,159.95","16,685,137.75","20,791,552.69","10,894,778.68","15,851,578.90","20,573,836.33","71,492,879.21","44,806,345.38","33,281,773.20"
应收利息,,,,,"4,991,691.67","1,705,845.69","15,000,650.68","24,885,955.65","5,500,612.39","14,952,666.85","25,688,762.91","33,570,859.89","8,831,793.93","9,439,080.51","19,811,894.75","36,847,968.86","14,171,846.49","12,136,095.81","23,599,015.34","29,299,844.65","10,592,521.45","5,201,653.85","10,531,471.59","12,250,484.68","9,559,647.35","2,257,252.29","3,062,648.13","225,083.33","900,333.32","1,046,076.39","1,721,326.38","480,000.00"
应付利息,"108,900.00","81,125.00","292,050.00","405,650.00",,,,,,,,,,"140,561.47",,,,,,,,"23,414.56",,"185,673.60","186,978.40","323,135.74",,"405,258.75","670,638.51","1,008,451.50","832,957.90","1,244,454.42"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"10,500,000.00","9,682,345.57","9,500,000.00",,"13,250,000.00",,,"80,000,000.00","40,000,000.00",,,,,"4,129,140.65","866,640.65","866,640.65","866,640.65","4,199,940.65","693,312.52","60,693,312.52","60,693,312.52","3,401,612.52","3,401,612.52","693,312.52","693,312.52","693,312.52","693,312.52","693,312.52","693,312.52","693,312.52","693,312.52","693,312.52"
存货,"124,181,341.47","152,637,441.03","251,012,575.88","334,113,963.90","375,099,261.49","404,465,341.38","434,850,794.20","405,002,723.89","390,999,779.95","411,929,069.34","473,916,232.34","484,001,275.15","560,820,639.95","572,107,494.85","649,286,943.62","586,692,783.18","652,899,040.48","614,374,505.57","659,025,060.63","655,018,864.28","649,982,397.84","606,819,998.27","668,539,439.68","691,326,995.56","844,685,867.80","826,065,008.39","902,929,827.54","862,235,660.01","948,114,361.67","878,165,982.64","968,527,712.03","951,651,343.05"
其他应付款,"56,542,468.93","62,181,623.16","46,790,293.80","46,311,534.82","56,724,221.06","6,552,947.23","7,956,202.96","18,675,638.68","6,946,087.21","5,513,085.42","4,183,777.70","7,879,141.26","22,931,143.96","16,374,233.40","16,814,168.75","15,521,578.01","14,228,761.35","15,547,254.27","13,802,829.33","14,587,009.73","15,920,983.43","18,283,120.74","16,087,711.53","20,701,266.59","113,652,278.90","36,428,233.90","36,038,928.80","37,400,089.01","40,152,907.44","42,908,783.77","34,429,285.36","24,264,011.50"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,"7,723,041.89","99,224.81","145,965.11","320,982.72","5,031,147.80","577,063.28","4,297,271.47","3,797,671.10","10,716,430.26","636,313.01","4,123,164.64","10,908,835.77","80,920,085.75","23,285,670.84","35,194,653.87","44,395,925.84","48,517,560.49","49,179,403.17","60,984,538.47","58,820,772.23","68,018,819.30","43,678,924.52","168,008,700.81"
其他流动负债,,,,,,,,,,,,,"1,180,029.80",,,,,,,,,,,,,,,,,,,
流动资产合计,"284,123,493.06","439,552,507.99","532,042,273.87","809,632,642.45","2,729,884,087.27","2,609,693,421.12","2,811,951,116.29","2,657,317,623.57","2,576,983,957.59","2,462,415,538.63","2,661,632,086.89","2,615,987,418.93","2,768,536,765.78","2,674,526,624.06","2,924,499,355.13","2,933,971,294.99","2,995,548,693.93","3,103,266,313.47","3,314,692,241.88","3,240,865,662.64","3,230,713,031.13","2,958,274,381.49","3,000,410,791.75","3,325,540,286.59","3,257,365,601.72","3,038,143,307.67","2,979,877,323.57","3,000,779,786.12","3,157,161,496.61","2,853,454,662.43","2,900,511,769.33","3,231,318,459.15"
流动负债合计,"343,704,303.84","427,776,055.69","652,987,556.76","851,122,336.45","605,400,444.88","456,913,944.09","590,793,833.13","572,676,845.62","470,020,404.26","362,062,248.86","497,275,778.31","576,374,632.75","729,864,029.86","635,154,970.46","782,012,976.45","670,543,084.49","783,172,631.39","930,813,649.37","1,060,090,248.03","1,138,725,011.86","1,098,859,434.32","836,716,391.53","842,326,807.76","918,665,261.34","1,511,514,016.98","1,482,626,275.35","1,614,274,525.39","1,889,342,080.08","2,039,691,162.72","1,980,182,694.35","2,183,302,892.18","2,383,726,736.86"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,"5,688,797.87","5,719,726.66","208,544,634.66","176,685,722.81","5,849,618.42","6,064,933.37","32,624,508.91","186,387,546.38","557,666,115.60","759,721,459.86","1,249,355,369.39"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,"14,932,583.70","15,080,720.26","15,077,965.36","15,726,217.35","16,413,404.57","17,278,611.96","21,765,948.50","18,920,717.85","20,089,531.93","21,045,153.52","21,888,593.17","23,025,767.24","19,499,539.47","34,165,529.55","49,389,938.50","59,236,607.80","60,042,262.29","66,689,288.12","66,418,918.44","66,313,677.56","60,831,682.65","61,644,785.74","56,697,862.84","58,398,862.72","60,832,407.03","63,088,984.10","64,905,353.34","67,114,571.29","70,129,110.74"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,923,844.90","1,851,386.42","1,948,105.69"
固定资产,"232,083,965.65","293,531,438.21","406,881,660.62","483,670,787.16","521,535,636.88","595,942,827.50","621,723,174.31","657,108,834.05","677,454,123.87","711,212,233.90","705,957,515.34","719,449,829.94","740,413,666.07","892,576,357.85","877,179,251.44","884,660,609.32","831,786,843.43","912,915,829.45","881,389,294.81","877,536,673.13","854,421,330.40","869,865,440.97","843,900,252.88","827,775,991.57","868,588,072.59","842,997,172.89","842,608,691.78","827,942,975.50","813,994,615.68","794,222,880.18","782,154,091.73","770,591,789.30"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,"12,947,890.39","62,063,907.01","53,456,541.59","47,815,123.54","27,256,917.83","15,021,822.40","68,056,562.40","73,706,946.03","78,923,459.12","79,717,873.79","108,199,851.26","120,662,254.14","59,237,565.36","62,476,323.65","43,523,238.47","67,326,262.73","4,494,133.52","3,274,765.62","3,292,615.51","27,884,888.33","40,079,156.77","38,489,496.17","39,852,246.79","47,386,273.86","610,601,207.12","752,429,796.00","888,347,836.59","1,073,298,481.88","1,639,973,811.05","1,968,764,435.50","2,323,633,242.90"
其他非流动负债,,,,,,,,,,,,,"1,150,000.00","5,000,000.00","5,000,000.00","4,750,000.00","4,625,000.00",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,"5,919,137.23",,,,,,,,,"4,226,054.94","4,246,303.63","8,071,272.74"
非流动负债合计,,,,,,,,,,,,,"1,150,000.00","5,000,000.00","5,000,000.00","4,750,000.00","4,625,000.00","8,324,000.00","9,369,000.00","9,022,800.00","24,272,200.00","29,472,797.87","29,348,726.66","232,018,634.66","200,004,722.81","58,409,413.23","58,027,596.99","85,510,177.79","240,000,011.22","621,781,171.53","821,067,142.13","1,313,354,481.64"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"343,704,303.84","427,776,055.69","652,987,556.76","851,122,336.45","605,400,444.88","456,913,944.09","590,793,833.13","572,676,845.62","470,020,404.26","362,062,248.86","497,275,778.31","576,374,632.75","731,014,029.86","640,154,970.46","787,012,976.45","675,293,084.49","787,797,631.39","939,137,649.37","1,069,459,248.03","1,147,747,811.86","1,123,131,634.32","866,189,189.40","871,675,534.42","1,150,683,896.00","1,711,518,739.79","1,541,035,688.58","1,672,302,122.38","1,974,852,257.87","2,279,691,173.94","2,601,963,865.88","3,004,370,034.31","3,697,081,218.50"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"100,000,000.00","107,000,000.00","107,000,000.00","107,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","286,000,000.00","286,000,000.00","286,000,000.00","286,000,000.00","429,000,000.00","429,000,000.00","429,000,000.00","429,000,000.00","429,000,000.00","429,000,000.00","429,000,000.00","429,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00","858,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"62,565,576.69","114,776,489.10","109,423,806.19","109,423,806.19","2,226,388,423.23","2,226,129,549.62","2,226,129,549.62","2,083,129,549.62","2,083,129,549.62","2,083,129,549.62","2,083,129,549.62","1,940,129,549.62","1,940,129,549.62","1,940,129,549.62","1,940,129,549.62","1,940,129,549.62","1,940,129,549.62","1,940,129,549.62","1,940,129,549.62","1,511,129,549.62","1,511,129,549.62","1,511,129,549.62","1,511,129,549.62","1,507,881,559.62","1,507,881,559.62","1,504,844,424.40","1,504,844,424.40","1,504,844,424.40","1,504,844,424.40","1,505,661,101.32","1,505,661,101.32","1,505,661,101.32"
无形资产,"34,932,413.21","37,730,335.35","69,992,624.81","68,628,894.46","67,898,046.27","66,557,506.32","65,777,114.11","70,687,478.60","82,730,182.01","97,629,646.41","96,563,541.86","125,635,915.56","169,582,251.88","169,521,304.36","168,148,584.14","167,107,163.94","168,560,138.40","210,512,044.47","209,461,743.90","208,776,783.86","208,972,909.64","224,650,552.08","225,968,680.15","222,883,263.63","225,610,840.09","190,335,124.08","191,846,623.90","201,989,317.98","199,994,730.36","225,634,957.12","229,301,344.41","233,249,033.41"
盈余公积,"6,727,112.56","3,841,548.59","15,312,244.28","15,312,244.28","15,312,244.28","33,526,917.20","33,526,917.20","33,526,917.20","33,526,917.20","68,024,315.79","68,024,315.79","68,024,315.79","68,024,315.79","96,833,263.10","96,833,263.10","96,833,263.10","96,833,263.10","125,393,480.06","125,393,480.06","125,393,480.06","125,393,480.06","147,900,879.67","147,900,879.67","147,900,879.67","147,900,879.67","160,478,605.78","160,478,605.78","160,478,605.78","160,478,605.78","170,199,884.09","170,199,884.09","170,199,884.09"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,"405,988,911.57",,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,"20,240,832.53","19,629,790.28","27,199,338.33","38,046,843.49","38,046,843.49","38,046,843.49","38,046,843.49","38,046,843.49","38,046,843.49","38,046,843.49","38,046,843.49","38,046,843.49","38,046,843.49","38,046,843.49","244,412,859.69","255,160,562.44","256,082,765.10","256,077,350.80","256,077,350.80","256,077,350.80","256,077,350.80","256,077,350.80"
未分配利润,"26,961,449.46","105,392,293.95","164,867,215.75","314,977,935.19","380,764,799.76","440,300,022.93","524,604,327.39","475,844,243.05","540,701,734.29","558,570,626.12","634,748,875.76","585,372,625.32","667,683,691.63","737,395,994.65","829,136,265.93","932,703,126.72","869,876,840.00","886,700,306.24","952,519,960.30","812,229,696.02","843,290,602.19","825,655,187.77","843,329,277.54","869,833,385.85","901,150,136.83","912,533,184.23","930,514,980.65","816,027,174.25","848,171,288.12","878,468,707.70","905,548,775.46","846,476,892.43"
长期待摊费用,,,,,,,"729,651.62","691,911.02","2,253,968.04",,,"842,248.70","1,793,562.34",,,,,,,,,,,,,,,,,,,
少数股东权益,"15,709,179.68","31,851,545.19","30,414,531.52","43,641,075.83","23,797,140.85","25,681,592.77","27,450,331.35","28,700,004.69","30,198,467.29","26,129,304.64","26,606,582.43","28,387,007.38","31,500,986.83","29,110,330.92","30,588,942.93","32,120,708.19","32,178,712.21","29,737,660.72","30,816,288.48","30,507,225.89","30,975,953.30","28,446,360.45","29,327,541.52","31,680,498.20","38,898,623.41","27,686,302.47","28,127,191.23","25,711,181.33","27,286,297.29","-27,831.44","-2,105,760.11","-4,721,804.57"
递延所得税资产,"4,527,750.31","6,849,199.97","8,585,641.22","10,384,790.62","11,061,518.24","9,525,026.76","13,145,449.30","10,455,650.70","11,525,658.99","10,473,069.33","11,559,962.11","11,513,782.58","12,484,264.40","13,130,707.96","14,021,870.82","14,567,318.10","15,217,734.92","15,573,461.28","20,367,872.50","22,401,622.71","26,832,784.62","20,080,005.07","23,316,458.84","22,983,534.00","26,010,919.75","24,757,874.55","28,127,669.90","27,569,708.60","31,612,528.36","60,048,804.03","68,390,979.32","68,940,432.13"
外币报表折算价差,,"-26,560.61","-439,246.97","-771,157.96","-1,387,920.54","-1,498,361.72","-1,430,413.31","853,904.73","-1,643,624.17","-1,496,149.14","-1,192,571.54","-5,939,761.68","-5,635,317.27","-3,696,112.50","-5,303,002.12","-4,703,724.34","-5,163,949.87",,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,"11,630,430.96","10,230,120.45","24,017,060.54","18,545,100.54","7,840,680.75","13,719,954.00","13,379,305.00","13,351,770.59","10,690,144.78","63,619,689.74","78,679,079.41","63,647,982.03","84,698,494.15","75,653,202.40","103,646,931.12"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"271,544,129.17","351,058,863.92","547,523,833.66","631,073,597.53","663,391,045.19","714,360,243.77","732,123,429.09","823,413,841.34","864,949,490.90","920,004,357.26","932,960,443.48","1,005,360,950.25","1,093,180,490.68","1,194,401,372.19","1,182,898,640.78","1,167,404,712.79","1,155,103,352.52","1,242,562,681.67","1,222,007,248.57","1,234,113,861.53","1,247,312,282.37","1,266,981,597.57","1,249,755,363.09","1,225,752,867.13","1,892,994,433.88","1,991,239,948.70","2,193,114,099.14","2,341,438,675.91","2,501,714,673.21","3,129,787,705.61","3,451,702,279.08","3,834,339,163.14"
所有者权益(或股东权益)合计,"211,963,318.39","362,835,316.22","426,578,550.77","589,583,903.53","2,787,874,687.58","2,867,139,720.80","2,953,280,712.25","2,908,054,619.29","2,971,913,044.23","3,020,357,647.03","3,097,316,752.06","3,044,973,736.43","3,130,703,226.60","3,228,773,025.79","3,320,385,019.46","3,426,082,923.29","3,362,854,415.06","3,406,691,345.77","3,467,240,242.42","3,327,231,712.31","3,354,893,679.18","3,359,066,789.66","3,378,490,620.42","3,400,609,257.72","3,438,841,295.81","3,488,347,567.79","3,500,689,300.33","3,367,366,204.16","3,379,184,995.88","3,381,278,502.16","3,347,844,014.10","3,368,576,403.79"
资产总计,"555,667,622.23","790,611,371.91","1,079,566,107.53","1,440,706,239.98","3,393,275,132.46","3,324,053,664.89","3,544,074,545.38","3,480,731,464.91","3,441,933,448.49","3,382,419,895.89","3,594,592,530.37","3,621,348,369.18","3,861,717,256.46","3,868,927,996.25","4,107,397,995.91","4,101,376,007.78","4,150,652,046.45","4,345,828,995.14","4,536,699,490.45","4,474,979,524.17","4,478,025,313.50","4,225,255,979.06","4,250,166,154.84","4,551,293,153.72","5,150,360,035.60","5,029,383,256.37","5,172,991,422.71","5,342,218,462.03","5,658,876,169.82","5,983,242,368.04","6,352,214,048.41","7,065,657,622.29"
