科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"27,488,294,000.00","56,915,366,000.00","53,642,532,000.00","49,120,713,000.00","57,470,064,000.00","58,360,410,000.00","61,801,650,000.00","63,089,583,000.00","64,952,253,000.00","67,351,046,000.00","64,440,101,000.00","67,237,010,000.00","65,206,592,000.00","62,835,212,000.00","70,724,426,000.00","63,532,404,000.00","83,057,641,000.00","79,774,462,000.00","80,257,676,000.00","86,730,060,000.00","92,274,144,000.00","90,576,013,000.00","96,161,572,000.00","91,723,791,000.00","93,433,837,000.00","94,849,932,000.00","93,585,349,000.00","96,580,342,000.00","98,087,787,000.00","90,562,637,000.00","98,033,451,000.00","105,197,394,000.00","121,934,009,000.00","111,002,425,000.00","115,636,059,000.00","117,284,628,000.00","128,701,994,000.00","109,908,408,000.00","111,185,672,000.00","110,748,595,000.00","141,206,185,000.00","100,846,870,000.00"
短期借款,"17,571,659,000.00","15,899,292,000.00","15,437,588,000.00","15,485,005,000.00","13,279,512,000.00","15,019,593,000.00","14,824,896,000.00","10,087,366,000.00","10,540,467,000.00","12,583,534,000.00","13,907,129,000.00","18,372,337,000.00","16,242,671,000.00","22,093,988,000.00","32,563,535,000.00","34,234,038,000.00","34,159,994,000.00","41,519,848,000.00","33,572,141,000.00","35,370,882,000.00","38,696,693,000.00","41,787,820,000.00","47,350,207,000.00","48,808,695,000.00","47,062,143,000.00","47,276,461,000.00","53,633,314,000.00","58,102,206,000.00","44,811,039,000.00","49,363,558,000.00","50,418,735,000.00","51,023,865,000.00","43,370,880,000.00","44,612,536,000.00","43,826,416,000.00","39,338,062,000.00","30,428,522,000.00","35,706,885,000.00","38,248,993,000.00","39,531,792,000.00","29,499,098,000.00","31,503,279,000.00"
交易性金融资产,"125,131,000.00","106,538,000.00","68,054,000.00","36,172,000.00","32,853,000.00","39,531,000.00","49,697,000.00","54,709,000.00","97,339,000.00","95,557,000.00","67,655,000.00","79,313,000.00","75,490,000.00","72,290,000.00","65,699,000.00","47,330,000.00","46,919,000.00","47,788,000.00","48,752,000.00","61,151,000.00","115,025,000.00","130,955,000.00","126,352,000.00","126,595,000.00",,"103,334,000.00","270,183,000.00","91,755,000.00","110,204,000.00","118,133,000.00","131,596,000.00","226,895,000.00","218,437,000.00","185,369,000.00","197,823,000.00","217,986,000.00","323,376,000.00","254,782,000.00","233,477,000.00","251,832,000.00","489,712,000.00","2,555,396,000.00"
交易性金融负债,"2,013,057,000.00",,"1,165,198,000.00",,"346,599,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,958,000.00","40,958,000.00",,
应收票据,"162,108,000.00","136,403,000.00","112,796,000.00","177,116,000.00","131,787,000.00","185,900,000.00","177,783,000.00","228,157,000.00","206,396,000.00","247,688,000.00","270,335,000.00","307,454,000.00","483,446,000.00","426,215,000.00","410,590,000.00","1,165,491,000.00","2,014,619,000.00","1,862,558,000.00","1,234,126,000.00","1,729,202,000.00","2,300,570,000.00","2,857,709,000.00","2,472,217,000.00","2,768,499,000.00","3,466,399,000.00","3,156,636,000.00","2,222,216,000.00","1,993,727,000.00","2,897,507,000.00","2,759,519,000.00","2,116,756,000.00","2,045,696,000.00","2,493,640,000.00","2,172,910,000.00","2,028,376,000.00","2,066,902,000.00","4,350,580,000.00","3,121,917,000.00","2,605,878,000.00","3,175,071,000.00","7,024,926,000.00","5,229,364,000.00"
应付票据,"3,023,454,000.00","2,742,617,000.00","3,532,587,000.00","3,924,900,000.00","4,467,460,000.00","5,289,142,000.00","6,088,690,000.00","8,018,405,000.00","8,251,899,000.00","9,002,615,000.00","10,622,269,000.00","11,882,023,000.00","13,607,569,000.00","14,005,279,000.00","15,669,703,000.00","14,502,458,000.00","10,972,454,000.00","12,016,282,000.00","16,611,552,000.00","21,579,392,000.00","22,013,195,000.00","23,080,979,000.00","21,282,355,000.00","22,116,641,000.00","22,824,023,000.00","22,422,902,000.00","22,135,138,000.00","21,186,517,000.00","21,356,148,000.00","23,105,889,000.00","23,776,404,000.00","23,856,419,000.00","26,279,109,000.00","25,974,325,000.00","24,949,920,000.00","24,742,743,000.00","28,511,489,000.00","30,439,287,000.00","34,204,206,000.00","39,442,620,000.00","41,411,304,000.00","44,014,911,000.00"
应收账款,"30,102,895,000.00","27,763,051,000.00","68,401,322,000.00","74,549,795,000.00","68,959,214,000.00","64,944,518,000.00","70,874,780,000.00","82,852,643,000.00","44,689,573,000.00","40,633,529,000.00","43,687,550,000.00","50,208,327,000.00","56,047,982,000.00","56,473,780,000.00","54,259,123,000.00","58,578,249,000.00","62,918,831,000.00","54,677,203,000.00","56,875,259,000.00","57,430,554,000.00","71,711,636,000.00","68,215,535,000.00","67,404,095,000.00","70,985,439,000.00","87,797,722,000.00","81,595,042,000.00","89,458,854,000.00","92,424,723,000.00","115,414,242,000.00","103,267,365,000.00","113,404,627,000.00","117,377,501,000.00","128,028,443,000.00","123,209,932,000.00","131,158,522,000.00","133,986,313,000.00","133,427,609,000.00","128,188,704,000.00","139,806,926,000.00","144,061,760,000.00","146,503,891,000.00","147,105,070,000.00"
应付账款,"41,653,339,000.00","37,725,021,000.00","58,343,437,000.00","63,063,739,000.00","75,161,005,000.00","76,769,355,000.00","81,468,067,000.00","89,450,018,000.00","93,728,201,000.00","83,949,841,000.00","95,991,027,000.00","106,303,919,000.00","127,588,606,000.00","127,962,623,000.00","133,994,122,000.00","140,603,671,000.00","149,398,973,000.00","131,824,257,000.00","144,698,302,000.00","143,298,595,000.00","158,862,434,000.00","142,408,171,000.00","158,672,549,000.00","166,143,291,000.00","177,791,775,000.00","159,586,812,000.00","172,999,832,000.00","177,955,493,000.00","205,388,554,000.00","179,267,199,000.00","196,648,968,000.00","203,589,906,000.00","225,976,243,000.00","206,113,360,000.00","233,201,116,000.00","238,657,839,000.00","261,465,985,000.00","242,498,101,000.00","260,380,403,000.00","261,551,045,000.00","282,080,205,000.00","251,419,836,000.00"
预付款项,"13,392,906,000.00","17,242,557,000.00","21,444,297,000.00","24,119,327,000.00","21,258,665,000.00","24,686,621,000.00","26,029,697,000.00","25,642,823,000.00","23,627,766,000.00","28,330,319,000.00","29,801,200,000.00","23,478,591,000.00","28,132,730,000.00","34,047,262,000.00","32,552,614,000.00","29,786,916,000.00","26,075,648,000.00","31,202,807,000.00","35,086,652,000.00","39,962,554,000.00","33,560,698,000.00","40,847,853,000.00","39,242,917,000.00","42,954,516,000.00","32,529,418,000.00","35,780,460,000.00","35,742,957,000.00","35,443,760,000.00","27,620,275,000.00","33,360,758,000.00","30,034,519,000.00","31,349,824,000.00","23,194,402,000.00","27,195,263,000.00","23,662,168,000.00","24,076,682,000.00","19,955,611,000.00","24,298,672,000.00","24,315,226,000.00","26,777,352,000.00","18,784,004,000.00","23,133,234,000.00"
预收款项,"32,624,866,000.00","38,870,216,000.00","41,619,459,000.00","48,692,308,000.00","33,889,939,000.00","40,184,133,000.00","46,217,336,000.00","47,600,442,000.00","37,443,418,000.00","48,872,969,000.00","51,647,412,000.00","43,914,678,000.00","42,724,119,000.00","68,196,448,000.00","50,596,506,000.00","50,765,733,000.00","39,348,494,000.00","49,409,916,000.00","48,655,366,000.00","50,390,888,000.00","62,097,756,000.00","81,816,416,000.00","70,556,179,000.00","74,806,560,000.00","66,225,429,000.00","76,354,048,000.00","68,198,258,000.00","69,392,523,000.00","63,646,731,000.00","76,348,573,000.00","75,531,258,000.00","86,202,188,000.00","75,981,106,000.00","92,569,565,000.00","92,281,295,000.00","102,285,324,000.00","88,331,508,000.00","103,733,349,000.00","97,132,406,000.00","104,884,884,000.00","85,682,565,000.00","101,263,407,000.00"
