科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"534,610,545.94","605,711,459.68","677,994,220.37","119,493,217.31","359,692,771.97","606,989,084.01","916,662,201.04","118,080,837.17","375,656,608.33","701,588,272.13","1,114,810,360.44","138,122,602.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,"5,691.46",,,,"6,893.24",,
支付其他与投资活动有关的现金,"23,200,000.00",,,,"364,000,000.00","418,000,000.00","1,220,330,000.00","355,092,500.00","1,217,500,000.00","1,718,822,200.00","2,213,200,000.00","340,500,000.00"
收到其他与经营活动有关的现金,"9,839,234.51","17,552,589.33","18,265,050.47","28,102,865.50","12,796,612.04","38,163,379.58","26,717,338.06","349,956,196.05","25,423,498.44","43,842,033.14","37,615,183.41","16,468,489.15"
投资活动现金流出小计,"68,389,048.37","38,942,207.83","27,558,197.32","14,796,947.40","407,274,658.51","515,338,842.81","1,316,322,226.14","470,584,688.48","1,309,132,235.75","1,851,699,006.55","2,370,928,500.96","349,636,508.19"
经营活动现金流入小计,"544,449,780.45","623,264,049.01","696,259,270.84","147,596,082.81","372,489,384.01","645,158,155.05","943,379,539.10","468,037,033.22","401,080,106.77","745,437,198.51","1,152,425,543.85","154,591,091.67"
投资活动产生的现金流量净额,"-34,219,035.19","-38,938,237.75","-27,556,447.32","-14,796,947.40","-401,273,825.52","-456,338,009.82","-670,442,824.10","153,117,147.04","136,205,803.33","167,933,534.33","256,358,286.91","-90,057,530.25"
购买商品、接受劳务支付的现金,"306,535,055.45","267,710,710.20","354,459,288.51","90,438,737.17","228,006,127.03","358,001,529.42","542,197,798.28","177,060,207.26","317,620,945.52","505,267,077.30","716,730,318.22","160,523,967.86"
吸收投资收到的现金,"62,000,000.00",,,"459,684,396.00","499,684,396.00","499,684,396.00","499,684,396.00",,,"32,000,000.00","32,728,000.00","346,903.91"
支付给职工以及为职工支付的现金,"85,725,008.96","106,556,006.03","113,774,041.84","30,644,250.89","61,852,787.03","99,153,453.42","148,654,037.27","42,194,032.54","85,239,136.30","136,684,176.67","205,252,685.04","56,327,547.08"
取得借款收到的现金,"20,000,000.00",,,,,,,,,,,
支付的各项税费,"53,707,513.79","61,746,845.87","66,436,499.07","15,548,063.42","29,203,317.28","54,990,390.56","73,906,509.61","20,106,095.74","41,949,534.27","76,987,204.01","100,368,382.47","24,380,215.77"
收到其他与筹资活动有关的现金,,"300,000.00",,,,,,,,,"337,317.40",
支付其他与经营活动有关的现金,"60,631,392.80","58,809,155.59","62,996,152.24","57,761,285.92","33,099,331.34","40,010,254.42","88,687,250.08","532,581,869.67","44,203,526.21","83,503,736.19","119,726,174.09","39,925,960.70"
筹资活动现金流入小计,"82,000,000.00","300,000.00",,"459,684,396.00","499,684,396.00","499,684,396.00","499,684,396.00",,,"32,000,000.00","33,065,317.40","346,903.91"
经营活动现金流出小计,"506,598,971.00","494,822,717.69","597,665,981.66","194,392,337.40","352,161,562.68","552,155,627.82","853,445,595.24","771,942,205.21","489,013,142.30","802,442,194.17","1,142,077,559.82","281,157,691.41"
偿还债务支付的现金,"20,000,000.00","1,000,000.00",,,,,,,,,,
经营活动产生的现金流量净额,"37,850,809.45","128,441,331.32","98,593,289.18","-46,796,254.59","20,327,821.33","93,002,527.23","89,933,943.86","-303,905,171.99","-87,933,035.53","-57,004,995.66","10,347,984.03","-126,566,599.74"
分配股利、利润或偿还利息支付的现金,"16,563,908.34","115,262.50","18,614,640.00",,,"18,674,986.90","18,640,107.00",,"24,854,632.00","24,854,632.00","34,301,988.99","434,609.69"
收回投资收到的现金,"1,680,000.00",,,,,,,"148,000,000.00",,,,
支付其他与筹资活动有关的现金,,,,,"7,179,589.75","7,179,589.75","13,023,624.29",,"5,203,353.82","10,054,691.31","16,129,265.66",
取得投资收益收到的现金,"260,760.18",,,,,,"9,532,834.86","5,535,221.43","10,502,039.08","14,597,239.19","18,022,291.38","2,078,977.94"
筹资活动现金流出小计,"36,563,908.34","1,115,262.50","18,614,640.00",,"7,179,589.75","25,854,576.65","31,663,731.29",,"30,057,985.82","34,909,323.31","50,431,254.65","434,609.69"
处置固定资产、无形资产和其他长期资产收回的现金净额,"29,253.00","3,970.08","1,750.00",,832.99,832.99,"84,067.18",,,"2,200.00","1,764,496.49",
筹资活动产生的现金流量净额,"45,436,091.66","-815,262.50","-18,614,640.00","459,684,396.00","492,504,806.25","473,829,819.35","468,020,664.71",,"-30,057,985.82","-2,909,323.31","-17,365,937.25","-87,705.78"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,"32,200,000.00",,,,"6,000,000.00","59,000,000.00","636,262,500.00","470,166,614.09","1,434,836,000.00","2,005,033,101.69","2,607,500,000.00","257,500,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"34,170,013.18","3,970.08","1,750.00",,"6,000,832.99","59,000,832.99","645,879,402.04","623,701,835.52","1,445,338,039.08","2,019,632,540.88","2,627,286,787.87","259,578,977.94"
五、现金及现金等价物净增加额,"49,067,865.92","88,687,831.07","52,422,201.86","398,091,194.01","111,558,802.06","110,494,336.76","-112,488,215.53","-150,788,024.95","18,214,781.98","108,019,215.36","249,340,333.69","-216,711,835.77"
购建固定资产、无形资产和其他长期资产支付的现金,"45,189,048.37","38,942,207.83","27,558,197.32","14,796,947.40","13,274,658.51","67,338,842.81","65,992,226.14","30,492,188.48","91,632,235.75","132,876,806.55","157,728,500.96","9,136,508.19"
期初现金及现金等价物余额,"52,327,801.40","101,395,667.32","190,083,498.39","242,842,593.18","240,309,692.98","240,309,692.98","242,505,700.25","351,950,619.81","130,017,484.72","130,017,484.72","130,017,484.72","379,357,818.41"
投资支付的现金,,,,,"30,000,000.00","30,000,000.00","30,000,000.00","85,000,000.00",,,,
期末现金及现金等价物余额,"101,395,667.32","190,083,498.39","242,505,700.25","640,933,787.19","351,868,495.04","350,804,029.74","130,017,484.72","201,162,594.86","148,232,266.70","238,036,700.08","379,357,818.41","162,645,982.64"
