科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"28,201,460.93","30,436,928.21","51,012,001.46","48,072,107.51","253,819,377.97","252,896,252.11","101,208,103.52","96,985,904.89","96,227,894.97","122,903,443.05","76,935,227.34"
短期借款,"100,000.00",,,,,,,,,"8,000,000.00",
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,,,,"37,150.00",,"800,000.00","1,442,065.48","1,363,565.05","533,230.00","4,050,000.00","3,816,744.05"
应付票据,"17,747,540.00","6,400,000.00","5,890,000.00","4,270,000.00","5,380,000.00","7,230,000.00","4,350,000.00","3,840,000.00","2,260,000.00","3,500,000.00","3,880,000.00"
应收账款,"115,349,161.92","117,811,735.53","129,592,025.00","132,481,722.69","134,059,196.41","148,984,210.70","142,290,449.87","142,229,003.59","144,456,306.89","149,199,181.22","149,605,303.97"
应付账款,"20,395,379.85","8,664,565.08","11,092,713.22","13,290,527.14","9,226,014.63","10,568,438.99","4,814,295.04","6,549,709.64","7,236,881.61","7,278,005.21","5,278,738.86"
预付款项,"5,094,890.31","4,610,054.34","5,569,578.92","9,290,734.43","6,483,501.60","9,759,871.91","3,546,190.04","4,976,988.99","4,871,324.95","5,930,028.39","4,905,919.61"
预收款项,"10,529,381.58","7,160,427.07","10,002,146.96","10,921,877.03","12,912,215.69","12,572,946.53","11,046,771.92","12,574,706.06","12,145,414.28","10,688,186.74","7,798,979.93"
其他应收款,"1,134,038.34","5,980,725.35","5,861,482.02","4,928,418.31","5,701,973.89","7,327,648.61","4,756,434.83","4,827,257.63","4,078,652.77","4,824,452.14","5,586,719.68"
应付职工薪酬,"3,789,624.41","3,426,657.04","4,096,516.73","2,973,019.82","3,958,393.66","3,934,802.89","4,192,613.00","3,063,511.54","3,727,880.83","4,809,371.99","6,081,095.52"
应收关联公司款,,,,,,,,,,,
应交税费,"5,707,632.60","4,890,914.25","4,804,359.83","2,860,767.38","3,109,727.88","4,273,953.97","2,475,664.29","1,850,591.12","2,535,153.79","2,377,833.36","3,587,206.30"
应收利息,,,,,,,"830,912.61","161,769.58","647,078.32","121,333.33","485,333.32"
应付利息,,,,,,,,,,"9,570.00",
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,"4,349,236.69",
存货,"58,112,152.57","49,911,318.38","55,715,615.94","57,914,699.99","60,087,397.23","56,119,832.64","53,310,449.67","53,596,115.49","53,997,774.18","53,877,181.74","52,850,780.39"
其他应付款,"20,818,474.42","14,557,797.66","14,530,890.01","14,323,965.66","14,591,105.24","15,655,700.34","16,092,529.72","16,187,276.02","16,417,318.21","17,084,016.84","17,639,308.78"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"2,343,987.08","2,747,731.63","7,377,795.25","6,802,904.48","4,419,677.20","3,108,520.22","139,852,293.43","129,491,074.22","109,872,309.66","102,460,502.49","133,060,031.11"
其他流动负债,,,,,"6,874,266.12",,,,,,
流动资产合计,"210,235,691.15","211,498,493.44","255,128,498.59","259,527,737.41","464,571,124.30","478,996,336.19","447,236,899.45","433,631,679.44","414,684,571.74","443,366,122.36","427,246,059.47"
流动负债合计,"79,088,032.86","45,100,361.10","50,416,626.75","48,640,157.03","56,051,723.22","54,235,842.72","42,971,873.97","44,065,794.38","44,322,648.72","58,096,220.83","44,265,329.39"
可供出售金融资产,,,,,,,,,"20,000,000.00",,
长期借款,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,"20,980,000.00","20,149,957.09","19,684,603.94","19,834,430.44"
专项应付款,,,,,,,,,,,
投资性房地产,,,,,,,,,,,
预计负债,,,,,,,,,"1,684,141.01","1,684,141.01","1,657,312.01"
固定资产,"13,569,420.44","13,362,839.06","13,945,704.19","13,449,550.38","13,186,489.45","12,753,303.52","23,579,628.36","24,954,268.46","24,445,665.34","24,260,784.38","43,561,837.27"
递延所得税负债,,,"541,649.31","518,178.80","529,533.10","608,161.18","716,392.33","695,725.24","697,603.42","729,950.22","904,542.81"
在建工程,,"545,718.83","1,002,530.99","1,002,530.99","1,002,530.99","1,438,053.79","23,723,806.49","24,154,847.29","36,989,169.56","43,345,588.26","31,822,730.53"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"6,737,000.00","5,080,299.17","6,732,717.72","6,616,939.52","6,535,986.13","6,462,306.52","7,278,229.98","7,165,255.20","7,678,966.70","7,619,005.81","7,674,461.71"
固定资产清理,,,,,,,,,,,
