科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"560,311,259.40","547,714,404.25","348,932,931.01","445,380,626.92","1,525,199,251.22","1,199,382,446.55","916,621,503.31","771,617,478.38","694,415,725.65","855,876,247.11","775,988,684.16","722,565,295.55","444,264,795.08","341,695,713.54","397,801,482.65","479,426,510.14","631,578,859.00","875,599,546.00","614,352,802.12","543,508,091.26","392,142,322.42","680,700,081.51","552,055,852.06","605,777,320.51","590,148,752.02","750,915,793.51","708,912,925.12","812,783,992.12","492,844,012.39","1,180,682,486.62","874,675,403.78","991,374,417.22"
短期借款,"325,000,000.00","426,000,000.00","475,000,000.00","598,326,402.40","635,000,000.00","470,000,000.00","310,000,000.00","343,659,023.01","210,000,000.00","300,000,000.00","300,000,000.00","348,500,000.00","325,000,000.00","300,000,000.00","289,000,000.00","306,000,000.00","306,000,000.00","286,000,000.00","236,000,000.00","156,000,000.00","296,000,000.00","230,000,000.00","160,000,000.00","100,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","27,436,632.00","155,802,252.00","650,478,262.40","859,133,487.50","1,101,783,051.73"
交易性金融资产,,"5,342,325.00",,"-4,255,489.96","2,717,018.10","1,190,535.87","451,517.39","1,793.88",,,,,,,,,,,"3,479,271.00",,,,,,,"24,560,740.86","2,266,661.86",,,,,"6,933,353.79"
交易性金融负债,,,,,,,,,,,,,,"2,822.00",,,,,,,,,,,,,,"277,467.62",,,,
应收票据,"110,175,110.13","55,972,310.72","183,142,122.81","73,366,061.34","134,915,299.37","233,507,017.27","218,031,659.60","359,102,331.72","301,301,138.87","299,496,419.90","268,221,523.34","441,415,524.25","343,102,645.41","527,270,160.26","342,905,870.29","243,345,910.68","273,614,300.40","369,897,468.69","234,621,835.20","374,966,626.40","268,561,235.53","324,570,084.81","261,879,100.36","490,259,177.45","508,579,428.89","664,405,505.78","357,615,126.21","682,472,829.67","516,221,103.47","567,644,412.29","534,263,184.96","788,699,874.71"
应付票据,"631,750,000.00","533,000,000.00","540,000,000.00","593,599,782.20","463,000,000.00","142,678,004.43","80,932,431.00","187,138,063.27","206,463,636.70","99,750,000.00","148,600,000.00","247,200,000.00","182,890,000.00","150,690,000.00","670,570,000.00","938,000,000.00","1,155,000,000.00","1,520,000,000.00","1,173,000,000.00","800,000,000.00","796,600,000.00","1,026,850,000.00","1,097,338,070.26","1,142,339,781.42","1,270,104,587.26","942,485,986.75","1,275,778,466.82","1,604,704,333.42","1,331,613,876.05","1,378,565,235.21","1,207,944,663.33","917,766,477.77"
应收账款,"142,274,514.37","266,563,037.03","320,754,887.46","457,991,783.43","432,114,579.46","289,875,776.18","361,234,461.54","386,149,025.29","446,457,734.19","288,232,900.64","472,584,530.39","399,493,390.61","506,993,143.36","251,637,672.45","459,521,047.69","389,021,095.10","518,458,691.36","360,676,248.07","588,366,661.56","397,483,358.15","474,789,940.27","246,080,891.05","419,987,924.92","368,660,230.10","555,312,451.23","315,150,238.03","686,535,086.84","465,585,231.80","788,424,238.87","615,439,800.55","854,362,884.76","535,473,785.52"
应付账款,"68,693,724.61","77,136,243.59","99,480,865.62","113,643,099.12","117,311,241.93","119,762,849.43","103,696,768.18","102,043,000.02","108,341,401.56","97,580,563.55","115,997,417.91","122,523,153.14","130,830,035.71","124,401,508.43","170,041,422.16","175,338,629.92","195,035,553.68","206,389,661.49","213,391,272.64","221,771,450.88","229,643,710.13","214,005,620.54","261,053,970.30","272,213,083.65","318,690,323.68","311,498,683.58","324,804,591.72","332,828,697.58","353,555,677.04","386,905,264.61","471,833,522.94","438,348,714.86"
预付款项,"154,587,669.55","92,713,266.32","173,558,141.10","67,847,512.83","146,771,212.64","81,989,473.94","88,928,395.68","99,177,434.63","112,350,779.30","70,658,884.38","58,536,612.20","95,172,564.15","216,623,446.96","89,793,035.62","232,164,866.79","184,758,133.30","419,286,792.01","530,031,665.70","158,589,403.25","41,370,079.04","254,449,632.72","408,719,800.38","370,596,017.31","382,554,698.97","439,286,274.57","98,723,826.46","353,490,948.47","222,740,112.57","356,803,326.04","455,138,960.61","458,213,743.44","760,568,585.59"
预收款项,"44,266,615.28","33,754,957.76","79,828,307.33","54,157,474.73","44,451,891.15","44,401,996.27","38,590,652.73","37,451,403.37","37,630,526.38","27,715,561.43","26,997,723.07","33,642,853.16","27,353,423.12","19,063,564.48","108,194,029.35","92,827,692.08","100,876,029.68","49,211,936.81","57,583,699.16","61,840,708.50","55,378,986.53","53,778,675.39","48,205,806.38","50,814,467.14","64,760,940.87","51,916,129.93","80,854,555.22","64,131,751.07","55,456,860.12","76,035,801.77","157,324,265.07","73,579,473.99"
其他应收款,"24,261,929.69","17,989,198.47","24,493,131.50","24,672,814.66","35,685,970.67","12,223,798.93","14,862,244.10","12,561,599.05","12,932,937.23","18,474,106.57","7,670,413.25","8,757,479.14","2,178,744.35","1,829,111.22","24,013,322.88","28,187,228.44","14,698,518.20","28,537,224.17","8,594,661.25","12,361,837.48","7,447,171.49","12,288,733.78","8,855,337.11","6,598,062.89","13,127,048.03","19,849,483.18","23,230,941.72","10,971,645.31","58,994,252.25","8,187,807.42","11,168,451.99","27,505,088.63"
应付职工薪酬,"12,630,957.29","23,061,232.11","26,621,994.75","15,219,329.23","15,775,956.63","32,000,694.29","16,618,606.53","17,226,889.31","18,978,498.01","27,833,533.75","18,781,069.24","18,558,119.38","20,197,371.65","31,098,565.25","32,316,749.54","22,925,110.99","24,241,438.82","37,999,681.99","39,178,192.86","26,812,292.88","28,234,084.34","40,240,808.08","42,239,958.27","33,653,196.54","34,986,628.01","55,241,598.59","51,612,155.53","37,816,508.69","38,256,650.58","58,255,649.34","39,458,674.26","41,399,477.70"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-5,227,679.44","12,518,037.91","-36,112,944.84","-894,460.60","14,679,822.55","10,564,685.70","18,860,382.87","-14,938,742.29","6,365,077.31","-3,652,748.84","11,501,590.88","4,289,879.33","5,890,793.15","21,989,109.85","17,686,038.05","16,831,648.46","27,428,870.29","56,442,476.35","50,992,681.34","17,648,403.53","25,048,019.69","24,608,473.44","39,582,725.36","44,657,718.88","61,297,289.97","67,462,563.02","58,432,227.89","49,812,935.24","83,655,345.34","77,758,629.65","79,356,987.88","74,211,718.74"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"913,815.86","2,760,877.44","2,505,435.21"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"10,188,117.00",,,,,,,,,,,"42,730,000.00",,,,"40,100,000.00",,,,"1,508,040.00","1,508,040.00","904,824.00","904,824.00","1,900,130.40","1,900,130.40","950,065.20","3,926,077.20","3,926,077.20","3,926,077.20","3,926,077.20","1,287,716.40","2,910,419.40"
