科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"320,353,636.00","325,576,825.84","425,572,001.08","216,334,070.24","376,158,558.02","550,290,055.86","109,531,929.02","256,312,078.64","459,037,923.43","712,976,152.33","168,469,665.00","363,034,877.62","635,234,498.81","877,693,574.14","259,866,407.49","514,418,100.01","865,535,161.19","1,296,568,819.53","368,899,447.37","813,764,151.45","1,246,367,505.85","1,514,341,704.20","392,998,421.97","770,372,784.70","1,165,495,101.57","1,583,538,268.26","347,651,520.66","834,012,995.83","1,538,842,271.87","2,172,669,719.60","531,818,449.34","1,099,859,390.24","1,776,271,889.03"
取得子公司及其他营业单位支付的现金净额,"936,400.00",,,,,,,"113,400,000.00","113,400,000.00","178,080,000.00",,,"46,410,000.00","387,230.78",,,"260,837,586.00","242,512,951.50",,"114,812,414.00","164,812,414.00",,,"8,712,859.95","8,712,859.95",,,"151,147,412.12","242,002,355.60","104,354,914.84",,"-1,332,958.52","-1,332,959.52"
收到的税费返还,,,"238,965.37","180,088.10","180,088.10","324,192.87","146,866.51","170,111.23","170,111.23","173,588.98",,,"207,633.35","198,393.35",,,"1,143,334.64","2,612,998.64","755,244.00","2,230,740.00","3,359,232.00","4,852,624.00","355,752.00","1,758,348.00","2,778,948.00","3,811,212.00","688,176.00","1,385,100.00","3,942,804.40","5,645,772.00","1,175,320.66","3,675,320.66","5,265,320.66"
支付其他与投资活动有关的现金,"5,500,000.00","5,833,391.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,387,000,000.00","255,000,000.00","528,500,000.00","728,500,000.00"
收到其他与经营活动有关的现金,"4,102,494.57","5,795,338.92","1,749,868.80","2,055,662.65","2,101,481.60","5,370,487.60","2,276,242.50","6,898,686.39","9,351,908.56","16,711,225.75","6,764,926.45","10,896,126.54","13,928,570.79","46,389,073.91","3,197,512.87","15,902,480.24","30,180,087.03","168,596,295.51","7,179,851.77","15,732,073.55","53,433,259.49","50,460,177.68","7,240,452.12","7,548,261.83","20,784,835.42","68,694,329.30","9,195,347.11","12,409,063.23","31,230,136.22","305,022,817.73","49,753,783.81","54,920,200.61","70,018,980.37"
投资活动现金流出小计,"151,166,955.10","143,546,291.79","52,856,844.48","38,817,330.49","46,824,893.19","56,866,905.83","31,518,803.80","283,581,727.52","321,320,760.39","408,766,261.95","104,082,156.62","192,106,991.77","364,446,977.77","451,510,175.91","68,304,596.74","87,040,055.20","334,982,010.01","578,312,067.05","64,155,537.99","208,224,155.80","419,480,492.23","507,816,642.95","49,623,145.43","135,408,138.91","272,989,870.02","628,833,110.70","462,043,604.78","1,798,002,385.00","3,409,583,519.18","3,640,402,263.89","475,532,648.90","991,135,808.70","1,394,510,204.69"
经营活动现金流入小计,"324,456,130.57","331,372,164.76","427,560,835.25","218,569,820.99","378,440,127.72","555,984,736.33","111,955,038.03","263,380,876.26","468,559,943.22","729,860,967.06","175,234,591.45","373,931,004.16","649,370,702.95","924,281,041.40","263,063,920.36","530,320,580.25","896,858,582.86","1,467,778,113.68","376,834,543.14","831,726,965.00","1,303,159,997.34","1,569,654,505.88","400,594,626.09","779,679,394.53","1,189,058,884.99","1,656,043,809.56","357,535,043.77","847,807,159.06","1,574,015,212.49","2,483,338,309.33","582,747,553.81","1,158,454,911.51","1,851,556,190.06"
投资活动产生的现金流量净额,"-93,036,955.10","-82,892,027.68","-52,856,844.48","-38,817,330.49","-46,824,893.19","-56,866,905.83","-31,518,803.80","-283,581,727.52","-321,320,760.39","-368,082,361.94","-104,082,156.62","-192,106,991.77","-351,447,342.58","-451,510,175.91","-68,304,596.74","-87,040,055.20","-331,857,375.51","-578,311,197.05","-64,155,537.99","-208,224,155.80","-419,480,492.23","-503,763,309.61","-46,423,145.43","-119,345,916.69","-256,927,647.80","-612,698,516.21","-64,736,106.15","-520,718,689.26","-1,981,120,218.49","-2,569,662,566.63","-354,366,589.17","-610,468,348.97","-760,794,177.83"
购买商品、接受劳务支付的现金,"97,426,516.16","128,648,227.84","209,925,675.90","131,369,361.65","211,651,220.43","325,896,836.30","81,417,263.81","150,191,419.07","261,696,075.27","441,025,067.68","109,950,410.41","209,957,317.47","313,877,349.75","461,135,595.66","127,830,471.90","245,603,748.06","392,782,578.40","663,429,132.30","230,555,441.45","522,419,706.59","844,502,550.87","845,530,294.73","278,339,777.91","460,538,525.05","716,054,952.42","971,199,214.05","226,095,201.72","575,905,949.67","1,082,889,068.45","1,351,304,435.51","446,241,180.23","812,668,591.22","1,282,814,096.64"
吸收投资收到的现金,,"600,000.00","88,952,340.00","5,000,000.00","5,000,000.00","1,020,579,300.00",,,,,,"25,921,668.00","25,921,668.00","59,921,668.00","3,087,624.00","3,087,624.00","3,087,624.00","28,299,038.86","900,000.00","900,000.00","900,000.00","900,000.00",,"1,557,653,539.76","1,557,653,539.76","1,558,153,539.76","3,320,000.00","7,320,000.00","8,070,000.00","32,095,000.00",,"1,000,000.00","1,000,000.00"
支付给职工以及为职工支付的现金,"25,966,327.17","31,547,686.47","35,353,721.52","17,103,212.81","28,713,340.13","38,498,713.58","12,192,413.58","24,408,584.23","41,245,173.64","56,851,004.28","17,530,535.58","37,150,578.38","59,265,149.52","80,758,896.39","23,143,104.59","47,647,172.11","78,247,809.11","110,849,903.09","32,238,767.33","67,488,571.51","103,680,468.11","146,098,908.93","37,182,455.07","78,098,440.67","120,953,004.81","157,416,182.78","47,630,275.44","104,633,530.80","159,076,085.11","212,331,795.92","67,326,291.79","133,956,028.92","196,271,117.09"
取得借款收到的现金,"142,000,000.00","74,992,055.00","151,000,000.00","225,000,000.00","255,000,000.00","315,000,000.00","30,000,000.00","280,000,000.00","290,000,000.00","290,000,000.00","40,000,000.00","370,000,000.00","580,000,000.00","664,000,000.00","50,000,000.00","145,000,000.00","305,000,000.00","605,000,000.00","280,000,000.00","502,000,000.00","732,000,000.00","962,000,000.00","212,000,000.00","442,000,000.00","442,000,000.00","472,000,000.00","32,000,000.00","562,000,000.00","2,017,000,000.00","2,121,000,000.00","262,000,000.00","639,410,000.00","1,761,460,000.00"
支付的各项税费,"29,476,133.31","34,310,408.00","42,439,840.62","20,504,602.40","38,116,401.70","54,443,378.93","18,395,177.98","29,490,497.78","46,528,191.93","72,721,694.57","19,749,752.19","36,637,032.84","53,061,487.79","75,850,532.62","24,379,819.55","47,005,973.43","81,237,205.55","125,633,615.32","31,908,206.34","62,163,629.85","89,374,655.37","121,828,900.31","36,527,907.76","65,468,995.96","104,468,168.99","134,072,631.72","30,557,379.36","73,062,873.90","137,314,381.72","141,407,456.19","42,291,190.66","80,993,079.13","112,361,220.03"
收到其他与筹资活动有关的现金,,"48,500,000.00",,,,,,,,"20,000,000.00",,,,"969,483.24",,,,,,,,,,,,,,,,"2,935,000.00",,"62,960,000.00","35,750,000.00"
支付其他与经营活动有关的现金,"33,571,132.71","81,142,424.86","93,654,734.12","37,621,343.37","76,688,305.05","91,680,249.13","32,729,135.35","56,088,772.57","89,052,119.17","129,710,087.04","36,638,004.67","76,696,329.01","138,383,197.52","187,628,589.80","43,646,837.73","88,324,464.54","141,521,840.78","239,497,840.32","75,125,080.85","127,969,622.86","203,469,647.56","290,616,131.73","94,364,271.13","127,180,646.22","221,319,493.83","233,465,368.05","40,070,404.90","202,097,825.49","279,499,242.73","579,813,346.70","60,554,048.55","175,973,279.37","284,588,136.43"
筹资活动现金流入小计,"142,000,000.00","124,092,055.00","239,952,340.00","230,000,000.00","260,000,000.00","1,335,579,300.00","30,000,000.00","280,000,000.00","290,000,000.00","310,000,000.00","40,000,000.00","395,921,668.00","605,921,668.00","1,259,491,151.24","53,087,624.00","148,087,624.00","308,087,624.00","633,299,038.86","280,900,000.00","502,900,000.00","732,900,000.00","962,900,000.00","212,000,000.00","1,999,653,539.76","1,999,653,539.76","2,030,153,539.76","35,320,000.00","569,320,000.00","2,772,670,000.00","2,903,630,000.00","1,009,225,000.00","1,450,595,000.00","2,545,435,000.00"
经营活动现金流出小计,"186,440,109.35","275,648,747.17","381,373,972.16","206,598,520.23","355,169,267.31","510,519,177.94","144,733,990.72","260,179,273.65","438,521,560.01","700,307,853.57","183,868,702.85","360,441,257.70","564,587,184.58","805,373,614.47","219,000,233.77","428,581,358.14","693,789,433.84","1,139,410,491.03","369,827,495.97","780,041,530.81","1,241,027,321.91","1,404,074,235.70","446,414,411.87","731,286,607.90","1,162,795,620.05","1,496,153,396.60","344,353,261.42","955,700,179.86","1,658,778,778.01","2,284,857,034.32","616,412,711.23","1,203,590,978.64","1,876,034,570.19"
偿还债务支付的现金,"133,000,000.00","56,892,055.00","124,500,000.00","137,000,000.00","153,000,000.00","195,500,000.00","155,000,000.00","267,500,000.00","267,500,000.00","280,000,000.00","10,000,000.00","242,500,000.00","302,500,000.00","342,500,000.00","55,000,000.00","285,000,000.00","420,000,000.00","763,800,000.00","205,000,000.00","364,000,000.00","679,000,000.00","921,000,000.00","205,000,000.00","450,000,000.00","1,025,000,000.00","1,104,000,000.00","12,000,000.00","101,530,000.00","472,440,000.00","523,940,000.00","99,000,000.00","849,000,000.00","1,850,000,000.00"
经营活动产生的现金流量净额,"138,016,021.22","55,723,417.59","46,186,863.09","11,971,300.76","23,270,860.41","45,465,558.39","-32,778,952.69","3,201,602.61","30,038,383.21","29,553,113.49","-8,634,111.40","13,489,746.46","84,783,518.37","118,907,426.93","44,063,686.59","101,739,222.11","203,069,149.02","328,367,622.65","7,007,047.17","51,685,434.19","62,132,675.43","165,580,270.18","-45,819,785.78","48,392,786.63","26,263,264.94","159,890,412.96","13,181,782.35","-107,893,020.80","-84,763,565.52","198,481,275.01","-33,665,157.42","-45,136,067.13","-24,478,380.13"
分配股利、利润或偿还利息支付的现金,"17,631,623.19","42,006,063.51","11,844,453.37","57,020,516.25","61,127,261.25","65,022,127.79","3,138,802.64","50,041,761.37","55,370,318.88","54,734,811.03","5,752,548.21","62,134,946.00","70,157,512.10","79,984,833.90","12,288,198.61","83,235,624.16","92,225,897.66","147,704,834.18","10,248,077.16","22,236,771.85","96,760,642.88","150,272,850.63","10,670,131.22","89,799,738.19","92,152,494.75","135,197,179.06","716,324.16","85,209,656.39","88,571,370.09","157,262,469.98","23,337,769.92","68,304,881.20","72,874,444.36"
收回投资收到的现金,"2,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","397,000,000.00","1,275,752,948.05","1,426,532,948.05","17,000,000.00",,,"920,000.00"
支付其他与筹资活动有关的现金,"1,726,792.45","12,683,984.79","38,850,000.00","699,493.00","699,493.00","7,894,540.00",,"2,100,000.00","2,100,000.00",,,,,,,,,"12,030,476.70","250,192.80","250,192.80","250,192.80","2,793,889.94",,,,"2,688,679.24",,"100,000.00","666,000.00","1,333,060.58","529,826.00","529,826.00","1,067,186.56"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,"4,053,333.34","3,200,000.00","6,062,222.22","6,062,222.22","6,062,222.22","307,498.63","1,530,747.69","1,930,352.64","4,148,260.32","1,066,059.73","10,446,059.73","10,451,963.86"
筹资活动现金流出小计,"152,358,415.64","111,582,103.30","175,194,453.37","194,720,009.25","214,826,754.25","268,416,667.79","158,138,802.64","319,641,761.37","324,970,318.88","334,734,811.03","15,752,548.21","304,634,946.00","372,657,512.10","422,484,833.90","67,288,198.61","368,235,624.16","512,225,897.66","923,535,310.88","215,498,269.96","386,486,964.65","776,010,835.68","1,074,066,740.57","215,670,131.22","539,799,738.19","1,117,152,494.75","1,241,885,858.30","12,716,324.16","186,839,656.39","561,677,370.09","682,535,530.56","122,867,595.92","917,834,707.20","1,923,941,630.92"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,"50,730.45",,,,,,,"50,000.00",870.00,,,,,,,,"3,250.00",,,,"5,042,631.83",,"121,400.00","19,516,063.00"
筹资活动产生的现金流量净额,"-10,358,415.64","12,509,951.70","64,757,886.63","35,279,990.75","45,173,245.75","1,067,162,632.21","-128,138,802.64","-39,641,761.37","-34,970,318.88","-24,734,811.03","24,247,451.79","91,286,722.00","233,264,155.90","837,006,317.34","-14,200,574.61","-220,148,000.16","-204,138,273.66","-290,236,272.02","65,401,730.04","116,413,035.35","-43,110,835.68","-111,166,740.57","-3,670,131.22","1,459,853,801.57","882,501,045.01","788,267,681.46","22,603,675.84","382,480,343.61","2,210,992,629.91","2,221,094,469.44","886,357,404.08","532,760,292.80","621,493,369.08"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"3,152.97","-292,866.10","114,418.10","-89,718.65","-86,905.40","-101,979.78","-48,907.25","-17,685.51","-19,088.35","-97,336.17",-122.79,"18,111.14","196,526.89","6,871.60",-69.69,"-3,548.71","-3,548.71","-68,481.23","23,276.45","-37,750.00","-36,926.78","9,388.88","-18,168.30","1,121.87","1,627.08","-11,450.58","-3,144.28","74,748.62","2,247.50","705,593.48","-18,096.50","-70,725.49","-111,229.50"
收到其他与投资活动有关的现金,"56,130,000.00","60,654,264.11",,,,,,,,"40,633,169.56",,,"12,999,635.19",,,,"3,074,634.50",,,,,,,,,"69,122.27",,,,"1,044,548,805.11","120,100,000.00","370,100,000.00","602,828,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"58,130,000.00","60,654,264.11",,,,,,,,"40,683,900.01",,,"12,999,635.19",,,,"3,124,634.50",870.00,,,,"4,053,333.34","3,200,000.00","16,062,222.22","16,062,222.22","16,134,594.49","397,307,498.63","1,277,283,695.74","1,428,463,300.69","1,070,739,697.26","121,166,059.73","380,667,459.73","633,716,026.86"
五、现金及现金等价物净增加额,"34,623,803.45","-14,951,524.49","58,202,323.34","8,344,242.37","21,532,307.57","1,055,659,304.99","-192,485,466.38","-320,039,571.79","-326,271,784.41","-363,361,395.65","-88,468,939.02","-87,312,412.17","-33,203,141.42","504,410,439.96","-38,441,554.45","-205,452,381.96","-332,930,048.86","-540,248,327.65","8,276,515.67","-40,163,436.26","-400,495,579.26","-449,340,391.12","-95,931,230.73","1,388,901,793.38","651,838,289.23","335,448,127.63","-28,953,792.24","-246,056,617.83","145,111,093.40","-149,381,228.70","498,307,560.99","-122,914,848.79","-163,890,418.38"
购建固定资产、无形资产和其他长期资产支付的现金,"144,730,555.10","137,712,899.83","52,856,844.48","38,817,330.49","46,824,893.19","56,866,905.83","31,518,803.80","170,181,727.52","207,920,760.39","230,686,261.95","104,082,156.62","192,106,991.77","318,036,977.77","418,122,945.13","60,804,596.74","70,790,055.20","74,144,424.01","318,549,115.55","38,943,123.99","93,411,741.80","155,518,078.23","243,854,228.95","45,276,907.93","126,695,278.96","264,277,010.07","276,952,397.35","155,243,604.78","105,850,301.59","1,760,190,962.99","1,966,047,349.05","179,612,648.90","377,298,767.22","545,673,162.21"
期初现金及现金等价物余额,"9,849,631.90","44,473,435.35","29,521,910.86","87,724,234.20","87,724,234.20","87,724,234.20","1,143,383,539.19","1,143,383,539.19","1,143,383,539.19","1,143,383,539.19","780,022,143.54","780,022,143.54","780,022,143.54","780,022,143.54","1,284,432,583.50","1,284,432,583.50","1,284,432,583.50","1,284,432,583.50","744,184,255.85","744,184,255.85","744,184,255.85","744,184,255.85","294,843,864.73","294,843,864.73","294,843,864.73","294,843,864.73","630,291,992.36","630,291,992.36","630,291,992.36","630,291,992.36","480,910,763.66","480,910,763.66","480,910,763.66"
投资支付的现金,,,,,,,,,,,,,,"33,000,000.00","7,500,000.00","16,250,000.00",,"17,250,000.00","25,212,414.00",,"99,150,000.00","263,962,414.00","4,346,237.50",,,"351,880,713.35","306,800,000.00","1,541,004,671.29","1,407,390,200.59","183,000,000.00","40,920,000.00","86,670,000.00","121,670,002.00"
期末现金及现金等价物余额,"44,473,435.35","29,521,910.86","87,724,234.20","96,068,476.57","109,256,541.77","1,143,383,539.19","950,898,072.81","823,343,967.40","817,111,754.78","780,022,143.54","691,553,204.52","692,709,731.37","746,819,002.12","1,284,432,583.50","1,245,991,029.05","1,078,980,201.54","951,502,534.64","744,184,255.85","752,460,771.52","704,020,819.59","343,688,676.59","294,843,864.73","198,912,634.00","1,683,745,658.11","946,682,153.96","630,291,992.36","601,338,200.12","384,235,374.53","775,403,085.76","480,910,763.66","979,218,324.65","357,995,914.87","317,020,345.28"
