科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"1,108,834,684.06","999,119,685.04","2,484,491,122.27","2,555,303,360.70","1,591,006,559.46","1,502,030,985.45","1,331,136,337.16","1,594,244,664.86","1,828,113,977.70","1,529,478,859.82","1,866,999,445.67","1,827,534,370.84","1,630,855,757.83","2,017,330,650.36","2,335,574,445.92","1,513,407,126.64","3,671,246,158.53","3,701,865,164.02","3,721,125,531.23","3,406,394,496.09","3,253,939,466.40","3,585,296,853.90","3,183,252,872.05","3,793,492,402.07","4,591,142,795.24","4,779,671,410.49","4,456,279,045.62","3,530,072,832.19","5,808,908,396.54","7,899,098,357.96","12,822,653,163.84","6,753,557,280.34","12,748,168,341.66","12,085,534,276.89","8,550,593,177.24","6,466,277,356.70","4,570,737,148.05","3,959,404,786.37","5,247,689,142.77","7,499,662,594.60","5,738,823,959.20","6,051,473,381.32","7,105,750,455.86","5,619,747,290.17","5,350,869,240.49","4,948,864,091.56"
短期借款,"503,156,000.00","1,166,610,400.00","3,293,162,485.46","4,069,353,880.00","4,636,901,500.00","4,357,655,080.32","4,941,777,752.31","4,338,479,000.00","3,948,899,700.00","3,292,534,066.39","5,306,464,561.42","5,956,905,947.05","5,824,011,991.13","7,049,752,968.12","9,116,325,164.09","10,891,699,469.02","12,898,533,613.62","13,241,739,643.25","11,552,140,063.64","12,076,792,420.09","14,099,118,901.49","13,520,284,919.78","13,991,043,918.96","14,764,889,594.84","15,371,208,937.74","14,609,071,577.38","17,187,707,466.90","13,290,320,977.98","15,184,237,455.23","17,415,168,563.32","18,093,776,780.10","15,246,069,551.36","19,444,144,385.85","16,423,370,502.90","12,032,602,799.93","12,955,296,729.53","14,678,125,595.63","13,798,527,648.09","13,693,440,973.32","13,236,150,040.23","13,993,668,572.11","15,103,820,249.66","15,563,622,029.89","16,310,748,838.56","16,439,552,741.12","16,665,125,403.22"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,"43,329,255.00",,,,,"52,982,000.00",,"103,336,000.00",,,,,,,,,"14,758,400.00",,"41,948,614.12",,,"1,249,728.27","33,410,005.07","3,192,657.03","9,973,185.42"
交易性金融负债,,,,,,,,,,,,,,,,,,,,"179,554,200.00","189,531,900.00","180,594,400.00","93,464,700.00",,,,"105,964,000.00",,"714,953,800.00","729,382,900.00","306,477,800.00","96,540,000.00","676,971,600.00","517,543,000.00","309,438,000.00","1,262,000.00",,,,"28,751,876.52","20,400,197.23","166,036,852.76","142,993,525.41","197,577,545.69","361,458,910.00","222,120,000.00"
应收票据,"179,626,384.22","126,963,238.01","292,754,088.35","388,583,294.11","351,112,246.45","594,321,074.86","484,564,805.71","144,593,381.17","257,534,318.00","89,765,664.88","102,486,338.92","226,348,503.53","496,557,278.08","484,225,395.12","668,918,075.39","686,504,004.88","640,603,583.70","644,808,382.82","787,817,448.83","593,021,575.95","555,135,048.98","757,643,253.78","928,222,244.92","1,034,857,225.44","748,656,413.93","1,004,228,382.48","1,073,583,915.24","1,198,920,771.86","1,148,215,653.30","1,297,446,614.62","1,379,973,528.91","1,667,654,778.19","1,652,659,509.18","1,202,117,950.27","877,375,554.14","778,885,818.07","1,152,293,193.00","1,128,591,316.11","833,415,367.23","1,132,979,150.59","1,707,553,767.81","1,723,554,041.38","1,750,132,174.56","2,063,506,049.82","2,078,595,269.95","2,129,125,835.60"
应付票据,"2,126,700,000.00","2,601,600,000.00","3,147,700,000.00","1,647,500,000.00","1,695,000,000.00","2,187,000,000.00","1,854,500,000.00","2,416,500,000.00","2,350,300,000.00","2,646,285,746.00","4,420,023,853.90","4,010,981,022.90","3,621,021,115.00","3,347,549,560.00","2,203,727,000.00","1,852,153,775.50","1,131,018,045.10","381,528,045.10","139,454,625.48","97,817,089.60","283,309,787.95","1,183,042,310.25","1,489,672,522.30","1,327,104,981.12","1,841,161,261.12","1,507,891,954.12","626,098,950.50","2,228,313,887.38","2,807,891,352.97","2,631,910,768.04","3,206,924,390.49","3,582,008,154.12","3,734,730,138.43","3,456,689,617.95","3,379,774,900.25","2,656,272,547.01","3,798,885,867.48","3,013,854,524.47","2,990,985,390.53","3,893,359,237.12","2,573,084,372.07","1,870,615,921.38","1,161,138,963.90","1,855,764,308.36","1,644,623,276.72","1,032,293,014.39"
应收账款,"566,834,386.28","646,521,558.55","1,027,655,851.87","755,881,460.17","875,925,777.02","786,813,199.37","734,443,070.93","421,339,973.03","538,413,477.64","460,731,678.10","519,966,716.92","591,958,675.78","675,808,354.69","827,618,718.46","933,404,651.10","1,576,888,072.56","1,103,960,931.77","1,259,020,686.09","1,022,668,301.49","1,073,701,095.29","1,327,161,186.91","995,158,251.98","1,202,179,459.55","1,132,183,462.96","1,583,488,063.03","1,318,932,875.44","1,445,071,434.79","1,342,099,651.96","1,569,085,538.99","1,947,809,406.64","1,580,690,331.68","1,608,477,891.46","1,509,080,553.98","1,588,473,661.88","1,216,935,286.24","1,376,637,746.90","1,268,821,607.87","1,386,514,501.18","1,587,188,181.92","1,295,144,666.77","1,206,400,173.98","1,439,465,183.32","1,372,861,158.13","1,280,901,733.90","1,377,327,858.23","1,294,267,756.61"
应付账款,"1,261,942,802.02","1,648,628,065.26","2,799,462,378.31","2,471,696,593.44","3,013,153,666.44","2,712,918,436.51","2,475,167,102.06","1,405,555,752.77","2,323,472,605.04","3,379,865,990.14","2,797,004,841.36","2,876,195,444.58","3,566,081,447.64","3,029,937,768.32","3,565,351,521.34","4,433,961,901.14","5,083,586,288.01","4,792,463,981.52","4,958,721,273.17","3,874,901,954.13","5,888,141,748.59","4,762,033,673.03","4,725,310,503.39","5,951,891,503.27","5,956,501,257.27","5,351,389,933.77","7,156,501,123.47","4,404,152,296.36","2,790,218,644.88","3,349,314,178.85","3,223,206,094.20","2,391,190,146.20","3,214,795,793.05","3,475,136,965.08","3,386,486,621.77","2,904,002,091.50","3,075,316,763.69","2,711,412,456.22","2,804,161,469.61","3,624,220,240.72","3,451,043,651.46","2,774,061,306.00","4,621,978,968.27","4,345,561,734.56","3,588,531,093.63","3,625,635,167.23"
预付款项,"744,514,023.85","478,879,441.13","1,714,288,224.64","1,090,402,765.95","1,690,706,152.60","2,220,849,789.37","2,277,875,277.52","2,358,223,729.73","1,757,774,288.88","1,877,286,530.51","2,568,182,665.68","1,909,265,226.73","2,682,812,850.23","2,939,544,809.03","3,185,046,393.71","2,458,905,851.07","3,365,356,803.63","3,342,763,689.99","2,824,053,378.74","3,380,863,101.43","3,119,580,161.25","3,417,332,597.76","4,034,517,325.85","5,131,088,108.56","4,655,492,352.59","2,979,583,889.68","7,185,068,345.30","4,479,485,568.25","4,423,572,914.02","4,917,782,786.12","5,062,483,697.88","4,234,841,977.00","4,274,793,015.93","4,269,543,295.45","3,947,160,673.69","4,247,808,815.04","4,446,321,025.77","3,792,101,530.47","3,303,860,849.41","3,165,685,807.52","4,084,709,141.24","3,500,753,923.28","3,893,233,142.16","3,838,133,324.05","4,357,087,404.44","4,754,768,283.97"
预收款项,"241,779,116.56","304,052,484.81","703,609,615.05","329,632,932.89","587,235,943.24","736,215,883.87","572,932,799.82","272,634,728.44","343,155,835.13","413,579,134.19","166,526,469.43","413,507,548.39","403,417,583.61","497,120,459.59","848,198,432.28","552,428,908.73","1,002,972,828.45","696,176,027.66","848,864,441.42","544,148,708.61","874,097,278.88","685,372,419.48","725,956,827.98","365,805,603.68","1,086,918,484.76","599,947,153.35","859,850,091.03","594,042,473.50","1,212,465,676.77","715,623,197.78","1,119,184,318.27","682,604,426.94","618,443,129.57","1,136,168,483.05","759,139,724.93","859,002,723.45","1,155,040,051.88","695,917,006.28","840,676,253.92","582,925,386.40","1,296,263,952.90","618,557,719.10","1,118,979,219.22","574,328,963.46","1,152,919,870.21","1,050,207,392.47"
