科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"123,313,115.70","140,606,351.90","153,335,726.47","44,571,489.15","86,064,776.16","122,455,252.62","185,913,423.50","75,876,948.68","78,187,768.81","112,829,077.44","156,519,315.34","24,047,540.77","57,086,062.77","94,348,576.81","136,369,532.87","13,985,870.88","38,217,467.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,"8,658,286.75","7,792,448.80","8,801,891.85","827,060.04","3,888,909.29","6,447,133.74","12,169,395.86","297,919.54","5,035,330.04","7,517,049.49","10,481,825.34","1,686,158.64","2,887,714.23","4,914,063.09","8,103,039.89","2,190,932.83","3,817,508.74"
支付其他与投资活动有关的现金,,"1,138,000.00",,,,,,,,,,,,,,"20,500,000.00","25,000,000.00"
收到其他与经营活动有关的现金,"13,051,967.51","2,378,729.74","5,823,459.44","912,384.67","1,365,530.34","1,859,599.42","3,472,590.67","3,837,774.18","35,483,909.42","41,686,403.63","54,066,059.02","4,862,173.18","9,137,813.68","19,898,479.17","30,396,755.76","2,829,645.18","16,085,105.90"
投资活动现金流出小计,"22,305,034.60","26,404,835.10","43,283,668.97","20,327,931.83","28,789,711.70","32,975,962.04","41,186,948.59","38,185,778.93","40,469,443.65","43,102,886.63","97,313,008.20","62,968,347.45","66,549,114.96","70,997,206.11","71,456,001.83","20,519,733.92","25,644,728.68"
经营活动现金流入小计,"145,023,369.96","150,777,530.44","167,961,077.76","46,310,933.86","91,319,215.79","130,761,985.78","201,555,410.03","80,012,642.40","118,707,008.27","162,032,530.56","221,067,199.70","30,595,872.59","69,111,590.68","119,161,119.07","174,869,328.52","19,006,448.89","58,120,081.87"
投资活动产生的现金流量净额,"704,615.40","-20,768,546.64","-42,747,168.97","-20,327,931.83","-28,789,711.70","-32,975,962.04","-41,184,548.59","-38,185,778.93","-40,469,443.65","-42,911,886.63","-45,844,961.62","-2,660,309.78","-6,241,077.29","-10,689,168.44","-11,137,964.16","-20,519,733.92","-25,644,728.68"
购买商品、接受劳务支付的现金,"52,520,910.79","63,745,492.11","71,189,660.52","23,577,587.45","40,918,648.40","64,716,251.50","89,599,807.52","36,708,572.20","25,363,985.06","49,387,016.43","57,764,801.04","14,974,411.68","24,592,352.05","34,263,495.18","50,440,379.69","17,001,677.69","31,321,286.60"
吸收投资收到的现金,"20,000,000.00",,,,,,"189,600,000.00",,,,"43,775,000.00",,,,,,
支付给职工以及为职工支付的现金,"23,401,164.04","29,908,035.17","31,191,048.82","11,113,254.25","18,124,821.75","26,432,278.53","36,040,550.06","23,969,523.85","35,108,761.41","47,137,825.08","57,416,318.14","14,498,423.99","24,684,387.79","38,354,501.50","50,318,466.25","13,369,473.89","23,872,134.91"
取得借款收到的现金,,,"1,000,000.00","10,000,000.00","15,000,000.00","16,000,000.00","16,000,000.00",,,,,,,,,,
支付的各项税费,"17,163,110.44","14,862,369.21","18,604,573.09","5,676,398.60","8,865,835.11","13,418,467.13","20,993,386.86","6,600,361.48","10,165,224.75","16,073,509.73","21,900,477.47","5,772,634.92","7,648,403.82","10,553,284.59","15,009,336.47","4,483,891.07","7,274,328.44"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"22,787,864.62","16,151,207.78","19,530,447.73","3,493,667.44","10,228,931.12","15,578,290.21","26,315,785.24","6,703,234.08","52,877,151.21","58,301,672.57","68,505,021.92","17,895,295.79","26,981,130.23","44,595,760.99","43,544,664.39","9,232,589.43","56,712,916.15"
筹资活动现金流入小计,"20,000,000.00",,"1,000,000.00","10,000,000.00","15,000,000.00","16,000,000.00","205,600,000.00",,,,"43,775,000.00",,,,,,
经营活动现金流出小计,"115,873,049.89","124,667,104.27","140,515,730.16","43,860,907.74","78,138,236.38","120,145,287.37","172,949,529.68","73,981,691.61","123,515,122.43","170,900,023.81","205,586,618.57","53,140,766.38","83,906,273.89","127,767,042.26","159,312,846.80","44,087,632.08","119,180,666.10"
偿还债务支付的现金,,,,,,,,"17,000,000.00","17,000,000.00","17,000,000.00","17,000,000.00",,,,,,
经营活动产生的现金流量净额,"29,150,320.07","26,110,426.17","27,445,347.60","2,450,026.12","13,180,979.41","10,616,698.41","28,605,880.35","6,030,950.79","-4,808,114.16","-8,867,493.25","15,480,581.13","-22,544,893.79","-14,794,683.21","-8,605,923.19","15,556,481.72","-25,081,183.19","-61,060,584.23"
分配股利、利润或偿还利息支付的现金,"4,500,000.00",,"7,500,000.00","6,098,047.06","7,827,298.60","8,051,720.88","8,265,268.40","130,097.23","24,130,097.23","24,130,097.23","24,120,640.06",,"16,000,000.00","16,000,000.00","16,059,815.12","6,424.88","2,907,032.88"
收回投资收到的现金,,,,,,,,,,,"50,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00",,
支付其他与筹资活动有关的现金,,,,,,,"2,968,350.00","3,251,035.00","3,251,035.00","3,251,035.00","3,251,035.00",,,"1,912,500.00","1,912,500.00","2,762,500.00","14,945,674.96"
取得投资收益收到的现金,,,,,,,,,,,"134,246.58","308,037.67","308,037.67","308,037.67","308,037.67",,
筹资活动现金流出小计,"4,500,000.00",,"7,500,000.00","6,098,047.06","7,827,298.60","8,051,720.88","11,233,618.40","20,381,132.23","44,381,132.23","44,381,132.23","44,371,675.06",,"16,000,000.00","17,912,500.00","17,972,315.12","2,768,924.88","17,852,707.84"
处置固定资产、无形资产和其他长期资产收回的现金净额,"19,650.00","36,288.46","36,500.00",,,,"2,400.00",,,"191,000.00","195,800.00",,,,"10,000.00",,
