科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"205,304,038.84","242,236,715.41","165,934,068.36","221,991,616.70","119,494,602.95","182,451,350.26","254,148,785.83","52,295,086.14","107,408,437.32","162,262,888.61","240,336,935.98","69,184,546.35","185,776,804.71","364,681,800.50","594,636,632.28","148,664,277.47","396,822,709.77","650,115,057.46"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"11,430,885.91","11,270,000.00","270,267,159.92","270,267,159.92","262,271,456.09","130,755,668.06","130,755,668.06","130,755,668.06"
收到的税费返还,,,"664,020.70","664,020.70",,,,,,,,,,,,"2,647,523.47","1,529,590.33","6,669,066.68"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,421,270.01","13,007,179.72","4,897,365.17","5,280,903.13","794,238.30","785,330.31","1,096,295.71","1,033,155.28","3,296,043.21","4,279,368.10","6,294,786.98","763,577.72","9,453,993.51","14,235,838.11","6,870,078.51","3,122,745.87","13,666,778.28","44,057,015.90"
投资活动现金流出小计,"16,190,287.47","9,825,853.14","2,638,877.38","4,232,403.24","3,861,378.36","6,615,367.86","8,353,556.61","2,924,589.37","8,128,731.32","23,648,470.59","147,024,525.41","74,313,599.37","337,845,865.83","340,484,789.86","338,851,573.84","134,840,886.37","151,440,195.73","201,071,839.27"
经营活动现金流入小计,"214,725,308.85","255,243,895.13","171,495,454.23","227,936,540.53","120,288,841.25","183,236,680.57","255,245,081.54","53,328,241.42","110,704,480.53","166,542,256.71","246,631,722.96","69,948,124.07","195,230,798.22","378,917,638.61","601,506,710.79","154,434,546.81","412,019,078.38","700,841,140.04"
投资活动产生的现金流量净额,"-15,795,481.44","-9,618,966.14","-2,523,172.21","-4,093,220.27","-3,792,492.50","-6,546,482.00","-8,274,123.74","-2,830,972.12","-7,990,739.87","-22,502,727.29","-146,872,790.38","-74,254,376.07","-337,778,095.52","-340,425,566.56","-332,145,583.32","-134,840,886.37","-151,286,195.73","-200,757,889.27"
购买商品、接受劳务支付的现金,"129,067,257.27","154,485,414.89","100,998,983.26","133,788,268.43","79,014,608.62","121,887,287.45","160,966,774.76","41,075,848.10","82,431,361.82","126,852,240.96","173,227,353.16","44,120,167.41","99,680,328.98","190,644,217.61","349,210,873.92","78,663,348.89","244,829,062.56","453,297,031.86"
吸收投资收到的现金,,,,,,,"139,350,000.00",,,,"116,868,980.00",,"306,689,973.00","306,689,973.00","306,689,973.00","242,999,960.40","240,419,960.40","240,419,960.40"
支付给职工以及为职工支付的现金,"26,630,090.81","38,326,400.78","32,257,675.07","42,718,075.51","22,497,060.23","34,983,639.28","47,320,495.75","14,128,235.56","28,241,560.17","43,314,354.46","59,358,485.38","16,752,734.42","41,168,763.69","65,943,263.92","95,869,691.46","37,269,630.66","83,632,135.28","138,317,417.09"
取得借款收到的现金,,"17,355,412.75","13,696,656.88","18,327,539.51","18,157,134.23","26,705,275.26","35,766,513.56","3,213,027.52","16,102,729.64","40,984,871.92","72,019,861.83","26,025,663.11","46,979,497.38","61,979,497.38","64,436,009.76","18,000,000.00","71,232,616.17","144,340,691.47"
支付的各项税费,"23,241,192.60","25,820,054.90","22,909,466.66","25,945,844.33","9,890,447.23","22,436,467.18","27,862,537.80","3,621,600.57","7,582,941.55","15,326,111.18","23,040,157.85","9,587,872.00","19,980,026.50","25,660,908.89","49,384,991.94","15,683,816.80","38,069,037.02","67,485,796.67"
收到其他与筹资活动有关的现金,"1,122,857.80","1,351,500.55","2,938,079.01","2,938,079.01","4,591,200.49","4,591,200.49","4,591,200.49","4,521,923.24","4,521,923.24","4,521,923.24","4,521,923.24","3,481,077.17","11,476,781.00","3,481,077.17","8,582,046.52","10,048,491.35","15,096,285.07","21,096,285.07"
支付其他与经营活动有关的现金,"17,771,888.03","14,870,712.42","9,670,206.44","15,793,729.81","8,873,863.43","15,333,989.49","20,626,350.78","5,560,067.15","12,609,959.63","18,215,695.88","25,539,951.16","6,397,146.91","17,040,639.44","37,265,378.27","55,596,811.64","18,147,852.50","37,510,899.99","67,715,860.40"
筹资活动现金流入小计,"1,122,857.80","18,706,913.30","16,634,735.89","21,265,618.52","22,748,334.72","31,296,475.75","179,707,714.05","7,734,950.76","20,624,652.88","45,506,795.16","193,410,765.07","29,506,740.28","365,146,251.38","372,150,547.55","379,708,029.28","271,048,451.75","326,748,861.64","405,856,936.94"
经营活动现金流出小计,"196,710,428.71","233,502,582.99","165,836,331.43","218,245,918.08","120,275,979.51","194,641,383.40","256,776,159.09","64,385,751.38","130,865,823.17","203,708,402.48","281,165,947.55","76,857,920.74","177,869,758.61","319,513,768.69","550,062,368.96","149,764,648.85","404,041,134.85","726,816,106.02"
偿还债务支付的现金,"11,160,000.00","12,737,311.88","23,361,662.01","29,542,496.15","16,448,358.79","23,439,325.67","34,294,118.02","9,841,629.50","25,221,168.78","29,619,281.73","34,866,804.32","18,392,972.04","38,939,810.41","63,939,810.41","83,533,144.53","12,284,554.99","45,210,000.00","72,579,554.99"
经营活动产生的现金流量净额,"18,014,880.14","21,741,312.14","5,659,122.80","9,690,622.45","12,861.74","-11,404,702.83","-1,531,077.55","-11,057,509.96","-20,161,342.64","-37,166,145.77","-34,534,224.59","-6,909,796.67","17,361,039.61","59,403,869.92","51,444,341.83","4,669,897.96","7,977,943.53","-25,974,965.98"
分配股利、利润或偿还利息支付的现金,"2,690,475.55","2,295,398.25","1,648,441.74","1,951,275.46","5,144,276.38","5,519,014.68","6,050,914.90","399,623.76","4,330,446.11","4,723,527.75","5,507,642.12","970,144.84","8,054,851.21","8,607,687.63","9,379,564.39","557,803.73","15,169,638.14","16,037,828.72"
收回投资收到的现金,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"2,357,500.55","3,738,079.01","17,217,312.97","5,421,389.16","2,919,075.42","6,253,237.62","5,301,715.73","6,595,649.04","6,616,221.26","5,710,470.68","7,023,934.48","4,461,692.55","23,133,801.25","14,997,405.05","20,197,254.42","9,375,791.48","62,640,618.16","42,616,621.79"
取得投资收益收到的现金,"52,327.40",,,,,,,,,,,,,,"210,430.52",,,
筹资活动现金流出小计,"16,207,976.10","18,770,789.14","42,227,416.72","36,915,160.77","24,511,710.59","35,211,577.97","45,646,748.65","16,836,902.30","36,167,836.15","40,053,280.16","47,398,380.92","23,824,809.43","70,128,462.87","87,544,903.09","113,109,963.34","22,218,150.20","123,020,256.30","131,234,005.50"
