科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"400,362,084.37","922,542,557.05","1,566,112,497.91","477,201,826.45","1,052,703,957.43","1,335,258,344.23","1,568,583,872.51","360,021,512.45","743,699,279.89","1,065,366,827.59","1,449,302,438.97","464,975,632.62","1,076,411,446.68","1,567,466,655.82","2,187,125,366.55","601,937,024.45","1,306,366,947.97","1,801,996,661.08","2,359,348,319.23","605,143,003.21","1,453,649,698.07","2,089,949,461.78","2,769,825,349.27","778,431,772.85","1,741,855,434.91","2,515,593,239.62","3,273,123,793.43","1,022,716,185.76","2,269,192,135.17","3,327,417,759.80","4,443,313,454.54","1,065,178,449.96","2,375,228,856.87","3,546,245,833.43","4,912,229,877.49","1,348,172,409.94","2,996,915,711.14","4,716,861,350.96","6,805,205,221.56","1,769,088,365.30","3,966,282,738.63","5,974,239,310.16","8,605,286,500.08","1,943,714,496.21","4,232,239,858.73","6,302,607,810.51","8,637,575,703.00","2,086,238,374.30"
二、营业利润,"45,270,548.71","117,721,056.41","173,371,634.03","54,165,565.99","130,182,631.57","161,464,302.00","149,959,408.53","68,704,408.24","151,043,060.70","206,335,807.68","222,388,077.73","54,281,541.26","127,633,837.44","177,330,723.32","249,435,411.76","69,392,502.68","156,998,372.91","194,977,339.51","257,837,947.90","38,417,970.39","102,444,181.76","151,998,751.26","215,704,593.38","41,333,148.22","126,147,234.85","179,777,109.38","242,242,241.20","61,031,607.93","178,871,299.02","255,910,492.42","365,450,845.42","67,579,831.46","142,192,908.53","224,271,003.52","372,262,646.40","94,132,591.55","242,530,026.37","351,967,356.15","589,585,223.76","55,306,275.45","161,473,860.84","248,681,095.65","423,565,065.53","22,933,750.80","133,497,250.32","172,565,651.98","-2,559,616,691.42","-17,834,482.07"
减:营业成本,"327,069,972.99","748,359,149.90","1,275,254,788.77","395,765,778.59","864,777,873.56","1,097,503,455.46","1,306,568,937.49","281,071,175.28","545,802,155.45","782,704,901.54","1,089,783,210.69","378,762,239.33","874,137,387.04","1,269,272,049.16","1,742,893,564.27","469,601,542.88","1,018,427,851.82","1,436,906,770.52","1,879,569,336.06","513,767,518.02","1,223,479,248.29","1,749,657,051.45","2,287,124,188.81","629,068,651.07","1,413,807,233.62","2,063,855,136.63","2,669,751,443.87","807,355,475.43","1,788,044,358.68","2,604,307,963.02","3,461,440,562.86","851,201,026.87","1,917,032,589.78","2,843,312,161.40","3,839,639,155.40","1,013,889,775.32","2,296,524,997.66","3,625,247,266.97","5,194,629,204.46","1,428,216,232.21","3,188,599,419.49","4,854,494,019.53","6,860,068,026.29","1,568,652,281.60","3,485,294,811.95","5,199,643,022.83","7,087,050,819.91","1,692,233,464.74"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"661,331.78","2,638,616.10","5,162,121.48","1,118,854.36","1,671,143.37","3,467,682.93","5,230,137.80","1,259,152.40","3,096,027.98","5,730,519.78","6,630,186.88","706,219.77","1,269,101.32","3,676,852.57","6,379,665.69","2,143,695.72","4,669,562.26","7,232,971.57","10,157,055.67","3,089,891.86","7,331,196.93","11,607,260.78","13,571,582.51","3,344,055.37","8,604,384.74","11,360,029.95","17,724,758.21","2,946,772.12","8,903,892.53","16,885,536.82","22,625,692.60","4,416,287.65","11,016,600.64","16,481,273.54","25,827,337.86","7,686,214.35","15,160,353.01","23,656,699.16","47,730,793.14","9,358,287.70","24,613,284.09","40,498,722.65","53,600,012.60","14,067,997.86","27,104,899.37","38,588,514.38","53,361,942.52","14,404,311.63"
营业外收入,"307,818.39","1,130,704.23","3,959,448.58","2,740,044.97","4,708,821.89","9,237,029.49","18,383,052.05","2,571,639.43","4,803,477.69","7,822,258.97","10,858,572.06","3,732,617.47","5,649,577.53","8,957,521.55","18,025,843.41","2,847,013.81","5,805,678.24","9,386,180.91","18,656,359.97","4,519,746.43","8,151,316.04","13,048,451.52","20,476,803.97","5,845,892.62","12,209,191.96","15,401,181.45","34,541,191.18","10,633,098.08","18,885,797.44","35,690,212.10","43,618,950.21","6,479,658.20","48,525,719.99","58,448,451.26","67,892,987.92","9,373,591.17","21,512,347.16","44,274,127.26","73,349,319.46","14,441,788.50","34,472,643.69","39,966,178.58","120,420,804.01","14,509,985.26","26,209,928.24","32,107,649.71","226,421,967.43","3,001,493.18"
销售费用,"9,406,333.84","22,907,507.25","43,334,223.85","10,101,788.85","24,522,174.06","35,424,336.09","40,144,671.33","8,402,080.30","21,797,411.41","34,361,021.78","56,498,761.43","12,667,638.61","32,696,169.34","50,052,929.34","75,382,667.31","19,965,322.85","44,147,484.69","58,666,448.92","78,293,839.71","16,392,497.41","46,686,215.81","72,003,828.26","100,362,030.13","29,742,990.01","51,806,989.32","76,588,270.80","104,900,189.20","40,333,339.72","90,552,363.96","140,433,280.90","184,383,612.21","48,690,010.50","109,517,533.33","169,074,930.40","226,571,874.30","72,287,018.75","145,924,294.38","231,174,148.23","326,686,245.46","75,988,571.54","151,807,372.53","231,175,299.89","357,752,873.09","77,817,428.47","160,583,229.03","229,207,598.82","403,902,866.28","79,416,242.13"
减:营业外支出,"62,700.00","304,809.72","1,451,571.50","2,018,737.00","2,510,698.46","2,593,913.46","4,717,300.07","2,023,340.48","2,271,445.71","2,300,949.12","4,681,650.41","412,874.66","1,450,631.11","3,104,445.35","3,975,324.77","1,020,029.00","2,047,988.74","4,871,268.63","6,106,755.74","2,679,405.09","3,886,149.57","4,745,931.25","5,749,500.67","1,508,591.72","2,927,388.48","3,494,787.64","3,820,994.75","1,395,519.42","3,486,242.05","4,519,989.01","5,235,712.19","305,636.17","1,266,963.01","1,384,103.79","5,729,440.38","1,491,190.62","4,775,914.05","7,888,537.64","10,946,183.27","3,709,122.49","5,303,775.63","8,561,755.23","4,391,102.39","30,800.00","311,730.05","744,534.70","2,202,940.55","2,411,042.81"
管理费用,"8,305,948.40","19,495,674.78","40,970,414.23","13,918,361.44","28,184,102.37","41,073,377.60","55,600,575.34","13,786,261.58","31,643,048.55","48,197,366.14","67,993,702.39","21,534,439.84","49,084,399.73","76,413,162.06","114,635,284.19","35,819,176.06","74,635,765.50","105,445,898.85","142,078,962.31","37,379,652.86","79,708,217.79","126,021,875.02","183,013,091.35","63,067,759.91","117,073,387.46","184,717,707.33","261,637,688.13","96,180,983.23","192,482,207.82","288,550,675.67","390,977,427.19","94,093,343.73","201,248,999.43","305,508,560.69","442,640,577.66","142,390,495.41","303,102,196.04","488,536,295.29","660,520,836.73","176,567,517.82","385,042,641.19","582,344,154.62","756,913,302.87","210,209,656.12","420,444,841.85","421,606,013.86","603,375,934.33","165,471,956.17"
其中:非流动资产处置净损失,,"91,609.72",,,222.28,222.28,,,,,,,,,"596,190.87",,,,"522,040.12",,"894,151.24",,"1,571,250.67",,"432,538.58","530,570.74","685,144.97","331,169.82","977,584.22","1,658,149.87","1,678,814.61","290,958.17","400,333.24","515,261.85","1,125,215.55","1,446,881.21","2,945,835.72","4,090,273.46","5,134,576.86","931,798.08","2,225,188.18","4,474,568.46",,,,,,
