科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"60,795,039,694.52","75,540,174,116.61","101,494,483,481.09","50,684,935,816.95","77,604,834,367.00","113,470,881,101.36","24,200,005,946.42","55,189,032,060.52","88,301,551,614.97","127,036,572,408.44","27,863,312,109.89","66,189,556,076.00","105,244,185,253.39","144,837,008,532.45","33,402,626,150.57","75,204,421,381.37","116,188,497,787.34","167,091,187,009.00","37,434,180,134.48","93,651,451,391.05","144,933,140,564.96","210,921,291,493.09","48,831,009,923.18","105,506,056,043.35","164,240,400,871.18","238,695,896,843.89","53,062,667,132.84","120,062,709,854.94","186,172,415,886.84","266,090,431,821.34","61,776,503,393.95","126,603,522,405.77"
二、营业利润,"1,730,428,066.85","3,242,413,821.03","4,020,609,475.85","2,400,055,513.04","3,461,770,333.89","4,938,221,211.68","886,787,238.61","2,575,136,357.85","3,732,127,306.53","5,314,152,390.32","974,973,025.85","3,014,067,399.79","4,321,084,073.49","6,321,773,724.65","1,168,043,515.40","2,863,277,949.25","4,306,311,123.11","6,584,375,982.79","1,243,122,869.55","4,480,910,814.84","6,674,823,886.06","7,438,710,867.81","2,034,071,188.77","4,918,512,521.17","7,199,833,585.52","9,523,788,184.48","2,264,100,206.93","5,112,514,333.28","7,864,860,754.51","10,786,305,075.11","2,745,902,004.69","6,236,874,517.62"
减:营业成本,"53,077,398,894.55","64,857,901,675.21","88,832,209,825.39","43,803,589,062.64","67,202,249,122.46","97,113,295,840.00","21,198,586,801.33","47,590,818,129.23","76,333,871,116.72","109,457,965,113.34","24,411,212,057.99","57,100,480,145.89","91,205,002,651.94","123,874,868,516.21","29,687,739,266.49","65,485,601,676.97","101,164,498,763.16","143,656,579,899.18","32,774,322,388.84","79,754,139,844.04","124,051,437,009.27","179,624,414,276.61","42,125,794,334.44","91,597,925,275.66","143,677,214,475.91","207,686,335,335.72","46,419,033,996.83","104,228,200,381.21","161,643,861,312.20","228,616,477,445.65","52,971,581,678.98","108,280,839,916.87"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,657,151,622.63","2,159,355,525.48","2,440,327,862.83","1,261,526,425.44","1,826,964,374.31","2,823,695,287.60","461,645,720.65","1,161,809,683.15","1,988,077,550.09","2,985,072,564.06","595,816,991.50","1,507,341,967.64","2,525,206,929.83","3,925,297,938.28","784,717,817.80","1,694,029,884.42","2,652,176,426.96","4,385,630,386.28","863,997,585.40","2,179,103,279.17","3,337,849,051.47","5,771,889,155.45","1,117,880,661.79","1,377,310,377.54","1,621,144,188.63","2,857,628,966.80","420,703,636.50","1,207,112,980.62","1,704,242,961.35","2,662,425,576.24","298,473,347.14","1,058,512,934.46"
营业外收入,"166,323,366.82","161,091,457.55","156,770,608.51","84,748,417.61","116,198,957.38","152,169,568.84","17,428,248.42","72,624,657.29","109,430,266.59","291,073,490.07","17,284,169.62","42,092,534.55","76,431,224.49","129,586,439.67","22,556,322.64","49,224,195.22","142,113,342.56","269,108,858.11","53,905,908.73","121,025,561.80","182,714,072.73","509,542,573.44","65,381,933.72","124,730,856.98","192,355,295.63","383,783,513.32","104,319,065.34","191,986,884.36","217,547,878.06","391,146,411.83","37,922,455.37","198,618,854.66"
销售费用,"88,483,207.24","150,997,535.49","160,918,497.05","54,210,301.58","88,028,466.36","161,378,890.08","35,888,500.48","66,743,429.57","118,954,662.68","195,312,151.01","47,795,805.91","109,832,858.37","188,461,868.88","327,951,760.40","98,586,345.49","216,809,139.68","351,049,083.66","462,721,358.74","136,974,270.76","386,309,697.05","567,710,241.65","849,522,738.60","205,999,852.72","372,093,889.90","601,098,815.72","955,169,774.88","172,129,418.86","366,291,473.49","555,954,741.11","962,646,188.11","172,650,115.15","362,184,345.56"
减:营业外支出,"202,435,989.43","167,757,181.55","143,691,349.51","68,564,928.71","88,065,314.31","103,873,141.96","30,212,687.36","51,983,126.41","68,500,675.02","89,359,433.72","6,957,055.88","21,652,960.05","35,446,873.49","79,489,387.12","16,768,141.60","40,472,490.53","60,136,024.94","105,043,620.72","10,729,375.54","48,682,323.15","99,718,661.35","161,837,803.04","12,670,285.99","38,703,497.49","74,084,787.00","132,446,555.55","7,645,314.76","41,018,055.18","70,043,818.50","266,853,073.23","17,439,800.14","134,638,278.38"
管理费用,"2,805,380,079.84","3,565,926,049.21","4,159,474,782.22","2,135,933,037.40","3,394,098,086.41","5,535,274,889.56","1,060,974,876.81","2,509,348,764.67","3,979,144,183.34","6,126,839,501.88","1,078,804,332.60","2,702,454,128.57","4,307,079,700.92","6,329,181,338.16","1,156,700,758.48","2,897,382,335.47","4,716,212,177.36","7,129,041,639.36","1,584,931,828.97","4,426,199,932.12","7,039,472,247.65","12,030,269,199.14","2,320,473,399.98","5,558,659,538.20","8,815,702,756.99","14,172,670,974.56","2,704,717,726.80","6,399,150,803.99","10,111,422,474.87","16,599,837,089.25","3,098,565,317.27","7,194,475,627.47"
其中:非流动资产处置净损失,,,,,"51,139,485.20","54,845,925.39","2,194,123.13","21,973,776.78","30,143,220.65","34,562,063.59","3,117,594.36","10,033,642.56","15,888,416.75","39,233,883.34","14,695,888.76","26,738,608.91","33,308,245.33","63,483,968.76","6,137,159.79","26,715,731.90","64,147,284.40","81,323,606.49","5,047,116.72","18,565,883.43","39,163,881.37","59,292,583.62","2,693,741.20","13,255,647.89","20,690,110.35",,,
