科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,447,011,066.85","1,899,583,321.14","2,359,855,921.32","2,344,931,831.90","3,043,280,040.84","942,536,325.69","1,847,570,318.78","2,871,743,358.67","3,749,112,471.64","1,133,433,054.53","2,179,551,131.29","3,452,350,475.53","4,662,465,783.91","1,412,887,390.59","2,785,408,071.06","4,492,999,748.30","6,357,102,964.25","1,840,309,548.13","3,786,631,947.71","6,123,592,570.19","8,534,988,597.55","2,355,613,820.98"
二、营业利润,"152,540,534.60","242,766,441.18","311,158,878.15","299,400,778.78","363,553,039.88","128,073,961.07","239,376,314.72","364,437,327.78","459,373,372.74","161,424,047.40","279,935,287.17","436,009,368.18","537,275,202.70","187,034,550.66","332,725,688.03","542,863,485.34","682,884,986.48","225,162,218.78","419,506,245.78","701,145,235.77","934,745,215.52","282,628,636.06"
减:营业成本,"1,058,025,704.21","1,378,566,485.55","1,714,722,342.78","1,743,170,957.78","2,262,526,987.55","695,289,265.97","1,364,642,502.66","2,127,801,844.65","2,753,763,817.05","826,358,585.17","1,581,355,144.66","2,522,603,486.71","3,430,791,655.85","1,033,926,929.50","2,045,058,252.92","3,303,903,479.17","4,721,134,404.91","1,339,945,373.29","2,817,090,900.54","4,564,770,836.67","6,330,446,740.16","1,717,958,296.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,824,260.25","7,330,505.10","7,220,386.99","7,529,498.63","9,334,312.50","3,448,544.55","7,342,042.17","10,350,343.89","13,984,866.97","5,041,687.86","7,930,508.34","12,418,569.98","17,414,004.39","6,142,223.89","11,588,617.31","17,384,512.35","26,420,992.99","6,489,476.60","16,046,344.69","24,912,394.26","34,720,679.26","6,336,217.12"
营业外收入,"12,519,397.39","23,944,066.02","23,071,640.11","25,160,679.01","38,134,438.82","821,757.56","3,513,667.12","18,647,238.40","35,065,266.25","10,723,474.36","13,208,938.94","32,059,711.00","35,037,095.66","8,728,175.87","8,387,360.19","39,748,592.07","72,930,782.30","16,763,287.59","27,415,251.36","46,112,571.23","46,009,012.19","31,406,146.24"
销售费用,"95,060,705.36","149,986,540.89","151,415,030.14","144,090,612.65","207,040,858.54","59,842,139.58","119,330,243.80","190,375,553.41","281,919,682.53","81,454,068.53","175,769,053.15","278,345,360.07","404,721,707.16","114,776,274.17","245,346,887.97","400,924,645.23","570,064,560.31","180,829,019.85","362,269,683.30","561,062,201.85","789,386,543.37","222,180,825.79"
减:营业外支出,"1,139,975.02","1,590,973.79","2,853,602.52","2,268,738.63","2,440,522.97","805,156.77","1,403,365.75","3,322,613.21","4,634,710.96","1,244,842.74","1,466,587.75","2,488,778.70","2,709,634.82","1,941,582.91","3,519,795.60","8,958,526.42","9,709,991.09","626,275.65","3,650,991.37","5,413,856.94","20,539,389.95","1,146,828.45"
管理费用,"134,525,876.10","123,706,011.84","174,260,674.47","149,499,051.00","201,663,282.82","58,152,625.09","119,662,545.20","187,606,191.84","259,581,275.22","65,595,827.99","144,713,744.22","218,282,253.35","299,930,411.31","78,282,864.04","160,771,029.59","249,010,601.99","383,584,862.40","100,579,737.59","203,904,303.13","276,507,713.23","379,618,754.18","102,756,298.82"
其中:非流动资产处置净损失,"645,907.63","891,228.04","423,778.96","368,965.16","397,999.70","116,738.06","475,595.09","1,393,742.55","1,708,219.17","69,374.48","183,340.00","181,713.15","268,437.62","282,776.24","623,897.21","813,841.30",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,
