科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"393,855,278.51","457,667,505.32","381,108,796.82","237,511,758.09","509,061,714.22","132,363,195.71","249,178,901.86","425,524,177.68","577,038,555.69","172,202,586.57","321,359,681.70","540,909,564.03","932,140,332.89","431,597,362.96","732,822,734.26","1,271,118,305.98","1,697,175,894.88","662,353,475.11","1,073,859,786.87","1,722,787,296.54","2,481,991,964.65"
取得子公司及其他营业单位支付的现金净额,"5,094,448.27",,,,,,,,,,"42,856,004.09","212,856,004.09","213,037,404.02","192,140,685.00","201,722,565.00","285,114,690.44","410,684,787.99",,"20,186,304.80","21,057,259.36","28,615,254.47"
收到的税费返还,,,,,,,,,,,,,,,,,,,"4,116.22",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"24,000,000.00",,,,"218,600,000.00"
收到其他与经营活动有关的现金,"13,636,003.27","5,036,589.95","4,275,897.54","1,092,475.02","2,410,956.12","1,063,900.93","2,115,526.09","2,786,044.11","3,855,993.18","1,606,030.23","25,513,617.65","9,174,434.41","7,871,753.04","649,743.22","4,446,218.36","11,981,382.73","21,164,465.50","10,635,814.02","3,463,889.46","10,690,271.13","26,858,836.37"
投资活动现金流出小计,"17,432,402.33","7,385,552.66","6,582,450.03","1,877,353.37","4,535,359.69","6,116,229.11","7,181,208.42","7,478,007.10","13,636,550.83","7,920,778.50","53,197,741.63","230,032,797.38","250,870,329.44","201,245,792.84","281,854,955.68","386,555,240.70","556,372,063.39","13,480,029.69","68,386,369.97","302,288,974.73","1,048,952,090.06"
经营活动现金流入小计,"407,491,281.78","462,704,095.27","385,384,694.36","238,604,233.11","511,472,670.34","133,427,096.64","251,294,427.95","428,310,221.79","580,894,548.87","173,808,616.80","346,873,299.35","550,083,998.44","940,012,085.93","432,247,106.18","737,268,952.62","1,283,099,688.71","1,718,340,360.38","672,989,289.13","1,077,327,792.55","1,733,477,567.67","2,508,850,801.02"
投资活动产生的现金流量净额,"-17,430,402.33","-7,385,552.66","-6,533,010.03","-1,877,353.37","-4,491,359.69","-6,116,229.11","-7,181,208.42","-7,478,007.10","-13,538,555.23","-7,908,638.50","-53,161,001.63","-229,996,057.38","-250,775,111.94","-201,242,574.84","-281,181,244.17","-378,728,561.44","-540,895,809.36","14,492,700.92","-52,116,193.15","-287,661,627.21","-771,120,192.07"
购买商品、接受劳务支付的现金,"295,856,766.30","372,363,114.74","350,016,535.43","189,789,277.01","360,604,111.83","124,305,399.61","277,029,760.22","453,973,778.13","515,491,844.55","169,422,071.65","332,854,266.74","542,367,146.67","725,743,411.88","375,881,532.99","581,837,845.96","898,795,139.06","1,178,716,713.13","733,995,072.54","1,109,459,708.65","1,729,404,301.79","1,963,810,587.31"
吸收投资收到的现金,"14,072,792.00",,,,,"210,000,000.00","217,189,967.68","210,000,000.00","217,189,967.68",,,,"100,000.00","1,028,422,938.00","1,030,242,938.00","1,049,415,686.00","1,241,232,668.68","50,000.00","390,000.00","28,222,556.45","282,735,284.55"
支付给职工以及为职工支付的现金,"38,289,653.24","60,292,955.09","85,101,903.82","50,005,043.44","97,161,505.71","15,595,549.17","62,213,317.84","79,137,365.70","135,200,263.15","28,605,764.66","50,601,767.07","93,986,754.45","175,653,413.97","42,462,493.30","75,462,759.55","120,347,389.25","284,527,917.34","70,082,258.39","133,801,753.78","222,056,627.55","432,619,873.06"
取得借款收到的现金,"58,500,000.00","147,700,000.00","290,000,000.00","212,890,000.00","375,800,000.00","130,000,000.00","266,780,565.58","354,400,000.00","518,935,177.14","150,000,000.00","377,609,257.80","476,963,669.09","656,441,413.58","206,412,256.08","211,070,342.50","265,100,000.00","449,876,794.68","105,100,000.00","592,600,000.00","1,342,600,000.00","1,967,600,000.00"
支付的各项税费,"38,834,765.29","37,881,181.95","39,810,559.20","16,988,382.74","37,975,292.80","9,956,275.87","24,201,735.06","29,707,995.81","41,901,979.77","10,269,357.53","31,292,444.67","47,193,351.86","65,657,615.38","20,106,920.18","52,408,724.59","63,553,028.63","116,389,223.41","20,698,260.48","57,804,031.16","103,403,870.09","138,706,483.75"
收到其他与筹资活动有关的现金,"2,500,000.00","1,600,000.00",,,,"13,995,641.48","21,019,509.23","30,108,628.69","17,039,949.37",,"13,830,807.35","14,855,302.91","10,000,000.00",,,,,,,,
支付其他与经营活动有关的现金,"24,498,287.44","32,193,763.89","31,788,952.17","19,511,349.51","47,228,917.56","40,526,379.59","68,393,386.56","72,346,122.92","80,140,256.93","36,729,364.89","34,301,035.36","86,184,469.07","110,285,253.78","47,068,340.22","131,348,777.90","171,946,809.94","213,696,175.43","79,661,250.39","336,663,377.47","344,930,592.98","494,955,377.39"
筹资活动现金流入小计,"75,072,792.00","149,300,000.00","290,000,000.00","212,890,000.00","375,800,000.00","353,995,641.48","504,990,042.49","594,508,628.69","753,165,094.19","150,000,000.00","638,940,065.15","739,318,972.00","914,041,413.58","1,234,835,194.08","1,241,313,280.50","1,314,515,686.00","1,691,109,463.36","105,150,000.00","592,990,000.00","1,370,822,556.45","2,250,335,284.55"
经营活动现金流出小计,"397,479,472.27","502,731,015.67","506,717,950.62","276,294,052.70","542,969,827.90","190,383,604.24","431,838,199.68","635,165,262.56","772,734,344.40","245,026,558.73","449,049,513.84","769,731,722.05","1,077,339,695.01","485,519,286.69","841,058,108.00","1,254,642,366.88","1,793,330,029.31","904,436,841.80","1,637,728,871.06","2,399,795,392.41","3,030,092,321.51"
偿还债务支付的现金,"54,770,702.83","46,090,000.00","165,200,000.00","135,000,000.00","290,300,000.00","100,300,000.00","186,400,000.00","280,500,000.00","345,500,000.00","140,000,000.00","296,400,000.00","344,900,000.00","467,400,000.00","461,700,000.00","661,550,000.00","685,710,000.00","774,201,413.58","23,768,792.00","54,318,792.00","79,977,534.00","255,345,350.85"
经营活动产生的现金流量净额,"10,011,809.51","-40,026,920.40","-121,333,256.26","-37,689,819.59","-31,497,157.56","-56,956,507.60","-180,543,771.73","-206,855,040.77","-191,839,795.53","-71,217,941.93","-102,176,214.49","-219,647,723.61","-137,327,609.08","-53,272,180.51","-103,789,155.38","28,457,321.83","-74,989,668.93","-231,447,552.67","-560,401,078.51","-666,317,824.74","-521,241,520.49"
分配股利、利润或偿还利息支付的现金,"2,277,104.66","4,918,594.85","15,370,762.69","9,704,196.32","22,685,295.16","5,842,273.04","12,573,588.42","19,367,150.14","26,757,650.42","7,720,777.63","30,091,550.73","41,536,395.25","50,627,148.29","10,463,094.70","45,846,731.47","49,764,549.98","57,091,792.55","5,900,757.75","83,222,878.03","97,330,024.45","119,514,234.88"
收回投资收到的现金,,,,,,,,,,,,,,,,"7,000,000.00",,"25,376,440.00","15,788,859.01","13,788,859.01",
支付其他与筹资活动有关的现金,"2,505,513.60","1,789,860.76","5,520,046.64","9,203,395.89","28,010,473.02","2,080,819.73","10,589,356.00","11,071,880.10","14,554,981.68","8,126,086.17","6,000,000.00","6,000,000.00","7,970,482.71","17,590,481.86","14,938,482.88","8,868,621.16","48,177,684.26","8,920,790.47","2,691,757.43","25,677,096.05","93,565,423.66"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,"2,153,572.83","22,000.03","22,533.73","274,258.78"
筹资活动现金流出小计,"59,553,321.09","52,798,455.61","186,090,809.33","153,907,592.21","340,995,768.18","108,223,092.77","209,562,944.42","310,939,030.24","386,812,632.10","155,846,863.80","332,491,550.73","392,436,395.25","525,997,631.00","489,753,576.56","722,335,214.35","744,343,171.14","879,470,890.39","38,590,340.22","140,233,427.46","202,984,654.50","468,425,009.39"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,000.00",,"49,440.00",,"44,000.00",,,,"97,995.60","12,140.00","36,740.00","36,740.00","95,217.50","3,218.00","673,711.51","826,679.26","1,343,254.03","442,717.78","459,317.78","815,954.78","1,483,236.42"
筹资活动产生的现金流量净额,"15,519,470.91","96,501,544.39","103,909,190.67","58,982,407.79","34,804,231.82","245,772,548.71","295,427,098.07","283,569,598.45","366,352,462.09","-5,846,863.80","306,448,514.42","346,882,576.75","388,043,782.58","745,081,617.52","518,978,066.15","570,172,514.86","811,638,572.97","66,559,659.78","452,756,572.54","1,167,837,901.95","1,781,910,275.16"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,-897.36,"286,974.05","13,381.82","144,084.91","123,479.82","-131,270.56"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"14,133,000.00",,,,"276,074,402.79"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,000.00",,"49,440.00",,"44,000.00",,,,"97,995.60","12,140.00","36,740.00","36,740.00","95,217.50","3,218.00","673,711.51","7,826,679.26","15,476,254.03","27,972,730.61","16,270,176.82","14,627,347.52","277,831,897.99"
五、现金及现金等价物净增加额,"8,100,878.09","49,089,071.33","-23,957,075.62","19,415,234.83","-1,184,285.43","182,699,812.00","107,702,117.92","69,236,550.58","160,974,111.33","-84,973,444.23","151,111,298.30","-102,761,204.24","-58,938.44","490,566,862.17","134,007,666.60","219,900,377.89","196,040,068.73","-150,381,810.15","-159,616,614.21","213,981,929.82","489,417,292.04"
购建固定资产、无形资产和其他长期资产支付的现金,"12,337,954.06","7,385,552.66","6,582,450.03","1,877,353.37","4,535,359.69","6,116,229.11","7,181,208.42","7,478,007.10","13,636,550.83","1,920,778.50","4,341,737.54","11,176,793.29","21,832,925.42","9,105,107.84","30,055,950.68","41,064,110.26","71,687,275.40","8,480,029.69","46,150,065.17","84,048,732.87","258,618,682.93"
