科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"114,270,194.39","227,803,665.10","474,749,278.41","126,217,653.31","280,899,668.18","429,865,649.90","573,752,930.31","147,286,330.83","287,768,246.69","435,609,757.93","585,688,894.89","165,900,481.66","327,108,217.85","512,584,626.95","714,037,500.18","194,065,679.14","421,553,104.78","654,563,128.93","929,450,843.16","255,557,989.25","499,697,436.17","788,559,662.90","1,056,405,619.21","256,964,336.88","547,119,557.63","849,456,480.79","1,135,602,713.72","268,603,164.22","511,061,179.07","781,480,982.38","1,062,786,962.90","225,882,295.84","477,013,529.02","748,453,615.62","1,020,972,027.34","249,105,330.62","506,892,513.18","772,523,083.87","1,056,630,138.06","267,738,993.61","566,429,828.62","912,628,746.86"
二、营业利润,"12,831,790.44","28,078,078.52","45,797,233.16","14,817,223.69","28,846,715.12","40,243,962.21","47,068,802.33","15,028,799.81","32,550,828.24","48,277,413.85","69,244,827.59","22,745,472.31","49,654,345.16","75,253,673.50","99,233,791.72","22,520,327.10","53,472,590.02","77,613,740.30","100,137,271.27","22,159,054.44","33,745,662.70","58,449,086.56","74,061,892.03","16,644,328.92","35,736,903.04","58,808,165.63","62,458,847.00","3,288,133.09","-2,298,449.04","-11,527,645.68","-45,644,773.17","-14,202,654.97","-11,155,499.14","-3,433,445.59","4,077,912.07","4,647,355.43","12,759,251.71","18,665,064.67","28,670,449.63","11,856,114.90","35,506,579.14","51,393,335.78"
减:营业成本,"89,790,689.92","175,088,462.83","367,225,594.56","97,066,647.52","220,131,230.99","342,445,640.37","454,323,107.24","113,158,296.53","217,333,603.91","330,177,649.56","440,971,696.88","121,782,451.68","237,758,636.24","376,742,666.43","530,181,625.87","150,019,940.08","319,470,271.05","498,841,669.59","703,441,582.37","199,500,142.66","394,635,338.15","618,285,089.17","830,467,403.88","204,942,886.72","435,100,419.48","673,311,433.81","913,319,540.60","232,480,598.93","441,893,857.04","673,586,525.44","923,575,090.86","199,080,082.62","404,815,354.07","627,550,908.94","847,428,993.78","201,779,441.21","406,109,350.53","614,729,243.50","847,078,940.49","212,232,162.33","437,028,177.61","711,173,187.05"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"158,380.33","502,409.60","1,095,646.64","272,304.72","568,068.49","793,230.38","1,928,597.66","466,456.76","912,335.64","1,261,192.38","1,627,451.77","362,337.07","841,459.61","1,109,544.35","1,706,918.71","748,720.02","1,771,372.80","2,366,951.51","3,021,673.84","1,015,582.97","2,117,383.38","3,857,345.50","5,506,286.93","1,526,959.99","3,386,606.61","4,789,615.80","6,520,254.08","1,186,008.02","2,467,848.73","4,997,831.10","6,620,094.92","1,373,407.68","4,814,569.23","9,837,423.35","12,479,287.07","3,346,211.23","6,036,377.24","7,865,132.91","15,912,055.84","3,019,363.75","9,001,664.84","13,282,465.18"
营业外收入,"18,191.45","28,871.80","1,206,938.92","17,119.07","36,510.27","99,347.50","5,308,503.67","27,138.28","1,386,998.11","3,791,942.91","5,174,568.51","745,673.99","6,190,975.42","7,042,114.86","10,499,035.52","6,435,650.84","8,585,016.22","10,913,610.58","18,925,521.16","301,312.25","3,900,730.25","4,906,202.65","12,785,140.22","1,719,865.68","3,018,621.15","4,598,653.69","10,066,304.16","1,410,960.45","5,197,899.86","6,944,011.67","8,558,562.02","906,051.16","3,670,938.77","9,295,624.05","12,122,053.91","1,622,500.28","4,471,970.31","9,565,604.41","12,855,143.47","2,072,005.11","61,401.74","72,167.86"
销售费用,"3,553,596.04","8,808,517.39","18,264,365.38","3,572,441.14","9,597,160.71","14,568,857.77","23,242,652.35","6,509,248.21","13,909,390.59","21,108,842.75","30,564,977.67","7,725,318.87","13,191,523.49","23,412,011.95","32,764,474.80","7,901,163.92","17,044,028.52","26,204,222.53","42,960,877.65","10,402,120.86","21,004,510.92","32,808,096.66","45,845,132.61","10,151,744.60","21,748,969.94","34,566,969.27","48,273,279.17","10,676,557.06","22,960,328.27","36,319,852.82","49,811,787.45","10,341,145.77","20,897,477.24","32,629,539.83","42,296,715.14","9,299,803.03","21,818,620.71","34,519,249.46","46,972,421.89","11,562,510.76","24,001,920.12","38,432,956.94"
减:营业外支出,,"53,225.30","168,365.05","206,238.15","64,415.70","397,436.74","562,162.92","136,102.55","174,631.85","253,134.86","1,932,619.39","191,497.07","634,568.13","801,470.00","1,466,448.85","554,354.62","1,038,634.88","1,468,676.71","1,846,236.06","282,525.88","642,069.26","1,181,169.23","1,464,552.14","218,269.58","462,059.83","553,765.77","3,217,000.71","37,015.97","61,886.66","278,923.09","4,218,382.05","21,130.17","43,279.75","73,702.81","353,270.76","103,085.45","423,978.14","991,394.66","1,942,584.51","167,178.13","958,615.89","3,062,514.92"
管理费用,"6,981,362.23","11,020,813.34","32,717,640.85","7,111,183.79","14,563,090.70","24,367,915.77","39,154,472.75","10,173,725.23","18,411,177.72","30,708,737.23","38,152,152.61","11,339,412.23","22,614,574.80","33,214,368.90","45,442,336.26","10,663,396.85","23,835,657.22","39,332,255.82","61,565,759.72","16,977,586.01","35,687,800.90","55,629,324.73","75,452,200.86","17,472,972.98","39,856,176.32","64,946,902.29","87,162,075.23","20,385,290.23","44,568,060.41","73,577,554.27","116,580,144.99","30,222,601.39","57,279,258.31","84,840,768.12","118,621,825.91","29,516,927.35","61,929,443.07","98,794,584.69","122,661,218.76","25,915,938.97","59,451,966.71","94,734,428.37"
其中:非流动资产处置净损失,,,"42,167.36",,,,,,,,,,,,"500,333.11",,,,"457,521.75",,,,"181,830.85",,"42,441.80",,"1,143,345.36","32,474.13","34,390.13","38,912.05","3,892,453.79","15,824.11","28,448.50","30,340.30","36,205.06","30,962.21","226,085.49","684,487.69","1,258,956.55","120,160.66","199,954.28","2,174,295.17"
