科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"150,029,741.17","177,251,964.26","213,798,562.72","174,935,821.69","247,173,208.21","68,071,004.78","102,292,323.41","164,548,599.79","246,369,291.09","73,322,800.00","148,651,635.27","218,322,211.52","285,343,999.23","74,545,216.83","149,982,283.76","222,210,885.55","317,253,572.92","86,097,696.65","173,959,190.68","248,723,404.19","319,139,852.18","96,941,298.55","193,421,395.72","503,972,729.50","858,285,722.87","257,603,791.19","551,422,431.81","875,295,321.87","1,264,879,436.13","270,952,367.18","530,271,534.43","761,337,353.61","1,162,416,642.55","147,149,643.83","293,779,782.55","492,895,743.78","664,593,783.42","126,174,347.60"
二、营业利润,"39,095,268.70","42,695,140.00","71,385,779.31","61,571,951.58","83,900,570.41","24,427,310.80","35,556,250.32","53,039,637.92","78,240,081.15","28,185,719.03","58,837,200.09","80,310,510.75","101,085,937.36","26,182,563.48","53,216,368.69","76,134,810.76","102,332,810.80","31,344,067.24","58,671,438.34","79,909,690.92","94,287,984.25","31,817,445.63","60,175,730.72","158,770,176.20","276,092,223.27","86,778,529.22","167,015,234.90","302,362,275.26","449,179,462.07","91,791,169.62","202,435,155.72","308,068,261.07","466,694,448.90","88,575,708.38","9,883,015.27","27,720,409.32","-81,407,992.56","-7,290,227.64"
减:营业成本,"90,646,948.58","111,030,761.57","110,180,800.62","89,668,529.32","128,861,069.48","34,702,196.61","51,916,141.99","83,787,779.79","128,657,506.43","37,125,250.19","77,476,484.42","117,593,935.57","157,945,258.15","41,581,188.03","81,407,175.03","122,494,321.22","178,093,093.67","48,289,185.75","103,013,516.15","147,478,853.82","191,623,385.95","58,710,023.07","118,411,734.29","58,693,645.31","142,406,758.65","66,853,988.54","135,858,519.69","206,353,511.60","299,345,213.38","81,836,604.35","149,950,589.45","202,219,985.94","255,663,958.46","23,976,473.39","50,550,680.38","78,131,585.57","98,554,357.00","16,145,271.51"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,100.00,"115,255.78","675,526.99","987,727.94","1,339,140.10","2,366,694.08","633,100.33","1,393,089.02","1,967,901.60","2,171,858.61","448,553.47","954,519.60","1,763,995.52","2,898,709.20","876,463.25","1,958,840.42","2,503,844.73","2,906,037.41","1,144,696.22","1,975,229.46","1,809,795.42","4,013,639.02","1,548,745.82","3,240,187.52","4,919,269.59","10,148,492.38","1,615,347.00","5,588,008.51","6,989,301.66","10,855,888.98","1,627,538.78","4,287,654.82","5,800,279.29","8,297,346.80","1,425,830.82"
营业外收入,"722,306.58","172,677.40","352,741.58","314,470.51","530,520.51","400,550.00","407,071.00","868,321.00","1,078,831.00","2,300.00","43,680.00","194,130.00","528,037.13","2,320.00","987,805.00","1,138,176.97","1,234,627.32","1,850.00","1,547,508.97","1,588,625.34","1,703,743.31",50.00,"81,270.00","4,277,434.64","6,799,917.43","906,671.52","9,463,153.08","4,948,206.32","13,540,861.48","1,128,992.01","2,513,704.70","4,471,797.23","146,379.24","100,510.00","707,092.57","753,652.58","750,544.33","179,759.00"
销售费用,"8,314,270.73","7,304,766.44","8,419,182.69","5,922,446.44","8,885,701.94","2,056,161.70","3,105,157.65","4,856,175.30","7,922,031.02","1,960,727.14","4,953,389.84","7,472,545.29","10,639,433.63","2,644,574.59","5,479,731.81","8,280,409.35","13,190,547.08","3,094,358.24","6,239,945.34","9,497,056.25","12,904,736.55","3,005,016.78","7,196,801.91","240,044,344.88","347,398,678.68","82,843,120.67","194,402,167.14","302,117,200.51","408,649,529.28","77,154,146.26","188,902,151.29","284,504,397.97","389,241,002.13","68,173,953.66","155,299,354.01","254,529,485.96","394,601,097.33","79,410,446.56"
减:营业外支出,"2,355,125.43","520,803.77","2,216,724.78","220,800.00","220,800.00","24,540.00","45,090.00","195,290.00","195,290.00",,"219,965.48","219,965.48","219,965.48",,,"100,000.00","350,000.00",,300.00,300.00,"300,300.00",,,9.10,"931,373.21","48,724.45","106,624.45","306,869.57","6,159,255.79","7,290.66","1,096,411.22","1,141,553.03","1,186,812.00","22,847.71","100,014.91","1,203,906.67","2,518,001.50","500,506.74"
管理费用,"13,653,105.41","15,143,793.87","22,127,853.42","17,254,862.52","24,827,311.71","5,936,277.66","10,523,959.36","21,297,241.91","31,406,237.71","5,878,257.52","13,618,232.69","19,389,905.48","28,279,047.14","5,625,415.53","13,363,371.42","20,366,684.08","27,762,935.43","5,051,926.16","9,354,988.04","17,418,487.33","28,109,558.38","4,339,585.97","10,930,597.39","38,151,335.81","85,280,895.25","19,662,667.18","42,885,464.52","64,918,377.65","119,074,612.26","27,946,058.93","50,393,991.78","75,843,774.26","115,573,024.79","30,709,067.24","61,517,474.59","79,445,643.54","120,135,021.23","23,770,380.40"
其中:非流动资产处置净损失,"618,151.55",,"12,616.78",,,,,,,,,,"19,965.48",,,,,,,,,,,,"85,886.01",,,"85,886.01","2,161,863.56",,"6,821.58","85,886.01",,,,,,
