科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,604,193,716.66","1,705,595,319.93","2,058,316,962.83","1,106,271,914.40","1,813,205,386.67","2,475,687,314.42","490,376,117.07","1,258,345,132.89","2,065,502,754.09","2,752,210,942.05","543,758,110.29","1,389,385,414.70","2,178,938,330.44","3,038,034,515.56","596,323,854.69","1,561,737,701.07","2,495,003,136.75","3,495,188,846.29","787,282,817.15","1,709,994,507.55","2,828,657,518.02","3,739,344,842.26","957,511,866.97","1,909,492,357.32","2,995,346,812.52","4,387,521,468.34","1,048,629,601.49","2,323,744,623.62","3,678,013,225.15","4,991,386,236.30"
取得子公司及其他营业单位支付的现金净额,"27,600,025.09",,"107,435,360.92","7,892,226.40","7,892,226.40","7,892,226.40",,,,"179,345,730.21",,,,"7,842,087.97",,,,,,,"45,100,000.00","108,800,000.00",,,,,,,,
收到的税费返还,,,,,,,,,,"1,677,864.04",,,,"1,598,148.59","4,811.27","113,924.91","221,523.87","46,546.98",,,"1,356,572.44","3,650,738.81","1,627,370.59","5,516,676.45","10,960,699.44","12,446,247.16","1,947,687.66","3,631,928.74","4,751,071.20","7,240,191.06"
支付其他与投资活动有关的现金,,"887,321.34",,,,,,,,"475,068,916.44",,,,,,"37,433,870.43","24,741,668.08","1,508,447.32",,,,"4,500,000.00",,,,"3,900,000.00","1,030,000.00","2,990,000.00","7,950,000.00","10,000,000.00"
收到其他与经营活动有关的现金,"34,517,770.23","11,869,311.59","47,374,412.05","13,574,274.93","34,107,611.13","28,109,342.72","27,521,959.97","40,471,994.62","58,128,632.58","38,132,869.92","29,213,119.80","56,697,695.01","92,042,331.43","35,936,411.43","24,271,732.31","42,782,908.43","97,597,242.92","27,166,772.68","53,784,827.11","121,237,012.73","308,238,532.01","119,669,113.58","24,271,116.23","65,175,157.42","100,354,857.64","62,873,953.90","43,233,666.03","134,008,675.72","180,780,408.43","87,483,360.82"
投资活动现金流出小计,"109,407,995.56","90,680,959.32","274,980,000.62","79,322,734.10","102,188,896.27","160,171,922.46","27,500,000.90","88,596,522.61","151,871,439.16","939,565,337.35","60,080,176.68","139,670,496.46","294,829,058.88","461,179,550.90","91,029,943.86","208,727,994.95","268,149,487.04","398,901,133.02","98,905,213.93","174,437,296.53","301,340,720.35","508,991,626.64","76,884,927.15","132,913,860.65","196,314,722.27","301,830,595.24","53,244,104.01","88,575,431.06","137,043,253.26","204,144,323.37"
经营活动现金流入小计,"1,638,711,486.89","1,717,464,631.52","2,105,691,374.88","1,119,846,189.33","1,847,312,997.80","2,503,796,657.14","517,898,077.04","1,298,817,127.51","2,123,631,386.67","2,792,021,676.01","572,971,230.09","1,446,083,109.71","2,270,980,661.87","3,075,569,075.58","620,600,398.27","1,604,634,534.41","2,592,821,903.54","3,522,402,165.95","841,067,644.26","1,831,231,520.28","3,138,252,622.47","3,862,664,694.65","983,410,353.79","1,980,184,191.19","3,106,662,369.60","4,462,841,669.40","1,093,810,955.18","2,461,385,228.08","3,863,544,704.78","5,086,109,788.18"
投资活动产生的现金流量净额,"-108,746,682.00","-90,107,389.87","-246,918,323.10","-40,979,548.34","-63,766,110.51","-121,130,858.06","-27,433,700.90","-88,469,099.53","-151,677,352.62","-901,162,760.46","35,262,203.72","3,007,585.94","-59,267,774.54","-116,086,398.78","-85,596,145.08","-100,045,907.88","-125,813,171.48","-231,252,942.73","-64,188,845.26","-139,541,528.46","-253,259,245.28","-439,273,007.55","-72,087,346.95","-125,852,910.45","-186,523,297.82","-285,241,423.29","-53,033,482.01","-88,213,529.06","-118,533,957.94","-171,405,671.10"
购买商品、接受劳务支付的现金,"1,235,877,675.74","1,309,793,622.80","1,498,644,388.30","1,007,523,944.71","1,551,188,371.40","2,004,516,039.28","481,905,094.13","1,021,923,530.39","1,544,868,422.38","2,033,933,078.99","482,281,262.74","1,078,910,679.91","1,761,760,632.12","2,286,765,500.14","490,319,282.71","1,217,345,537.89","2,022,210,608.90","2,634,538,797.65","555,400,219.35","1,283,853,351.37","2,062,355,955.44","2,533,375,689.02","668,361,754.17","1,398,297,937.65","2,169,512,660.90","3,028,130,292.09","839,438,529.98","1,851,325,067.42","3,085,246,711.75","3,999,291,654.65"
吸收投资收到的现金,,,"50,000,000.00",,,"865,300,000.00",,,,,,,,,,,,,,,,"19,000,000.00",,,,,,,,
