科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"42,602,833,323.24","49,589,726,476.59","54,917,017,170.29","28,962,283,843.36","63,596,811,491.03","10,788,217,616.43","24,186,330,801.24","36,475,261,935.24","50,357,832,179.74","12,886,942,381.72","24,848,815,616.88","36,486,233,458.62","46,405,384,807.70","10,485,176,888.31","21,844,472,487.74","34,844,965,400.54","45,572,630,240.33","13,196,346,639.03","27,956,227,598.69","43,721,457,100.37","63,227,613,084.88","15,210,675,368.37","32,377,809,858.18"
取得子公司及其他营业单位支付的现金净额,"3,283,257.61",,,,,,,,,,,,,,,,,,,,"866,548,581.34","530,516,757.43",
收到的税费返还,,"2,957,550.54","4,972,814.22","7,085,122.00","13,726,363.02",,"1,539,000.00","1,684,257.22","7,585,743.61","3,856,700.00","8,760,064.78","17,875,140.96","12,996,961.76","131,296,202.40","10,538,539.53","72,366,194.41","12,387,193.83","131,281,824.74","81,315.16","82,591,297.27","8,072,210.37","160,931,253.11","237,981.33"
支付其他与投资活动有关的现金,,"302,250,911.37",,,"4,795,342.11","13,053,733.53",,,,,,,"42,867,168.46",,,,,,,,,,
收到其他与经营活动有关的现金,"429,777,731.24","292,912,752.64","582,264,390.30","276,641,062.84","427,893,665.17","125,159,479.52","298,481,053.13","450,243,463.62","431,450,074.68","105,213,974.16","263,123,488.01","470,117,130.90","714,862,971.65","132,920,180.06","404,025,823.25","667,243,347.23","515,639,579.22","170,796,234.08","361,309,812.99","709,189,334.21","470,576,765.98","139,529,154.08","281,332,253.89"
投资活动现金流出小计,"6,901,601,696.39","6,696,277,763.35","9,048,816,179.68","5,291,710,689.21","12,967,438,953.75","1,580,510,640.50","3,851,694,643.07","5,944,288,440.73","9,132,822,347.00","1,503,145,019.16","3,430,249,855.11","5,153,307,106.29","7,343,092,369.00","1,059,753,635.33","2,707,735,345.11","4,159,197,138.32","6,860,852,701.89","1,286,019,325.08","5,201,197,807.50","6,407,681,016.61","11,677,054,674.08","1,830,108,955.44","2,948,416,963.96"
经营活动现金流入小计,"43,032,611,054.48","49,885,596,779.77","55,504,254,374.81","29,246,010,028.20","64,038,431,519.22","10,913,377,095.95","24,486,350,854.37","36,927,189,656.08","50,796,867,998.03","12,996,013,055.88","25,120,699,169.67","36,974,225,730.48","47,133,244,741.11","10,749,393,270.77","22,259,036,850.52","35,584,574,942.18","46,100,657,013.38","13,498,424,697.85","28,317,618,726.84","44,513,237,731.85","63,706,262,061.23","15,511,135,775.56","32,659,380,093.40"
投资活动产生的现金流量净额,"-5,682,891,013.80","-4,947,614,613.35","-7,394,121,826.30","-4,536,315,489.64","-10,834,872,156.08","-1,385,750,914.91","-2,722,164,110.72","-3,460,458,526.77","-6,233,077,727.49","-1,491,892,980.87","-2,515,966,629.47","-2,803,081,248.47","-4,670,606,865.61","-737,101,102.86","-718,154,762.49","-1,180,825,158.73","-3,688,337,115.08","-1,277,035,583.67","-3,629,820,975.33","-4,463,130,292.97","-9,261,389,363.79","-1,712,978,922.98","-1,482,604,939.74"
购买商品、接受劳务支付的现金,"30,062,903,052.15","39,080,405,897.11","40,255,286,674.80","19,068,483,760.16","42,740,278,448.06","6,415,756,893.51","16,161,348,627.73","21,369,456,993.06","32,634,056,264.31","6,331,355,526.76","12,798,160,742.47","19,180,006,527.71","25,850,504,619.43","4,442,064,119.57","9,922,996,542.36","17,718,153,223.73","24,502,829,341.04","9,378,683,381.03","19,057,361,688.35","31,381,802,336.86","45,702,233,000.35","11,675,546,399.15","25,758,936,736.66"
吸收投资收到的现金,"576,610,260.00","307,020,000.00","1,616,096,600.00","73,000,000.00","308,200,000.00",,"61,800,000.00","324,052,000.00","390,092,000.00","2,000,000.00","110,844,000.00","111,444,000.00","180,084,000.00","2,400,000.00","37,096,000.00","64,898,200.00","64,898,200.00",,"29,180,000.00","52,578,200.00","247,538,200.00","8,564,500.00","17,044,500.00"
支付给职工以及为职工支付的现金,"1,604,438,312.33","1,768,280,627.03","2,088,590,906.97","907,367,831.76","2,364,696,883.94","520,911,404.11","1,110,254,970.69","1,572,878,660.21","2,481,547,166.72","629,533,900.02","1,175,929,956.67","1,728,858,344.19","2,814,142,083.43","637,333,720.08","1,270,219,324.16","1,779,445,530.58","2,956,224,761.28","635,512,371.36","1,359,311,894.55","1,769,995,437.16","3,051,224,185.62","658,912,037.39","1,387,107,229.43"
取得借款收到的现金,"14,854,436,474.20","19,218,611,970.70","21,815,000,000.00","12,075,712,610.63","20,962,000,000.00","3,811,500,000.00","9,979,100,000.00","12,451,600,000.00","19,686,942,797.70","1,020,000,000.00","2,590,000,000.00","4,989,979,600.00","9,846,587,537.97","2,990,304,340.95","4,245,304,160.95","6,480,302,002.33","10,624,646,830.15","840,000,000.00","2,560,000,000.00","4,665,000,000.00","8,699,000,000.00","801,000,000.00","3,561,000,000.00"
支付的各项税费,"3,074,556,636.41","3,005,066,648.18","3,390,056,021.00","2,765,035,317.51","5,211,767,451.02","1,317,714,505.51","2,491,695,642.54","3,677,531,275.01","4,797,233,409.47","1,312,557,268.79","2,709,299,212.60","4,047,244,985.00","5,234,978,435.05","1,201,564,418.03","2,381,702,930.86","3,795,601,637.56","4,486,504,382.24","845,514,928.26","2,200,857,599.81","2,928,670,901.22","3,252,470,165.36","1,022,806,200.62","1,825,637,197.42"
收到其他与筹资活动有关的现金,,,,,"370,386.27","1,271,548.32",,,,,,,,,,"413,040,000.00","663,040,000.00",,,,"400,000,000.00",,
支付其他与经营活动有关的现金,"528,815,159.48","658,091,225.57","702,343,410.78","246,160,918.92","459,521,674.55","236,987,673.31","227,895,006.21","698,530,650.84","460,664,223.95","327,398,194.41","225,594,392.13","710,801,185.01","577,837,884.33","304,407,795.40","293,469,076.65","891,770,146.08","804,352,126.77","385,730,134.02","498,565,146.30","1,141,641,110.19","1,713,937,743.61","496,426,023.93","319,388,139.15"
