科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"697,588,587.25","865,580,581.82","810,516,371.92","410,565,623.83","840,794,444.16","183,169,014.65","406,223,486.47","614,232,324.71","832,637,434.73","159,685,896.95","335,107,946.38","496,903,306.64","644,063,162.79","136,546,814.41","291,437,606.61","449,257,439.89","643,119,645.66","172,986,353.97","362,214,220.49","562,577,732.64","782,546,022.29","206,345,252.56","442,916,059.50"
二、营业利润,"62,627,500.13","99,768,286.35","107,377,551.78","61,185,507.48","115,519,196.36","30,397,282.06","61,552,651.73","89,038,825.02","106,424,453.28","20,956,889.86","38,438,799.19","54,250,965.92","62,263,733.12","14,430,086.19","32,247,217.87","42,274,988.63","50,174,102.34","9,422,501.34","22,507,818.54","25,353,724.62","17,462,967.02","5,027,336.51","15,920,497.10"
减:营业成本,"562,716,930.22","679,578,195.14","611,848,217.48","303,262,188.75","632,603,641.53","136,068,678.00","303,219,453.14","461,809,140.54","632,467,222.27","124,130,945.77","265,241,717.85","400,711,247.32","518,427,678.33","103,418,189.05","224,578,848.23","353,806,898.45","511,879,946.92","140,467,433.34","289,810,788.67","462,164,231.12","656,343,724.21","172,638,788.43","370,909,423.15"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,854,353.79","5,100,268.72","5,201,810.71","2,621,230.28","5,393,869.15","1,984,705.41","3,068,816.76","3,644,511.61","5,257,845.32","1,512,488.69","1,899,167.44","3,080,405.67","4,451,572.72","1,502,685.15","2,079,504.81","3,142,723.65","6,699,242.48","2,614,651.30","4,095,351.46","5,672,739.28","8,173,966.43","2,480,508.42","4,681,754.82"
营业外收入,"1,079,222.00","3,511,299.38","2,799,051.90","2,010,500.00","4,771,463.40","250,000.00","2,660,557.09","3,408,575.84","3,740,156.22","69,901.67","819,603.44","1,280,059.82","2,469,256.84","481,483.04","885,991.15","2,039,238.81","2,580,812.29","231,023.86","4,384.83","7,336.37","1,135,068.19","3,708.81","26,050.81"
销售费用,"10,889,206.93","16,309,730.35","15,191,324.80","7,794,639.23","19,234,008.60","2,633,262.67","7,372,529.37","12,034,906.37","20,818,523.92","3,238,626.45","7,730,300.53","12,102,610.61","17,475,236.58","3,364,821.32","8,436,208.27","12,820,361.84","20,205,108.23","4,602,124.77","9,467,656.59","14,901,893.50","25,548,601.05","4,576,218.19","10,451,874.93"
减:营业外支出,"2,728,452.71","634,750.29","527,353.30","190,798.59","978,930.25","95,277.73","212,409.12","771,320.65","1,580,170.07","113,909.29","428,671.61","567,940.26","822,786.39","98,387.34","409,168.34","604,188.34","686,722.19",,"967,143.50","1,006,913.76","1,486,272.06","64,845.86","350,885.38"
管理费用,"52,481,101.98","62,685,883.62","66,053,860.79","31,509,712.22","64,729,869.70","13,866,718.75","35,115,181.47","51,422,131.94","70,950,225.40","14,410,549.29","29,954,919.44","42,586,455.47","56,804,571.47","12,247,287.25","26,146,404.39","39,593,001.14","56,359,587.87","13,240,290.84","27,749,217.71","42,029,736.86","61,585,355.62","13,409,368.25","30,985,469.91"
其中:非流动资产处置净损失,"2,249,868.25","112,678.86","27,739.47","1,058.55","387,117.21","1,901.89","2,224.54","454,912.07","1,111,535.49","28,726.71","220,053.51","234,142.22","320,299.35",,,,,,"948,841.23","978,411.49",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
