科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,454,290,967.36","2,336,415,287.14","1,890,731,291.02","917,670,170.02","1,761,080,249.14","350,912,819.96","903,676,022.52","1,379,707,926.44","2,008,561,426.96","449,002,055.49","972,390,376.04","1,466,903,375.50","1,942,481,126.54","250,393,849.62","949,146,400.90","1,072,004,341.33","1,505,265,094.40","305,691,896.20","889,542,841.83","1,240,380,635.04","1,659,735,933.81","338,735,452.30","758,194,942.16","1,125,393,511.87","1,444,548,111.27","309,077,101.39","718,996,477.07","994,841,423.86","1,128,338,636.52","188,517,600.10","433,052,228.46","821,255,340.31","1,077,605,535.80","261,187,648.19"
取得子公司及其他营业单位支付的现金净额,"-18,716,361.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"99,198,994.67","74,846,312.79","120,997,360.10","36,725,474.98","74,286,147.78","6,505,296.81","17,357,193.56","35,470,288.97","77,512,694.64","18,664,738.42","61,953,779.65","80,183,029.57","70,735,288.74","14,421,580.73","24,768,406.81","45,060,671.19","78,384,549.84","11,755,971.88","36,466,971.58","54,522,539.28","70,163,008.20","34,152,017.62","49,906,133.26","78,833,984.26","87,954,832.27","22,474,290.70","31,037,651.95","56,035,573.91","52,330,529.36","7,141,870.88","19,836,275.77","31,456,284.32","47,819,412.13","11,528,765.36"
支付其他与投资活动有关的现金,,,,,,,,"250,000,000.00","250,011,411.57",,,,"3,920,639.06",,,,"2,181,798,828.00",,"250,000,000.00","300,000,000.00","1,418,150,098.64","126,000,000.00","558,000,000.00","1,147,000,000.00","1,537,000,000.00","165,000,000.00","285,000,000.00","445,000,000.00","651,809,485.00","392,000,000.00","622,000,000.00","1,152,000,000.00","1,457,965,845.41","288,000,000.00"
收到其他与经营活动有关的现金,"25,507,495.11","85,682,394.88","23,265,633.23","20,555,089.34","24,850,450.13","10,136,891.99","30,324,145.70","95,664,367.42","28,503,002.26","6,520,024.02","13,420,813.81","26,506,154.61","72,547,975.63","5,824,685.24","26,157,208.40","37,026,754.04","66,349,489.79","7,031,019.18","17,394,720.90","30,735,417.17","22,564,218.24","2,563,014.10","20,187,682.43","24,924,514.24","74,111,484.34","4,182,415.43","28,893,620.79","36,437,800.80","37,807,429.90","9,362,471.25","13,046,034.19","21,463,696.66","21,740,344.19","5,699,127.92"
投资活动现金流出小计,"78,622,551.32","161,647,391.92","70,742,097.69","24,148,651.70","39,345,924.95","12,548,455.66","42,324,048.89","353,410,074.68","405,095,212.55","57,210,002.83","119,654,443.79","199,788,732.55","272,874,417.24","51,579,293.86","105,895,982.02","140,475,286.48","2,292,191,990.60","36,669,170.27","337,604,357.45","441,716,451.95","1,561,438,354.02","146,889,376.19","586,190,809.32","1,182,866,972.27","1,608,633,208.71","198,314,603.04","339,463,398.52","512,315,282.03","703,436,722.69","428,613,726.87","661,921,337.54","1,206,174,890.88","1,497,674,786.68","329,060,797.73"
经营活动现金流入小计,"1,578,997,457.14","2,496,943,994.81","2,034,994,284.35","974,950,734.34","1,860,216,847.05","367,555,008.76","951,357,361.78","1,510,842,582.83","2,114,577,123.86","474,186,817.93","1,047,764,969.50","1,573,592,559.68","2,085,764,390.91","270,640,115.59","1,000,072,016.11","1,154,091,766.56","1,649,999,134.03","324,478,887.26","943,404,534.31","1,325,638,591.49","1,752,463,160.25","375,450,484.02","828,288,757.85","1,229,152,010.37","1,606,614,427.88","335,733,807.52","778,927,749.81","1,087,314,798.57","1,218,476,595.78","205,021,942.23","465,934,538.42","874,175,321.29","1,147,165,292.12","278,415,541.47"
投资活动产生的现金流量净额,"-71,764,506.12","-159,905,582.41","-60,737,172.04","1,101,215.70","-13,714,167.93","-12,547,678.26","-42,323,271.49","-347,680,130.61","-373,966,338.68","-57,160,002.83","-119,500,445.99","-191,794,214.75","-262,191,826.20","-51,579,293.86","-105,791,729.02","-140,371,033.48","-250,779,683.82","-36,669,170.27","-113,188,786.11","-143,759,339.51","-337,465,153.13","214,958,541.33","58,756,893.12","-202,677,193.71","369,039,781.86","-72,168,931.82","-92,798,384.86","86,788,438.21","36,258,129.76","-294,406,581.21","-235,988,590.78","-387,920,562.51","-434,150,252.75","-94,628,298.48"
购买商品、接受劳务支付的现金,"1,168,642,395.00","2,003,003,883.01","1,238,041,873.77","838,548,513.29","1,512,377,870.05","896,236,179.80","1,389,795,236.50","1,786,517,359.58","1,836,100,663.80","610,097,835.14","1,070,431,787.70","1,385,504,470.55","1,372,056,566.08","211,861,312.99","789,069,262.96","934,227,989.91","1,236,899,192.74","194,262,998.09","728,211,909.74","967,993,826.96","1,209,853,890.93","292,106,857.76","625,063,991.94","832,601,045.59","1,023,473,348.16","159,299,008.83","341,079,601.05","452,816,526.76","572,368,427.64","171,097,249.30","339,141,084.85","518,454,313.67","834,871,246.24","186,797,181.70"
吸收投资收到的现金,"142,300,000.00",,,,"1,965,400,000.00",,,,,,,,,,,,"50,000.00",,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"59,205,201.45","87,254,204.60","91,026,096.69","50,673,780.68","107,101,501.35","29,895,565.69","63,222,288.46","93,313,819.34","131,715,076.57","32,834,120.68","57,941,379.67","100,786,898.44","137,975,529.19","32,649,895.98","66,133,300.93","100,193,356.11","141,478,092.78","37,497,107.40","75,551,414.90","116,623,164.83","161,881,304.22","42,636,694.51","59,975,364.08","127,818,851.36","174,893,507.00","39,842,821.42","54,306,615.01","106,719,932.41","149,792,053.24","33,718,175.72","66,796,678.78","102,791,894.23","140,725,438.47","35,655,742.80"
取得借款收到的现金,"653,700,000.00","698,430,000.00","1,006,774,562.06","238,109,313.03","404,534,342.17","124,500,000.00","319,500,000.00","414,500,000.00","430,200,000.00","11,000,000.00","11,000,000.00","342,000,000.00","342,000,000.00","11,000,000.00","31,000,000.00","31,000,000.00","31,000,000.00",,,"150,000,000.00","300,000,000.00",,,,,,,,"300,000,000.00",,,,,
支付的各项税费,"66,891,866.22","134,369,201.62","127,709,738.43","94,186,437.54","152,927,930.49","30,879,035.51","49,134,556.67","62,075,803.27","79,467,463.39","17,187,665.68","31,259,893.64","45,471,470.23","49,096,755.19","26,155,610.29","44,089,219.77","53,805,707.11","64,846,828.20","11,350,293.61","27,058,065.63","40,031,766.35","59,059,065.81","9,449,877.72","21,707,741.89","40,702,370.31","58,354,985.40","20,126,176.20","39,521,174.79","72,910,531.80","86,841,040.13","13,363,443.48","28,408,701.80","37,294,397.94","42,647,695.08","12,069,403.80"
收到其他与筹资活动有关的现金,,,"8,837,000.00",,"100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,707,000.00",
支付其他与经营活动有关的现金,"166,102,402.48","160,057,608.48","189,135,363.02","119,060,298.27","203,330,865.41","29,367,668.93","74,368,972.97","143,733,057.31","169,934,318.41","32,209,452.93","80,666,332.71","117,184,613.17","163,839,685.26","40,342,176.30","79,387,730.96","102,511,614.31","246,284,976.95","41,202,711.51","95,213,914.37","146,009,521.21","223,988,488.93","60,081,584.65","119,407,975.26","158,926,798.20","201,372,972.91","59,120,673.35","81,954,170.00","147,494,326.17","135,083,908.72","65,593,973.07","59,881,627.43","70,796,048.55","136,947,750.27","48,130,189.86"
筹资活动现金流入小计,"796,000,000.00","698,430,000.00","1,015,611,562.06","238,109,313.03","2,469,934,342.17","124,500,000.00","319,500,000.00","414,500,000.00","430,200,000.00","11,000,000.00","11,000,000.00","342,000,000.00","342,000,000.00","11,000,000.00","31,000,000.00","31,000,000.00","31,050,000.00",,,"150,000,000.00","300,000,000.00",,,,,,,,"300,000,000.00",,,,"18,707,000.00",
经营活动现金流出小计,"1,460,841,865.15","2,384,684,897.71","1,645,913,071.91","1,102,469,029.78","1,975,738,167.30","986,378,449.93","1,576,521,054.60","2,085,640,039.50","2,217,217,522.17","692,329,074.43","1,240,299,393.72","1,648,947,452.39","1,722,968,535.72","311,008,995.56","978,679,514.62","1,190,738,667.44","1,689,509,090.67","284,313,110.61","926,035,304.64","1,270,658,279.35","1,654,782,749.89","404,275,014.64","826,155,073.17","1,160,049,065.46","1,458,094,813.47","278,388,679.80","516,861,560.85","779,941,317.14","944,085,429.73","283,772,841.57","494,228,092.86","729,336,654.39","1,155,192,130.06","282,652,518.16"
偿还债务支付的现金,"614,229,120.00","570,530,000.00","912,605,412.00","261,679,667.91","613,596,839.33","141,400,000.00","357,900,000.00","429,870,740.00","453,886,810.00","51,500,000.00","86,500,000.00","379,500,000.00","379,513,573.96","11,000,000.00","43,000,000.00","44,000,000.00","44,166,237.00","21,000,000.00","20,000,000.00","318,000,000.00","317,980,520.48",,"700,000.00","700,000.00",,,,,"300,000,000.00",,,,,
经营活动产生的现金流量净额,"118,155,591.99","112,259,097.10","389,081,212.44","-127,518,295.44","-115,521,320.25","-618,823,441.17","-625,163,692.82","-574,797,456.67","-102,640,398.31","-218,142,256.50","-192,534,424.22","-75,354,892.71","362,795,855.19","-40,368,879.97","21,392,501.49","-36,646,900.88","-39,509,956.64","40,165,776.65","17,369,229.67","54,980,312.14","97,680,410.36","-28,824,530.62","2,133,684.68","69,102,944.91","148,519,614.41","57,345,127.72","262,066,188.96","307,373,481.43","274,391,166.05","-78,750,899.34","-28,293,554.44","144,838,666.90","-8,026,837.94","-4,236,976.69"
