科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"928,139,937.08","1,312,196,365.90","1,376,849,395.36","721,934,757.38","1,128,875,494.21","1,469,874,178.57","319,429,513.50","625,259,230.08","950,169,082.92","1,386,121,400.69","298,266,605.56","590,033,155.89","953,211,014.37","1,336,391,694.65","320,827,465.42","655,359,033.94","893,206,577.06","1,046,786,285.89","248,191,795.08","507,499,348.18","807,213,193.09","980,620,238.44","257,086,806.96","517,345,145.38","844,828,380.27","1,124,826,252.53","490,070,820.26","963,442,356.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"983,385.96","1,739,643.31","682,192.27","447,876.60","447,876.60","1,189,892.62","103,345.61","226,997.20","457,180.44","1,606,743.28","465,508.25","465,508.25","1,397,226.47","2,405,533.72","1,397,226.47","149,847.74","308,918.02","308,918.02","112,472.20","112,472.20","364,218.42","513,151.54",,"277,859.25","277,859.25","277,859.25","236,382.93","236,382.93"
支付其他与投资活动有关的现金,"57,114,467.28",,"33,973,000.00",,,,,,,,,,,,,,,,,,,,"16,000,000.00","12,000,000.00","57,400,000.00","7,000,000.00",,"15,000,000.00"
收到其他与经营活动有关的现金,"8,976,673.63","9,734,996.22","10,057,182.88","6,188,636.29","13,375,719.77","21,336,340.24","5,359,245.27","10,629,440.33","16,024,940.68","7,768,441.30",,"1,814,532.65","5,109,176.69","4,702,802.36","3,356,815.04","7,495,328.05","13,013,492.13","29,044,802.31","4,320,887.14","8,470,866.63","13,385,191.96","33,435,068.62","4,544,344.20","8,310,163.07","11,386,258.17","19,378,378.87","2,112,637.76","6,051,591.90"
投资活动现金流出小计,"89,225,444.43","4,908,252.61","42,972,873.44","2,011,391.63","4,233,087.18","5,068,274.22","209,407.71","725,287.55","2,386,530.26","1,757,849,400.46","1,681,468.26","937,507,760.29","1,276,241,094.60","1,877,325,970.10","459,606,744.68","557,966,737.76","12,714,532.63","44,610,165.52","5,785,519.16","46,160,169.79","114,438,825.99","205,080,734.86","76,082,172.76","90,966,828.04","242,049,236.29","247,180,197.38","68,752,941.90","97,665,147.25"
经营活动现金流入小计,"938,099,996.67","1,323,671,005.43","1,387,588,770.51","728,571,270.27","1,142,699,090.58","1,492,400,411.43","324,892,104.38","636,115,667.61","966,651,204.04","1,395,496,585.27","298,732,113.81","592,313,196.79","959,717,417.53","1,343,500,030.73","325,581,506.93","663,004,209.73","906,528,987.21","1,076,140,006.22","252,625,154.42","516,082,687.01","820,962,603.47","1,014,568,458.60","261,631,151.16","525,933,167.70","856,492,497.69","1,144,482,490.65","492,419,840.95","969,730,330.85"
投资活动产生的现金流量净额,"-89,174,276.93","49,615,747.39","-42,924,773.44","7,612,061.39","64,457,712.82","63,622,525.78","19,790,592.29","19,274,712.45","17,613,469.74","-402,787,387.48","3,604,282.21","25,239,101.41","-83,389,983.37","-55,476,074.88","-6,393,875.04","298,974,061.31","338,339,319.40","285,256,567.89","130,191,464.19","69,845,474.63","16,168,849.12","-46,373,504.90","-76,050,643.99","-90,514,026.23","-236,638,871.56","-245,746,886.67","-68,523,411.76","-97,409,537.06"
购买商品、接受劳务支付的现金,"719,227,113.41","1,201,512,021.86","1,344,449,357.61","645,422,360.11","983,598,292.78","1,278,808,298.43","338,524,986.33","637,118,800.59","965,390,661.54","1,241,137,442.04","266,221,532.62","600,957,142.72","905,154,412.43","1,177,783,730.35","332,322,150.58","663,656,692.05","880,622,823.81","992,917,555.49","233,572,462.61","456,337,441.27","729,016,787.10","848,022,016.41","209,880,375.04","482,240,506.34","737,877,582.01","964,216,640.63","380,431,128.47","877,684,936.26"
吸收投资收到的现金,,,,"319,871,544.31","319,871,544.31","319,871,544.31",,,,,,,,,,,,,"42,722,803.00","42,722,803.00","48,316,720.99","42,722,803.00","1,561,500.00","1,561,500.00","1,561,500.00","1,561,500.00",,
