科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"114,871,971.21","133,422,141.57","249,743,522.88","131,033,341.02","202,843,600.45","350,472,003.20","68,287,419.18","142,578,351.91","241,060,364.21","412,047,828.15","85,228,061.75","188,947,817.92","322,483,457.97","540,108,411.16","112,944,787.72","264,865,959.86","447,915,871.99","680,898,600.17","205,336,140.37","493,292,102.97","722,800,918.98","1,356,148,025.89","314,407,427.23","826,170,399.44","1,422,222,970.80","2,037,626,247.61","352,313,544.96","868,610,012.67","1,490,183,793.35","2,220,676,444.50","538,110,960.07","1,319,216,047.29"
二、营业利润,"11,246,823.94","19,659,236.75","41,176,870.22","17,419,951.85","29,691,255.67","55,928,674.86","4,600,144.19","14,100,479.96","30,757,472.07","62,067,838.72","5,257,741.72","16,450,953.80","36,501,542.09","75,694,578.36","5,149,876.13","23,922,559.21","49,594,963.27","105,854,542.03","9,408,503.70","39,092,793.97","81,956,476.16","201,077,214.37","45,449,467.52","131,674,482.86","309,426,850.26","351,196,124.37","74,733,633.74","162,144,904.28","324,560,757.11","471,039,822.68","113,316,405.27","208,761,664.80"
减:营业成本,"79,437,609.67","87,942,241.15","165,656,645.09","86,457,259.30","133,957,413.95","234,033,224.46","46,540,693.42","93,433,896.62","159,207,345.71","275,448,562.09","55,787,883.93","124,311,518.13","212,806,995.76","352,738,732.45","76,297,164.68","169,008,337.10","291,254,653.34","426,682,080.40","125,602,655.72","299,132,740.83","419,985,677.26","841,877,947.85","164,648,350.07","475,381,506.34","807,464,924.75","1,199,639,017.87","193,183,788.88","516,100,553.75","890,943,851.84","1,296,103,835.35","331,876,672.09","923,406,606.27"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,841,479.87","2,542,666.60","4,099,699.29","2,683,718.53","4,126,441.55","5,953,102.86","620,134.64","1,869,742.86","2,762,468.62","5,403,135.43","1,158,074.30","2,904,838.30","4,095,462.30","8,486,185.07","1,915,208.15","5,749,905.82","8,880,804.68","12,316,880.99","4,716,745.88","8,088,938.16","12,953,379.34","17,336,458.17","5,042,682.22","9,477,530.11","9,871,670.34","16,703,499.97","981,465.51","5,458,420.15","7,650,084.12","12,741,076.06","951,683.33","3,073,950.39"
营业外收入,"643,276.35","2,532,025.55","243,701.84","194,836.60","1,263,128.04","1,572,228.22","14,664.52","409,476.79","766,140.51","798,546.95","584,871.43","994,556.47","1,481,210.61","1,787,893.48","1,269,424.80","1,354,837.68","1,388,187.68","2,834,975.68","4,033,121.05","5,287,572.69","8,195,303.75","9,947,687.57","7,425,085.96","19,057,458.83","28,698,934.55","34,076,590.06","3,417,982.46","9,896,582.40","23,791,857.12","698,748.59","2,436,314.43","60,465.28"
销售费用,"6,205,705.80","6,671,956.02","10,178,785.17","6,807,174.68","9,368,686.40","14,404,225.08","4,224,242.54","9,246,605.72","15,575,133.16","23,392,377.64","9,392,000.95","18,546,137.82","28,313,016.91","34,555,820.37","9,033,180.92","20,645,715.54","28,603,356.07","38,505,092.04","19,848,170.52","36,134,114.97","53,898,511.04","58,725,549.15","23,394,957.12","50,575,340.67","72,709,075.48","105,046,675.98","22,901,400.98","47,853,947.46","69,450,997.50","103,300,356.36","19,065,247.61","41,170,895.88"
减:营业外支出,"52,150.00","34,126.88","2,350.00","2,013,599.98","2,015,216.23","2,013,599.98","100,000.00","100,000.00","100,047.69","369,306.69","100,230.83","100,247.82","100,247.82","110,431.73","1,000.00","116,422.15","116,422.15","423,877.00","72,455.77","80,194.04","209,141.61","191,751.20","64,893.76","80,404.36","200,530.26","2,072,083.04","95,568.43","178,129.15","179,496.50","2,191,858.58","2,532.82","732,315.25"
管理费用,"15,770,340.31","16,325,858.31","25,531,188.34","15,335,846.43","21,689,122.41","32,812,473.35","10,817,820.50","20,113,754.95","28,867,225.18","41,626,002.56","13,183,209.89","25,669,353.91","37,463,493.88","52,220,062.00","15,063,762.68","31,215,281.32","46,886,067.58","64,421,755.25","39,922,398.33","78,555,760.10","117,313,243.95","168,213,962.83","65,305,026.23","134,325,627.24","188,304,354.29","278,756,515.86","59,175,024.70","126,045,180.43","189,723,882.21","279,026,078.93","62,935,828.92","129,713,284.93"
其中:非流动资产处置净损失,,"34,006.88",,"8,956.07","8,956.07","8,956.07",,,,"186,166.51",,,,,,"107,940.41",,"109,409.26",,"30,044.04","107,185.91","115,035.61",,"62,447.54",,"941,899.79",,"60,937.38",,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-34,630.31","98,960.24","808,000.01","598,694.75","1,125,361.98","1,798,188.87","268,834.03","261,360.94","-746,899.40","-4,604,997.77","-1,095,544.25","-715,095.19","-1,513,709.35","-268,000.85","1,448,330.40","4,478,176.08","8,019,210.71","12,223,832.96","4,872,715.32","14,589,988.85","19,595,489.00","23,395,162.61","8,362,591.24","13,840,177.31","16,387,981.36","5,595,059.13","994,452.00","-2,325,967.40","-3,451,496.65","-13,504,878.43","-87,133.82","1,851,793.36"
三、利润总额,"11,837,950.29","22,157,135.42","41,418,222.06","15,601,188.47","28,939,167.48","55,487,303.10","4,514,808.71","14,409,956.75","31,423,564.89","62,497,078.98","5,742,382.32","17,345,262.45","37,882,504.88","77,372,040.11","6,418,300.93","25,160,974.74","50,866,728.80","108,265,640.71","13,369,168.98","44,300,172.62","89,942,638.30","210,833,150.74","52,809,659.72","150,651,537.33","337,925,254.55","383,200,631.39","78,056,047.77","171,863,357.53","348,173,117.73","469,546,712.69","115,750,186.88","208,089,814.83"
资产减值损失,"404,641.93","181,222.50","2,292,334.76","1,730,695.48","2,885,318.49","5,542,113.72","1,215,549.86","3,552,510.86","4,637,618.87","8,714,909.48","1,544,695.21","1,780,111.15","4,816,656.38","16,681,033.76","4,037,264.76","9,845,984.79","14,676,816.34","20,894,416.50","964,950.90","25,254,277.20","24,559,092.95","53,398,395.44","2,204,352.83","10,870,203.55","17,940,108.63","88,979,323.85","343,779.15","15,779,693.46","13,752,436.68","95,704,427.70","10,228,600.00","12,482,324.00"
