科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"242,586,212.46","218,910,233.30","227,685,544.15","55,756,179.67","134,173,246.88","192,963,893.72","263,974,281.10","46,148,253.08","124,354,402.19","198,065,864.56","288,995,046.33","65,502,990.62"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"548,437.89",,"1,006,205.79",,,"517,848.95","517,848.95","346,205.54","346,205.54","346,205.54","1,280,110.98",
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,631,995.09","3,921,706.55","888,031.59","1,013,273.78","1,353,722.62","1,701,563.16","1,818,234.55","1,472,563.30","10,877,989.14","12,272,693.17","11,380,844.29","225,932.20"
投资活动现金流出小计,"20,872,538.83","6,410,899.53","4,812,344.54","1,338,915.62","5,899,347.83","302,515,390.17","405,345,410.15","197,863,180.62","506,696,082.13","650,928,145.96","903,787,770.13","267,510,321.94"
经营活动现金流入小计,"246,766,645.44","222,831,939.85","229,579,781.53","56,769,453.45","135,526,969.50","195,183,305.83","266,310,364.60","47,967,021.92","135,578,596.87","210,684,763.27","301,656,001.60","65,728,922.82"
投资活动产生的现金流量净额,"-19,049,188.83","-6,410,899.53","-4,748,606.67","-1,338,915.62","-5,899,347.83","-275,319,308.12","-287,719,881.75","-5,441,743.97","-6,924,838.78","-25,134,247.17","-8,898,016.32","11,899,894.93"
购买商品、接受劳务支付的现金,"133,440,150.93","141,241,717.91","120,657,583.27","28,904,065.50","56,577,347.72","93,764,426.12","137,136,459.98","30,229,482.96","70,104,910.92","131,897,444.65","189,455,375.47","48,039,421.84"
吸收投资收到的现金,,,,,"236,950,000.00","236,950,000.00","236,950,000.00",,,"6,660,500.00","6,660,500.00",
支付给职工以及为职工支付的现金,"19,711,651.11","21,463,737.65","21,314,465.93","8,328,771.20","13,382,840.36","19,450,536.44","24,814,224.34","10,115,993.48","16,513,547.65","24,203,687.06","31,308,718.49","12,345,013.43"
取得借款收到的现金,"100,691,586.55","74,800,000.00","51,000,000.00",,,,,,,,,
支付的各项税费,"21,367,303.54","19,085,147.02","20,834,770.16","10,103,344.15","15,503,253.65","21,601,248.59","27,627,175.82","6,380,865.21","15,398,431.15","22,395,969.85","24,078,741.76","7,499,599.03"
收到其他与筹资活动有关的现金,,,,,,,"1,000,000.00",,"300,000.00","300,000.00","1,100,000.00",
支付其他与经营活动有关的现金,"14,877,656.40","14,826,718.85","14,684,250.12","3,796,829.31","9,311,602.36","12,107,039.67","15,687,819.36","1,874,459.18","7,142,739.64","12,286,901.46","20,830,176.99","3,764,277.88"
筹资活动现金流入小计,"100,691,586.55","74,800,000.00","51,000,000.00",,"236,950,000.00","236,950,000.00","237,950,000.00",,"300,000.00","6,960,500.00","7,760,500.00",
经营活动现金流出小计,"189,396,761.98","196,617,321.43","177,491,069.48","51,133,010.16","94,775,044.09","146,923,250.82","205,265,679.50","48,600,800.83","109,159,629.36","190,784,003.02","265,673,012.71","71,648,312.18"
偿还债务支付的现金,"118,691,586.55","74,800,000.00","50,500,000.00",,"35,500,000.00","35,500,000.00","35,500,000.00",,,,,
经营活动产生的现金流量净额,"57,369,883.46","26,214,618.42","52,088,712.05","5,636,443.29","40,751,925.41","48,260,055.01","61,044,685.10","-633,778.91","26,418,967.51","19,900,760.25","35,982,988.89","-5,919,389.36"
分配股利、利润或偿还利息支付的现金,"26,960,572.32","1,720,923.56","1,481,067.25","450,471.39","916,400.99","15,950,000.99","17,116,400.99",,,"16,200,000.00","16,200,000.00",
收回投资收到的现金,,,,,,"27,000,000.00","117,000,000.00","190,000,000.00","493,300,000.00","618,300,000.00","883,300,000.00","275,000,000.00"
支付其他与筹资活动有关的现金,,,,,"860,750.00","7,750,000.00","7,750,000.00",,,,,
取得投资收益收到的现金,,,,,,"63,703.42","493,149.77","2,421,436.65","6,025,078.30","7,047,733.74","11,143,588.76","2,700,815.16"
筹资活动现金流出小计,"145,652,158.87","76,520,923.56","51,981,067.25","450,471.39","37,277,150.99","59,200,000.99","60,366,400.99",,,"16,200,000.00","16,200,000.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"63,737.87",,,"132,378.63","132,378.63",,"446,165.05","446,165.05","446,165.05","1,709,401.71"
筹资活动产生的现金流量净额,"-44,960,572.32","-1,720,923.56","-981,067.25","-450,471.39","199,672,849.01","177,749,999.01","177,583,599.01",,"300,000.00","-9,239,500.00","-8,439,500.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,"67,500.54","30,257.40","-25,900.29","-11,751.97","-406,851.71","-340,363.65"
收到其他与投资活动有关的现金,"1,823,350.00",,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"1,823,350.00",,"63,737.87",,,"27,196,082.05","117,625,528.40","192,421,436.65","499,771,243.35","625,793,898.79","894,889,753.81","279,410,216.87"
五、现金及现金等价物净增加额,"-6,639,877.69","18,082,795.33","46,359,038.13","3,847,056.28","234,525,426.59","-49,309,254.10","-49,024,097.10","-6,045,265.48","19,768,228.44","-14,484,738.89","18,238,620.86","5,640,141.92"
购建固定资产、无形资产和其他长期资产支付的现金,"20,872,538.83","6,410,899.53","4,812,344.54","1,338,915.62","5,899,347.83","11,715,390.17","14,545,410.15","13,363,180.62","27,196,082.13","41,428,145.96","49,287,770.13","12,510,321.94"
期初现金及现金等价物余额,"31,816,712.26","25,176,834.57","43,259,629.90","89,618,668.03","89,618,668.03","89,618,668.03","89,618,668.03","40,594,570.93","40,594,570.93","40,594,570.93","40,594,570.93","58,833,191.79"
投资支付的现金,,,,,,"290,800,000.00","390,800,000.00","184,500,000.00","479,500,000.00","609,500,000.00","854,500,000.00","255,000,000.00"
期末现金及现金等价物余额,"25,176,834.57","43,259,629.90","89,618,668.03","93,465,724.31","324,144,094.62","40,309,413.93","40,594,570.93","34,549,305.45","60,362,799.37","26,109,832.04","58,833,191.79","64,473,333.71"
